Date,Open,High,Low,Close,Volume
2001-12-28 00:00:00+05:30,2.0,2.0,2.0,2.0,4
2001-12-31 00:00:00+05:30,2.4,2.4,2.4,2.4,499
2002-01-09 00:00:00+05:30,2.2,2.2,2.2,2.2,1499
2002-01-10 00:00:00+05:30,2.12,2.12,2.12,2.12,3999
2002-01-14 00:00:00+05:30,2.19,2.19,2.19,2.19,499
2002-01-15 00:00:00+05:30,2.11,2.11,2.11,2.11,499
2002-01-17 00:00:00+05:30,2.03,2.03,2.03,2.03,499
2002-01-21 00:00:00+05:30,2.11,2.11,2.11,2.11,999
2002-01-23 00:00:00+05:30,2.2,2.2,2.2,2.2,499
2002-01-25 00:00:00+05:30,2.13,2.13,2.13,2.13,499
2002-01-29 00:00:00+05:30,2.17,2.18,2.17,2.18,2999
2002-01-31 00:00:00+05:30,2.1,2.18,2.1,2.18,13499
2002-02-01 00:00:00+05:30,2.25,2.25,2.25,2.25,8499
2002-02-04 00:00:00+05:30,2.16,2.16,2.16,2.16,1499
2002-02-05 00:00:00+05:30,2.08,2.08,2.08,2.08,499
2002-02-06 00:00:00+05:30,2.0,2.0,2.0,2.0,6499
2002-02-11 00:00:00+05:30,1.92,1.92,1.92,1.92,499
2002-02-14 00:00:00+05:30,1.85,1.97,1.85,1.97,999
2002-02-18 00:00:00+05:30,2.04,2.05,2.04,2.05,1999
2002-02-19 00:00:00+05:30,2.14,2.14,2.14,2.14,1999
2002-02-20 00:00:00+05:30,2.1,2.22,2.1,2.22,2499
2002-03-11 00:00:00+05:30,2.2,2.2,2.2,2.2,499
2002-03-18 00:00:00+05:30,2.28,2.28,2.28,2.28,2499
2002-04-22 00:00:00+05:30,2.4,2.4,2.4,2.4,499
2002-05-06 00:00:00+05:30,2.4,2.4,2.4,2.4,499
2002-05-08 00:00:00+05:30,2.8,2.8,2.8,2.8,49
2002-05-09 00:00:00+05:30,2.79,2.8,2.79,2.8,949
2002-06-14 00:00:00+05:30,2.8,2.8,2.6,2.6,999
2002-06-17 00:00:00+05:30,2.7,2.7,2.7,2.7,1499
2002-06-18 00:00:00+05:30,2.72,2.95,2.72,2.95,7224
2002-06-19 00:00:00+05:30,2.86,3.15,2.86,3.1,1504
2002-06-20 00:00:00+05:30,2.8,3.29,2.8,2.9,3004
2002-06-24 00:00:00+05:30,2.61,2.61,2.61,2.61,499
2002-06-25 00:00:00+05:30,2.87,2.87,2.87,2.87,1499
2002-06-27 00:00:00+05:30,3.12,3.15,2.92,2.92,4499
2002-06-28 00:00:00+05:30,3.22,3.22,3.16,3.22,3624
2002-07-01 00:00:00+05:30,3.41,3.55,3.41,3.55,999
2002-07-02 00:00:00+05:30,3.38,3.59,3.38,3.53,3499
2002-07-03 00:00:00+05:30,3.31,3.41,3.21,3.4,3499
2002-07-04 00:00:00+05:30,3.4,3.5,3.22,3.5,11749
2002-07-05 00:00:00+05:30,3.6,3.85,3.6,3.83,5749
2002-07-08 00:00:00+05:30,4.18,4.18,3.94,4.01,2749
2002-07-09 00:00:00+05:30,3.91,3.91,3.8,3.8,5499
2002-07-10 00:00:00+05:30,3.81,3.81,3.66,3.66,6499
2002-07-11 00:00:00+05:30,3.78,3.78,3.41,3.41,3249
2002-07-12 00:00:00+05:30,3.1,3.74,3.1,3.13,2509
2002-07-17 00:00:00+05:30,3.1,3.1,3.1,3.1,2499
2002-07-23 00:00:00+05:30,2.92,2.92,2.91,2.92,4499
2002-07-25 00:00:00+05:30,2.71,2.71,2.7,2.7,724
2002-07-29 00:00:00+05:30,2.7,2.7,2.7,2.7,124
2002-07-31 00:00:00+05:30,2.7,2.7,2.7,2.7,574
2002-08-01 00:00:00+05:30,2.6,2.6,2.6,2.6,2499
2002-08-02 00:00:00+05:30,2.56,2.56,2.56,2.56,1999
2002-08-06 00:00:00+05:30,2.31,2.31,2.31,2.31,674
2002-08-07 00:00:00+05:30,2.4,2.4,2.3,2.3,999
2002-08-12 00:00:00+05:30,2.2,2.2,2.2,2.2,499
2002-08-14 00:00:00+05:30,2.35,2.39,2.2,2.2,6999
2002-08-16 00:00:00+05:30,2.02,2.02,2.02,2.02,499
2002-08-21 00:00:00+05:30,2.04,2.04,2.04,2.04,499
2002-08-22 00:00:00+05:30,2.1,2.1,2.1,2.1,2499
2002-09-02 00:00:00+05:30,2.02,2.02,2.02,2.02,749
2002-09-04 00:00:00+05:30,2.01,2.01,2.01,2.01,4999
2002-09-11 00:00:00+05:30,2.05,2.05,2.05,2.05,499
2002-12-09 00:00:00+05:30,1.36,1.36,1.36,1.36,4
2002-12-16 00:00:00+05:30,1.48,1.48,1.44,1.44,999
2002-12-18 00:00:00+05:30,1.45,1.45,1.45,1.45,499
2002-12-19 00:00:00+05:30,1.73,1.73,1.73,1.73,199
2003-01-14 00:00:00+05:30,1.52,1.9,1.52,1.71,9999
2003-01-22 00:00:00+05:30,1.52,1.52,1.51,1.51,999
2003-01-30 00:00:00+05:30,1.51,1.51,1.51,1.51,499
2003-01-31 00:00:00+05:30,1.51,1.51,1.51,1.51,499
2003-02-04 00:00:00+05:30,1.8,1.8,1.44,1.44,9999
2003-02-05 00:00:00+05:30,1.16,1.16,1.16,1.16,499
2003-02-06 00:00:00+05:30,1.4,1.4,1.4,1.4,499
2003-02-10 00:00:00+05:30,1.67,1.68,1.67,1.68,999
2003-02-11 00:00:00+05:30,1.9,1.9,1.9,1.9,2999
2003-02-12 00:00:00+05:30,1.9,1.9,1.9,1.9,5724
2003-02-14 00:00:00+05:30,1.9,1.9,1.9,1.9,499
2003-02-17 00:00:00+05:30,1.9,1.9,1.9,1.9,999
2003-02-18 00:00:00+05:30,1.8,1.8,1.8,1.8,499
2003-02-24 00:00:00+05:30,1.52,2.0,1.52,2.0,21999
2003-06-09 00:00:00+05:30,1.98,1.98,1.9,1.9,999
2003-06-10 00:00:00+05:30,2.25,2.25,2.25,2.25,4
2003-06-16 00:00:00+05:30,2.56,2.56,2.56,2.56,4
2003-06-18 00:00:00+05:30,2.6,2.6,2.2,2.54,2009
2003-06-19 00:00:00+05:30,2.33,2.33,2.33,2.33,999
2003-06-23 00:00:00+05:30,1.87,1.87,1.87,1.87,499
2003-06-24 00:00:00+05:30,1.8,1.8,1.8,1.8,999
2003-06-25 00:00:00+05:30,2.15,2.15,1.8,1.89,1039
