Date,Open,High,Low,Close,Volume
2017-11-16 00:00:00+05:30,241.85,241.85,229.75,229.75,44881
2017-11-17 00:00:00+05:30,218.27,218.27,218.27,218.27,3822
2017-11-20 00:00:00+05:30,207.39,207.39,207.36,207.36,1514
2017-11-21 00:00:00+05:30,197.02,197.02,197.02,197.02,1374
2017-11-22 00:00:00+05:30,187.19,187.19,187.19,187.19,1566
2017-11-23 00:00:00+05:30,177.85,177.85,177.85,177.85,2445
2017-11-24 00:00:00+05:30,168.96,168.96,168.96,168.96,2011
2017-11-27 00:00:00+05:30,160.53,160.53,160.53,160.53,2533
2017-11-28 00:00:00+05:30,152.51,152.51,152.51,152.51,2014
2017-11-29 00:00:00+05:30,144.9,144.9,144.9,144.9,8496
2017-11-30 00:00:00+05:30,130.42,130.42,130.42,130.42,7874
2017-12-01 00:00:00+05:30,117.39,143.11,117.39,124.82,993074
2017-12-04 00:00:00+05:30,118.51,128.72,112.49,113.24,440064
2017-12-05 00:00:00+05:30,112.7,118.9,109.44,118.9,528613
2017-12-06 00:00:00+05:30,124.82,124.82,124.82,124.82,16917
2017-12-07 00:00:00+05:30,131.05,131.05,131.05,131.05,21388
2017-12-08 00:00:00+05:30,137.58,137.58,137.58,137.58,11098
2017-12-11 00:00:00+05:30,144.45,144.45,144.45,144.45,2851
2017-12-12 00:00:00+05:30,151.64,151.64,151.64,151.64,127534
2017-12-13 00:00:00+05:30,159.2,159.2,159.2,159.2,4240
2017-12-14 00:00:00+05:30,167.15,167.15,167.15,167.15,7483
2017-12-15 00:00:00+05:30,175.49,175.49,175.49,175.49,2196
2017-12-18 00:00:00+05:30,184.26,184.26,184.26,184.26,34451
2017-12-19 00:00:00+05:30,193.45,193.45,193.45,193.45,5213
2017-12-20 00:00:00+05:30,203.09,203.09,203.09,203.09,1005
2017-12-21 00:00:00+05:30,213.21,213.21,213.21,213.21,6471
2017-12-22 00:00:00+05:30,223.86,223.86,223.86,223.86,3053
2017-12-26 00:00:00+05:30,235.05,235.05,235.05,235.05,1491
2017-12-27 00:00:00+05:30,246.78,246.78,223.32,226.76,209281
2017-12-28 00:00:00+05:30,221.81,234.59,216.21,216.66,137860
2017-12-29 00:00:00+05:30,216.97,227.48,216.97,227.36,83927
2018-01-01 00:00:00+05:30,231.57,231.57,216.0,216.12,53774
2018-01-02 00:00:00+05:30,215.85,220.57,205.33,205.33,41672
2018-01-03 00:00:00+05:30,196.87,210.29,196.87,201.03,56450
2018-01-04 00:00:00+05:30,200.79,210.8,200.43,204.18,25103
2018-01-05 00:00:00+05:30,209.17,212.82,197.71,199.94,34183
2018-01-08 00:00:00+05:30,205.54,209.93,200.97,209.93,23227
2018-01-09 00:00:00+05:30,220.42,220.42,212.82,220.42,75302
2018-01-10 00:00:00+05:30,225.17,225.17,212.82,215.3,70251
2018-01-11 00:00:00+05:30,217.66,226.06,211.62,226.06,74534
2018-01-12 00:00:00+05:30,222.5,223.17,214.79,217.03,74275
2018-01-15 00:00:00+05:30,217.96,220.08,211.62,214.09,24964
2018-01-16 00:00:00+05:30,215.88,216.45,203.76,204.93,27296
2018-01-17 00:00:00+05:30,197.96,205.54,194.99,198.65,18090
2018-01-18 00:00:00+05:30,201.94,208.57,194.17,200.43,97523
2018-01-19 00:00:00+05:30,204.33,204.33,191.12,199.32,25465
2018-01-22 00:00:00+05:30,201.12,204.97,194.69,195.69,11349
2018-01-23 00:00:00+05:30,195.69,198.08,190.45,191.75,26081
2018-01-24 00:00:00+05:30,190.88,197.08,185.38,188.43,28042
2018-01-25 00:00:00+05:30,190.45,192.24,182.72,186.08,13379
2018-01-29 00:00:00+05:30,187.43,191.66,187.28,187.55,8196
2018-01-30 00:00:00+05:30,181.51,189.85,178.36,181.36,5952
2018-01-31 00:00:00+05:30,178.54,184.41,173.53,175.46,15244
2018-02-01 00:00:00+05:30,173.53,184.23,173.53,184.23,13997
2018-02-02 00:00:00+05:30,191.66,191.66,175.03,175.03,13973
2018-02-05 00:00:00+05:30,166.3,176.55,166.3,173.95,14743
2018-02-06 00:00:00+05:30,165.27,165.33,165.27,165.27,5091
2018-02-07 00:00:00+05:30,163.85,173.53,163.85,171.29,8385
2018-02-08 00:00:00+05:30,170.51,175.34,170.51,172.17,8110
2018-02-09 00:00:00+05:30,164.48,180.18,164.48,175.79,12757
2018-02-12 00:00:00+05:30,178.36,182.6,172.93,178.3,26312
2018-02-14 00:00:00+05:30,186.23,187.19,169.9,187.19,13840
2018-02-15 00:00:00+05:30,196.5,196.53,196.5,196.53,6003
2018-02-16 00:00:00+05:30,204.84,206.36,200.12,206.36,41601
2018-02-19 00:00:00+05:30,206.36,214.64,196.5,200.85,41230
2018-02-20 00:00:00+05:30,198.95,203.45,196.5,201.91,30169
2018-02-21 00:00:00+05:30,201.43,211.98,201.43,211.98,14116
2018-02-22 00:00:00+05:30,219.66,222.56,210.74,222.56,42817
2018-02-23 00:00:00+05:30,229.69,229.69,215.42,224.08,57321
2018-02-26 00:00:00+05:30,232.14,234.59,218.87,224.02,63172
2018-02-27 00:00:00+05:30,222.62,224.92,214.7,216.18,12804
2018-02-28 00:00:00+05:30,210.5,216.15,210.5,211.53,8499
2018-03-01 00:00:00+05:30,214.64,214.64,205.63,209.38,3016
2018-03-05 00:00:00+05:30,198.92,211.02,198.92,208.29,1709
2018-03-06 00:00:00+05:30,210.41,211.62,199.82,203.85,7093
2018-03-07 00:00:00+05:30,194.69,206.78,193.66,194.51,10085
2018-03-08 00:00:00+05:30,184.81,202.48,184.81,190.57,15426
2018-03-09 00:00:00+05:30,198.29,198.32,185.02,192.39,4437
2018-03-12 00:00:00+05:30,196.38,201.94,192.39,199.91,51243
2018-03-13 00:00:00+05:30,191.06,204.66,191.06,204.27,10096
2018-03-14 00:00:00+05:30,205.57,214.33,195.29,203.3,107281
2018-03-15 00:00:00+05:30,199.53,213.46,199.53,212.94,9509
2018-03-16 00:00:00+05:30,206.78,214.64,206.78,211.71,50064
2018-03-19 00:00:00+05:30,211.62,220.08,211.62,219.51,8484
2018-03-20 00:00:00+05:30,208.6,221.9,208.6,215.36,12549
2018-03-21 00:00:00+05:30,215.24,223.11,211.62,212.76,10868
2018-03-22 00:00:00+05:30,205.63,215.85,205.63,209.2,9175
2018-03-23 00:00:00+05:30,209.2,211.62,202.54,203.33,6213
2018-03-26 00:00:00+05:30,203.33,206.78,199.59,202.15,2343
2018-03-27 00:00:00+05:30,201.94,206.78,201.94,201.94,2162
2018-03-28 00:00:00+05:30,196.5,211.98,196.5,201.94,2017
2018-04-02 00:00:00+05:30,204.06,208.6,201.97,204.12,2558
2018-04-03 00:00:00+05:30,205.57,209.2,198.32,208.08,5767
2018-04-04 00:00:00+05:30,211.5,216.33,206.18,209.81,8451
2018-04-05 00:00:00+05:30,210.11,219.96,200.12,208.05,6114
2018-04-06 00:00:00+05:30,208.02,211.62,203.0,207.84,1137
2018-04-09 00:00:00+05:30,206.78,209.38,202.58,202.73,2977
2018-04-10 00:00:00+05:30,204.97,211.62,199.53,201.36,23323
2018-04-11 00:00:00+05:30,204.97,206.84,199.53,202.3,14913
2018-04-12 00:00:00+05:30,203.18,205.57,198.92,203.45,10027
2018-04-13 00:00:00+05:30,203.45,211.59,199.53,202.61,6273
2018-04-16 00:00:00+05:30,202.54,212.73,201.94,212.73,17908
2018-04-17 00:00:00+05:30,217.66,223.35,214.64,217.63,14696
2018-04-18 00:00:00+05:30,214.64,223.11,212.23,212.32,8951
2018-04-19 00:00:00+05:30,212.23,214.61,205.6,206.02,2740
2018-04-20 00:00:00+05:30,205.9,214.64,197.71,206.27,2326
2018-04-23 00:00:00+05:30,211.02,216.57,202.54,216.54,47979
2018-04-24 00:00:00+05:30,218.27,227.36,215.0,227.36,41110
2018-04-25 00:00:00+05:30,227.36,233.38,220.69,226.06,10970
2018-04-26 00:00:00+05:30,217.96,227.88,217.96,221.93,8855
2018-04-27 00:00:00+05:30,224.68,233.02,217.66,233.02,31924
2018-04-30 00:00:00+05:30,241.66,244.66,237.01,244.66,13623
2018-05-02 00:00:00+05:30,256.87,256.87,256.87,256.87,3147
2018-05-03 00:00:00+05:30,269.66,269.69,260.81,269.69,87332
2018-05-04 00:00:00+05:30,282.9,283.17,271.44,280.36,90327
2018-05-07 00:00:00+05:30,281.15,294.36,281.12,294.36,33265
2018-05-08 00:00:00+05:30,299.89,308.26,289.01,290.76,72056
2018-05-09 00:00:00+05:30,284.96,294.9,278.45,281.33,41095
2018-05-10 00:00:00+05:30,281.75,289.16,281.75,284.69,17920
2018-05-11 00:00:00+05:30,284.17,292.63,282.66,286.05,12666
2018-05-14 00:00:00+05:30,290.85,296.26,284.02,284.84,10482
2018-05-15 00:00:00+05:30,287.26,293.81,270.6,276.98,18479
2018-05-16 00:00:00+05:30,269.02,282.96,264.07,267.84,5403
2018-05-17 00:00:00+05:30,270.87,273.32,256.78,262.89,6789
2018-05-18 00:00:00+05:30,263.29,268.18,249.77,249.77,12059
2018-05-21 00:00:00+05:30,241.88,253.67,237.29,237.29,21499
2018-05-22 00:00:00+05:30,225.82,240.3,225.82,236.14,15426
2018-05-23 00:00:00+05:30,237.95,237.95,224.35,225.61,9865
2018-05-24 00:00:00+05:30,225.61,230.57,215.12,218.99,37525
2018-05-25 00:00:00+05:30,218.99,229.87,218.96,225.58,15620
2018-05-28 00:00:00+05:30,226.49,236.86,226.49,235.8,14991
2018-05-29 00:00:00+05:30,246.69,247.59,237.2,247.59,8810
2018-05-30 00:00:00+05:30,248.5,259.96,242.66,259.96,78227
