Date,Open,High,Low,Close,Volume
2001-12-26 00:00:00+05:30,12.25,12.25,12.25,12.25,200
2001-12-27 00:00:00+05:30,12.5,12.5,12.5,12.5,994
2001-12-28 00:00:00+05:30,11.83,12.45,11.83,12.45,670
2001-12-31 00:00:00+05:30,12.23,12.63,12.2,12.2,1000
2002-01-01 00:00:00+05:30,12.48,12.5,12.35,12.38,4200
2002-01-02 00:00:00+05:30,12.75,12.75,12.63,12.63,800
2002-01-03 00:00:00+05:30,12.5,12.5,12.13,12.13,2900
2002-01-04 00:00:00+05:30,12.15,13.0,12.15,12.55,4500
2002-01-07 00:00:00+05:30,12.3,12.55,12.25,12.55,2190
2002-01-08 00:00:00+05:30,12.5,12.85,12.15,12.18,1600
2002-01-09 00:00:00+05:30,12.0,12.5,12.0,12.38,2700
2002-01-10 00:00:00+05:30,12.25,12.5,12.2,12.33,1200
2002-01-11 00:00:00+05:30,12.23,12.23,12.03,12.03,1600
2002-01-14 00:00:00+05:30,11.75,11.78,11.5,11.78,1300
2002-01-16 00:00:00+05:30,11.63,12.0,11.63,12.0,1350
2002-01-17 00:00:00+05:30,12.25,13.0,11.88,12.1,3250
2002-01-18 00:00:00+05:30,12.1,12.28,12.1,12.28,690
2003-09-19 00:00:00+05:30,10.64,11.06,10.13,10.68,485928
2003-09-22 00:00:00+05:30,10.78,11.21,10.78,11.19,1110360
2003-09-23 00:00:00+05:30,11.49,11.74,11.31,11.63,473200
2003-09-24 00:00:00+05:30,11.75,11.75,11.26,11.36,2187840
2003-09-25 00:00:00+05:30,11.31,11.6,11.18,11.19,817792
2003-09-26 00:00:00+05:30,11.28,11.76,11.28,11.73,740856
2003-09-29 00:00:00+05:30,12.0,12.31,11.99,12.31,782296
2003-09-30 00:00:00+05:30,12.5,12.81,12.48,12.68,759600
2003-10-01 00:00:00+05:30,12.94,12.99,12.56,12.64,832744
2003-10-03 00:00:00+05:30,12.87,13.25,12.81,12.85,844440
2003-10-06 00:00:00+05:30,13.09,13.13,12.74,12.81,795232
2003-10-07 00:00:00+05:30,13.1,13.11,12.25,12.26,1020360
2003-10-08 00:00:00+05:30,12.75,12.75,12.22,12.31,811776
2003-10-09 00:00:00+05:30,12.38,12.93,12.25,12.71,946120
2003-10-10 00:00:00+05:30,12.75,13.34,12.63,12.64,933720
2003-10-13 00:00:00+05:30,12.78,13.0,12.5,12.63,747720
2003-10-14 00:00:00+05:30,12.93,12.94,12.25,12.29,429936
2003-10-15 00:00:00+05:30,12.38,12.68,12.13,12.26,399800
2003-10-16 00:00:00+05:30,12.5,12.63,12.14,12.22,605912
2003-10-17 00:00:00+05:30,12.31,12.49,12.06,12.1,571160
2003-10-20 00:00:00+05:30,12.31,12.47,11.88,12.02,409872
2003-10-21 00:00:00+05:30,12.13,12.34,11.44,11.61,404104
2003-10-22 00:00:00+05:30,11.5,11.63,11.03,11.03,414560
2003-10-23 00:00:00+05:30,10.94,10.94,10.48,10.55,479056
2003-10-24 00:00:00+05:30,10.44,10.54,10.03,10.44,463944
2003-10-25 00:00:00+05:30,10.29,10.91,10.25,10.83,707048
2003-10-27 00:00:00+05:30,10.5,10.86,10.44,10.47,172248
2003-10-28 00:00:00+05:30,10.22,10.69,10.03,10.06,307600
2003-10-29 00:00:00+05:30,10.0,10.48,9.58,9.78,248192
2003-10-30 00:00:00+05:30,10.25,10.28,9.52,10.28,763352
2003-10-31 00:00:00+05:30,10.38,10.79,10.28,10.79,725792
2003-11-03 00:00:00+05:30,10.88,11.25,10.81,11.03,613984
2003-11-04 00:00:00+05:30,11.03,11.16,10.81,10.84,439616
