Date,Open,High,Low,Close,Volume
2023-02-02 00:00:00+05:30,108.0,108.0,108.0,108.0,110
2023-02-03 00:00:00+05:30,87.0,108.0,87.0,108.0,53
2023-02-06 00:00:00+05:30,122.9,123.8,122.9,122.9,42
2023-02-07 00:00:00+05:30,122.9,122.9,122.9,122.9,101
2023-02-08 00:00:00+05:30,122.9,122.9,122.8,122.8,2
2023-02-09 00:00:00+05:30,122.8,122.8,122.8,122.8,5
2023-02-10 00:00:00+05:30,122.7,145.0,122.0,122.0,71
2023-02-20 00:00:00+05:30,146.4,146.4,146.4,146.4,76
2023-02-21 00:00:00+05:30,175.0,175.0,167.7,167.7,208
2023-02-22 00:00:00+05:30,167.7,167.9,167.7,167.7,251
2023-02-23 00:00:00+05:30,180.0,195.0,179.9,190.0,589
2023-02-24 00:00:00+05:30,200.0,200.0,161.05,161.05,46
2023-02-27 00:00:00+05:30,152.0,192.0,151.0,192.0,231
2023-02-28 00:00:00+05:30,153.65,153.65,153.65,153.65,94
2023-03-01 00:00:00+05:30,153.65,155.0,150.05,150.05,139
2023-03-02 00:00:00+05:30,150.05,150.05,150.05,150.05,15
2023-03-03 00:00:00+05:30,150.55,150.55,137.0,140.0,325
2023-03-06 00:00:00+05:30,139.5,140.0,139.5,140.0,55
2023-03-08 00:00:00+05:30,140.0,140.0,140.0,140.0,60
2023-03-09 00:00:00+05:30,147.0,147.0,140.0,146.95,134
2023-03-10 00:00:00+05:30,147.0,147.0,146.5,146.5,150
2023-03-13 00:00:00+05:30,140.0,145.0,135.0,135.0,22
2023-03-15 00:00:00+05:30,145.0,145.0,145.0,145.0,6
2023-03-20 00:00:00+05:30,116.0,116.05,116.0,116.0,284
2023-03-21 00:00:00+05:30,111.0,111.0,111.0,111.0,100
2023-03-22 00:00:00+05:30,111.0,111.0,111.0,111.0,13
2023-03-23 00:00:00+05:30,102.0,111.0,100.55,100.55,170
2023-03-24 00:00:00+05:30,101.0,101.0,90.25,90.25,108
2023-03-31 00:00:00+05:30,80.85,80.85,80.8,80.8,118
2023-04-26 00:00:00+05:30,96.95,96.95,96.95,96.95,14
2023-04-28 00:00:00+05:30,97.0,116.3,97.0,116.0,8620
2023-05-03 00:00:00+05:30,116.0,116.0,116.0,116.0,198
2023-05-10 00:00:00+05:30,116.0,116.0,116.0,116.0,390
2023-05-16 00:00:00+05:30,103.05,103.05,103.05,103.05,48
2023-05-17 00:00:00+05:30,104.35,104.35,104.35,104.35,200
2023-05-18 00:00:00+05:30,120.0,125.0,120.0,125.0,45
2023-05-19 00:00:00+05:30,104.4,125.2,104.4,125.2,498
2023-05-25 00:00:00+05:30,125.2,150.0,125.2,150.0,592
2023-05-29 00:00:00+05:30,150.0,150.0,150.0,150.0,1
2023-05-30 00:00:00+05:30,167.0,167.0,167.0,167.0,700
2023-05-31 00:00:00+05:30,165.0,165.0,165.0,165.0,2
2023-06-01 00:00:00+05:30,132.0,135.0,132.0,135.0,30
2023-06-09 00:00:00+05:30,145.0,145.0,145.0,145.0,13
2023-06-12 00:00:00+05:30,145.0,145.0,140.0,140.0,200
2023-06-13 00:00:00+05:30,140.0,165.0,140.0,165.0,77
2023-06-28 00:00:00+05:30,165.0,165.0,165.0,165.0,0
2023-07-13 00:00:00+05:30,185.0,185.0,185.0,185.0,20
2023-07-24 00:00:00+05:30,187.0,199.0,187.0,195.0,129
2023-07-25 00:00:00+05:30,195.0,195.0,195.0,195.0,3
2023-08-02 00:00:00+05:30,195.0,195.0,195.0,195.0,0
2023-08-09 00:00:00+05:30,195.0,195.0,195.0,195.0,0
2023-08-14 00:00:00+05:30,195.0,215.0,195.0,214.0,53
2023-08-16 00:00:00+05:30,195.0,195.0,195.0,195.0,0
2023-08-17 00:00:00+05:30,191.1,195.0,191.1,195.0,128
2023-08-21 00:00:00+05:30,230.0,230.0,229.0,229.0,13
2023-08-22 00:00:00+05:30,274.0,274.0,245.0,245.0,236
2023-08-24 00:00:00+05:30,196.0,196.0,196.0,196.0,325
2023-08-25 00:00:00+05:30,196.0,196.0,196.0,196.0,23
2023-08-28 00:00:00+05:30,196.0,196.0,156.8,157.0,137
2023-08-30 00:00:00+05:30,157.0,157.0,157.0,157.0,0
2023-08-31 00:00:00+05:30,157.05,157.05,157.05,157.05,0
2023-09-01 00:00:00+05:30,157.3,157.3,157.25,157.25,101
2023-09-04 00:00:00+05:30,157.3,157.3,157.3,157.3,15
2023-09-05 00:00:00+05:30,157.3,157.3,157.0,157.0,840
2023-09-08 00:00:00+05:30,157.0,157.0,157.0,157.0,2
2023-09-11 00:00:00+05:30,153.9,153.9,153.9,153.9,19
2023-10-16 00:00:00+05:30,153.9,160.0,153.9,160.0,6
2023-10-17 00:00:00+05:30,160.0,160.0,160.0,160.0,1
2023-10-19 00:00:00+05:30,158.0,158.0,158.0,158.0,40
2023-10-31 00:00:00+05:30,158.0,158.0,158.0,158.0,20
2023-11-21 00:00:00+05:30,158.0,158.0,158.0,158.0,10
2023-12-07 00:00:00+05:30,158.0,158.0,158.0,158.0,1
2023-12-14 00:00:00+05:30,158.0,158.0,158.0,158.0,2
2023-12-15 00:00:00+05:30,158.0,158.0,158.0,158.0,1
2023-12-27 00:00:00+05:30,158.0,158.0,158.0,158.0,9
2023-12-28 00:00:00+05:30,189.0,189.0,179.9,181.2,175
2024-01-03 00:00:00+05:30,181.2,181.2,181.2,181.2,1
2024-01-04 00:00:00+05:30,217.0,217.4,217.0,217.0,139
2024-01-05 00:00:00+05:30,217.0,260.0,217.0,260.0,121
2024-01-08 00:00:00+05:30,261.0,261.0,251.0,251.0,54
2024-01-09 00:00:00+05:30,245.0,250.0,200.8,250.0,111
2024-01-10 00:00:00+05:30,200.05,240.2,200.0,240.2,99
2024-01-15 00:00:00+05:30,192.7,235.0,192.7,230.0,42
2024-01-17 00:00:00+05:30,193.5,193.5,193.5,193.5,5
2024-01-19 00:00:00+05:30,193.55,217.3,181.0,216.8,120
2024-01-20 00:00:00+05:30,216.8,220.0,216.8,220.0,31
2024-01-23 00:00:00+05:30,220.0,225.0,220.0,225.0,90
2024-01-24 00:00:00+05:30,224.0,224.0,224.0,224.0,16
2024-01-25 00:00:00+05:30,220.0,220.0,218.5,220.0,5
2024-01-29 00:00:00+05:30,220.0,220.0,215.0,219.0,90
2024-01-30 00:00:00+05:30,219.0,219.0,219.0,219.0,4
2024-01-31 00:00:00+05:30,220.1,261.9,220.1,235.0,85
2024-02-01 00:00:00+05:30,280.35,280.35,259.95,260.0,27
2024-02-02 00:00:00+05:30,260.0,260.0,260.0,260.0,30
2024-02-05 00:00:00+05:30,208.2,310.0,208.2,285.0,88
2024-02-06 00:00:00+05:30,310.0,342.0,285.0,340.0,177
2024-02-07 00:00:00+05:30,251.1,251.1,251.1,251.1,4
2024-02-08 00:00:00+05:30,257.1,299.9,221.6,251.4,86
2024-02-09 00:00:00+05:30,246.2,300.4,246.2,300.4,41
2024-02-12 00:00:00+05:30,299.9,299.9,241.6,265.85,32
2024-02-14 00:00:00+05:30,317.95,317.95,305.0,313.25,78
2024-02-19 00:00:00+05:30,300.0,317.95,300.0,317.95,29
2024-02-20 00:00:00+05:30,317.0,348.0,317.0,333.0,35
