Date,Open,High,Low,Close,Volume
2020-12-11 00:00:00+05:30,3.13,3.13,3.13,3.13,11049
2020-12-14 00:00:00+05:30,3.28,3.28,3.28,3.28,2499
2020-12-15 00:00:00+05:30,3.44,3.44,3.44,3.44,3499
2020-12-16 00:00:00+05:30,3.61,3.61,3.61,3.61,3999
2020-12-17 00:00:00+05:30,3.79,3.79,3.79,3.79,99
2020-12-18 00:00:00+05:30,3.98,3.98,3.7,3.78,670999
2020-12-21 00:00:00+05:30,3.75,3.93,3.59,3.59,179909
2020-12-22 00:00:00+05:30,3.59,3.6,3.42,3.57,38499
2020-12-23 00:00:00+05:30,3.4,3.75,3.4,3.75,35569
2020-12-24 00:00:00+05:30,3.93,3.93,3.68,3.72,159599
2020-12-28 00:00:00+05:30,3.72,3.9,3.62,3.74,584579
2020-12-29 00:00:00+05:30,3.9,3.9,3.56,3.57,142869
2020-12-30 00:00:00+05:30,3.7,3.7,3.55,3.68,8179
2020-12-31 00:00:00+05:30,3.8,3.8,3.6,3.68,55119
2021-01-01 00:00:00+05:30,3.61,3.78,3.59,3.68,50919
2021-01-04 00:00:00+05:30,3.68,3.77,3.61,3.62,109389
2021-01-05 00:00:00+05:30,3.63,3.8,3.51,3.69,186389
2021-01-06 00:00:00+05:30,3.75,3.75,3.65,3.72,463409
2021-01-07 00:00:00+05:30,3.77,3.8,3.7,3.74,198069
2021-01-08 00:00:00+05:30,3.8,3.93,3.7,3.93,1584379
2021-01-11 00:00:00+05:30,4.01,4.12,3.99,4.04,275329
2021-01-12 00:00:00+05:30,4.12,4.12,3.84,3.85,370479
2021-01-13 00:00:00+05:30,3.98,4.04,3.67,3.86,456089
2021-01-14 00:00:00+05:30,3.93,4.05,3.71,4.04,210509
2021-01-15 00:00:00+05:30,3.9,4.2,3.84,3.84,294889
2021-01-18 00:00:00+05:30,3.75,4.0,3.65,3.87,150099
2021-01-19 00:00:00+05:30,3.76,3.98,3.76,3.9,25599
2021-01-20 00:00:00+05:30,3.82,3.99,3.77,3.81,30719
2021-01-21 00:00:00+05:30,3.95,3.99,3.8,3.9,937399
2021-01-22 00:00:00+05:30,3.81,3.94,3.72,3.77,49109
2021-01-25 00:00:00+05:30,3.9,3.9,3.61,3.79,12369
2021-01-27 00:00:00+05:30,3.9,3.96,3.64,3.78,65689
2021-01-28 00:00:00+05:30,3.78,3.91,3.59,3.77,384679
2021-01-29 00:00:00+05:30,3.78,3.81,3.59,3.61,15119
2021-02-01 00:00:00+05:30,3.69,3.79,3.43,3.68,2321879
2021-02-02 00:00:00+05:30,3.79,3.85,3.63,3.81,115309
2021-02-03 00:00:00+05:30,3.85,4.0,3.68,3.99,232679
2021-02-04 00:00:00+05:30,4.1,4.18,4.03,4.18,314459
2021-02-05 00:00:00+05:30,3.83,4.6,3.8,4.6,286589
2021-02-08 00:00:00+05:30,5.05,5.05,4.72,5.0,482919
2021-02-09 00:00:00+05:30,4.8,5.5,4.55,5.25,1223619
2021-02-10 00:00:00+05:30,5.5,5.5,5.12,5.22,342569
2021-02-11 00:00:00+05:30,5.5,5.74,5.3,5.59,352509
2021-02-12 00:00:00+05:30,5.83,5.83,5.31,5.51,368909
2021-02-15 00:00:00+05:30,5.65,5.65,5.39,5.42,309949
2021-02-16 00:00:00+05:30,5.5,5.69,5.35,5.69,263699
2021-02-17 00:00:00+05:30,5.6,5.97,5.6,5.9,281889
2021-02-18 00:00:00+05:30,6.0,6.15,5.62,5.65,717619
2021-02-19 00:00:00+05:30,5.61,5.93,5.42,5.73,465579
2021-02-22 00:00:00+05:30,6.01,6.01,5.8,6.0,376689
2021-02-23 00:00:00+05:30,6.3,6.3,6.11,6.29,159669
2021-02-24 00:00:00+05:30,6.42,6.6,6.1,6.54,170509
2021-02-25 00:00:00+05:30,6.85,6.86,6.43,6.62,554969
2021-02-26 00:00:00+05:30,6.34,6.93,6.29,6.5,282999
2021-03-01 00:00:00+05:30,6.47,6.8,6.21,6.34,125909
2021-03-02 00:00:00+05:30,6.47,6.66,6.38,6.39,142309
2021-03-03 00:00:00+05:30,6.65,6.65,6.2,6.26,59439
2021-03-04 00:00:00+05:30,6.01,6.3,5.95,5.96,208009
2021-03-05 00:00:00+05:30,6.0,6.0,5.67,5.7,139909
2021-03-08 00:00:00+05:30,5.42,5.69,5.42,5.44,114019
2021-03-09 00:00:00+05:30,5.43,5.64,5.25,5.47,21989
2021-03-10 00:00:00+05:30,5.4,5.48,5.31,5.42,107229
2021-03-12 00:00:00+05:30,5.49,5.69,5.36,5.38,290789
2021-03-15 00:00:00+05:30,5.64,5.64,5.13,5.31,58409
2021-03-16 00:00:00+05:30,5.5,5.5,5.36,5.49,495109
2021-03-17 00:00:00+05:30,5.64,5.64,5.22,5.23,146529
2021-03-18 00:00:00+05:30,5.23,5.49,5.11,5.39,201819
2021-03-19 00:00:00+05:30,5.27,5.29,5.21,5.26,24939
2021-03-22 00:00:00+05:30,5.49,5.49,5.26,5.48,9649
2021-03-23 00:00:00+05:30,5.49,5.75,5.21,5.6,437109
2021-03-24 00:00:00+05:30,5.62,5.83,5.51,5.6,60449
2021-03-25 00:00:00+05:30,5.53,5.68,5.32,5.33,36699
2021-03-26 00:00:00+05:30,5.4,5.4,5.06,5.09,70899
2021-03-30 00:00:00+05:30,5.34,5.34,4.92,5.01,69239
2021-03-31 00:00:00+05:30,5.2,5.2,4.91,5.01,571989
2021-04-01 00:00:00+05:30,5.25,5.26,5.07,5.25,47089
2021-04-05 00:00:00+05:30,5.15,5.17,4.99,4.99,66169
2021-04-06 00:00:00+05:30,4.99,5.23,4.76,5.19,128699
2021-04-07 00:00:00+05:30,5.4,5.45,5.05,5.38,81719
2021-04-08 00:00:00+05:30,5.91,5.91,5.26,5.65,16109
2021-04-09 00:00:00+05:30,5.65,5.7,5.41,5.67,37259
2021-04-12 00:00:00+05:30,5.4,5.41,5.15,5.39,214619
2021-04-13 00:00:00+05:30,5.63,5.63,5.25,5.35,9479
2021-04-15 00:00:00+05:30,5.5,5.89,5.3,5.86,718019
2021-04-16 00:00:00+05:30,5.88,6.3,5.62,5.91,366379
2021-04-19 00:00:00+05:30,5.7,5.95,5.32,5.91,168059
2021-04-20 00:00:00+05:30,6.05,6.19,5.51,5.99,201999
2021-04-22 00:00:00+05:30,6.1,6.3,5.68,6.17,251829
2021-04-23 00:00:00+05:30,6.3,6.43,5.62,5.83,107959
2021-04-26 00:00:00+05:30,5.7,5.94,5.65,5.89,43689
2021-04-27 00:00:00+05:30,6.08,6.08,5.97,6.02,9669
2021-04-28 00:00:00+05:30,6.14,6.14,5.95,5.98,15789
2021-04-29 00:00:00+05:30,6.01,6.1,5.8,6.04,78679
2021-04-30 00:00:00+05:30,6.0,6.05,5.82,5.92,46039
2021-05-03 00:00:00+05:30,6.19,6.19,5.85,5.93,42829
2021-05-04 00:00:00+05:30,6.47,6.52,5.91,6.09,606049
2021-05-05 00:00:00+05:30,6.1,6.4,5.74,5.92,305479
2021-05-06 00:00:00+05:30,6.15,6.15,5.91,6.09,248449
2021-05-07 00:00:00+05:30,6.08,6.09,5.9,6.07,45699
2021-05-10 00:00:00+05:30,6.2,6.2,5.92,6.06,30019
2021-05-11 00:00:00+05:30,6.0,6.1,5.51,6.0,101549
2021-05-12 00:00:00+05:30,6.14,6.14,5.63,6.0,103199
2021-05-14 00:00:00+05:30,6.19,6.19,5.89,6.02,18979
2021-05-17 00:00:00+05:30,6.15,6.15,6.01,6.07,24479
2021-05-18 00:00:00+05:30,6.17,6.18,6.08,6.15,63509
2021-05-19 00:00:00+05:30,6.2,6.2,6.04,6.13,419059
2021-05-20 00:00:00+05:30,6.3,6.3,6.16,6.16,9919
2021-05-21 00:00:00+05:30,6.22,6.25,6.05,6.2,28089
2021-05-24 00:00:00+05:30,6.2,6.39,5.58,5.7,315719
2021-05-25 00:00:00+05:30,5.47,6.1,5.31,5.97,349619
2021-05-26 00:00:00+05:30,6.0,6.1,5.94,6.02,85039
2021-05-27 00:00:00+05:30,6.05,6.05,5.9,5.96,96399
2021-05-28 00:00:00+05:30,6.01,6.05,5.87,5.97,422659
2021-05-31 00:00:00+05:30,5.98,6.3,5.8,5.99,157139
2021-06-01 00:00:00+05:30,6.2,6.24,5.94,6.06,92799
2021-06-02 00:00:00+05:30,6.15,6.15,5.9,6.03,70599
2021-06-03 00:00:00+05:30,6.1,6.1,5.96,6.04,35389
2021-06-04 00:00:00+05:30,6.04,6.15,5.83,5.92,110329
2021-06-07 00:00:00+05:30,6.1,7.1,5.81,7.1,1058329
2021-06-08 00:00:00+05:30,7.1,8.5,7.1,8.14,3098359
2021-06-09 00:00:00+05:30,9.63,9.63,8.32,8.54,3369379
2021-06-10 00:00:00+05:30,8.54,8.9,8.03,8.58,572229
2021-06-11 00:00:00+05:30,8.8,9.0,8.3,8.35,255229
2021-06-14 00:00:00+05:30,8.32,8.5,8.04,8.49,248649
2021-06-15 00:00:00+05:30,8.15,8.42,8.08,8.25,461879
2021-06-17 00:00:00+05:30,8.43,8.43,8.05,8.23,102309
2021-06-18 00:00:00+05:30,8.0,8.4,7.9,8.08,175389
2021-06-21 00:00:00+05:30,7.63,8.19,7.63,8.12,149279
2021-06-22 00:00:00+05:30,7.94,8.3,7.94,8.05,91519
2021-06-23 00:00:00+05:30,8.15,8.23,7.99,8.02,25939
2021-06-24 00:00:00+05:30,8.2,8.45,7.87,8.38,1100959
2021-06-25 00:00:00+05:30,8.45,8.5,7.73,8.09,420859
2021-06-28 00:00:00+05:30,8.29,8.29,7.81,7.92,138259
2021-06-29 00:00:00+05:30,8.09,8.09,7.16,7.36,632769
2021-06-30 00:00:00+05:30,7.18,7.35,7.1,7.26,243939
2021-07-01 00:00:00+05:30,7.04,7.78,7.04,7.65,193709
2021-07-02 00:00:00+05:30,7.87,8.27,7.42,8.04,317309
2021-07-05 00:00:00+05:30,7.98,8.0,7.85,7.95,139429
2021-07-06 00:00:00+05:30,8.05,8.4,7.8,7.94,164519
2021-07-07 00:00:00+05:30,8.2,8.3,7.75,8.21,156749
2021-07-08 00:00:00+05:30,8.4,8.4,7.94,8.19,110549
2021-07-09 00:00:00+05:30,8.6,8.6,7.93,8.19,94129
2021-07-12 00:00:00+05:30,8.07,9.01,8.0,8.92,1504859
2021-07-13 00:00:00+05:30,9.36,9.78,8.96,9.3,2283019
2021-07-14 00:00:00+05:30,9.3,9.34,9.02,9.07,171829
2021-07-15 00:00:00+05:30,9.07,9.47,8.92,9.08,277579
2021-07-16 00:00:00+05:30,9.38,9.38,8.74,8.88,153139
2021-07-19 00:00:00+05:30,8.51,8.78,8.36,8.61,172289
2021-07-20 00:00:00+05:30,8.33,8.93,8.33,8.67,525869
2021-07-22 00:00:00+05:30,8.7,9.37,8.46,9.26,831799
2021-07-23 00:00:00+05:30,9.48,9.48,9.01,9.18,195169
2021-07-26 00:00:00+05:30,9.18,9.24,8.95,9.18,97409
2021-07-27 00:00:00+05:30,9.45,9.45,8.54,8.77,374849
2021-07-28 00:00:00+05:30,8.67,9.23,8.67,9.13,510169
2021-07-29 00:00:00+05:30,9.29,9.29,8.81,9.13,56979
2021-07-30 00:00:00+05:30,9.25,9.26,9.0,9.22,362129
2021-08-02 00:00:00+05:30,9.22,9.72,9.11,9.55,923479
2021-08-03 00:00:00+05:30,9.78,9.78,9.2,9.4,275119
2021-08-04 00:00:00+05:30,9.6,9.8,9.3,9.57,427059
2021-08-05 00:00:00+05:30,9.72,10.52,9.04,10.08,2626289
2021-08-06 00:00:00+05:30,10.3,12.1,10.14,12.07,9277899
2021-08-09 00:00:00+05:30,12.98,13.23,10.64,11.0,5691999
2021-08-10 00:00:00+05:30,11.0,11.24,9.91,10.38,1777599
2021-08-11 00:00:00+05:30,10.39,11.16,9.51,10.71,970319
2021-08-12 00:00:00+05:30,11.27,11.6,10.54,10.94,1086479
2021-08-13 00:00:00+05:30,11.05,11.22,10.43,10.6,371089
2021-08-16 00:00:00+05:30,10.69,10.89,10.3,10.64,243489
2021-08-17 00:00:00+05:30,10.6,10.77,10.3,10.33,142159
2021-08-18 00:00:00+05:30,10.49,10.49,10.2,10.33,171059
2021-08-20 00:00:00+05:30,9.65,12.1,9.65,11.46,2927439
2021-08-23 00:00:00+05:30,11.98,12.7,10.73,11.12,3205199
2021-08-24 00:00:00+05:30,11.5,11.5,10.78,10.88,331139
2021-08-25 00:00:00+05:30,10.59,11.5,10.59,11.2,345119
2021-08-26 00:00:00+05:30,11.42,11.42,10.7,10.88,149709
2021-08-27 00:00:00+05:30,11.05,12.38,10.7,11.67,1273869
2021-08-30 00:00:00+05:30,11.7,11.98,11.07,11.23,432749
2021-08-31 00:00:00+05:30,11.4,12.09,10.74,11.46,1335619
2021-09-01 00:00:00+05:30,11.67,12.47,11.3,12.12,2741859
2021-09-02 00:00:00+05:30,12.12,12.91,11.9,12.71,2473709
2021-09-03 00:00:00+05:30,12.84,14.9,12.27,14.27,10628459
2021-09-06 00:00:00+05:30,14.45,14.77,13.73,14.25,1938799
2021-09-07 00:00:00+05:30,14.1,15.17,13.65,14.16,4193499
2021-09-08 00:00:00+05:30,14.0,14.59,14.0,14.12,991299
2021-09-09 00:00:00+05:30,13.95,14.45,13.72,13.88,1512619
2021-09-13 00:00:00+05:30,13.97,14.25,13.7,13.73,523819
2021-09-14 00:00:00+05:30,13.87,14.05,13.66,13.76,534829
2021-09-15 00:00:00+05:30,13.69,13.89,13.35,13.66,661179
2021-09-16 00:00:00+05:30,13.42,13.77,13.2,13.23,493619
2021-09-17 00:00:00+05:30,13.2,13.49,12.51,12.7,484559
2021-09-20 00:00:00+05:30,12.43,12.85,12.34,12.66,414659
2021-09-21 00:00:00+05:30,12.53,13.46,12.05,13.0,1204349
2021-09-22 00:00:00+05:30,13.4,13.4,12.92,13.11,687869
2021-09-23 00:00:00+05:30,13.11,13.72,13.1,13.62,1171969
2021-09-24 00:00:00+05:30,13.88,13.88,13.02,13.28,957989
2021-09-27 00:00:00+05:30,13.28,13.58,13.2,13.4,710739
2021-09-28 00:00:00+05:30,13.4,13.5,13.05,13.39,731409
2021-09-29 00:00:00+05:30,12.96,13.44,12.96,13.23,540549
2021-09-30 00:00:00+05:30,13.38,13.7,13.12,13.28,669129
2021-10-01 00:00:00+05:30,13.21,13.5,12.81,13.11,702569
2021-10-04 00:00:00+05:30,13.12,13.4,13.03,13.26,482319
2021-10-05 00:00:00+05:30,13.55,14.4,13.19,13.35,1182109
2021-10-06 00:00:00+05:30,13.65,14.35,13.35,13.61,993779
2021-10-07 00:00:00+05:30,14.1,14.1,13.41,13.58,458879
2021-10-08 00:00:00+05:30,13.77,14.58,13.57,14.08,2800659
2021-10-11 00:00:00+05:30,14.5,14.86,14.11,14.4,1265169
2021-10-12 00:00:00+05:30,14.69,16.58,14.22,16.16,6659649
2021-10-13 00:00:00+05:30,16.35,17.8,15.63,17.45,3121809
2021-10-14 00:00:00+05:30,17.69,17.7,16.2,17.14,2471299
2021-10-18 00:00:00+05:30,16.92,18.34,16.64,17.42,1144229
2021-10-19 00:00:00+05:30,17.42,17.65,16.76,17.01,455129
2021-10-20 00:00:00+05:30,17.46,17.46,16.25,16.42,470419
2021-10-21 00:00:00+05:30,16.31,17.45,16.3,17.02,405099
2021-10-22 00:00:00+05:30,17.3,17.4,16.53,16.82,275769
2021-10-25 00:00:00+05:30,17.0,18.38,16.97,17.23,1045749
2021-10-26 00:00:00+05:30,17.77,17.77,17.17,17.42,293189
2021-10-27 00:00:00+05:30,17.53,18.0,17.2,17.32,253619
2021-10-28 00:00:00+05:30,17.4,17.4,16.71,16.88,335079
2021-10-29 00:00:00+05:30,17.3,17.3,16.36,17.13,681719
2021-11-01 00:00:00+05:30,17.13,17.6,16.8,17.27,294569
2021-11-02 00:00:00+05:30,17.5,18.0,17.02,17.8,782289
2021-11-03 00:00:00+05:30,18.16,18.64,17.36,17.76,749069
2021-11-04 00:00:00+05:30,17.6,18.49,17.6,18.21,145449
2021-11-08 00:00:00+05:30,18.4,19.19,18.03,18.17,512499
2021-11-09 00:00:00+05:30,18.27,18.44,17.85,18.06,318199
2021-11-10 00:00:00+05:30,18.15,18.99,18.15,18.66,494799
2021-11-11 00:00:00+05:30,18.99,18.99,18.22,18.45,199949
2021-11-12 00:00:00+05:30,18.63,21.2,18.5,19.73,2324389
2021-11-15 00:00:00+05:30,19.81,20.12,19.15,19.64,740969
2021-11-16 00:00:00+05:30,19.54,19.99,18.7,19.05,277809
2021-11-17 00:00:00+05:30,19.05,19.5,18.53,18.68,356779
2021-11-18 00:00:00+05:30,18.85,19.14,18.16,18.31,269809
2021-11-22 00:00:00+05:30,18.56,18.8,17.53,18.26,795249
2021-11-23 00:00:00+05:30,18.37,19.9,17.71,19.48,823499
2021-11-24 00:00:00+05:30,19.89,20.22,19.31,19.44,1184049
2021-11-25 00:00:00+05:30,19.8,19.8,19.34,19.46,208409
2021-11-26 00:00:00+05:30,18.82,19.55,18.51,19.26,274959
2021-11-29 00:00:00+05:30,19.08,19.6,18.06,19.15,2398259
2021-11-30 00:00:00+05:30,19.15,19.8,18.32,18.77,560249
2021-12-01 00:00:00+05:30,18.96,19.56,18.8,19.32,430009
2021-12-02 00:00:00+05:30,19.4,20.0,19.09,19.44,391949
2021-12-03 00:00:00+05:30,19.6,19.6,18.93,19.13,280599
2021-12-06 00:00:00+05:30,19.25,19.6,18.66,19.05,716739
2021-12-07 00:00:00+05:30,19.3,19.5,18.95,19.12,446549
2021-12-08 00:00:00+05:30,19.26,19.26,18.62,18.75,290969
2021-12-09 00:00:00+05:30,18.85,19.5,18.51,19.24,443349
2021-12-10 00:00:00+05:30,19.24,20.5,18.92,20.21,1261819
2021-12-13 00:00:00+05:30,20.69,21.1,20.4,20.54,580909
2021-12-14 00:00:00+05:30,20.6,21.48,20.32,20.67,786539
2021-12-15 00:00:00+05:30,20.78,21.48,20.7,21.19,503629
2021-12-16 00:00:00+05:30,21.4,21.89,20.8,21.11,406389
2021-12-17 00:00:00+05:30,21.35,21.35,20.01,20.23,257989
