Date,Open,High,Low,Close,Volume
2001-12-26 00:00:00+05:30,3.06,3.31,3.03,3.11,571282
2001-12-27 00:00:00+05:30,3.11,3.13,3.04,3.06,125891
2001-12-28 00:00:00+05:30,3.03,3.1,2.89,3.06,346422
2001-12-31 00:00:00+05:30,3.15,3.22,3.08,3.15,192708
2002-01-01 00:00:00+05:30,3.15,3.22,3.13,3.17,204551
2002-01-02 00:00:00+05:30,3.15,3.22,3.15,3.18,91025
2002-01-03 00:00:00+05:30,3.2,3.25,3.15,3.2,209251
2002-01-04 00:00:00+05:30,3.18,3.24,3.11,3.18,197985
2002-01-07 00:00:00+05:30,3.2,3.22,3.11,3.13,118288
2002-01-08 00:00:00+05:30,3.17,3.24,3.13,3.17,225585
2002-01-09 00:00:00+05:30,3.22,3.22,3.08,3.1,157397
2002-01-10 00:00:00+05:30,3.06,3.17,3.06,3.08,89600
2002-01-11 00:00:00+05:30,3.01,3.17,3.01,3.04,215120
2002-01-14 00:00:00+05:30,3.13,3.15,3.03,3.08,107917
2002-01-15 00:00:00+05:30,3.1,3.15,3.06,3.08,84600
2002-01-16 00:00:00+05:30,3.13,3.17,3.06,3.11,113097
2002-01-17 00:00:00+05:30,3.15,3.17,3.06,3.11,120511
2002-01-18 00:00:00+05:30,3.17,3.18,3.06,3.1,137411
2002-01-21 00:00:00+05:30,3.17,3.41,3.15,3.34,542260
2002-01-22 00:00:00+05:30,3.34,3.53,3.34,3.48,625154
2002-01-23 00:00:00+05:30,3.53,3.94,3.48,3.73,1960577
2002-01-24 00:00:00+05:30,3.71,3.94,3.71,3.83,2600557
2002-01-25 00:00:00+05:30,3.87,3.94,3.76,3.85,1781805
2002-01-28 00:00:00+05:30,4.02,4.06,3.85,3.94,2848691
2002-01-29 00:00:00+05:30,3.94,4.01,3.83,3.88,836945
2002-01-30 00:00:00+05:30,3.94,3.94,3.85,3.88,617325
2002-01-31 00:00:00+05:30,3.92,3.97,3.85,3.85,689251
2002-02-01 00:00:00+05:30,3.97,3.97,3.71,3.74,708468
2002-02-04 00:00:00+05:30,3.8,3.88,3.76,3.87,507697
2002-02-05 00:00:00+05:30,3.95,4.37,3.85,4.25,3473397
2002-02-06 00:00:00+05:30,4.48,4.5,4.27,4.41,2310331
2002-02-07 00:00:00+05:30,4.57,4.58,4.2,4.25,1177445
2002-02-08 00:00:00+05:30,4.29,4.34,4.09,4.15,1018385
2002-02-11 00:00:00+05:30,4.2,4.46,4.13,4.25,1426688
2002-02-12 00:00:00+05:30,4.27,4.37,4.11,4.11,640297
2002-02-13 00:00:00+05:30,4.15,4.25,3.88,4.15,742908
2002-02-14 00:00:00+05:30,4.2,4.44,4.2,4.32,1988894
2002-02-15 00:00:00+05:30,4.23,4.72,4.23,4.57,3186840
2002-02-18 00:00:00+05:30,4.64,5.49,4.57,5.49,5161282
2002-02-19 00:00:00+05:30,5.74,5.81,5.07,5.13,4533857
2002-02-20 00:00:00+05:30,5.2,5.32,4.95,5.23,2003417
2002-02-21 00:00:00+05:30,5.3,5.37,5.11,5.14,1107971
2002-02-22 00:00:00+05:30,5.25,5.32,5.09,5.14,969885
2002-02-25 00:00:00+05:30,5.25,5.32,4.99,5.23,1188731
2002-02-26 00:00:00+05:30,5.28,5.72,5.25,5.37,2012851
2002-02-27 00:00:00+05:30,5.37,5.51,5.07,5.14,1017731
2002-02-28 00:00:00+05:30,5.25,5.51,4.9,4.93,3132442
2002-03-01 00:00:00+05:30,5.37,5.84,4.99,5.74,3692922
2002-03-04 00:00:00+05:30,5.91,6.16,5.67,5.95,5152097
2002-03-05 00:00:00+05:30,6.07,6.11,5.65,5.67,2785085
2002-03-06 00:00:00+05:30,5.74,5.9,5.51,5.69,1845920
2002-03-07 00:00:00+05:30,5.55,5.81,5.55,5.63,1260611
2002-03-08 00:00:00+05:30,5.74,5.88,5.46,5.51,1239788
2002-03-11 00:00:00+05:30,5.56,5.56,5.28,5.35,1115991
2002-03-12 00:00:00+05:30,5.2,5.37,5.09,5.11,1389060
2002-03-13 00:00:00+05:30,5.0,5.34,4.97,5.28,1108891
2002-03-14 00:00:00+05:30,5.02,5.37,5.0,5.04,1198514
2002-03-15 00:00:00+05:30,4.99,5.41,4.99,5.27,2302431
2002-03-18 00:00:00+05:30,5.34,5.53,5.09,5.14,902048
2002-03-19 00:00:00+05:30,5.32,5.58,5.14,5.2,899531
2002-03-20 00:00:00+05:30,5.18,5.28,4.97,5.0,650985
2002-03-21 00:00:00+05:30,4.99,5.09,4.85,4.88,582534
2002-03-22 00:00:00+05:30,4.9,4.95,4.64,4.72,738597
2002-03-26 00:00:00+05:30,4.76,4.76,4.57,4.6,512274
2002-03-27 00:00:00+05:30,4.69,4.72,4.51,4.53,955414
2002-03-28 00:00:00+05:30,4.58,4.72,4.5,4.6,1047265
2002-04-01 00:00:00+05:30,4.72,5.2,4.71,5.09,892140
2002-04-02 00:00:00+05:30,5.09,5.16,4.92,4.97,526051
2002-04-03 00:00:00+05:30,5.07,5.21,4.76,5.0,891897
