Date,Open,High,Low,Close,Volume
2020-11-02 00:00:00+05:30,9.92,9.92,9.85,9.85,16452
2020-11-05 00:00:00+05:30,9.31,9.31,9.31,9.31,8225
2020-11-11 00:00:00+05:30,9.53,9.53,9.53,9.53,8225
2020-11-19 00:00:00+05:30,9.21,9.21,9.21,9.21,8225
2020-11-24 00:00:00+05:30,8.75,8.75,8.75,8.75,8225
2020-12-01 00:00:00+05:30,8.67,8.67,8.67,8.67,8225
2020-12-02 00:00:00+05:30,7.97,8.85,7.97,8.85,41131
2020-12-03 00:00:00+05:30,8.67,8.67,8.67,8.67,8225
2020-12-08 00:00:00+05:30,8.06,8.06,8.06,8.06,8225
2020-12-10 00:00:00+05:30,7.53,7.53,7.53,7.53,8225
2020-12-11 00:00:00+05:30,7.78,7.78,7.78,7.78,8225
2020-12-24 00:00:00+05:30,7.44,7.44,7.44,7.44,8225
2021-01-08 00:00:00+05:30,7.44,7.44,7.44,7.44,8225
2021-01-11 00:00:00+05:30,7.09,7.09,7.09,7.09,8225
2021-01-13 00:00:00+05:30,7.0,7.0,6.55,6.61,41131
2021-01-29 00:00:00+05:30,7.2,7.2,7.09,7.09,16452
2021-02-03 00:00:00+05:30,7.2,7.2,7.2,7.2,8225
2021-02-22 00:00:00+05:30,7.59,7.59,7.59,7.59,8225
2021-03-02 00:00:00+05:30,7.2,7.2,7.2,7.2,8225
2021-03-12 00:00:00+05:30,6.73,6.73,6.73,6.73,8225
2021-03-15 00:00:00+05:30,7.0,7.0,7.0,7.0,8225
2021-03-18 00:00:00+05:30,7.2,7.2,7.2,7.2,90490
2021-03-25 00:00:00+05:30,7.0,7.0,7.0,7.0,213886
2021-03-26 00:00:00+05:30,7.06,7.06,7.06,7.06,518263
2021-03-31 00:00:00+05:30,6.73,6.73,6.73,6.73,8225
2021-04-15 00:00:00+05:30,6.38,6.52,6.38,6.52,16452
2021-04-16 00:00:00+05:30,7.0,7.0,7.0,7.0,8225
2021-05-04 00:00:00+05:30,6.73,7.0,6.73,6.73,24678
2021-05-31 00:00:00+05:30,7.0,7.94,6.9,6.9,32905
2021-06-01 00:00:00+05:30,6.73,6.73,6.73,6.73,8225
2021-06-02 00:00:00+05:30,6.38,6.6,6.02,6.6,49357
2021-06-03 00:00:00+05:30,6.14,6.61,6.14,6.61,16452
2021-06-08 00:00:00+05:30,6.38,7.94,6.38,7.59,115169
2021-06-09 00:00:00+05:30,7.78,7.78,7.53,7.53,41131
2021-06-10 00:00:00+05:30,7.1,7.39,7.09,7.39,24678
2021-06-15 00:00:00+05:30,7.59,7.59,7.59,7.59,16452
2021-06-30 00:00:00+05:30,7.59,7.68,7.59,7.67,32905
2021-07-07 00:00:00+05:30,7.59,7.97,7.59,7.97,24678
2021-07-12 00:00:00+05:30,8.36,8.36,8.36,8.36,8225
2021-07-15 00:00:00+05:30,9.34,9.34,9.34,9.34,8225
2021-07-16 00:00:00+05:30,9.5,10.11,9.5,9.8,16452
2021-07-19 00:00:00+05:30,10.31,11.67,10.31,11.67,49357
2021-07-20 00:00:00+05:30,10.91,10.91,10.89,10.89,24678
2021-07-23 00:00:00+05:30,11.38,11.38,11.38,11.38,8225
2021-07-27 00:00:00+05:30,11.38,12.45,10.96,12.44,1785131
2021-07-28 00:00:00+05:30,11.9,13.66,11.67,13.46,839093
2021-07-29 00:00:00+05:30,12.47,14.78,12.47,14.76,616980
2021-07-30 00:00:00+05:30,15.49,15.49,14.39,15.43,551169
