Date,Open,High,Low,Close,Volume
2022-06-21 00:00:00+05:30,9.51,9.59,8.69,9.32,617270
2022-06-22 00:00:00+05:30,9.81,9.82,8.91,9.13,469294
2022-06-23 00:00:00+05:30,9.05,9.65,8.75,9.59,249352
2022-06-24 00:00:00+05:30,9.85,10.47,9.48,9.96,652059
2022-06-27 00:00:00+05:30,9.97,10.41,9.97,10.24,550703
2022-06-28 00:00:00+05:30,10.23,11.14,10.21,10.85,1268118
2022-06-29 00:00:00+05:30,11.61,11.94,10.85,11.94,707910
2022-06-30 00:00:00+05:30,12.53,12.53,12.53,12.53,17873
2022-07-01 00:00:00+05:30,13.15,13.15,12.0,12.05,1902265
2022-07-04 00:00:00+05:30,12.21,12.57,12.21,12.46,730478
2022-07-05 00:00:00+05:30,12.44,12.44,11.98,12.13,629883
2022-07-06 00:00:00+05:30,11.57,12.68,11.57,11.9,1174350
2022-07-07 00:00:00+05:30,11.91,11.91,11.41,11.59,867464
2022-07-08 00:00:00+05:30,11.61,11.61,11.47,11.53,812179
2022-07-11 00:00:00+05:30,11.53,12.1,11.53,11.83,1314035
2022-07-12 00:00:00+05:30,12.15,12.42,12.15,12.37,1196056
2022-07-13 00:00:00+05:30,12.43,12.49,11.79,11.91,1353107
2022-07-14 00:00:00+05:30,11.82,12.51,11.77,12.51,1150472
2022-07-15 00:00:00+05:30,12.58,13.14,12.58,13.13,523697
2022-07-18 00:00:00+05:30,13.55,13.78,12.71,13.3,1473686
2022-07-19 00:00:00+05:30,13.3,13.56,13.01,13.18,1136763
2022-07-20 00:00:00+05:30,12.99,13.37,12.93,13.22,997958
2022-07-21 00:00:00+05:30,13.18,13.37,12.95,13.05,1422118
2022-07-22 00:00:00+05:30,13.06,13.08,12.84,12.85,1276115
2022-07-25 00:00:00+05:30,12.86,13.3,12.86,13.24,931313
2022-07-26 00:00:00+05:30,13.27,13.72,13.27,13.5,880097
2022-07-27 00:00:00+05:30,13.63,13.72,13.5,13.59,822603
2022-07-28 00:00:00+05:30,13.62,13.73,13.55,13.56,528703
2022-07-29 00:00:00+05:30,13.59,13.59,13.37,13.39,1219619
2022-08-01 00:00:00+05:30,13.41,13.59,13.4,13.45,1640963
2022-08-02 00:00:00+05:30,13.5,13.55,13.41,13.46,1118323
2022-08-03 00:00:00+05:30,13.49,13.71,13.25,13.54,2427859
2022-08-04 00:00:00+05:30,13.6,14.21,13.6,14.15,664985
2022-08-05 00:00:00+05:30,14.75,15.55,14.36,14.75,1894131
2022-08-08 00:00:00+05:30,14.85,15.07,14.75,14.93,820942
2022-08-10 00:00:00+05:30,14.97,15.09,14.88,15.07,632835
2022-08-11 00:00:00+05:30,15.1,15.21,14.88,15.12,762099
2022-08-12 00:00:00+05:30,15.15,15.2,15.05,15.15,523619
2022-08-16 00:00:00+05:30,15.18,16.33,14.83,16.17,1216120
2022-08-17 00:00:00+05:30,16.62,16.83,16.43,16.57,1138465
2022-08-18 00:00:00+05:30,16.77,16.9,16.43,16.74,1432209
2022-08-19 00:00:00+05:30,16.79,16.79,16.22,16.35,953039
2022-08-22 00:00:00+05:30,16.26,16.62,15.78,15.85,1098003
2022-08-23 00:00:00+05:30,16.21,16.79,16.21,16.46,1060867
2022-08-24 00:00:00+05:30,16.62,16.71,15.81,16.3,1025375
2022-08-25 00:00:00+05:30,16.66,17.34,15.73,15.94,4408799
2022-08-26 00:00:00+05:30,16.65,16.75,16.36,16.63,1122547
2022-08-29 00:00:00+05:30,16.16,17.65,15.67,16.86,3847827
2022-08-30 00:00:00+05:30,17.13,17.75,16.55,16.85,2763531
2022-09-01 00:00:00+05:30,16.93,17.01,16.1,16.27,1027017
2022-09-02 00:00:00+05:30,16.84,16.84,15.55,15.65,2718905
2022-09-05 00:00:00+05:30,15.65,16.46,15.65,15.85,852563
2022-09-06 00:00:00+05:30,16.05,16.22,15.75,16.08,947662
2022-09-07 00:00:00+05:30,16.08,16.35,15.81,16.06,991211
2022-09-08 00:00:00+05:30,16.19,16.29,15.95,16.09,948296
2022-09-09 00:00:00+05:30,16.11,16.35,15.63,15.72,1029990
2022-09-12 00:00:00+05:30,15.86,16.25,15.75,15.94,942342
2022-09-13 00:00:00+05:30,16.01,16.01,15.75,15.81,1110793
2022-09-14 00:00:00+05:30,15.84,16.05,15.78,15.91,890990
2022-09-15 00:00:00+05:30,16.36,16.36,15.85,15.87,843841
2022-09-16 00:00:00+05:30,15.89,16.16,15.79,15.89,981661
2022-09-19 00:00:00+05:30,15.89,15.94,15.75,15.84,867947
2022-09-20 00:00:00+05:30,16.0,16.0,15.85,15.89,834259
2022-09-21 00:00:00+05:30,15.95,16.01,15.85,15.95,971176
2022-09-22 00:00:00+05:30,15.86,16.05,15.86,15.96,919711
2022-09-23 00:00:00+05:30,16.01,16.03,15.86,15.89,762899
2022-09-26 00:00:00+05:30,15.97,15.97,15.35,15.7,710843
2022-09-27 00:00:00+05:30,15.7,15.8,15.1,15.48,847554
2022-09-28 00:00:00+05:30,15.55,15.58,15.4,15.46,543841
2022-09-29 00:00:00+05:30,15.35,15.59,15.35,15.52,700283
2022-09-30 00:00:00+05:30,15.55,15.55,15.24,15.45,1022715
2022-10-03 00:00:00+05:30,15.6,15.6,15.35,15.4,1107470
2022-10-04 00:00:00+05:30,15.55,15.55,15.32,15.36,940699
2022-10-06 00:00:00+05:30,15.38,15.55,15.38,15.48,902507
2022-10-07 00:00:00+05:30,17.03,17.03,16.11,16.85,2489675
2022-10-10 00:00:00+05:30,17.34,20.23,17.25,18.68,6217150
2022-10-11 00:00:00+05:30,19.27,20.1,19.03,19.55,4870821
2022-10-12 00:00:00+05:30,19.74,19.93,18.45,18.72,4757359
