Date,Open,High,Low,Close,Volume
2022-11-21 00:00:00+05:30,99.0,100.4,99.0,99.0,370
2023-01-09 00:00:00+05:30,100.0,101.7,99.1,99.45,180
2023-01-10 00:00:00+05:30,102.45,102.95,100.0,101.95,128
2023-01-11 00:00:00+05:30,100.0,100.1,100.0,100.0,65
2023-01-12 00:00:00+05:30,100.0,103.0,98.5,101.0,475
2023-01-13 00:00:00+05:30,100.0,100.8,98.6,99.0,425
2023-01-16 00:00:00+05:30,99.0,101.8,99.0,99.3,342
2023-01-17 00:00:00+05:30,102.3,102.3,99.0,100.0,334
2023-01-18 00:00:00+05:30,99.15,101.0,98.7,99.05,1362
2023-01-19 00:00:00+05:30,100.25,100.25,100.0,100.0,238
2023-01-20 00:00:00+05:30,97.25,100.2,97.25,100.0,59
2023-01-23 00:00:00+05:30,100.0,100.0,98.0,98.35,88
2023-01-24 00:00:00+05:30,100.95,100.95,98.05,100.0,643
2023-01-25 00:00:00+05:30,99.95,99.95,97.0,98.5,338
2023-01-27 00:00:00+05:30,98.5,99.45,98.5,99.45,82
2023-01-30 00:00:00+05:30,101.0,101.0,95.25,99.4,689
2023-01-31 00:00:00+05:30,99.0,99.4,95.05,98.5,220
2023-02-09 00:00:00+05:30,96.0,96.0,95.8,96.0,125
2023-02-10 00:00:00+05:30,95.7,95.7,95.0,95.0,4
2023-02-14 00:00:00+05:30,93.0,93.0,90.0,90.0,1056
2023-04-21 00:00:00+05:30,84.05,86.0,83.55,83.55,488
2023-04-24 00:00:00+05:30,83.55,86.45,81.0,86.0,604
2023-04-25 00:00:00+05:30,88.15,88.15,83.0,86.0,3780
2023-04-26 00:00:00+05:30,83.5,85.95,82.05,84.1,4854
2023-04-27 00:00:00+05:30,84.85,84.85,80.75,82.8,541
2023-04-28 00:00:00+05:30,81.0,83.8,80.0,80.95,7684
2023-05-02 00:00:00+05:30,83.9,83.9,80.3,80.4,1417
2023-05-03 00:00:00+05:30,82.05,82.05,80.0,81.45,129
2023-05-04 00:00:00+05:30,81.4,82.8,80.5,82.6,1460
2023-05-05 00:00:00+05:30,80.6,82.55,80.5,80.6,280
2023-05-08 00:00:00+05:30,82.7,83.3,81.0,81.1,1573
2023-05-09 00:00:00+05:30,82.9,82.9,80.8,81.1,379
2023-05-10 00:00:00+05:30,80.05,84.25,80.05,83.95,44
2023-05-11 00:00:00+05:30,83.95,83.95,80.25,82.65,576
2023-05-12 00:00:00+05:30,82.65,83.8,82.2,82.2,517
2023-05-15 00:00:00+05:30,80.3,84.0,80.3,84.0,1581
2023-05-16 00:00:00+05:30,84.0,86.0,80.6,83.7,2060
2023-05-17 00:00:00+05:30,85.5,86.0,84.1,86.0,2061
2023-05-18 00:00:00+05:30,86.0,88.05,86.0,87.5,1720
2023-05-19 00:00:00+05:30,87.5,91.85,87.5,89.9,2546
2023-05-22 00:00:00+05:30,87.0,87.5,87.0,87.5,406
2023-05-23 00:00:00+05:30,84.25,90.0,84.25,90.0,874
2023-05-24 00:00:00+05:30,90.0,94.4,89.8,91.05,1811
2023-05-25 00:00:00+05:30,93.0,93.0,91.05,91.05,141
2023-05-26 00:00:00+05:30,94.5,94.5,87.75,93.0,2554
2023-05-29 00:00:00+05:30,97.65,97.65,97.65,97.65,1235
2023-05-30 00:00:00+05:30,102.5,102.5,102.5,102.5,1097
2023-05-31 00:00:00+05:30,107.6,107.6,107.6,107.6,1395
2023-06-01 00:00:00+05:30,112.95,112.95,112.95,112.95,8431
2023-06-02 00:00:00+05:30,118.55,118.55,118.0,118.55,4925
2023-06-05 00:00:00+05:30,123.8,124.45,121.0,124.45,8864
2023-06-12 00:00:00+05:30,118.25,118.25,118.25,118.25,1037
2023-06-19 00:00:00+05:30,112.35,112.35,112.35,112.35,27
2023-06-26 00:00:00+05:30,106.75,106.75,106.75,106.75,39
2023-07-03 00:00:00+05:30,101.45,101.45,101.45,101.45,396
2023-07-10 00:00:00+05:30,96.4,97.0,96.4,97.0,6702
2023-07-17 00:00:00+05:30,91.9,96.65,91.9,96.5,10110
2023-07-24 00:00:00+05:30,88.1,92.5,87.9,92.5,3546
2023-07-31 00:00:00+05:30,92.5,92.5,87.9,91.5,8289
2023-08-01 00:00:00+05:30,95.55,95.6,89.5,89.5,12906
2023-08-02 00:00:00+05:30,95.0,95.0,88.65,91.0,4450
2023-08-03 00:00:00+05:30,91.05,93.65,88.2,90.0,2150
2023-08-04 00:00:00+05:30,90.05,90.05,87.9,87.9,3825
2023-08-07 00:00:00+05:30,92.0,92.0,86.5,88.5,2405
2023-08-08 00:00:00+05:30,88.05,92.9,88.0,92.85,8295
2023-08-09 00:00:00+05:30,92.65,92.65,88.75,91.9,4218
2023-08-10 00:00:00+05:30,90.2,94.5,88.9,89.0,4311
2023-08-11 00:00:00+05:30,91.0,93.45,89.0,93.45,30175
2023-08-14 00:00:00+05:30,98.1,98.1,98.1,98.1,1318
2023-08-16 00:00:00+05:30,103.0,103.0,102.0,103.0,3040
2023-08-17 00:00:00+05:30,108.15,108.15,108.1,108.15,21067
2023-08-18 00:00:00+05:30,113.55,113.55,108.25,113.55,18116
2023-08-21 00:00:00+05:30,119.0,119.0,107.9,107.9,12638
2023-08-28 00:00:00+05:30,102.5,102.5,102.5,102.5,716
2023-09-04 00:00:00+05:30,97.4,97.4,97.4,97.4,746
2023-09-11 00:00:00+05:30,92.55,92.55,92.55,92.55,4031
2023-09-18 00:00:00+05:30,87.95,87.95,87.95,87.95,5504
2023-09-25 00:00:00+05:30,83.55,83.55,83.55,83.55,5118
2023-10-03 00:00:00+05:30,79.9,87.7,79.9,87.7,25038
2023-10-04 00:00:00+05:30,90.0,92.05,89.9,92.05,13337
2023-10-05 00:00:00+05:30,96.5,96.65,88.0,96.0,23965
2023-10-06 00:00:00+05:30,95.0,95.0,91.6,93.5,4790
2023-10-09 00:00:00+05:30,92.0,92.0,87.8,90.0,2699
2023-10-10 00:00:00+05:30,90.0,90.05,85.55,89.0,4177
2023-10-11 00:00:00+05:30,92.45,92.45,84.55,92.0,7733
2023-10-12 00:00:00+05:30,93.85,93.85,88.5,92.2,1723
2023-10-13 00:00:00+05:30,87.75,92.0,87.75,88.0,9377
2023-10-16 00:00:00+05:30,88.15,91.0,87.0,90.4,3805
2023-10-17 00:00:00+05:30,92.2,92.2,87.8,88.0,3879
2023-10-18 00:00:00+05:30,88.9,89.95,85.2,87.0,9795
2023-10-19 00:00:00+05:30,87.0,89.6,85.1,88.0,5004
2023-10-20 00:00:00+05:30,92.0,92.0,87.15,87.15,3186
2023-10-23 00:00:00+05:30,85.3,87.7,85.1,87.65,868
2023-10-25 00:00:00+05:30,85.5,87.7,83.35,87.7,2341
2023-10-26 00:00:00+05:30,87.0,87.0,83.35,86.45,2655
2023-10-27 00:00:00+05:30,83.5,86.4,82.25,83.0,2449
2023-10-30 00:00:00+05:30,83.35,86.7,82.45,86.65,1400
2023-10-31 00:00:00+05:30,88.0,88.0,84.05,87.0,1867
2023-11-01 00:00:00+05:30,85.0,87.0,83.1,86.9,921
2023-11-02 00:00:00+05:30,86.0,89.0,83.95,84.9,15189
2023-11-03 00:00:00+05:30,88.2,88.2,83.1,84.0,3213
2023-11-06 00:00:00+05:30,86.95,86.95,83.15,86.0,20553
2023-11-07 00:00:00+05:30,87.0,88.0,85.2,87.9,2742
2023-11-08 00:00:00+05:30,88.55,88.55,84.05,88.0,13817
2023-11-09 00:00:00+05:30,87.5,88.55,83.35,85.45,13597
2023-11-10 00:00:00+05:30,84.25,85.0,80.05,81.75,12334
2023-11-12 00:00:00+05:30,81.75,85.6,81.75,84.45,1092
2023-11-13 00:00:00+05:30,86.4,86.4,81.2,81.65,14892
2023-11-15 00:00:00+05:30,81.65,84.0,81.15,83.75,2849
2023-11-16 00:00:00+05:30,83.75,86.95,79.6,79.85,28472
2023-11-17 00:00:00+05:30,82.0,83.8,79.85,83.8,8817
2023-11-20 00:00:00+05:30,87.85,87.95,87.0,87.1,24401
2023-11-21 00:00:00+05:30,86.0,88.75,86.0,86.9,7521
2023-11-22 00:00:00+05:30,89.9,89.9,86.7,86.7,4118
2023-11-23 00:00:00+05:30,86.8,88.0,86.25,87.45,4247
2023-11-24 00:00:00+05:30,90.9,90.9,87.0,87.0,5488
2023-11-28 00:00:00+05:30,87.05,91.4,87.05,87.05,106621
2023-11-29 00:00:00+05:30,91.35,91.35,87.0,87.5,7199
2023-11-30 00:00:00+05:30,89.15,89.15,87.7,87.7,736
2023-12-01 00:00:00+05:30,88.8,90.95,87.8,89.8,8442
2023-12-04 00:00:00+05:30,94.0,94.0,93.5,94.0,14970
2023-12-05 00:00:00+05:30,98.7,98.7,94.5,98.7,20092
2023-12-06 00:00:00+05:30,102.8,102.8,98.7,102.0,16723
2023-12-07 00:00:00+05:30,99.0,102.0,96.4,99.0,15174
2023-12-08 00:00:00+05:30,99.9,100.0,96.75,99.5,2403
2023-12-11 00:00:00+05:30,98.9,101.9,98.9,99.5,5412
2023-12-12 00:00:00+05:30,103.45,104.0,100.5,100.9,11192
2023-12-13 00:00:00+05:30,100.5,104.25,100.2,102.0,5225
2023-12-14 00:00:00+05:30,103.8,103.8,100.6,102.0,6874
2023-12-15 00:00:00+05:30,102.0,103.0,101.95,102.5,4455
2023-12-18 00:00:00+05:30,102.0,102.0,99.5,102.0,3673
2023-12-19 00:00:00+05:30,100.0,100.5,97.15,98.0,9715
2023-12-20 00:00:00+05:30,99.95,100.0,96.0,99.0,4812
2023-12-21 00:00:00+05:30,94.1,99.0,94.1,96.5,1797
2023-12-22 00:00:00+05:30,97.0,101.85,94.0,95.0,35322
2023-12-26 00:00:00+05:30,95.0,96.85,92.25,94.95,6205
2023-12-27 00:00:00+05:30,93.95,96.0,92.6,92.75,24722
2023-12-28 00:00:00+05:30,93.35,94.95,92.6,94.0,24344
2023-12-29 00:00:00+05:30,94.0,94.0,92.0,92.0,26037
2024-01-01 00:00:00+05:30,92.0,94.5,92.0,93.0,5610
2024-01-02 00:00:00+05:30,97.65,97.65,93.5,95.9,5481
2024-01-03 00:00:00+05:30,97.0,99.5,95.9,97.5,9432
2024-01-04 00:00:00+05:30,99.45,102.0,95.55,99.0,21534
2024-01-05 00:00:00+05:30,101.05,103.0,98.15,99.9,6295
2024-01-08 00:00:00+05:30,103.0,104.8,99.0,104.8,46831
2024-01-09 00:00:00+05:30,106.0,106.0,103.0,104.85,14827
2024-01-10 00:00:00+05:30,102.15,105.0,102.15,104.3,5307
2024-01-11 00:00:00+05:30,107.8,107.8,102.0,102.0,11186
2024-01-12 00:00:00+05:30,102.2,104.85,98.0,100.25,7478
2024-01-15 00:00:00+05:30,102.0,102.0,97.05,101.0,2819
2024-01-16 00:00:00+05:30,101.45,101.45,97.5,99.0,16428
2024-01-17 00:00:00+05:30,98.5,100.0,97.0,99.0,8049
2024-01-18 00:00:00+05:30,100.0,101.0,96.05,100.0,10330
2024-01-19 00:00:00+05:30,101.1,104.85,99.0,101.65,7388
2024-01-20 00:00:00+05:30,99.0,104.0,99.0,101.5,5129
2024-01-23 00:00:00+05:30,105.0,105.0,98.0,99.0,3557
2024-01-24 00:00:00+05:30,99.0,99.0,96.5,97.65,4869
2024-01-25 00:00:00+05:30,97.45,99.95,97.0,97.5,26848
2024-01-29 00:00:00+05:30,97.5,97.65,96.0,97.65,6286
2024-01-30 00:00:00+05:30,97.5,99.9,96.65,97.1,3316
2024-01-31 00:00:00+05:30,99.85,100.45,97.9,98.0,2686
2024-02-01 00:00:00+05:30,98.0,100.3,97.05,97.2,2431
2024-02-02 00:00:00+05:30,100.3,101.0,98.0,98.0,6174
2024-02-05 00:00:00+05:30,99.75,100.95,97.5,98.05,4281
2024-02-06 00:00:00+05:30,98.05,100.0,98.05,98.5,9526
2024-02-07 00:00:00+05:30,100.75,100.9,97.0,99.35,7163
2024-02-08 00:00:00+05:30,101.8,101.8,97.6,99.8,3898
2024-02-09 00:00:00+05:30,99.8,99.8,94.85,98.5,9388
2024-02-12 00:00:00+05:30,98.5,99.4,96.0,96.3,5446
2024-02-13 00:00:00+05:30,95.5,96.05,91.5,93.3,18984
2024-02-14 00:00:00+05:30,91.55,94.0,88.65,93.8,4152
2024-02-15 00:00:00+05:30,93.8,95.8,89.15,90.45,23620
2024-02-16 00:00:00+05:30,89.5,91.4,89.5,90.8,3295
2024-02-19 00:00:00+05:30,90.8,92.0,90.0,91.3,2438
2024-02-20 00:00:00+05:30,93.95,93.95,90.0,90.0,5498
2024-02-21 00:00:00+05:30,90.0,90.0,89.0,90.0,3712
2024-02-22 00:00:00+05:30,90.0,93.85,89.0,90.0,5707
2024-02-23 00:00:00+05:30,90.05,93.0,89.6,90.0,5104
2024-02-26 00:00:00+05:30,94.0,94.0,89.0,89.1,9143
2024-02-27 00:00:00+05:30,89.05,91.0,87.0,90.0,10887
2024-02-28 00:00:00+05:30,91.0,91.0,86.0,86.6,8144
2024-02-29 00:00:00+05:30,86.6,88.5,86.5,87.5,1925
2024-03-01 00:00:00+05:30,90.9,91.1,87.0,87.65,2103
2024-03-02 00:00:00+05:30,87.95,90.85,87.95,90.8,228
2024-03-04 00:00:00+05:30,88.0,89.95,87.0,87.8,7372
2024-03-05 00:00:00+05:30,87.9,89.95,86.0,86.55,6332
2024-03-06 00:00:00+05:30,85.2,87.8,84.0,86.0,7215
2024-03-07 00:00:00+05:30,86.25,88.0,86.25,86.25,336
2024-03-11 00:00:00+05:30,88.3,88.3,84.55,86.95,2813
2024-03-12 00:00:00+05:30,88.3,88.3,82.6,82.8,5741
2024-03-13 00:00:00+05:30,82.7,82.7,79.8,81.75,3041
2024-03-14 00:00:00+05:30,78.0,85.8,78.0,82.4,3810
2024-03-15 00:00:00+05:30,82.0,85.45,80.05,84.5,5519
2024-03-18 00:00:00+05:30,84.1,84.1,81.6,83.05,753
2024-03-19 00:00:00+05:30,80.6,83.0,80.5,80.75,10137
2024-03-20 00:00:00+05:30,80.75,84.25,79.9,79.9,5012
2024-03-21 00:00:00+05:30,80.6,82.6,79.0,80.7,8567
2024-03-22 00:00:00+05:30,80.7,82.35,79.05,79.65,1837
2024-03-26 00:00:00+05:30,79.8,81.5,77.1,78.15,7475
2024-03-27 00:00:00+05:30,77.1,78.1,76.0,78.05,48122
2024-03-28 00:00:00+05:30,76.2,78.7,75.9,78.35,23233
2024-04-01 00:00:00+05:30,79.0,82.2,78.25,80.25,7171
2024-04-02 00:00:00+05:30,81.7,84.25,80.25,84.25,2478
2024-04-03 00:00:00+05:30,88.4,88.45,85.0,88.45,5178
2024-04-04 00:00:00+05:30,92.7,92.7,90.0,91.85,981
2024-04-05 00:00:00+05:30,91.85,91.85,88.0,88.5,2277
2024-04-08 00:00:00+05:30,92.45,92.45,85.5,90.0,8297
2024-04-09 00:00:00+05:30,90.0,91.45,86.65,91.45,2733
2024-04-10 00:00:00+05:30,89.65,89.65,87.0,88.5,3759
2024-04-12 00:00:00+05:30,88.0,88.0,86.5,87.0,1153
2024-04-15 00:00:00+05:30,87.0,88.5,86.0,86.0,8832
2024-04-16 00:00:00+05:30,86.1,87.2,86.1,87.0,393
2024-04-18 00:00:00+05:30,87.05,88.4,85.5,87.5,1878
2024-04-19 00:00:00+05:30,85.15,86.95,85.1,86.8,1478
2024-04-22 00:00:00+05:30,86.8,87.9,83.25,85.3,526
2024-04-23 00:00:00+05:30,85.1,87.9,85.1,86.0,1695
2024-04-24 00:00:00+05:30,88.85,88.9,85.0,86.5,21254
2024-04-25 00:00:00+05:30,88.7,88.7,85.0,86.85,12235
2024-04-26 00:00:00+05:30,85.0,89.95,85.0,86.0,1496
2024-04-29 00:00:00+05:30,88.95,90.3,88.95,90.3,8330
2024-04-30 00:00:00+05:30,94.8,94.8,94.8,94.8,4679
2024-05-02 00:00:00+05:30,99.5,99.5,99.5,99.5,6248
2024-05-03 00:00:00+05:30,104.45,104.45,104.45,104.45,3687
2024-05-06 00:00:00+05:30,109.65,109.65,105.05,109.65,58668
2024-05-07 00:00:00+05:30,113.0,113.0,104.2,104.8,20203
2024-05-13 00:00:00+05:30,99.6,99.6,99.6,99.6,384
2024-05-21 00:00:00+05:30,94.65,94.65,94.65,94.65,684
2024-05-27 00:00:00+05:30,89.95,89.95,89.95,89.95,1810
2024-06-03 00:00:00+05:30,85.45,85.45,85.45,85.45,1117
2024-06-10 00:00:00+05:30,81.17,82.0,81.17,81.17,20339
2024-06-18 00:00:00+05:30,77.11,78.0,77.11,77.11,9994
2024-06-24 00:00:00+05:30,77.11,77.11,73.25,75.47,7084
2024-07-01 00:00:00+05:30,79.24,79.24,79.24,79.24,4933
2024-07-02 00:00:00+05:30,83.2,83.2,83.2,83.2,3692
2024-07-03 00:00:00+05:30,87.36,87.36,87.36,87.36,957
2024-07-04 00:00:00+05:30,91.72,91.72,91.72,91.72,9942
2024-07-05 00:00:00+05:30,93.95,96.0,87.22,88.23,19051
2024-07-08 00:00:00+05:30,92.49,92.49,85.35,86.43,1995
2024-07-09 00:00:00+05:30,86.5,89.85,86.1,87.32,1468
2024-07-10 00:00:00+05:30,86.5,90.0,85.0,89.69,788
2024-07-11 00:00:00+05:30,89.7,91.0,85.2,87.19,4661
2024-07-12 00:00:00+05:30,90.0,91.54,87.04,91.54,9088
2024-07-15 00:00:00+05:30,91.34,91.35,86.77,86.77,6874
2024-07-16 00:00:00+05:30,86.77,87.98,83.28,85.58,1289
2024-07-18 00:00:00+05:30,85.58,85.58,83.52,84.17,997
2024-07-19 00:00:00+05:30,84.2,85.0,82.81,85.0,1874
2024-07-22 00:00:00+05:30,89.23,89.23,82.01,85.19,408
2024-07-23 00:00:00+05:30,85.0,87.16,84.45,86.95,192
2024-07-24 00:00:00+05:30,83.1,86.0,83.0,86.0,1791
2024-07-25 00:00:00+05:30,86.0,87.5,83.5,84.38,1372
2024-07-26 00:00:00+05:30,86.6,86.6,85.0,85.0,890
2024-07-29 00:00:00+05:30,84.1,87.5,84.1,87.4,2387
2024-07-30 00:00:00+05:30,87.5,90.91,83.26,86.85,8702
2024-07-31 00:00:00+05:30,86.0,87.48,83.15,86.0,3392
2024-08-01 00:00:00+05:30,86.0,86.01,84.1,86.0,2553
2024-08-02 00:00:00+05:30,82.06,86.49,82.06,86.45,1884
2024-08-05 00:00:00+05:30,84.45,85.0,83.82,84.5,1986
2024-08-06 00:00:00+05:30,88.72,88.72,84.0,84.0,867
2024-08-07 00:00:00+05:30,84.0,87.97,83.03,85.0,553
2024-08-08 00:00:00+05:30,83.47,84.99,81.01,82.95,1129
2024-08-09 00:00:00+05:30,82.55,84.89,80.77,81.14,794
2024-08-12 00:00:00+05:30,81.26,81.88,81.14,81.14,2060
2024-08-13 00:00:00+05:30,84.98,85.19,84.0,85.19,2384
2024-08-14 00:00:00+05:30,85.19,89.4,85.1,87.45,2867
2024-08-16 00:00:00+05:30,87.45,87.45,83.07,83.07,4100
2024-08-19 00:00:00+05:30,83.7,84.0,82.0,82.1,2335
2024-08-20 00:00:00+05:30,82.05,86.13,80.0,80.08,12286
2024-08-21 00:00:00+05:30,80.21,83.41,80.21,82.79,1524
2024-08-22 00:00:00+05:30,83.0,83.0,80.01,81.95,1100
2024-08-23 00:00:00+05:30,81.95,82.97,80.03,80.89,4868
2024-08-26 00:00:00+05:30,83.98,83.98,81.2,83.12,3181
2024-08-27 00:00:00+05:30,83.12,84.92,81.0,82.45,5784
2024-08-28 00:00:00+05:30,84.75,84.75,80.3,83.0,2017
2024-08-29 00:00:00+05:30,83.0,84.93,81.0,81.29,5627
2024-08-30 00:00:00+05:30,81.29,83.0,80.5,80.68,4122
2024-09-02 00:00:00+05:30,80.68,82.45,80.68,82.3,198
2024-09-03 00:00:00+05:30,84.94,84.94,80.51,83.15,1447
2024-09-04 00:00:00+05:30,80.5,82.9,79.5,80.0,4320
2024-09-05 00:00:00+05:30,79.01,80.99,79.01,80.99,1735
2024-09-06 00:00:00+05:30,80.99,80.99,79.28,80.79,3567
2024-09-09 00:00:00+05:30,80.8,81.5,77.19,81.39,4581
2024-09-10 00:00:00+05:30,81.5,82.89,80.5,81.49,2109
2024-09-11 00:00:00+05:30,81.5,81.5,78.0,80.0,4153
2024-09-12 00:00:00+05:30,80.01,81.48,78.52,79.01,4854
2024-09-13 00:00:00+05:30,79.0,79.2,78.9,79.0,4763
2024-09-16 00:00:00+05:30,82.95,82.95,79.05,81.33,2366
2024-09-17 00:00:00+05:30,81.49,81.5,77.26,77.72,10870
2024-09-18 00:00:00+05:30,81.11,81.5,75.01,78.74,7768
2024-09-19 00:00:00+05:30,79.0,80.0,76.5,79.14,7588
2024-09-20 00:00:00+05:30,82.42,82.42,76.5,77.08,4878
2024-09-23 00:00:00+05:30,80.93,80.93,77.08,80.93,38197
2024-09-24 00:00:00+05:30,83.3,84.97,81.5,83.08,11593
2024-09-25 00:00:00+05:30,85.0,85.55,82.0,84.7,2569
2024-09-26 00:00:00+05:30,87.95,87.95,82.6,83.9,6966
2024-09-27 00:00:00+05:30,84.0,88.09,83.95,87.47,12486
2024-09-30 00:00:00+05:30,84.01,86.0,84.01,85.0,1018
2024-10-01 00:00:00+05:30,87.7,87.7,83.11,83.71,13513
2024-10-03 00:00:00+05:30,84.0,86.0,80.0,85.94,8073
2024-10-04 00:00:00+05:30,81.64,85.97,81.64,84.29,3188
2024-10-07 00:00:00+05:30,83.0,83.5,82.0,82.0,1759
2024-10-08 00:00:00+05:30,78.01,84.0,78.01,82.99,1091
2024-10-09 00:00:00+05:30,83.0,84.59,82.0,84.47,507
2024-10-10 00:00:00+05:30,84.6,84.6,81.75,81.75,1246
2024-10-11 00:00:00+05:30,81.75,81.98,78.5,79.25,10519
2024-10-14 00:00:00+05:30,79.35,83.14,78.5,82.0,1499
2024-10-15 00:00:00+05:30,83.7,83.7,80.31,81.5,772
2024-10-16 00:00:00+05:30,81.0,82.84,79.8,80.01,1648
2024-10-17 00:00:00+05:30,82.95,83.7,79.78,81.23,1535
2024-10-18 00:00:00+05:30,81.5,81.5,78.21,80.57,1056
2024-10-21 00:00:00+05:30,80.57,83.62,78.23,78.89,1805
2024-10-22 00:00:00+05:30,78.2,82.74,78.2,78.79,5204
2024-10-23 00:00:00+05:30,78.79,81.0,78.2,81.0,1784
2024-10-24 00:00:00+05:30,78.5,79.85,78.0,79.85,1541
2024-10-25 00:00:00+05:30,80.99,80.99,77.5,77.5,815
2024-10-28 00:00:00+05:30,77.5,81.35,77.26,81.0,602
2024-10-29 00:00:00+05:30,81.0,81.0,78.0,80.99,213
2024-10-30 00:00:00+05:30,78.15,81.0,77.5,81.0,301
2024-10-31 00:00:00+05:30,81.0,81.0,77.5,78.56,325
