Date,Open,High,Low,Close,Volume
2011-12-29 00:00:00+05:30,28.5,28.5,28.5,28.5,2
2011-12-30 00:00:00+05:30,28.5,28.5,28.5,28.5,11
2012-01-09 00:00:00+05:30,28.5,28.5,28.5,28.5,6
2012-01-19 00:00:00+05:30,29.9,29.9,29.9,29.9,11
2012-01-20 00:00:00+05:30,31.4,31.4,31.4,31.4,12
2012-01-23 00:00:00+05:30,32.95,32.95,32.95,32.95,8
2012-01-24 00:00:00+05:30,34.6,34.6,34.6,34.6,129
2012-01-25 00:00:00+05:30,36.3,36.3,36.3,36.3,2
2012-01-27 00:00:00+05:30,37.5,37.5,37.5,37.5,2
2012-01-30 00:00:00+05:30,36.0,36.0,35.65,35.65,112
2012-02-01 00:00:00+05:30,34.0,34.0,34.0,34.0,100
2012-02-07 00:00:00+05:30,34.05,35.7,34.0,35.7,120
2012-02-10 00:00:00+05:30,37.0,37.0,37.0,37.0,1
2012-02-13 00:00:00+05:30,37.0,37.0,37.0,37.0,220
2012-02-14 00:00:00+05:30,35.9,35.9,35.85,35.85,110
2012-02-15 00:00:00+05:30,37.05,37.05,37.0,37.0,110
2012-02-17 00:00:00+05:30,35.25,35.25,35.2,35.2,110
2012-02-21 00:00:00+05:30,35.65,35.65,35.65,35.65,110
2012-02-23 00:00:00+05:30,36.0,36.0,35.5,35.5,25
2012-03-02 00:00:00+05:30,33.8,36.95,33.75,36.95,119
2012-04-20 00:00:00+05:30,32.0,33.6,31.0,32.85,245
2012-04-24 00:00:00+05:30,33.0,33.0,33.0,33.0,5
2012-07-23 00:00:00+05:30,30.0,30.0,28.6,28.6,120
2012-07-24 00:00:00+05:30,28.05,30.0,28.05,30.0,200
2012-07-25 00:00:00+05:30,31.5,31.5,31.5,31.5,340
2012-08-27 00:00:00+05:30,29.9,29.9,29.9,29.9,114
2012-08-28 00:00:00+05:30,31.35,31.35,31.35,31.35,200
2012-08-29 00:00:00+05:30,32.9,32.9,29.9,29.9,570
2012-08-30 00:00:00+05:30,31.25,31.25,31.25,31.25,4
2012-08-31 00:00:00+05:30,31.0,31.25,31.0,31.25,113
2012-09-03 00:00:00+05:30,31.25,31.25,31.25,31.25,1
2012-09-06 00:00:00+05:30,31.25,31.25,31.25,31.25,100
2012-09-20 00:00:00+05:30,29.6,29.6,29.6,29.6,110
2012-09-21 00:00:00+05:30,29.65,29.65,29.65,29.65,10
2012-10-10 00:00:00+05:30,31.25,31.25,31.25,31.25,110
2012-10-22 00:00:00+05:30,32.9,32.9,32.9,32.9,320
2012-10-23 00:00:00+05:30,32.9,34.3,32.9,34.3,314
2012-11-15 00:00:00+05:30,31.7,33.25,31.7,31.7,111
2012-11-20 00:00:00+05:30,30.2,30.2,30.2,30.2,115
2012-11-22 00:00:00+05:30,28.7,28.75,28.7,28.75,214
2012-11-23 00:00:00+05:30,27.8,27.8,27.8,27.8,122
2012-11-26 00:00:00+05:30,26.45,27.85,26.45,27.85,11
2012-11-29 00:00:00+05:30,26.75,27.05,26.75,27.05,112
2012-12-07 00:00:00+05:30,27.25,28.4,27.25,28.4,220
2012-12-11 00:00:00+05:30,29.8,29.8,29.8,29.8,1
2012-12-12 00:00:00+05:30,31.25,31.25,31.25,31.25,1
2012-12-14 00:00:00+05:30,30.3,30.3,30.3,30.3,1
2012-12-18 00:00:00+05:30,30.3,30.3,30.3,30.3,10
2012-12-26 00:00:00+05:30,29.0,29.35,29.0,29.05,11
2012-12-27 00:00:00+05:30,29.05,29.05,29.05,29.05,25
2013-01-03 00:00:00+05:30,30.5,30.5,30.5,30.5,111
2013-01-04 00:00:00+05:30,32.0,32.0,32.0,32.0,1
2013-01-07 00:00:00+05:30,33.6,33.6,33.6,33.6,110
2013-01-14 00:00:00+05:30,35.25,35.25,35.25,35.25,100
2013-01-17 00:00:00+05:30,37.0,37.0,37.0,37.0,220
2013-01-18 00:00:00+05:30,38.85,38.85,38.85,38.85,110
2013-01-22 00:00:00+05:30,40.75,40.75,40.75,40.75,114
2013-01-23 00:00:00+05:30,42.75,42.75,42.75,42.75,1
2013-01-24 00:00:00+05:30,44.85,44.85,44.85,44.85,130
2013-01-25 00:00:00+05:30,47.05,47.05,47.05,47.05,59
2013-01-28 00:00:00+05:30,49.4,49.4,49.4,49.4,110
2013-01-29 00:00:00+05:30,51.85,51.85,51.85,51.85,55
2013-01-30 00:00:00+05:30,54.4,54.4,51.1,53.95,2011
2013-01-31 00:00:00+05:30,56.6,56.6,53.0,53.0,125
2013-02-01 00:00:00+05:30,54.85,54.85,51.0,51.05,21
2013-02-11 00:00:00+05:30,47.45,47.45,47.45,47.45,1
2013-02-26 00:00:00+05:30,38.0,38.0,38.0,38.0,110
2013-02-27 00:00:00+05:30,36.1,36.1,36.1,36.1,223
2013-03-01 00:00:00+05:30,36.1,36.1,36.1,36.1,26
2013-03-15 00:00:00+05:30,35.8,35.8,35.8,35.8,104
2013-03-19 00:00:00+05:30,34.15,34.15,34.15,34.15,20
2013-03-22 00:00:00+05:30,32.45,32.45,32.45,32.45,37
2013-03-26 00:00:00+05:30,31.0,31.0,31.0,31.0,26
2013-04-03 00:00:00+05:30,29.65,29.75,29.65,29.75,700
2013-04-05 00:00:00+05:30,30.1,30.1,30.1,30.1,3
2013-10-14 00:00:00+05:30,29.9,29.9,29.9,29.9,100
2013-12-06 00:00:00+05:30,30.5,30.5,30.5,30.5,100
2013-12-09 00:00:00+05:30,30.0,30.0,30.0,30.0,41
2013-12-31 00:00:00+05:30,28.5,28.5,28.5,28.5,745
2014-01-06 00:00:00+05:30,27.1,27.1,27.1,27.1,110
2014-01-13 00:00:00+05:30,25.75,25.75,25.75,25.75,5
2014-01-14 00:00:00+05:30,25.0,25.05,25.0,25.05,230
2014-01-15 00:00:00+05:30,24.8,24.8,24.8,24.8,28
2014-01-16 00:00:00+05:30,24.8,24.8,24.8,24.8,20
2014-01-17 00:00:00+05:30,24.2,24.2,24.2,24.2,770
2014-01-21 00:00:00+05:30,25.4,25.4,25.4,25.4,90
2014-01-23 00:00:00+05:30,25.0,25.25,25.0,25.25,1610
2014-01-27 00:00:00+05:30,24.05,24.05,24.05,24.05,200
2014-01-28 00:00:00+05:30,23.15,23.15,23.15,23.15,75
2014-01-31 00:00:00+05:30,24.3,24.3,24.3,24.3,120
2014-02-07 00:00:00+05:30,25.5,25.5,25.5,25.5,1500
2014-02-14 00:00:00+05:30,26.6,26.6,26.6,26.6,5
2014-02-20 00:00:00+05:30,25.3,27.65,25.3,27.65,125
2014-02-21 00:00:00+05:30,28.65,28.65,28.65,28.65,10
2014-03-18 00:00:00+05:30,27.25,27.25,27.25,27.25,1
2014-03-19 00:00:00+05:30,26.3,26.9,26.3,26.9,6
2014-03-20 00:00:00+05:30,25.95,25.95,25.95,25.95,1
2014-03-21 00:00:00+05:30,25.65,25.65,24.9,24.9,220
2014-03-26 00:00:00+05:30,25.25,26.0,24.1,25.65,911
2014-03-27 00:00:00+05:30,25.1,25.1,24.5,24.6,65
2014-03-28 00:00:00+05:30,23.65,25.8,23.65,25.8,210
2014-03-31 00:00:00+05:30,24.95,26.8,24.95,26.8,444
2014-04-01 00:00:00+05:30,25.55,26.8,25.5,26.75,1214
2014-04-02 00:00:00+05:30,28.05,28.05,25.55,28.0,355
2014-04-03 00:00:00+05:30,27.95,27.95,27.95,27.95,10
2014-04-04 00:00:00+05:30,29.3,29.3,29.2,29.2,170
2014-04-07 00:00:00+05:30,29.3,29.3,29.2,29.25,150
2014-04-09 00:00:00+05:30,27.8,30.7,27.8,30.7,200
2014-04-10 00:00:00+05:30,30.7,32.2,29.3,32.2,223
2014-04-11 00:00:00+05:30,30.6,33.8,30.6,33.8,90
2014-04-15 00:00:00+05:30,32.15,32.15,32.15,32.15,110
2014-04-16 00:00:00+05:30,32.3,32.3,30.6,31.25,439
2014-04-17 00:00:00+05:30,29.75,30.75,29.75,30.75,360
2014-04-22 00:00:00+05:30,30.8,30.8,30.75,30.75,100
2014-04-23 00:00:00+05:30,29.65,31.6,29.65,31.45,4225
2014-04-25 00:00:00+05:30,32.3,32.3,32.3,32.3,10
