Date,Open,High,Low,Close,Volume
2002-01-01 00:00:00+05:30,4.28,4.28,4.28,4.28,61
2002-01-15 00:00:00+05:30,4.28,4.28,4.28,4.28,674
2002-01-16 00:00:00+05:30,4.48,4.48,4.48,4.48,61
2002-01-17 00:00:00+05:30,4.52,4.52,4.52,4.52,61
2002-01-21 00:00:00+05:30,4.57,4.57,4.57,4.57,245
2002-01-23 00:00:00+05:30,4.77,4.77,4.77,4.77,1
2002-02-06 00:00:00+05:30,4.69,4.89,4.69,4.69,2207
2002-02-07 00:00:00+05:30,4.89,4.89,4.69,4.69,1226
2002-02-08 00:00:00+05:30,4.77,4.77,4.77,4.77,61
2002-02-11 00:00:00+05:30,4.89,4.93,4.89,4.89,613
2002-02-12 00:00:00+05:30,4.93,4.93,4.89,4.89,981
2002-02-13 00:00:00+05:30,5.1,5.1,5.1,5.1,134
2002-02-14 00:00:00+05:30,5.3,5.3,5.3,5.3,110
2002-02-15 00:00:00+05:30,5.5,5.54,5.5,5.54,1103
2002-02-18 00:00:00+05:30,5.79,5.79,5.71,5.79,735
2002-02-20 00:00:00+05:30,5.71,5.71,5.71,5.71,367
2002-02-21 00:00:00+05:30,5.63,5.91,5.63,5.75,551
2002-02-25 00:00:00+05:30,5.71,5.71,5.71,5.71,122
2002-03-11 00:00:00+05:30,5.71,5.75,5.71,5.71,613
2002-03-12 00:00:00+05:30,5.75,5.95,5.75,5.95,95
2002-03-13 00:00:00+05:30,6.11,6.11,5.79,5.99,2148
2002-03-14 00:00:00+05:30,5.83,6.03,5.83,6.03,147
2002-03-15 00:00:00+05:30,6.03,6.03,5.99,5.99,674
2002-03-18 00:00:00+05:30,5.87,5.87,5.87,5.87,526
2002-03-19 00:00:00+05:30,5.67,5.83,5.67,5.83,450
2002-03-20 00:00:00+05:30,5.71,5.79,5.71,5.71,6623
2002-03-21 00:00:00+05:30,5.71,5.71,5.71,5.71,601
2002-03-22 00:00:00+05:30,5.71,5.75,5.71,5.71,551
2002-03-26 00:00:00+05:30,5.71,5.71,5.71,5.71,14
2002-03-27 00:00:00+05:30,5.71,5.95,5.71,5.71,403
2002-04-03 00:00:00+05:30,5.71,5.71,5.71,5.71,11
2002-04-08 00:00:00+05:30,5.75,5.75,5.75,5.75,6
2002-04-09 00:00:00+05:30,5.75,5.75,5.75,5.75,183
2002-04-10 00:00:00+05:30,6.11,6.11,6.11,6.11,367
2002-04-11 00:00:00+05:30,6.69,6.93,6.69,6.93,1901
2002-04-12 00:00:00+05:30,6.93,7.66,6.93,6.97,615
2002-04-15 00:00:00+05:30,7.22,7.22,7.17,7.17,589
2002-04-16 00:00:00+05:30,7.17,7.66,7.17,7.66,1116
2002-04-17 00:00:00+05:30,8.15,8.48,7.75,8.15,2026
2002-04-18 00:00:00+05:30,6.93,7.79,6.93,7.75,798
2002-04-19 00:00:00+05:30,7.01,8.52,7.01,8.4,619
2002-04-22 00:00:00+05:30,7.42,7.42,7.22,7.34,432
2002-04-23 00:00:00+05:30,7.34,7.75,6.89,6.89,380
2002-04-24 00:00:00+05:30,6.69,7.7,6.6,6.73,862
2002-04-25 00:00:00+05:30,7.3,7.42,7.3,7.34,424
2002-04-26 00:00:00+05:30,8.52,8.52,6.93,6.97,250
2002-04-29 00:00:00+05:30,6.6,8.15,6.6,7.09,430
2002-04-30 00:00:00+05:30,6.52,7.75,6.52,7.75,491
2002-05-02 00:00:00+05:30,8.15,8.15,7.42,7.66,1349
2002-05-03 00:00:00+05:30,7.75,8.15,7.75,8.15,367
2002-05-06 00:00:00+05:30,8.36,8.76,8.23,8.44,2195
2002-05-07 00:00:00+05:30,8.56,8.85,8.48,8.85,1655
2002-05-08 00:00:00+05:30,8.97,9.78,8.76,9.01,3992
2002-05-09 00:00:00+05:30,10.15,10.8,10.15,10.8,2453
2002-05-10 00:00:00+05:30,11.41,12.19,10.03,10.35,7658
2002-05-13 00:00:00+05:30,11.41,12.43,10.8,12.15,12460
2002-05-14 00:00:00+05:30,12.84,14.06,12.8,13.41,13429
2002-05-15 00:00:00+05:30,15.82,15.86,11.05,11.9,15024
2002-05-16 00:00:00+05:30,11.94,13.04,11.62,12.6,8831
2002-05-17 00:00:00+05:30,12.19,12.6,11.41,12.35,3373
2002-05-20 00:00:00+05:30,10.6,10.8,9.99,10.11,2085
2002-05-21 00:00:00+05:30,9.01,9.38,8.97,8.97,919
2002-05-22 00:00:00+05:30,10.27,10.27,9.58,10.11,306
2002-05-23 00:00:00+05:30,10.52,10.52,9.17,9.46,1287
2002-05-24 00:00:00+05:30,10.6,11.37,10.6,11.01,1410
2002-05-27 00:00:00+05:30,13.04,13.04,11.13,11.33,1487
2002-05-28 00:00:00+05:30,11.9,11.9,11.01,11.01,275
2002-05-29 00:00:00+05:30,11.01,11.01,9.91,10.44,2575
2002-05-30 00:00:00+05:30,11.74,11.74,9.33,9.33,91
2002-05-31 00:00:00+05:30,10.8,10.84,9.46,9.74,1306
2002-06-03 00:00:00+05:30,9.01,11.01,9.01,9.58,123
2002-06-04 00:00:00+05:30,8.72,10.19,8.72,10.19,613
2002-06-05 00:00:00+05:30,10.35,10.6,10.35,10.6,490
2002-06-06 00:00:00+05:30,11.29,11.29,10.19,10.6,643
2002-06-07 00:00:00+05:30,9.86,10.6,9.86,10.6,564
