Date,Open,High,Low,Close,Volume
2011-09-05 00:00:00+05:30,75.86,99.83,44.11,46.65,58406152
2011-09-06 00:00:00+05:30,45.51,47.18,38.8,40.17,10891784
2011-09-07 00:00:00+05:30,39.64,40.2,32.16,32.2,10810436
2011-09-08 00:00:00+05:30,30.42,32.77,28.98,31.29,5309313
2011-09-09 00:00:00+05:30,31.25,33.3,30.34,31.94,2699490
2011-09-12 00:00:00+05:30,30.91,31.44,29.09,29.51,1076895
2011-09-13 00:00:00+05:30,30.34,30.34,27.31,27.76,1295345
2011-09-14 00:00:00+05:30,27.84,27.92,25.22,25.49,1155602
2011-09-15 00:00:00+05:30,26.1,26.1,24.35,24.58,820436
2011-09-16 00:00:00+05:30,24.77,25.79,24.31,24.81,778643
2011-09-19 00:00:00+05:30,23.67,24.81,23.67,23.86,392326
2011-09-20 00:00:00+05:30,24.43,24.43,23.59,23.78,438619
2011-09-21 00:00:00+05:30,23.59,24.2,23.14,23.25,399621
2011-09-22 00:00:00+05:30,22.76,22.95,22.11,22.11,356706
2011-09-23 00:00:00+05:30,21.01,21.28,21.01,21.01,106687
2011-09-26 00:00:00+05:30,19.99,20.44,19.99,19.99,98862
2011-09-27 00:00:00+05:30,19.0,19.99,19.0,19.15,365415
2011-09-28 00:00:00+05:30,18.96,19.91,18.96,19.5,288569
2011-09-29 00:00:00+05:30,19.0,19.57,18.55,18.55,160069
2011-09-30 00:00:00+05:30,18.55,18.96,17.64,17.64,113245
2011-10-03 00:00:00+05:30,16.84,17.07,16.76,16.76,84511
2011-10-04 00:00:00+05:30,16.31,16.69,15.93,15.93,200161
2011-10-05 00:00:00+05:30,15.63,15.93,15.13,15.13,197296
2011-10-07 00:00:00+05:30,15.1,15.89,14.72,15.89,220416
2011-10-10 00:00:00+05:30,16.69,16.69,16.23,16.69,41802
2011-10-11 00:00:00+05:30,17.52,17.52,17.52,17.52,15021
2011-10-12 00:00:00+05:30,18.43,18.43,17.98,18.43,239950
2011-10-13 00:00:00+05:30,19.38,19.38,19.12,19.38,104361
2011-10-14 00:00:00+05:30,20.25,20.25,18.55,18.93,545114
2011-10-17 00:00:00+05:30,19.0,19.31,17.98,17.98,115477
2011-10-18 00:00:00+05:30,17.41,17.45,17.11,17.11,68382
2011-10-19 00:00:00+05:30,16.54,17.71,16.46,17.3,100507
2011-10-20 00:00:00+05:30,17.22,17.26,16.54,16.69,103982
2011-10-21 00:00:00+05:30,16.73,16.92,16.23,16.42,139669
2011-10-24 00:00:00+05:30,16.46,16.58,15.66,15.82,65560
2011-10-25 00:00:00+05:30,15.51,15.82,15.21,15.4,75036
2011-10-26 00:00:00+05:30,15.4,16.2,15.32,16.08,45991
2011-10-28 00:00:00+05:30,16.92,16.92,16.31,16.92,101754
2011-10-31 00:00:00+05:30,17.33,17.6,16.35,17.33,162139
2011-11-01 00:00:00+05:30,17.07,17.83,17.07,17.26,106059
2011-11-02 00:00:00+05:30,17.33,17.45,16.46,16.65,66750
2011-11-03 00:00:00+05:30,16.65,16.69,16.01,16.42,50347
2011-11-04 00:00:00+05:30,16.69,16.99,16.31,16.39,69757
2011-11-08 00:00:00+05:30,16.04,16.65,15.89,16.08,64617
2011-11-09 00:00:00+05:30,16.12,16.76,15.78,15.93,143861
