Date,Open,High,Low,Close,Volume
2021-10-08 00:00:00+05:30,59.43,60.19,55.65,55.9,239255
2021-10-11 00:00:00+05:30,56.32,56.32,53.79,55.41,98950
2021-10-12 00:00:00+05:30,55.57,55.85,54.43,54.56,85560
2021-10-13 00:00:00+05:30,54.7,55.47,52.89,54.74,123565
2021-10-14 00:00:00+05:30,54.53,55.47,53.59,53.87,80460
2021-10-18 00:00:00+05:30,53.59,54.6,51.77,52.5,102245
2021-10-19 00:00:00+05:30,52.88,52.88,51.38,52.3,87050
2021-10-20 00:00:00+05:30,52.32,53.36,50.94,51.28,58240
2021-10-21 00:00:00+05:30,51.97,52.81,50.79,52.01,33540
2021-10-22 00:00:00+05:30,52.64,52.97,51.22,51.69,25105
2021-10-25 00:00:00+05:30,52.64,52.64,46.6,49.84,47980
2021-10-26 00:00:00+05:30,50.84,51.89,50.2,50.98,40400
2021-10-27 00:00:00+05:30,51.97,52.43,50.19,50.7,30985
2021-10-28 00:00:00+05:30,50.74,51.68,50.02,50.6,18315
2021-10-29 00:00:00+05:30,50.62,50.63,47.95,49.04,45060
2021-11-01 00:00:00+05:30,49.9,54.72,49.9,54.14,109225
2021-11-02 00:00:00+05:30,54.91,55.66,51.99,53.24,55110
2021-11-03 00:00:00+05:30,54.46,54.48,52.83,52.88,36175
2021-11-04 00:00:00+05:30,54.69,54.69,53.37,53.99,12350
2021-11-08 00:00:00+05:30,54.06,54.71,51.66,52.66,84770
2021-11-09 00:00:00+05:30,53.4,53.4,51.56,52.7,31640
2021-11-10 00:00:00+05:30,53.67,53.95,52.26,52.4,61135
2021-11-11 00:00:00+05:30,49.73,53.95,49.73,53.04,76525
2021-11-12 00:00:00+05:30,53.05,53.42,51.38,52.15,49520
2021-11-15 00:00:00+05:30,52.72,52.73,49.06,50.15,64165
2021-11-16 00:00:00+05:30,49.06,52.07,49.06,50.85,88380
2021-11-17 00:00:00+05:30,51.31,53.88,50.38,51.61,101275
2021-11-18 00:00:00+05:30,52.25,54.34,50.0,53.41,146820
2021-11-22 00:00:00+05:30,53.21,53.96,50.08,50.46,71035
2021-11-23 00:00:00+05:30,49.47,51.32,49.25,50.65,59815
2021-11-24 00:00:00+05:30,51.87,52.63,50.3,51.58,41765
2021-11-25 00:00:00+05:30,51.02,52.45,50.94,51.25,45295
2021-11-26 00:00:00+05:30,51.04,51.06,48.7,49.2,95970
2021-11-29 00:00:00+05:30,50.19,50.21,44.86,48.08,143290
2021-11-30 00:00:00+05:30,47.44,49.02,47.43,48.01,90350
2021-12-01 00:00:00+05:30,50.53,50.53,47.53,47.9,25690
2021-12-02 00:00:00+05:30,48.8,56.83,47.67,54.37,977655
2021-12-03 00:00:00+05:30,54.34,57.74,53.09,53.84,648455
2021-12-06 00:00:00+05:30,54.53,54.53,51.7,52.69,200220
2021-12-07 00:00:00+05:30,53.67,54.02,52.25,52.44,36430
2021-12-08 00:00:00+05:30,52.83,53.11,51.91,52.02,33795
2021-12-09 00:00:00+05:30,51.52,53.06,51.15,51.42,137435
2021-12-10 00:00:00+05:30,52.35,53.23,51.32,52.55,45560
2021-12-13 00:00:00+05:30,52.56,53.59,52.36,52.52,40780
2021-12-14 00:00:00+05:30,53.25,53.4,52.53,53.21,22950
2021-12-15 00:00:00+05:30,53.3,53.67,52.56,52.83,24350
2021-12-16 00:00:00+05:30,53.2,57.5,52.31,54.73,249710
2021-12-17 00:00:00+05:30,55.0,55.75,53.21,53.29,106110
2021-12-20 00:00:00+05:30,53.29,53.29,51.04,52.01,109545
2021-12-21 00:00:00+05:30,51.89,53.79,51.69,52.93,44620
2021-12-22 00:00:00+05:30,53.17,53.68,52.1,52.79,59490
2021-12-23 00:00:00+05:30,53.96,54.15,53.11,53.26,52630
2021-12-24 00:00:00+05:30,53.4,54.37,51.89,52.62,35015
2021-12-27 00:00:00+05:30,51.51,54.4,51.51,53.31,80600
2021-12-28 00:00:00+05:30,52.08,56.42,52.08,55.04,161995
2021-12-29 00:00:00+05:30,56.08,56.54,54.0,54.85,132675
2021-12-30 00:00:00+05:30,55.87,58.68,55.09,58.25,674730
2021-12-31 00:00:00+05:30,59.04,62.99,57.55,60.22,1346565
2022-01-03 00:00:00+05:30,59.85,64.78,59.57,62.02,718380
2022-01-04 00:00:00+05:30,62.5,62.5,59.7,61.44,422895
2022-01-05 00:00:00+05:30,62.02,62.02,59.43,59.9,163645
2022-01-06 00:00:00+05:30,59.9,61.41,58.49,60.4,114430
2022-01-07 00:00:00+05:30,60.89,60.94,56.46,57.51,347975
2022-01-10 00:00:00+05:30,58.49,62.13,57.82,61.3,299375
2022-01-11 00:00:00+05:30,61.51,61.74,58.69,59.86,281830
2022-01-12 00:00:00+05:30,60.53,63.08,59.82,61.13,735915
2022-01-13 00:00:00+05:30,61.31,73.36,60.94,73.36,3067415
2022-01-14 00:00:00+05:30,83.96,88.03,81.51,88.03,2962885
2022-01-17 00:00:00+05:30,89.62,96.83,88.03,96.83,4071305
2022-01-18 00:00:00+05:30,101.32,106.51,88.87,90.21,2722065
2022-01-19 00:00:00+05:30,87.74,92.08,84.0,89.33,1304690
2022-01-20 00:00:00+05:30,88.98,94.04,88.98,92.93,729960
2022-01-21 00:00:00+05:30,90.21,93.21,86.98,88.53,391135
2022-01-24 00:00:00+05:30,88.87,92.26,84.53,90.41,575745
2022-01-25 00:00:00+05:30,91.5,93.4,87.29,89.47,400565
2022-01-27 00:00:00+05:30,86.04,90.25,85.85,86.68,239190
