Date,Open,High,Low,Close,Volume
2024-01-25 00:00:00+05:30,8.92,9.5,8.91,9.13,157752
2024-01-29 00:00:00+05:30,9.74,9.74,9.14,9.56,293779
2024-01-30 00:00:00+05:30,9.79,9.79,9.3,9.51,101045
2024-01-31 00:00:00+05:30,9.65,9.65,9.26,9.34,65021
2024-02-01 00:00:00+05:30,9.53,9.53,9.12,9.31,115332
2024-02-02 00:00:00+05:30,9.31,9.5,9.02,9.23,40531
2024-02-05 00:00:00+05:30,8.41,11.02,8.41,9.89,1101856
2024-02-06 00:00:00+05:30,10.28,10.37,9.69,9.81,211643
2024-02-07 00:00:00+05:30,10.37,10.37,9.5,9.92,269217
2024-02-08 00:00:00+05:30,10.07,10.07,9.31,9.57,106832
2024-02-09 00:00:00+05:30,9.33,9.78,9.21,9.52,63319
2024-02-12 00:00:00+05:30,10.05,11.15,8.34,8.5,4106270
2024-02-13 00:00:00+05:30,8.88,8.88,7.15,7.43,731438
2024-02-14 00:00:00+05:30,7.61,8.03,7.42,7.64,580380
2024-02-15 00:00:00+05:30,8.14,9.17,8.14,9.17,5001950
2024-02-16 00:00:00+05:30,9.39,10.13,9.04,9.69,16966799
2024-02-19 00:00:00+05:30,9.91,10.59,9.83,9.92,22027727
2024-02-20 00:00:00+05:30,10.01,10.46,9.95,10.38,4031076
2024-02-21 00:00:00+05:30,10.47,10.65,10.32,10.45,3680609
2024-02-22 00:00:00+05:30,10.57,10.6,10.17,10.35,1493298
2024-02-23 00:00:00+05:30,10.37,10.45,9.79,10.17,2510584
2024-02-26 00:00:00+05:30,10.27,10.28,9.62,9.7,4038009
2024-02-27 00:00:00+05:30,9.79,9.98,9.6,9.79,8970110
2024-02-28 00:00:00+05:30,9.79,9.97,9.52,9.71,675194
2024-02-29 00:00:00+05:30,9.79,10.16,9.74,10.08,8596844
2024-03-01 00:00:00+05:30,10.11,10.47,10.11,10.36,7189818
2024-03-02 00:00:00+05:30,10.44,10.47,10.18,10.32,272704
2024-03-04 00:00:00+05:30,10.41,10.86,10.1,10.62,6033823
2024-03-05 00:00:00+05:30,10.76,10.78,9.82,10.1,6576127
2024-03-06 00:00:00+05:30,10.03,10.28,9.99,10.08,2816991
2024-03-07 00:00:00+05:30,10.18,10.27,9.89,10.13,4053668
2024-03-11 00:00:00+05:30,10.08,10.32,9.79,9.93,2704495
2024-03-12 00:00:00+05:30,9.99,10.18,9.6,9.79,1442853
2024-03-13 00:00:00+05:30,9.82,9.98,8.92,9.24,2991322
2024-03-14 00:00:00+05:30,9.4,9.62,7.4,7.44,9572567
2024-03-15 00:00:00+05:30,7.08,7.95,6.51,6.76,14220709
2024-03-18 00:00:00+05:30,6.86,7.43,6.86,7.42,11427949
2024-03-19 00:00:00+05:30,7.28,7.61,7.04,7.21,4280559
2024-03-20 00:00:00+05:30,7.37,7.46,7.0,7.3,6899102
2024-03-21 00:00:00+05:30,7.32,7.95,7.05,7.47,3827685
2024-03-22 00:00:00+05:30,7.37,7.85,7.29,7.68,2668347
2024-03-26 00:00:00+05:30,7.58,7.85,7.54,7.64,1962719
2024-03-27 00:00:00+05:30,7.61,7.75,7.25,7.42,7747834
2024-03-28 00:00:00+05:30,7.52,7.56,7.27,7.45,10284023
2024-04-01 00:00:00+05:30,7.39,7.84,7.39,7.69,1193844
2024-04-02 00:00:00+05:30,8.16,8.18,7.9,7.98,3036321
2024-04-03 00:00:00+05:30,7.87,8.03,7.86,7.9,2885696
2024-04-04 00:00:00+05:30,8.02,8.7,8.02,8.69,7170847
2024-04-05 00:00:00+05:30,8.69,8.87,8.46,8.69,7103442
2024-04-08 00:00:00+05:30,8.72,8.77,8.24,8.53,3998983
2024-04-09 00:00:00+05:30,8.63,8.63,8.3,8.38,2151482
2024-04-10 00:00:00+05:30,8.63,8.63,8.34,8.47,3043356
2024-04-12 00:00:00+05:30,8.53,8.53,8.06,8.21,3395938
2024-04-15 00:00:00+05:30,7.96,8.24,7.84,8.08,2612837
2024-04-16 00:00:00+05:30,8.2,8.31,8.0,8.11,931280
2024-04-18 00:00:00+05:30,8.28,8.28,8.07,8.11,568867
2024-04-19 00:00:00+05:30,8.05,8.72,7.95,8.52,5085077
2024-04-22 00:00:00+05:30,9.1,9.1,8.6,8.8,4614686
2024-04-23 00:00:00+05:30,9.09,9.09,8.77,8.98,1578818
2024-04-24 00:00:00+05:30,9.1,9.26,8.98,9.08,2244647
2024-04-25 00:00:00+05:30,9.1,9.2,8.99,9.11,2835921
2024-04-26 00:00:00+05:30,8.98,9.19,8.98,9.08,2830247
2024-04-29 00:00:00+05:30,9.2,9.21,8.64,8.88,10993355
