Date,Open,High,Low,Close,Volume
2020-01-17 00:00:00+05:30,68.25,77.7,68.25,77.7,11638
2020-01-20 00:00:00+05:30,85.75,85.75,70.18,72.93,4453
2020-01-21 00:00:00+05:30,64.84,76.04,64.84,70.61,17246
2020-01-22 00:00:00+05:30,75.21,75.21,70.0,73.24,3778
2020-01-23 00:00:00+05:30,76.65,79.63,70.0,75.51,320
2020-01-24 00:00:00+05:30,78.75,79.63,66.54,79.01,6761
2020-01-27 00:00:00+05:30,82.25,82.25,69.74,79.54,6771
2020-01-28 00:00:00+05:30,73.59,80.41,73.59,76.48,1436
2020-01-29 00:00:00+05:30,76.08,79.19,75.34,76.91,51
2020-01-30 00:00:00+05:30,78.79,78.79,74.94,75.25,90
2020-01-31 00:00:00+05:30,75.25,79.63,75.25,78.75,1890
2020-02-01 00:00:00+05:30,78.66,78.66,69.26,75.25,9
2020-02-03 00:00:00+05:30,73.5,73.59,73.5,73.59,4
2020-02-04 00:00:00+05:30,78.71,78.71,73.59,76.52,825
2020-02-05 00:00:00+05:30,80.06,80.06,74.81,76.78,902
2020-02-06 00:00:00+05:30,78.27,78.27,77.44,77.44,3
2020-02-07 00:00:00+05:30,74.46,77.39,67.42,71.97,1265
2020-02-10 00:00:00+05:30,78.4,78.4,66.72,70.0,1672
2020-02-11 00:00:00+05:30,70.0,74.38,70.0,73.06,148
2020-02-12 00:00:00+05:30,72.63,77.0,72.63,74.73,125
2020-02-13 00:00:00+05:30,76.69,76.91,76.04,76.91,81
2020-02-14 00:00:00+05:30,68.34,68.34,68.25,68.25,75
2020-02-17 00:00:00+05:30,77.0,78.58,67.94,69.43,468
2020-02-18 00:00:00+05:30,77.0,77.0,70.13,73.06,2458
2020-02-19 00:00:00+05:30,75.16,75.16,75.16,75.16,1
2020-02-20 00:00:00+05:30,69.13,74.38,68.51,73.28,145
2020-02-25 00:00:00+05:30,62.56,69.13,62.39,68.95,282
2020-02-26 00:00:00+05:30,68.86,76.83,63.66,65.84,2261
2020-02-27 00:00:00+05:30,65.89,68.25,65.89,66.15,37
2020-02-28 00:00:00+05:30,65.63,65.63,65.63,65.63,11
