Date,Open,High,Low,Close,Volume
2001-12-26 00:00:00+05:30,13.2,13.3,13.15,13.22,11129
2001-12-27 00:00:00+05:30,13.0,13.23,13.0,13.13,30739
2001-12-28 00:00:00+05:30,12.6,13.25,12.6,13.18,21349
2001-12-31 00:00:00+05:30,13.26,13.44,13.26,13.3,10699
2002-01-01 00:00:00+05:30,13.35,13.55,13.2,13.29,8399
2002-01-02 00:00:00+05:30,13.28,13.5,13.28,13.47,9749
2002-01-03 00:00:00+05:30,13.23,13.4,13.2,13.21,39709
2002-01-04 00:00:00+05:30,13.25,13.39,13.25,13.31,18699
2002-01-07 00:00:00+05:30,13.28,13.7,13.25,13.6,17539
2002-01-08 00:00:00+05:30,13.85,13.99,13.56,13.6,9679
2002-01-09 00:00:00+05:30,13.5,13.6,13.2,13.21,33409
2002-01-10 00:00:00+05:30,13.0,13.24,13.0,13.21,12529
2002-01-11 00:00:00+05:30,13.24,13.24,13.01,13.03,48649
2002-01-14 00:00:00+05:30,13.1,13.25,13.1,13.15,10949
2002-01-15 00:00:00+05:30,13.2,13.4,13.13,13.16,7199
2002-01-16 00:00:00+05:30,13.02,13.3,13.02,13.21,6959
2002-01-17 00:00:00+05:30,13.01,13.3,13.0,13.08,11349
2002-01-18 00:00:00+05:30,13.0,13.1,13.0,13.0,33099
2002-01-21 00:00:00+05:30,13.3,13.3,12.95,12.97,37759
2002-01-22 00:00:00+05:30,13.06,13.1,13.0,13.06,36549
2002-01-23 00:00:00+05:30,13.01,13.3,13.01,13.13,33329
2002-01-24 00:00:00+05:30,13.05,13.05,13.03,13.03,7199
2002-01-25 00:00:00+05:30,13.0,13.25,12.98,13.15,18599
2002-01-28 00:00:00+05:30,13.9,14.29,13.7,13.83,107759
2002-01-29 00:00:00+05:30,13.92,14.13,13.8,13.85,65599
2002-01-30 00:00:00+05:30,13.8,14.1,13.71,13.9,35299
2002-01-31 00:00:00+05:30,14.19,14.19,13.61,13.78,32569
2002-02-01 00:00:00+05:30,13.98,14.0,13.73,13.83,12099
2002-02-04 00:00:00+05:30,13.92,14.47,13.57,13.84,16859
2002-02-05 00:00:00+05:30,13.99,13.99,13.5,13.65,8399
2002-02-06 00:00:00+05:30,13.2,13.8,13.2,13.7,19499
2002-02-07 00:00:00+05:30,13.51,13.7,13.5,13.64,40639
2002-02-08 00:00:00+05:30,13.31,13.8,13.31,13.63,11539
2002-02-11 00:00:00+05:30,13.7,13.85,13.45,13.8,26619
2002-02-12 00:00:00+05:30,14.0,14.0,13.7,13.77,28539
2002-02-13 00:00:00+05:30,13.61,13.92,13.61,13.75,15379
2002-02-14 00:00:00+05:30,13.7,13.88,13.56,13.83,19489
2002-02-15 00:00:00+05:30,13.2,13.9,13.2,13.85,22659
2002-02-18 00:00:00+05:30,13.61,14.0,13.51,13.62,23289
2002-02-19 00:00:00+05:30,13.65,13.85,13.65,13.69,15749
2002-02-20 00:00:00+05:30,13.57,13.65,13.57,13.62,5449
2002-02-21 00:00:00+05:30,13.6,13.69,13.35,13.52,23729
2002-02-22 00:00:00+05:30,13.35,13.6,13.35,13.59,10349
2002-02-25 00:00:00+05:30,13.31,13.99,13.31,13.9,35149
2002-02-26 00:00:00+05:30,14.0,16.68,14.0,16.68,180569
2002-02-27 00:00:00+05:30,16.99,20.01,16.99,19.63,1316419
2002-02-28 00:00:00+05:30,22.8,22.8,17.52,18.0,488359
2002-03-01 00:00:00+05:30,18.4,19.38,18.4,19.2,187169
2002-03-04 00:00:00+05:30,19.8,23.04,19.8,23.04,7606919
2002-03-05 00:00:00+05:30,24.0,24.9,21.1,21.37,1275039
2002-03-06 00:00:00+05:30,21.6,23.0,21.31,21.6,448129
2002-03-07 00:00:00+05:30,21.8,22.1,21.12,21.48,240239
2002-03-08 00:00:00+05:30,21.98,22.0,19.61,19.89,342389
2002-03-11 00:00:00+05:30,19.9,20.1,18.85,19.43,265549
2002-03-12 00:00:00+05:30,19.31,19.5,18.66,18.9,84349
2002-03-13 00:00:00+05:30,18.9,19.16,18.66,18.86,1171879
2002-03-14 00:00:00+05:30,19.3,19.3,18.5,18.57,40259
2002-03-15 00:00:00+05:30,18.76,19.65,18.67,19.54,82319
2002-03-18 00:00:00+05:30,19.9,20.47,19.22,19.76,221379
2002-03-19 00:00:00+05:30,19.99,19.99,18.01,18.35,153159
2002-03-20 00:00:00+05:30,18.12,18.7,18.01,18.16,27939
2002-03-21 00:00:00+05:30,18.3,18.76,18.01,18.03,380859
2002-03-22 00:00:00+05:30,18.2,18.48,18.02,18.17,25259
2002-03-26 00:00:00+05:30,18.5,18.67,18.11,18.19,26359
2002-03-27 00:00:00+05:30,18.1,18.4,17.91,18.14,121009
2002-03-28 00:00:00+05:30,18.13,18.57,18.11,18.28,124849
2002-04-01 00:00:00+05:30,18.21,18.7,18.21,18.48,54949
2002-04-02 00:00:00+05:30,18.8,19.37,18.55,19.14,54089
2002-04-03 00:00:00+05:30,19.24,20.1,19.24,19.91,107009
2002-04-04 00:00:00+05:30,20.2,20.67,19.2,19.56,128589
2002-04-05 00:00:00+05:30,19.5,19.9,17.22,19.33,24419
2002-04-08 00:00:00+05:30,20.2,21.0,19.8,20.08,141289
2002-04-09 00:00:00+05:30,20.64,20.65,19.8,20.43,102239
2002-04-10 00:00:00+05:30,20.7,21.0,20.32,20.89,63819
2002-04-11 00:00:00+05:30,20.56,21.17,20.55,20.74,84399
2002-04-12 00:00:00+05:30,22.0,22.0,20.17,20.35,31689
2002-04-15 00:00:00+05:30,21.0,21.8,20.65,20.86,89069
2002-04-16 00:00:00+05:30,20.8,20.8,20.42,20.58,28439
2002-04-17 00:00:00+05:30,20.99,20.99,20.22,20.27,55419
2002-04-18 00:00:00+05:30,20.4,21.21,20.12,20.95,83129
2002-04-19 00:00:00+05:30,21.08,21.08,20.51,20.82,56729
2002-04-22 00:00:00+05:30,20.3,20.67,20.2,20.42,22419
