Date,Open,High,Low,Close,Volume
2009-02-13 00:00:00+05:30,188.69,188.69,140.28,141.22,8846
2009-02-16 00:00:00+05:30,120.17,134.07,118.18,124.39,16381
2009-02-17 00:00:00+05:30,124.14,124.14,99.56,101.3,90545
2009-02-18 00:00:00+05:30,118.18,118.18,94.35,99.31,380484
2009-02-19 00:00:00+05:30,101.3,106.26,96.33,99.11,252985
2009-02-20 00:00:00+05:30,99.31,102.29,90.37,93.05,139262
2009-02-24 00:00:00+05:30,92.86,92.86,77.46,82.73,54490
2009-02-25 00:00:00+05:30,84.41,94.0,81.43,90.03,150282
2009-02-26 00:00:00+05:30,84.41,85.9,75.48,84.81,71680
2009-02-27 00:00:00+05:30,81.53,84.22,76.52,78.01,1663
2009-03-02 00:00:00+05:30,77.71,78.46,72.5,74.83,7446
2009-03-03 00:00:00+05:30,72.5,74.48,70.51,71.7,11489
2009-03-04 00:00:00+05:30,65.59,73.49,65.59,70.06,40357
2009-03-05 00:00:00+05:30,60.63,72.45,60.63,69.52,16496
2009-03-06 00:00:00+05:30,64.55,72.5,63.56,68.67,13089
2009-03-09 00:00:00+05:30,69.52,69.52,64.55,67.43,8317
2009-03-12 00:00:00+05:30,54.12,72.5,54.12,69.87,181060
2009-03-13 00:00:00+05:30,78.46,82.43,68.52,81.39,52114
2009-03-16 00:00:00+05:30,76.52,88.29,76.52,83.42,6974
2009-03-17 00:00:00+05:30,79.7,86.7,79.45,85.66,14901
2009-03-18 00:00:00+05:30,84.46,93.35,84.46,89.88,341413
2009-03-19 00:00:00+05:30,85.9,94.35,79.45,90.27,16169
2009-03-20 00:00:00+05:30,84.51,93.35,84.51,91.22,14021
2009-03-23 00:00:00+05:30,86.6,100.3,86.6,99.51,16281
2009-03-24 00:00:00+05:30,98.32,100.3,89.88,99.71,29478
2009-03-25 00:00:00+05:30,93.35,103.28,93.35,101.15,59394
2009-03-26 00:00:00+05:30,117.68,117.68,97.32,105.07,17957
2009-03-27 00:00:00+05:30,99.31,112.22,99.31,108.99,16559
2009-03-30 00:00:00+05:30,99.31,113.21,95.74,112.27,21886
2009-03-31 00:00:00+05:30,109.24,119.17,106.26,115.99,8324
2009-04-01 00:00:00+05:30,106.76,112.22,106.76,108.2,17978
2009-04-02 00:00:00+05:30,109.24,112.22,103.78,110.88,4004
2009-04-06 00:00:00+05:30,109.74,113.91,107.4,109.24,465
2009-04-08 00:00:00+05:30,101.35,110.23,101.35,106.31,3620
2009-04-09 00:00:00+05:30,107.26,113.21,101.55,102.04,2074
2009-04-13 00:00:00+05:30,112.12,112.27,112.12,112.27,337
2009-04-15 00:00:00+05:30,118.48,123.54,112.37,123.54,4490
2009-04-16 00:00:00+05:30,132.08,135.06,111.23,111.23,3270
2009-04-17 00:00:00+05:30,111.23,112.72,101.3,107.65,9075
2009-04-20 00:00:00+05:30,104.28,109.04,103.18,103.93,1775
2009-04-21 00:00:00+05:30,105.27,114.01,100.3,113.81,29766
2009-04-22 00:00:00+05:30,114.21,125.23,110.33,116.74,3431
2009-04-23 00:00:00+05:30,119.17,128.11,119.17,125.53,1591
2009-04-24 00:00:00+05:30,120.17,133.87,119.17,129.0,17789
2009-04-27 00:00:00+05:30,124.14,138.94,122.2,124.14,57405
2009-04-28 00:00:00+05:30,120.27,127.86,114.31,120.56,15403
2009-04-29 00:00:00+05:30,115.2,126.92,115.2,119.17,220
2009-05-04 00:00:00+05:30,110.28,131.09,110.28,126.17,37739
2009-05-05 00:00:00+05:30,129.1,137.55,125.18,130.89,1449
2009-05-06 00:00:00+05:30,129.1,134.07,124.14,126.77,9498
2009-05-07 00:00:00+05:30,129.1,132.08,127.12,131.44,458
2009-05-08 00:00:00+05:30,132.08,134.07,120.17,129.55,21709
2009-05-11 00:00:00+05:30,129.1,129.1,111.72,128.66,13480
2009-05-12 00:00:00+05:30,124.14,134.07,120.27,132.18,13020
2009-05-13 00:00:00+05:30,140.77,140.77,127.12,134.47,5481
2009-05-14 00:00:00+05:30,136.06,141.17,121.36,126.62,897
2009-05-15 00:00:00+05:30,148.52,148.52,127.27,135.36,152
2009-05-18 00:00:00+05:30,162.37,162.37,162.37,162.37,50
2009-05-19 00:00:00+05:30,191.67,191.67,144.0,168.93,21758
2009-05-20 00:00:00+05:30,173.79,187.5,164.86,180.75,3043
2009-05-21 00:00:00+05:30,174.79,197.63,174.79,184.02,22900
2009-05-22 00:00:00+05:30,188.69,202.1,188.69,198.67,4379
2009-05-25 00:00:00+05:30,190.68,208.55,189.68,198.62,470
2009-05-26 00:00:00+05:30,200.61,218.48,197.33,203.88,1199
2009-05-27 00:00:00+05:30,208.55,224.24,208.55,223.4,41218
2009-05-28 00:00:00+05:30,234.47,234.47,210.54,227.37,345
2009-05-29 00:00:00+05:30,234.37,236.76,218.48,230.4,663
