Date,Open,High,Low,Close,Volume
2002-02-07 00:00:00+05:30,4.0,4.0,4.0,4.0,21
2002-03-12 00:00:00+05:30,3.84,3.84,3.84,3.84,53
2002-04-15 00:00:00+05:30,3.65,3.65,3.65,3.65,1063
2002-07-03 00:00:00+05:30,3.47,3.47,3.47,3.47,21
2002-07-04 00:00:00+05:30,3.29,3.29,3.29,3.29,31
2002-07-10 00:00:00+05:30,3.13,3.13,3.13,3.13,31
2002-07-16 00:00:00+05:30,2.98,2.98,2.98,2.98,31
2002-07-17 00:00:00+05:30,2.83,2.83,2.83,2.83,21
2002-07-18 00:00:00+05:30,2.69,2.69,2.69,2.69,21
2002-07-19 00:00:00+05:30,2.56,2.56,2.56,2.56,1074
2002-07-22 00:00:00+05:30,2.43,2.43,2.43,2.43,31
2002-07-23 00:00:00+05:30,2.24,2.24,2.24,2.24,21
2002-07-24 00:00:00+05:30,2.13,2.13,2.13,2.13,42
2002-10-21 00:00:00+05:30,0.9,0.9,0.9,0.9,1063
2003-02-28 00:00:00+05:30,1.03,1.15,1.03,1.15,31
2003-03-03 00:00:00+05:30,1.36,1.36,1.36,1.36,10
2003-03-04 00:00:00+05:30,1.13,1.13,1.13,1.13,106
2003-03-05 00:00:00+05:30,0.91,0.91,0.91,0.91,946
2003-03-11 00:00:00+05:30,0.74,0.74,0.73,0.73,21
2003-03-12 00:00:00+05:30,0.66,0.75,0.59,0.75,617
2003-03-17 00:00:00+05:30,0.61,0.61,0.61,0.61,10
2003-04-17 00:00:00+05:30,0.64,0.64,0.64,0.64,122340
2003-05-16 00:00:00+05:30,0.64,0.64,0.64,0.64,10638
2003-07-30 00:00:00+05:30,1.24,1.24,1.24,1.24,1063
2003-07-31 00:00:00+05:30,1.48,1.48,1.48,1.48,531
2003-08-01 00:00:00+05:30,1.41,1.73,1.2,1.46,4840
2003-08-05 00:00:00+05:30,1.46,1.5,1.46,1.49,15957
2003-08-06 00:00:00+05:30,1.5,1.72,1.5,1.72,2127
2003-08-07 00:00:00+05:30,1.97,2.02,1.62,1.63,1691
2003-08-08 00:00:00+05:30,1.69,1.69,1.48,1.48,5872
2003-08-11 00:00:00+05:30,1.77,1.77,1.45,1.45,819
2003-08-12 00:00:00+05:30,1.55,1.69,1.55,1.65,9574
2003-08-13 00:00:00+05:30,1.69,1.73,1.69,1.73,7446
2003-08-14 00:00:00+05:30,1.56,1.57,1.56,1.57,15425
2003-08-20 00:00:00+05:30,1.56,1.57,1.56,1.57,6382
2003-08-25 00:00:00+05:30,1.31,1.31,1.31,1.31,1063
2003-08-29 00:00:00+05:30,1.55,1.55,1.34,1.38,3212
2003-09-02 00:00:00+05:30,1.2,1.5,1.2,1.41,31
2003-09-05 00:00:00+05:30,1.5,1.5,1.5,1.5,265
2003-12-30 00:00:00+05:30,1.51,2.06,1.51,2.06,21
2003-12-31 00:00:00+05:30,1.71,2.16,1.66,1.66,7489
2004-01-01 00:00:00+05:30,1.87,1.97,1.38,1.72,20255
2004-01-02 00:00:00+05:30,1.74,2.05,1.74,2.01,44617
2004-01-05 00:00:00+05:30,2.37,2.37,1.91,2.06,43074
2004-01-06 00:00:00+05:30,2.07,2.44,2.07,2.16,44691
2004-01-07 00:00:00+05:30,2.33,2.33,2.05,2.08,24617
2004-01-08 00:00:00+05:30,2.12,2.12,2.08,2.12,24468
2004-01-09 00:00:00+05:30,2.11,2.11,1.86,1.98,21
2004-01-12 00:00:00+05:30,1.88,1.97,1.88,1.97,4287
2004-01-13 00:00:00+05:30,2.06,2.06,1.83,1.84,1893
2004-01-14 00:00:00+05:30,2.12,2.12,1.8,1.97,127
2004-01-15 00:00:00+05:30,2.04,2.04,1.69,1.86,21
2004-01-19 00:00:00+05:30,1.86,1.86,1.69,1.7,42
2004-01-20 00:00:00+05:30,1.61,1.95,1.61,1.71,14361
2004-01-21 00:00:00+05:30,1.69,1.69,1.69,1.69,531
2004-01-23 00:00:00+05:30,1.6,1.6,1.52,1.52,170
2004-01-28 00:00:00+05:30,1.6,1.6,1.6,1.6,3723
2004-01-29 00:00:00+05:30,1.64,1.79,1.47,1.79,11744
2004-02-04 00:00:00+05:30,2.06,2.06,1.65,1.65,1063
2004-02-10 00:00:00+05:30,1.6,1.88,1.6,1.88,606
2004-02-11 00:00:00+05:30,1.65,1.65,1.5,1.5,765
2004-02-16 00:00:00+05:30,1.32,1.45,1.32,1.45,2127
2004-02-19 00:00:00+05:30,1.69,1.69,1.69,1.69,53
2004-02-20 00:00:00+05:30,1.76,1.76,1.43,1.57,7446
2004-02-23 00:00:00+05:30,1.6,1.6,1.41,1.41,11712
2004-02-26 00:00:00+05:30,1.22,1.22,1.22,1.22,21
2004-03-03 00:00:00+05:30,1.46,1.46,1.46,1.46,10
2004-03-04 00:00:00+05:30,1.7,1.7,1.7,1.7,10
2004-03-05 00:00:00+05:30,1.98,1.98,1.37,1.62,2191
2004-03-08 00:00:00+05:30,1.79,1.88,1.65,1.65,1085
2004-03-09 00:00:00+05:30,1.5,1.5,1.33,1.33,3734
2004-03-11 00:00:00+05:30,1.59,1.59,1.25,1.52,3212
2004-03-12 00:00:00+05:30,1.52,1.59,1.52,1.59,1595
2004-03-16 00:00:00+05:30,1.58,1.91,1.58,1.91,31
2004-03-17 00:00:00+05:30,1.6,1.6,1.54,1.54,6382
2004-03-18 00:00:00+05:30,1.29,1.29,1.29,1.29,1595
2004-03-29 00:00:00+05:30,1.55,1.55,1.17,1.5,154787
2004-03-30 00:00:00+05:30,1.5,1.53,1.27,1.29,317021
2004-03-31 00:00:00+05:30,1.18,1.55,1.18,1.55,10670
2004-04-01 00:00:00+05:30,1.54,1.54,1.54,1.54,531
2004-04-12 00:00:00+05:30,1.35,1.53,1.35,1.53,2691
2004-04-15 00:00:00+05:30,1.52,1.53,1.42,1.42,11170
2004-04-21 00:00:00+05:30,1.7,1.7,1.7,1.7,10
2004-04-22 00:00:00+05:30,1.7,1.85,1.5,1.6,11702
2004-04-23 00:00:00+05:30,1.73,1.73,1.73,1.73,531
2004-04-29 00:00:00+05:30,2.04,2.04,2.04,2.04,10
2004-05-06 00:00:00+05:30,2.42,2.42,1.64,1.64,10095
2004-05-07 00:00:00+05:30,1.69,1.69,1.59,1.59,11702
2004-05-13 00:00:00+05:30,1.75,1.75,1.75,1.75,1063
2004-05-26 00:00:00+05:30,1.5,1.59,1.46,1.59,2659
2004-05-27 00:00:00+05:30,1.5,1.5,1.5,1.5,4776
2004-06-02 00:00:00+05:30,1.35,1.35,1.35,1.35,10
2004-06-03 00:00:00+05:30,1.43,1.49,1.41,1.49,11968
2004-06-08 00:00:00+05:30,1.5,1.5,1.5,1.5,1063
2004-06-10 00:00:00+05:30,1.69,1.69,1.58,1.65,11936
2004-06-15 00:00:00+05:30,1.6,1.75,1.6,1.74,6382
2004-06-16 00:00:00+05:30,1.6,1.64,1.6,1.6,10638
2004-06-17 00:00:00+05:30,1.6,1.6,1.6,1.6,2978
2004-06-18 00:00:00+05:30,1.55,1.55,1.48,1.5,1234
2004-06-21 00:00:00+05:30,1.41,1.41,1.41,1.41,3723
2004-06-23 00:00:00+05:30,1.46,1.48,1.46,1.48,2127
2004-06-25 00:00:00+05:30,1.46,1.5,1.41,1.41,9574
2004-06-28 00:00:00+05:30,1.41,1.41,1.41,1.41,531
2004-06-30 00:00:00+05:30,1.54,1.55,1.43,1.43,2127
2004-07-01 00:00:00+05:30,1.5,1.5,1.5,1.5,1063
2004-07-06 00:00:00+05:30,1.53,1.53,1.43,1.46,2127
2004-07-07 00:00:00+05:30,1.46,1.46,1.46,1.46,2127
2004-07-08 00:00:00+05:30,1.41,1.41,1.41,1.41,11702
2004-07-09 00:00:00+05:30,1.41,1.41,1.41,1.41,2127
2004-07-15 00:00:00+05:30,1.41,1.41,1.41,1.41,7446
2004-07-16 00:00:00+05:30,1.41,1.41,1.41,1.41,10638
2004-07-20 00:00:00+05:30,1.41,1.41,1.41,1.41,7712
2004-07-26 00:00:00+05:30,1.3,1.41,1.3,1.32,5968
2004-07-29 00:00:00+05:30,1.41,1.41,1.36,1.41,3510
2004-07-30 00:00:00+05:30,1.41,1.41,1.41,1.41,38297
2004-08-04 00:00:00+05:30,1.37,1.45,1.37,1.37,3202
2004-08-05 00:00:00+05:30,1.63,1.63,1.37,1.37,42
2004-08-06 00:00:00+05:30,1.65,1.65,1.36,1.43,28765
2004-08-10 00:00:00+05:30,1.36,1.42,1.36,1.42,437787
2004-08-11 00:00:00+05:30,1.56,1.56,1.43,1.43,3212
2004-08-12 00:00:00+05:30,1.41,1.41,1.41,1.41,585
2004-08-13 00:00:00+05:30,1.44,1.44,1.44,1.44,9574
2004-08-17 00:00:00+05:30,1.44,1.44,1.42,1.42,2127
2004-08-18 00:00:00+05:30,1.42,1.42,1.42,1.42,58510
