Date,Open,High,Low,Close,Volume
2015-12-28 00:00:00+05:30,216.84,216.84,213.78,214.95,7120
2015-12-29 00:00:00+05:30,210.8,216.17,210.8,214.69,4433
2015-12-30 00:00:00+05:30,213.49,216.35,212.85,213.75,1547
2015-12-31 00:00:00+05:30,211.16,216.74,211.16,215.39,4471
2016-01-01 00:00:00+05:30,211.42,216.19,211.32,215.18,3107
2016-01-04 00:00:00+05:30,217.39,217.75,214.35,214.84,4502
2016-01-05 00:00:00+05:30,216.84,217.75,206.23,211.6,33526
2016-01-06 00:00:00+05:30,215.02,215.31,208.15,209.81,15687
2016-01-07 00:00:00+05:30,207.53,212.48,207.53,211.42,187942
2016-01-08 00:00:00+05:30,211.68,213.75,210.41,212.25,1829
2016-01-11 00:00:00+05:30,214.79,215.83,210.12,212.28,7283
2016-01-12 00:00:00+05:30,210.72,215.18,210.17,210.46,4810
2016-01-13 00:00:00+05:30,212.72,214.53,207.53,210.61,15369
2016-01-14 00:00:00+05:30,208.05,211.68,207.53,209.34,3139
2016-01-15 00:00:00+05:30,206.26,210.64,206.26,209.55,4970
2016-01-18 00:00:00+05:30,206.23,210.1,204.41,207.92,12815
2016-01-19 00:00:00+05:30,212.17,212.64,208.18,210.72,6778
2016-01-20 00:00:00+05:30,207.74,210.1,206.49,207.84,6123
2016-01-21 00:00:00+05:30,212.69,212.72,209.08,210.1,5416
2016-01-22 00:00:00+05:30,212.72,215.36,210.12,210.33,20188
2016-01-25 00:00:00+05:30,210.33,215.31,209.08,211.39,14903
2016-01-27 00:00:00+05:30,212.69,212.69,209.6,210.38,22940
2016-01-28 00:00:00+05:30,210.15,212.04,210.12,210.2,14442
2016-01-29 00:00:00+05:30,210.17,211.42,209.24,210.17,104712
2016-02-01 00:00:00+05:30,210.41,212.2,210.12,211.42,6730
2016-02-02 00:00:00+05:30,210.33,211.68,210.12,210.12,9413
2016-02-03 00:00:00+05:30,209.6,212.2,204.93,210.87,16234
2016-02-04 00:00:00+05:30,210.28,212.2,210.12,211.7,5849
2016-02-05 00:00:00+05:30,210.3,211.68,210.12,210.56,103243
2016-02-08 00:00:00+05:30,211.16,211.68,207.66,209.94,3839
2016-02-09 00:00:00+05:30,210.3,211.08,210.12,210.12,13837
2016-02-10 00:00:00+05:30,209.6,211.11,207.53,210.12,18441
2016-02-11 00:00:00+05:30,210.23,211.16,210.12,210.12,69559
2016-02-12 00:00:00+05:30,210.15,211.16,202.34,207.35,17356
2016-02-15 00:00:00+05:30,208.8,210.07,206.78,207.66,4577
2016-02-16 00:00:00+05:30,206.26,206.26,203.46,205.97,969
2016-02-17 00:00:00+05:30,210.12,210.12,202.86,204.16,3633
2016-02-18 00:00:00+05:30,204.26,207.01,204.26,206.46,813
2016-02-19 00:00:00+05:30,206.49,206.49,201.67,203.61,1825
2016-02-22 00:00:00+05:30,203.12,206.91,203.12,206.54,2586
2016-02-23 00:00:00+05:30,205.19,208.05,203.64,207.48,1769
2016-02-24 00:00:00+05:30,207.45,207.45,204.96,205.04,8845
2016-02-25 00:00:00+05:30,206.91,206.91,204.96,205.09,3066
2016-02-26 00:00:00+05:30,207.24,207.24,204.93,206.7,2496
2016-02-29 00:00:00+05:30,204.96,209.08,204.96,208.64,8908
2016-03-01 00:00:00+05:30,209.08,209.08,206.0,206.52,1657
2016-03-02 00:00:00+05:30,208.57,208.57,206.0,207.84,6150
2016-03-03 00:00:00+05:30,208.54,210.07,207.03,209.53,23347
2016-03-04 00:00:00+05:30,210.07,210.07,206.49,206.91,3631
2016-03-08 00:00:00+05:30,209.06,209.06,206.49,206.59,5543
2016-03-09 00:00:00+05:30,208.98,209.08,206.52,207.84,4176
2016-03-10 00:00:00+05:30,209.08,209.08,206.75,206.75,1062
2016-03-11 00:00:00+05:30,208.98,210.02,207.53,208.41,2798
2016-03-14 00:00:00+05:30,209.55,210.61,209.08,209.6,1667
2016-03-15 00:00:00+05:30,209.89,209.89,208.57,209.6,3062
2016-03-16 00:00:00+05:30,210.64,210.64,208.57,210.12,3267
2016-03-17 00:00:00+05:30,210.64,212.66,210.12,210.12,5375
2016-03-18 00:00:00+05:30,210.12,210.64,210.12,210.2,3226
2016-03-21 00:00:00+05:30,212.2,212.2,210.38,210.41,41407
2016-03-22 00:00:00+05:30,215.31,215.31,210.64,211.29,1719
2016-03-23 00:00:00+05:30,210.64,212.66,210.25,211.57,3885
2016-03-28 00:00:00+05:30,210.43,211.94,210.12,210.82,2550
2016-03-29 00:00:00+05:30,210.23,215.26,210.23,212.2,4157
2016-03-30 00:00:00+05:30,215.31,215.31,212.72,212.79,948
2016-03-31 00:00:00+05:30,215.26,215.26,212.85,214.4,1260
2016-04-01 00:00:00+05:30,213.23,215.31,212.72,214.27,2511
2016-04-04 00:00:00+05:30,215.26,215.26,212.92,213.75,215
2016-04-05 00:00:00+05:30,213.23,215.31,212.72,213.47,19729
2016-04-06 00:00:00+05:30,212.98,213.75,212.72,212.77,1297
2016-04-07 00:00:00+05:30,212.77,214.27,212.74,213.13,1750
2016-04-08 00:00:00+05:30,212.82,220.45,212.82,215.49,6830
2016-04-11 00:00:00+05:30,214.9,220.94,214.9,219.75,2833
2016-04-12 00:00:00+05:30,215.36,223.09,215.36,222.47,1603
2016-04-13 00:00:00+05:30,222.05,233.31,220.5,228.49,7054
2016-04-18 00:00:00+05:30,228.49,228.8,223.09,226.91,3889
2016-04-20 00:00:00+05:30,223.9,232.95,223.9,229.81,12991
2016-04-21 00:00:00+05:30,232.95,232.95,223.87,225.58,4647
2016-04-22 00:00:00+05:30,229.21,233.47,226.26,231.78,5834
2016-04-25 00:00:00+05:30,233.47,235.03,227.76,233.49,5117
2016-04-26 00:00:00+05:30,233.49,236.58,230.38,234.4,7360
2016-04-27 00:00:00+05:30,238.66,238.66,227.76,234.14,2195
2016-04-28 00:00:00+05:30,235.03,235.54,233.47,234.17,3276
2016-04-29 00:00:00+05:30,234.51,236.06,230.87,234.09,8839
2016-05-02 00:00:00+05:30,233.47,234.77,233.47,233.47,6958
2016-05-03 00:00:00+05:30,230.87,233.99,228.28,231.0,9511
2016-05-04 00:00:00+05:30,228.83,228.83,223.61,225.3,4329
2016-05-05 00:00:00+05:30,229.01,233.42,225.82,229.94,5117
2016-05-06 00:00:00+05:30,224.7,231.91,224.18,227.92,1836
2016-05-09 00:00:00+05:30,228.28,228.54,226.21,226.34,4695
2016-05-10 00:00:00+05:30,224.18,225.17,219.51,221.15,14062
2016-05-11 00:00:00+05:30,220.5,224.55,220.5,221.67,8108
2016-05-12 00:00:00+05:30,223.09,228.8,221.04,226.57,9089
2016-05-13 00:00:00+05:30,227.22,227.22,220.6,221.09,5051
2016-05-16 00:00:00+05:30,221.12,224.05,220.52,220.6,7162
2016-05-17 00:00:00+05:30,221.07,222.99,220.5,220.58,7744
2016-05-18 00:00:00+05:30,219.59,221.74,219.59,220.52,14203
2016-05-19 00:00:00+05:30,220.73,241.23,220.65,221.28,53340
2016-05-20 00:00:00+05:30,220.58,227.24,220.52,221.22,9583
2016-05-23 00:00:00+05:30,221.54,227.48,220.84,222.11,8066
2016-05-24 00:00:00+05:30,223.01,223.01,220.55,220.84,20120
2016-05-25 00:00:00+05:30,227.19,227.19,220.63,221.28,3706
2016-05-26 00:00:00+05:30,222.05,225.17,221.38,224.18,4099
2016-05-27 00:00:00+05:30,224.65,229.32,222.31,225.38,15708
2016-05-30 00:00:00+05:30,228.28,228.28,220.5,220.81,37375
2016-05-31 00:00:00+05:30,223.12,226.93,221.04,221.41,14914
2016-06-01 00:00:00+05:30,221.56,228.23,221.54,225.19,10059
2016-06-02 00:00:00+05:30,227.76,228.54,225.12,227.74,11131
2016-06-03 00:00:00+05:30,231.39,232.95,226.21,229.81,23418
2016-06-06 00:00:00+05:30,255.1,255.1,229.37,233.75,30278
2016-06-07 00:00:00+05:30,239.69,251.58,235.54,248.51,53035
2016-06-08 00:00:00+05:30,251.58,253.7,249.03,249.37,9427
2016-06-09 00:00:00+05:30,246.44,250.59,241.8,244.29,14579
2016-06-10 00:00:00+05:30,245.69,245.69,241.77,243.46,5458
2016-06-13 00:00:00+05:30,243.27,243.27,239.46,240.81,10082
2016-06-14 00:00:00+05:30,242.78,242.78,231.96,240.6,12570
2016-06-15 00:00:00+05:30,246.23,246.23,238.76,239.28,8827
2016-06-16 00:00:00+05:30,243.74,243.74,233.13,238.4,4049
2016-06-17 00:00:00+05:30,238.63,238.63,231.91,233.96,5443
2016-06-20 00:00:00+05:30,233.99,245.92,233.21,238.66,10516
2016-06-21 00:00:00+05:30,244.88,244.88,235.03,242.81,5926
2016-06-22 00:00:00+05:30,244.86,244.86,228.33,230.28,16529
2016-06-23 00:00:00+05:30,234.51,237.13,230.87,233.6,12027
2016-06-24 00:00:00+05:30,219.23,238.71,219.23,233.68,11067
2016-06-27 00:00:00+05:30,241.25,241.25,231.39,233.55,13910
2016-06-28 00:00:00+05:30,234.01,237.05,231.21,233.37,6428
2016-06-29 00:00:00+05:30,233.49,235.03,229.32,230.1,18206
2016-06-30 00:00:00+05:30,230.12,235.54,227.76,229.89,12223
2016-07-01 00:00:00+05:30,235.54,235.54,231.91,233.68,7973
2016-07-04 00:00:00+05:30,236.06,238.14,231.39,232.38,14590
2016-07-05 00:00:00+05:30,236.66,236.66,231.91,233.65,12958
2016-07-07 00:00:00+05:30,236.06,242.91,234.3,240.71,18439
2016-07-08 00:00:00+05:30,242.81,263.09,240.73,251.86,167137
2016-07-11 00:00:00+05:30,256.5,261.12,252.67,254.9,51767
2016-07-12 00:00:00+05:30,260.91,260.91,251.63,253.86,34183
2016-07-13 00:00:00+05:30,260.03,293.73,240.6,244.74,120398
2016-07-14 00:00:00+05:30,246.96,253.35,240.64,248.41,44575
2016-07-15 00:00:00+05:30,254.04,260.94,252.91,258.91,27963
2016-07-18 00:00:00+05:30,258.94,261.49,251.72,255.89,24387
2016-07-19 00:00:00+05:30,257.13,258.58,250.99,252.88,5116
2016-07-20 00:00:00+05:30,252.73,254.22,245.58,249.36,10168
2016-07-21 00:00:00+05:30,249.9,252.62,248.77,250.74,7500
2016-07-22 00:00:00+05:30,252.77,252.77,239.69,242.35,11891
2016-07-25 00:00:00+05:30,241.51,250.59,241.51,247.54,8502
2016-07-26 00:00:00+05:30,247.68,250.59,242.16,247.83,5709
2016-07-27 00:00:00+05:30,250.59,250.59,242.24,242.38,11471
2016-07-28 00:00:00+05:30,246.23,246.23,228.07,234.72,23355
2016-07-29 00:00:00+05:30,238.21,241.8,233.59,237.55,10883
2016-08-01 00:00:00+05:30,244.49,245.51,233.16,235.12,11246
2016-08-02 00:00:00+05:30,234.61,238.1,230.25,232.65,7244
2016-08-03 00:00:00+05:30,232.43,235.88,223.39,231.81,7390
2016-08-04 00:00:00+05:30,232.32,232.32,223.03,227.67,10521
2016-08-05 00:00:00+05:30,225.17,236.1,225.17,233.19,4493
2016-08-08 00:00:00+05:30,275.29,275.29,233.27,241.55,11526
2016-08-09 00:00:00+05:30,246.45,246.49,233.88,238.9,4123
2016-08-10 00:00:00+05:30,243.83,245.47,234.97,237.12,4612
2016-08-11 00:00:00+05:30,245.36,245.36,236.06,239.0,3835
