Date,Open,High,Low,Close,Volume
2001-12-26 00:00:00+05:30,32.0,32.0,32.0,32.0,3000
2001-12-27 00:00:00+05:30,32.0,32.0,31.5,31.5,696
2001-12-28 00:00:00+05:30,31.5,31.5,31.5,31.5,17
2001-12-31 00:00:00+05:30,31.0,32.0,31.0,32.0,200
2002-01-01 00:00:00+05:30,38.4,38.4,31.15,31.15,309
2002-01-02 00:00:00+05:30,31.0,32.5,31.0,32.5,237
2002-01-04 00:00:00+05:30,32.5,33.5,32.5,33.5,600
2002-01-07 00:00:00+05:30,33.85,33.85,32.05,32.05,51
2002-01-09 00:00:00+05:30,31.05,31.05,31.0,31.0,300
2002-01-10 00:00:00+05:30,30.85,30.85,30.85,30.85,100
2002-01-11 00:00:00+05:30,30.55,31.85,30.55,31.85,200
2002-01-14 00:00:00+05:30,30.9,32.7,30.9,31.35,284
2002-01-15 00:00:00+05:30,32.0,32.0,30.7,30.7,76
2002-01-16 00:00:00+05:30,30.8,31.25,30.8,31.15,550
2002-01-17 00:00:00+05:30,31.0,33.1,31.0,33.0,20
2002-01-21 00:00:00+05:30,32.2,32.2,30.6,30.65,124
2002-01-23 00:00:00+05:30,31.0,31.0,31.0,31.0,150
2002-01-24 00:00:00+05:30,32.7,32.7,32.3,32.3,208
2002-01-25 00:00:00+05:30,31.0,32.95,29.95,31.15,252
2002-01-29 00:00:00+05:30,31.85,31.85,31.85,31.85,100
2002-01-30 00:00:00+05:30,31.05,31.05,30.2,30.25,324
2002-01-31 00:00:00+05:30,32.2,32.5,30.5,32.5,484
2002-02-01 00:00:00+05:30,30.4,30.4,30.4,30.4,54
2002-02-06 00:00:00+05:30,30.55,31.0,30.5,30.5,1427
2002-02-07 00:00:00+05:30,30.8,31.2,30.5,30.65,732
2002-02-08 00:00:00+05:30,30.95,32.45,30.75,31.65,1575
2002-02-11 00:00:00+05:30,31.05,31.05,31.05,31.05,200
2002-02-12 00:00:00+05:30,31.0,31.0,31.0,31.0,48
2002-02-13 00:00:00+05:30,31.5,32.25,31.5,32.25,1200
2002-02-14 00:00:00+05:30,31.75,31.75,31.75,31.75,128
2002-02-15 00:00:00+05:30,31.3,33.0,31.3,32.35,1374
2002-02-18 00:00:00+05:30,32.0,32.9,32.0,32.85,320
2002-02-19 00:00:00+05:30,32.8,32.8,31.1,31.65,935
2002-02-20 00:00:00+05:30,31.05,32.0,31.05,32.0,120
2002-02-21 00:00:00+05:30,30.0,30.0,30.0,30.0,28
