Date,Open,High,Low,Close,Volume
2001-12-28 00:00:00+05:30,30.94,30.94,30.94,30.94,133
2001-12-31 00:00:00+05:30,27.47,27.47,27.47,27.47,266
2002-01-02 00:00:00+05:30,30.43,30.43,30.43,30.43,53
2002-01-03 00:00:00+05:30,28.39,28.39,28.39,28.39,212
2002-01-04 00:00:00+05:30,28.74,28.74,28.57,28.57,266
2002-01-08 00:00:00+05:30,27.8,28.18,27.62,28.18,2076
2002-01-14 00:00:00+05:30,30.25,30.25,28.55,28.6,612
2002-01-15 00:00:00+05:30,30.06,30.89,29.26,30.89,6408
2002-01-16 00:00:00+05:30,32.48,32.5,30.81,30.81,798
2002-01-17 00:00:00+05:30,32.88,32.88,31.94,32.65,303
2002-01-21 00:00:00+05:30,33.61,34.57,33.61,34.19,6494
2002-01-22 00:00:00+05:30,34.75,35.27,34.24,34.75,6233
2002-01-23 00:00:00+05:30,35.69,36.26,35.09,35.32,8256
2002-01-24 00:00:00+05:30,35.69,36.07,35.69,35.69,16198
2002-01-25 00:00:00+05:30,35.69,36.06,35.69,35.71,19583
2002-01-28 00:00:00+05:30,35.88,36.25,35.69,35.7,10167
2002-01-29 00:00:00+05:30,35.69,35.88,35.32,35.66,1389
2002-01-30 00:00:00+05:30,35.1,35.32,35.1,35.13,660
2002-01-31 00:00:00+05:30,33.81,33.81,33.81,33.81,266
2002-02-01 00:00:00+05:30,34.38,34.38,34.38,34.38,53
2002-02-05 00:00:00+05:30,34.37,34.37,32.47,32.69,931
2002-02-06 00:00:00+05:30,32.13,32.88,31.94,32.55,1756
2002-02-07 00:00:00+05:30,32.5,32.59,32.5,32.59,4684
2002-02-08 00:00:00+05:30,32.69,33.06,32.69,32.88,1192
2002-02-11 00:00:00+05:30,33.06,33.06,31.75,32.03,9288
2002-02-12 00:00:00+05:30,32.97,32.97,31.0,31.0,5323
2002-02-13 00:00:00+05:30,32.88,32.88,31.94,32.09,4327
2002-02-14 00:00:00+05:30,32.88,32.88,31.18,31.38,6302
2002-02-15 00:00:00+05:30,32.69,32.88,31.39,32.08,3151
2002-02-19 00:00:00+05:30,32.31,32.31,31.94,31.94,2081
2002-02-20 00:00:00+05:30,31.94,31.94,31.94,31.94,532
2002-02-21 00:00:00+05:30,32.54,32.88,31.58,31.77,3960
2002-02-22 00:00:00+05:30,32.31,32.31,30.81,31.04,2677
2002-02-25 00:00:00+05:30,31.75,32.12,31.06,31.94,2927
2002-02-26 00:00:00+05:30,32.88,34.38,32.88,34.35,6739
2002-02-27 00:00:00+05:30,34.75,36.26,34.75,35.86,8037
2002-02-28 00:00:00+05:30,35.69,35.69,34.0,34.01,6813
2002-03-01 00:00:00+05:30,32.88,32.88,32.6,32.88,532
2002-03-04 00:00:00+05:30,35.29,35.51,34.59,34.75,4364
2002-03-05 00:00:00+05:30,35.51,35.51,34.75,34.75,825
2002-03-06 00:00:00+05:30,34.57,36.63,34.38,36.62,9672
2002-03-07 00:00:00+05:30,35.32,35.36,34.86,34.96,1495
2002-03-08 00:00:00+05:30,35.32,35.32,33.27,33.67,2730
2002-03-11 00:00:00+05:30,34.75,34.75,32.61,32.61,186
2002-03-12 00:00:00+05:30,31.94,33.23,31.94,33.16,2555
2002-03-13 00:00:00+05:30,33.81,33.81,32.12,32.12,1038
2002-03-14 00:00:00+05:30,34.19,34.19,31.94,31.96,548
2002-03-15 00:00:00+05:30,32.91,32.91,32.88,32.88,377
2002-03-18 00:00:00+05:30,31.98,32.86,31.75,31.95,3843
2002-03-19 00:00:00+05:30,32.14,32.14,32.03,32.04,1543
2002-03-20 00:00:00+05:30,32.12,32.12,32.12,32.12,90
2002-03-21 00:00:00+05:30,32.41,32.41,32.41,32.41,532
2002-03-22 00:00:00+05:30,34.28,34.28,31.96,31.96,3257
2002-03-26 00:00:00+05:30,31.94,32.67,31.92,31.96,1203
2002-03-27 00:00:00+05:30,33.98,33.98,32.11,32.18,1655
2002-03-28 00:00:00+05:30,32.88,33.81,32.88,32.89,4077
2002-04-02 00:00:00+05:30,32.88,32.88,32.36,32.4,2315
2002-04-03 00:00:00+05:30,32.12,32.12,32.12,32.12,26
2002-04-04 00:00:00+05:30,31.94,32.85,31.76,31.86,1895
2002-04-05 00:00:00+05:30,32.88,32.88,32.22,32.23,1272
