Date,Open,High,Low,Close,Volume
2008-12-26 00:00:00+05:30,6.6,6.69,6.45,6.55,1498898
2008-12-29 00:00:00+05:30,6.41,6.54,5.24,6.43,626078
2008-12-30 00:00:00+05:30,6.48,7.33,6.41,6.66,5154358
2008-12-31 00:00:00+05:30,6.76,6.86,6.43,6.47,2092018
2009-01-01 00:00:00+05:30,6.41,7.0,6.41,6.83,1314758
2009-01-02 00:00:00+05:30,7.0,7.02,6.76,6.83,1116838
2009-01-05 00:00:00+05:30,6.99,7.07,6.64,6.72,681178
2009-01-06 00:00:00+05:30,6.6,6.67,6.4,6.58,1653958
2009-01-07 00:00:00+05:30,6.51,6.51,5.85,5.9,841818
2009-01-09 00:00:00+05:30,5.7,5.9,4.79,5.77,1268838
2009-01-12 00:00:00+05:30,5.5,5.79,5.5,5.61,617258
2009-01-13 00:00:00+05:30,5.6,6.05,5.45,5.62,643418
2009-01-14 00:00:00+05:30,5.55,5.84,5.55,5.67,473938
2009-01-15 00:00:00+05:30,5.37,5.6,5.27,5.32,1111498
2009-01-16 00:00:00+05:30,5.54,5.6,5.25,5.36,617698
2009-01-19 00:00:00+05:30,5.28,5.59,5.28,5.42,214918
2009-01-20 00:00:00+05:30,5.33,5.45,5.33,5.41,100298
2009-01-21 00:00:00+05:30,5.26,5.58,5.26,5.45,336458
2009-01-22 00:00:00+05:30,5.16,5.55,5.16,5.43,394098
2009-01-23 00:00:00+05:30,5.4,5.5,5.38,5.42,267958
2009-01-27 00:00:00+05:30,5.45,5.58,5.02,5.42,119598
2009-01-28 00:00:00+05:30,5.4,5.68,5.4,5.51,393718
2009-01-29 00:00:00+05:30,5.59,5.64,5.41,5.58,238278
2009-01-30 00:00:00+05:30,5.36,5.7,5.36,5.63,258758
2009-02-02 00:00:00+05:30,5.65,5.95,5.5,5.55,358278
2009-02-03 00:00:00+05:30,5.5,5.69,5.5,5.57,649158
2009-02-04 00:00:00+05:30,5.63,5.63,5.5,5.51,228238
2009-02-05 00:00:00+05:30,5.65,5.65,5.5,5.51,391338
2009-02-06 00:00:00+05:30,5.7,5.8,5.51,5.6,362778
2009-02-09 00:00:00+05:30,5.65,5.75,5.54,5.63,185778
2009-02-10 00:00:00+05:30,5.56,5.73,5.56,5.67,105858
2009-02-11 00:00:00+05:30,5.69,5.8,5.52,5.65,112078
2009-02-12 00:00:00+05:30,5.56,5.99,5.54,5.8,684018
2009-02-13 00:00:00+05:30,5.57,5.9,5.57,5.65,2132478
2009-02-16 00:00:00+05:30,5.77,5.86,5.11,5.33,828138
2009-02-17 00:00:00+05:30,5.25,6.25,5.25,5.45,7484558
2009-02-18 00:00:00+05:30,5.45,5.62,5.21,5.29,1195278
2009-02-19 00:00:00+05:30,5.45,5.45,4.83,4.89,2746298
2009-02-20 00:00:00+05:30,4.85,5.45,4.55,5.1,1823578
