Date,Open,High,Low,Close,Volume
2021-01-01 00:00:00+05:30,129.7,129.7,124.2,126.0,13544
2021-01-04 00:00:00+05:30,128.95,139.9,126.1,133.85,41355
2021-01-05 00:00:00+05:30,134.9,138.0,120.3,131.8,26456
2021-01-06 00:00:00+05:30,133.95,133.95,128.0,129.95,13488
2021-01-07 00:00:00+05:30,134.9,135.0,129.95,131.0,17308
2021-01-08 00:00:00+05:30,134.0,134.0,127.0,128.75,8949
2021-01-11 00:00:00+05:30,130.3,133.55,125.95,126.85,8955
2021-01-12 00:00:00+05:30,128.0,129.0,124.0,125.0,9177
2021-01-13 00:00:00+05:30,129.75,133.0,121.8,125.7,9756
2021-01-14 00:00:00+05:30,125.7,125.7,120.05,121.6,6536
2021-01-15 00:00:00+05:30,121.55,124.95,121.25,121.7,3592
2021-01-18 00:00:00+05:30,116.1,125.0,116.1,121.05,5031
2021-01-19 00:00:00+05:30,121.45,124.25,118.0,119.8,4657
2021-01-20 00:00:00+05:30,115.25,125.9,96.35,119.1,8284
2021-01-21 00:00:00+05:30,120.15,124.65,118.0,119.35,5881
2021-01-22 00:00:00+05:30,121.15,121.2,116.6,119.05,7936
2021-01-25 00:00:00+05:30,117.65,125.4,117.65,118.0,3965
2021-01-27 00:00:00+05:30,120.9,124.9,117.1,119.7,6496
2021-01-28 00:00:00+05:30,119.0,123.35,115.0,117.2,12878
2021-01-29 00:00:00+05:30,119.0,120.2,116.7,119.35,2727
2021-02-01 00:00:00+05:30,116.6,119.85,116.3,117.1,3268
2021-02-02 00:00:00+05:30,120.55,120.55,117.3,118.25,1277
2021-02-03 00:00:00+05:30,122.2,122.25,118.0,120.4,6039
2021-02-04 00:00:00+05:30,120.15,125.0,119.65,121.0,5983
2021-02-05 00:00:00+05:30,125.0,125.0,120.0,123.8,11156
2021-02-08 00:00:00+05:30,127.9,127.9,100.2,121.05,20388
2021-02-09 00:00:00+05:30,120.45,125.45,118.3,123.85,11653
2021-02-10 00:00:00+05:30,123.85,135.0,119.0,127.6,44313
2021-02-11 00:00:00+05:30,128.8,144.9,125.5,142.1,224694
2021-02-12 00:00:00+05:30,142.0,152.0,141.95,146.25,231305
2021-02-15 00:00:00+05:30,148.95,149.0,142.2,143.75,62892
2021-02-16 00:00:00+05:30,145.75,145.75,133.0,136.35,31940
2021-02-17 00:00:00+05:30,136.05,139.95,131.5,139.95,15211
2021-02-18 00:00:00+05:30,141.0,142.95,135.1,136.15,11917
2021-02-19 00:00:00+05:30,135.4,136.5,131.25,133.0,20356
2021-02-22 00:00:00+05:30,131.0,132.05,128.0,129.65,37668
2021-02-23 00:00:00+05:30,128.1,138.95,127.6,133.65,69535
2021-02-24 00:00:00+05:30,138.0,138.0,130.75,134.0,6798
2021-02-25 00:00:00+05:30,134.95,135.0,130.8,132.55,16180
2021-02-26 00:00:00+05:30,128.35,135.0,128.35,129.65,15117
2021-03-01 00:00:00+05:30,132.3,134.6,128.45,132.2,14289
2021-03-02 00:00:00+05:30,132.65,132.9,128.0,128.8,19827
2021-03-03 00:00:00+05:30,132.4,143.8,129.55,140.25,62591
2021-03-04 00:00:00+05:30,142.75,165.75,138.05,162.25,448078
2021-03-05 00:00:00+05:30,163.5,180.7,155.55,172.85,839644
2021-03-08 00:00:00+05:30,179.4,183.5,171.0,173.8,459656
2021-03-09 00:00:00+05:30,174.8,176.5,161.0,162.5,88226
2021-03-10 00:00:00+05:30,166.25,168.3,159.0,161.0,32740
2021-03-12 00:00:00+05:30,161.0,164.95,159.45,160.05,21284
2021-03-15 00:00:00+05:30,160.05,162.35,153.1,154.5,20424
2021-03-16 00:00:00+05:30,157.9,157.9,147.05,148.75,18299
2021-03-17 00:00:00+05:30,149.5,149.5,140.45,141.05,22160
2021-03-18 00:00:00+05:30,141.0,146.9,138.1,139.25,25195
2021-03-19 00:00:00+05:30,143.0,143.0,130.85,139.9,29392
2021-03-22 00:00:00+05:30,142.95,149.0,141.0,146.2,10479
2021-03-23 00:00:00+05:30,149.3,151.9,146.0,147.15,9258
2021-03-24 00:00:00+05:30,149.7,149.7,143.2,145.9,7182
2021-03-25 00:00:00+05:30,145.0,145.0,138.9,143.55,14286
2021-03-26 00:00:00+05:30,142.0,148.7,137.8,138.9,21730
2021-03-30 00:00:00+05:30,144.7,147.9,142.0,146.0,26104
2021-03-31 00:00:00+05:30,148.45,150.0,142.0,142.0,18455
2021-04-01 00:00:00+05:30,144.25,147.45,143.95,144.25,15909
2021-04-05 00:00:00+05:30,146.0,146.0,140.95,141.95,17940
2021-04-06 00:00:00+05:30,141.75,143.7,141.0,142.45,5798
2021-04-07 00:00:00+05:30,145.0,147.75,139.55,144.75,12754
2021-04-08 00:00:00+05:30,144.8,150.7,143.05,145.45,17846
2021-04-09 00:00:00+05:30,145.0,148.0,144.2,147.1,8360
2021-04-12 00:00:00+05:30,147.5,147.5,135.25,138.35,26332
2021-04-13 00:00:00+05:30,139.5,141.85,137.65,140.1,5718
2021-04-15 00:00:00+05:30,141.0,143.05,136.55,138.35,7838
2021-04-16 00:00:00+05:30,139.8,141.7,138.5,140.05,4792
2021-04-19 00:00:00+05:30,137.15,139.65,131.25,132.2,19825
2021-04-20 00:00:00+05:30,133.3,136.3,130.45,133.45,8633
2021-04-22 00:00:00+05:30,134.5,136.0,132.35,133.2,18470
2021-04-23 00:00:00+05:30,133.05,134.95,131.0,132.7,10275
2021-04-26 00:00:00+05:30,135.0,135.0,132.0,134.6,9859
2021-04-27 00:00:00+05:30,134.0,138.9,134.0,137.9,13825
2021-04-28 00:00:00+05:30,138.3,142.9,138.0,141.65,12390
2021-04-29 00:00:00+05:30,144.0,145.0,141.6,144.0,37753
2021-04-30 00:00:00+05:30,143.6,151.8,142.05,147.55,69410
2021-05-03 00:00:00+05:30,147.0,158.0,146.85,156.5,51061
2021-05-04 00:00:00+05:30,156.5,160.0,145.2,149.45,25022
2021-05-05 00:00:00+05:30,150.05,160.0,149.45,157.45,26422
2021-05-06 00:00:00+05:30,159.9,166.25,158.45,162.15,81698
2021-05-07 00:00:00+05:30,162.15,166.3,154.7,156.05,20226
2021-05-10 00:00:00+05:30,157.5,159.7,155.0,157.2,15955
2021-05-11 00:00:00+05:30,157.0,160.8,152.4,155.6,24936
2021-05-12 00:00:00+05:30,156.45,157.4,155.15,155.2,9891
2021-05-14 00:00:00+05:30,155.15,163.7,151.3,160.6,58291
2021-05-17 00:00:00+05:30,161.0,172.0,161.0,170.2,79284
2021-05-18 00:00:00+05:30,171.8,196.9,169.15,184.2,730541
2021-05-19 00:00:00+05:30,188.0,194.8,184.8,187.65,120001
2021-05-20 00:00:00+05:30,189.9,194.0,185.85,191.7,96419
2021-05-21 00:00:00+05:30,194.0,196.6,187.85,195.85,139812
2021-05-24 00:00:00+05:30,197.5,202.5,192.1,198.45,151286
2021-05-25 00:00:00+05:30,205.2,217.6,201.75,213.25,465496
2021-05-26 00:00:00+05:30,215.9,255.9,215.9,255.9,444711
2021-05-27 00:00:00+05:30,265.0,275.5,237.15,239.4,528033
2021-05-28 00:00:00+05:30,244.0,252.0,233.45,245.3,166894
2021-05-31 00:00:00+05:30,251.4,256.9,240.0,241.05,90642
2021-06-01 00:00:00+05:30,243.5,247.0,235.25,236.2,31081
2021-06-02 00:00:00+05:30,238.55,244.75,236.25,240.8,32383
2021-06-03 00:00:00+05:30,245.0,245.0,236.0,237.25,75952
2021-06-04 00:00:00+05:30,244.05,244.05,225.65,226.75,97650
2021-06-07 00:00:00+05:30,232.8,233.0,222.05,225.9,69170
2021-06-08 00:00:00+05:30,231.75,237.05,228.0,229.05,65453
2021-06-09 00:00:00+05:30,231.8,231.8,225.55,227.8,30439
2021-06-10 00:00:00+05:30,228.85,231.0,228.0,228.5,28424
2021-06-11 00:00:00+05:30,235.1,238.0,224.1,226.1,52595
2021-06-14 00:00:00+05:30,227.8,227.8,218.8,223.6,29625
2021-06-15 00:00:00+05:30,221.5,228.0,221.5,225.6,28764
2021-06-17 00:00:00+05:30,227.0,227.0,220.0,221.45,21653
2021-06-18 00:00:00+05:30,220.05,223.65,212.4,216.65,28449
2021-06-21 00:00:00+05:30,214.0,219.55,211.05,218.2,17255
2021-06-22 00:00:00+05:30,220.0,227.9,216.05,223.7,37046
2021-06-23 00:00:00+05:30,225.0,227.95,218.55,220.55,22545
2021-06-24 00:00:00+05:30,223.85,223.85,218.05,218.65,9836
2021-06-25 00:00:00+05:30,222.0,240.5,215.0,236.6,192053
2021-06-28 00:00:00+05:30,239.0,239.0,228.0,231.15,81968
2021-06-29 00:00:00+05:30,237.0,237.5,222.0,226.1,47649
2021-06-30 00:00:00+05:30,227.0,244.9,227.0,236.6,94558
2021-07-01 00:00:00+05:30,241.0,242.0,234.45,239.25,42639
2021-07-02 00:00:00+05:30,242.0,242.0,228.55,236.4,40659
2021-07-05 00:00:00+05:30,237.1,242.9,233.15,238.15,26718
2021-07-06 00:00:00+05:30,236.6,241.3,230.0,231.9,27803
2021-07-07 00:00:00+05:30,233.0,236.0,227.05,232.1,16688
2021-07-08 00:00:00+05:30,234.9,242.0,231.0,239.05,62748
2021-07-09 00:00:00+05:30,240.5,241.0,233.05,237.05,21465
2021-07-12 00:00:00+05:30,240.0,240.0,231.0,232.15,26814
2021-07-13 00:00:00+05:30,234.0,237.95,230.4,234.15,24123
2021-07-14 00:00:00+05:30,230.0,233.95,230.0,231.25,15754
