Date,Open,High,Low,Close,Volume
2023-06-07 00:00:00+05:30,6.35,6.6,6.15,6.6,355714
2023-06-08 00:00:00+05:30,6.6,6.65,6.05,6.35,120242
2023-06-09 00:00:00+05:30,6.45,6.45,5.95,6.05,110064
2023-06-12 00:00:00+05:30,5.95,5.95,5.65,5.65,105771
2023-06-13 00:00:00+05:30,5.4,5.55,5.4,5.4,44954
2023-06-14 00:00:00+05:30,5.15,5.65,5.15,5.4,164909
2023-06-15 00:00:00+05:30,5.65,5.75,5.55,5.7,52507
2023-06-16 00:00:00+05:30,5.8,5.8,5.4,5.5,73196
2023-06-19 00:00:00+05:30,5.35,5.5,5.3,5.45,41148
2023-06-20 00:00:00+05:30,5.5,5.5,5.25,5.25,35084
2023-06-21 00:00:00+05:30,5.35,5.45,5.0,5.1,74867
2023-06-22 00:00:00+05:30,5.0,5.15,4.95,4.95,29051
2023-06-23 00:00:00+05:30,4.75,5.1,4.75,4.85,52500
2023-06-26 00:00:00+05:30,4.9,4.95,4.6,4.75,34383
2023-06-27 00:00:00+05:30,4.75,4.95,4.6,4.95,23454
2023-06-28 00:00:00+05:30,5.15,5.15,4.9,5.1,50052
2023-06-30 00:00:00+05:30,4.95,5.4,4.95,5.35,78527
2023-07-03 00:00:00+05:30,5.45,5.5,5.15,5.25,42607
2023-07-04 00:00:00+05:30,5.45,5.45,5.0,5.0,71405
2023-07-05 00:00:00+05:30,5.05,5.05,4.8,4.9,28007
2023-07-06 00:00:00+05:30,4.9,4.9,4.65,4.65,134065
2023-07-07 00:00:00+05:30,4.75,4.85,4.65,4.85,62275
2023-07-10 00:00:00+05:30,4.95,5.0,4.7,4.9,50406
2023-07-11 00:00:00+05:30,4.9,5.1,4.7,5.1,86988
2023-07-12 00:00:00+05:30,5.3,5.3,4.85,5.1,52601
2023-07-13 00:00:00+05:30,4.95,5.15,4.9,5.05,30635
2023-07-14 00:00:00+05:30,4.95,5.25,4.95,5.1,33431
2023-07-17 00:00:00+05:30,4.9,5.25,4.9,5.05,40527
2023-07-18 00:00:00+05:30,5.0,5.05,4.85,5.0,21434
2023-07-19 00:00:00+05:30,4.95,5.0,4.75,4.95,29002
2023-07-20 00:00:00+05:30,5.0,5.0,4.75,4.75,25751
2023-07-21 00:00:00+05:30,4.75,4.95,4.75,4.8,37438
2023-07-24 00:00:00+05:30,4.9,4.9,4.75,4.9,43673
2023-07-25 00:00:00+05:30,4.85,4.9,4.75,4.75,29012
2023-07-26 00:00:00+05:30,4.9,4.95,4.7,4.9,74609
2023-07-27 00:00:00+05:30,4.9,4.9,4.7,4.8,55827
2023-07-28 00:00:00+05:30,4.8,4.8,4.6,4.7,29932
2023-07-31 00:00:00+05:30,4.85,4.85,4.65,4.7,44012
2023-08-01 00:00:00+05:30,4.7,4.8,4.6,4.75,49260
2023-08-02 00:00:00+05:30,4.8,4.8,4.65,4.8,26140
2023-08-03 00:00:00+05:30,4.9,4.95,4.7,4.8,63245
2023-08-04 00:00:00+05:30,4.95,4.95,4.75,4.9,43470
2023-08-07 00:00:00+05:30,4.95,4.95,4.8,4.85,23217
2023-08-08 00:00:00+05:30,4.95,4.95,4.65,4.65,32363
2023-08-09 00:00:00+05:30,4.7,4.85,4.7,4.75,16366
2023-08-10 00:00:00+05:30,4.8,4.85,4.65,4.8,17178
2023-08-11 00:00:00+05:30,4.9,4.9,4.7,4.85,49313
2023-08-14 00:00:00+05:30,4.9,4.95,4.75,4.8,37630
2023-08-16 00:00:00+05:30,4.95,4.95,4.75,4.8,30933
2023-08-17 00:00:00+05:30,4.95,4.95,4.75,4.75,45334
2023-08-18 00:00:00+05:30,4.75,4.95,4.75,4.75,26852
2023-08-21 00:00:00+05:30,4.75,4.85,4.7,4.85,15407
2023-08-22 00:00:00+05:30,4.9,5.0,4.85,4.95,78677
2023-08-23 00:00:00+05:30,5.1,5.15,4.9,5.15,71499
2023-08-24 00:00:00+05:30,5.1,5.2,4.95,5.1,44181
2023-08-25 00:00:00+05:30,5.1,5.2,4.95,5.05,16003
2023-08-28 00:00:00+05:30,5.05,5.2,4.85,5.0,47587
2023-08-29 00:00:00+05:30,5.0,5.1,4.9,5.0,32288
2023-08-30 00:00:00+05:30,5.0,5.15,4.85,5.0,34529
2024-02-06 00:00:00+05:30,988.3,988.3,965.5,988.3,1283
2024-02-07 00:00:00+05:30,1008.05,1008.05,1008.05,1008.05,1068
2024-02-08 00:00:00+05:30,1028.2,1028.2,1028.2,1028.2,955
2024-02-09 00:00:00+05:30,1048.75,1048.75,1035.0,1048.75,706
2024-02-12 00:00:00+05:30,1027.8,1027.8,1027.8,1027.8,216
2024-02-13 00:00:00+05:30,1007.25,1007.25,1007.25,1007.25,20
2024-02-14 00:00:00+05:30,987.1,987.1,987.1,987.1,8
2024-02-15 00:00:00+05:30,967.35,967.35,967.35,967.35,32
2024-02-16 00:00:00+05:30,948.0,948.0,948.0,948.0,28
2024-02-19 00:00:00+05:30,901.0,901.0,900.6,900.6,450
2024-02-20 00:00:00+05:30,855.6,855.6,855.6,855.6,809
2024-02-21 00:00:00+05:30,812.85,815.0,812.85,812.85,717
2024-02-22 00:00:00+05:30,774.0,853.45,772.2,828.95,2731
2024-02-23 00:00:00+05:30,870.35,870.35,850.0,870.35,1496
2024-02-26 00:00:00+05:30,911.7,911.7,835.0,840.3,795
2024-02-27 00:00:00+05:30,836.0,848.75,809.0,809.75,314
2024-02-28 00:00:00+05:30,812.0,850.0,771.0,781.15,562
2024-02-29 00:00:00+05:30,748.0,774.85,748.0,756.9,260
2024-03-01 00:00:00+05:30,756.9,790.0,740.0,745.15,1203
2024-03-02 00:00:00+05:30,775.05,775.05,775.05,775.05,2
2024-03-04 00:00:00+05:30,740.0,799.0,740.0,781.55,2187
2024-03-05 00:00:00+05:30,816.75,816.75,746.05,755.8,282
2024-03-06 00:00:00+05:30,758.15,784.4,718.1,723.15,495
2024-03-07 00:00:00+05:30,730.15,759.3,729.05,759.3,722
2024-03-11 00:00:00+05:30,797.25,797.25,734.0,759.55,925
2024-03-12 00:00:00+05:30,736.6,752.0,721.6,738.85,780
2024-03-13 00:00:00+05:30,728.6,735.9,701.9,701.9,302
2024-03-14 00:00:00+05:30,684.25,732.5,666.8,676.3,1665
2024-03-15 00:00:00+05:30,679.9,683.3,642.5,656.2,742
2024-03-18 00:00:00+05:30,662.95,662.95,623.4,626.05,1847
2024-03-19 00:00:00+05:30,626.55,637.9,594.75,601.0,1643
2024-03-20 00:00:00+05:30,624.95,624.95,570.95,579.0,825
2024-03-21 00:00:00+05:30,599.05,607.55,580.05,598.45,822
2024-03-22 00:00:00+05:30,624.0,624.0,594.3,605.8,936
2024-03-26 00:00:00+05:30,611.15,614.7,575.55,596.4,813
2024-03-27 00:00:00+05:30,595.25,626.2,591.0,600.1,1598
2024-04-01 00:00:00+05:30,598.65,628.55,598.65,626.95,497
2024-04-02 00:00:00+05:30,641.3,658.25,640.1,655.35,959
2024-04-03 00:00:00+05:30,684.8,684.8,656.7,665.3,1202
2024-04-04 00:00:00+05:30,665.3,694.0,665.3,676.05,632
2024-04-05 00:00:00+05:30,696.9,724.9,676.4,702.95,639
2024-04-08 00:00:00+05:30,750.0,773.2,709.35,773.2,1124
2024-04-09 00:00:00+05:30,840.0,850.5,800.0,850.5,1788
2024-04-10 00:00:00+05:30,898.5,935.55,898.5,935.55,3394
2024-04-12 00:00:00+05:30,965.0,965.0,888.8,888.8,3757
2024-04-15 00:00:00+05:30,844.4,859.4,844.4,844.4,2409
2024-04-16 00:00:00+05:30,803.0,845.0,802.2,804.9,2112
2024-04-18 00:00:00+05:30,806.0,809.95,765.0,767.75,1424
2024-04-19 00:00:00+05:30,736.45,759.45,729.5,737.65,857
2024-04-22 00:00:00+05:30,735.0,774.5,726.05,774.5,316
2024-04-23 00:00:00+05:30,810.0,813.2,779.0,794.55,1263
2024-04-24 00:00:00+05:30,820.0,834.25,800.75,833.65,1297
2024-04-25 00:00:00+05:30,849.75,854.95,810.0,817.0,766
2024-04-26 00:00:00+05:30,832.15,838.2,800.0,804.65,557
2024-04-29 00:00:00+05:30,797.1,804.65,770.0,777.8,920
2024-04-30 00:00:00+05:30,775.5,786.55,745.05,761.55,1077
2024-05-02 00:00:00+05:30,767.45,778.55,761.55,770.4,528
2024-05-03 00:00:00+05:30,778.2,783.9,750.45,753.1,532
2024-05-06 00:00:00+05:30,736.0,767.9,736.0,758.15,442
2024-05-07 00:00:00+05:30,763.3,790.0,721.0,744.5,646
