Date,Open,High,Low,Close,Volume
2001-12-26 00:00:00+05:30,17.87,18.54,17.84,18.37,44456
2001-12-27 00:00:00+05:30,17.44,18.54,17.44,18.04,226192
2001-12-28 00:00:00+05:30,18.17,18.51,17.64,18.37,48325
2001-12-31 00:00:00+05:30,19.31,19.38,18.44,18.68,65617
2002-01-01 00:00:00+05:30,19.28,19.28,18.51,18.61,48564
2002-01-02 00:00:00+05:30,18.91,18.94,18.44,18.64,32760
2002-01-03 00:00:00+05:30,19.04,19.61,18.37,18.64,40786
2002-01-04 00:00:00+05:30,19.28,19.28,18.61,18.78,89104
2002-01-07 00:00:00+05:30,18.84,19.21,18.44,18.54,41075
2002-01-08 00:00:00+05:30,18.71,18.71,18.04,18.37,129802
2002-01-09 00:00:00+05:30,18.37,18.71,18.21,18.41,63125
2002-01-10 00:00:00+05:30,18.17,18.51,18.11,18.37,45108
2002-01-11 00:00:00+05:30,18.37,18.64,18.34,18.37,47440
2002-01-14 00:00:00+05:30,18.71,18.71,18.44,18.54,20777
2002-01-15 00:00:00+05:30,18.78,18.78,18.44,18.54,33029
2002-01-16 00:00:00+05:30,18.17,18.61,18.17,18.57,41977
2002-01-17 00:00:00+05:30,18.41,18.84,18.41,18.71,34348
2002-01-18 00:00:00+05:30,18.71,18.98,18.41,18.51,37607
2002-01-21 00:00:00+05:30,18.11,18.88,18.11,18.74,28909
2002-01-22 00:00:00+05:30,18.71,18.84,18.57,18.71,36379
2002-01-23 00:00:00+05:30,18.71,18.91,18.71,18.78,40038
2002-01-24 00:00:00+05:30,18.71,18.78,18.57,18.71,92465
2002-01-25 00:00:00+05:30,18.71,18.78,18.37,18.64,38950
2002-01-28 00:00:00+05:30,18.98,19.04,18.31,18.37,142400
2002-01-29 00:00:00+05:30,17.97,18.37,17.41,18.27,119263
2002-01-30 00:00:00+05:30,17.94,18.17,17.71,18.04,140821
2002-01-31 00:00:00+05:30,17.94,18.47,17.94,18.37,69921
2002-02-01 00:00:00+05:30,18.24,18.71,18.24,18.47,69052
2002-02-04 00:00:00+05:30,18.21,18.51,18.07,18.31,130507
2002-02-05 00:00:00+05:30,18.11,18.37,18.11,18.17,165075
2002-02-06 00:00:00+05:30,18.04,18.21,17.17,17.54,69421
2002-02-07 00:00:00+05:30,17.37,17.91,17.04,17.14,35641
2002-02-08 00:00:00+05:30,17.47,17.87,16.97,17.74,80765
2002-02-11 00:00:00+05:30,17.97,18.14,17.37,18.04,103392
2002-02-12 00:00:00+05:30,18.04,18.14,17.57,18.04,79313
2002-02-13 00:00:00+05:30,18.04,18.04,17.74,17.91,355387
2002-02-14 00:00:00+05:30,18.04,18.04,17.54,17.71,86455
2002-02-15 00:00:00+05:30,18.24,18.24,17.71,17.84,24374
2002-02-18 00:00:00+05:30,18.04,18.04,17.87,18.01,67826
2002-02-19 00:00:00+05:30,18.04,18.04,17.77,17.94,78347
2002-02-20 00:00:00+05:30,17.91,17.97,17.74,17.91,105045
2002-02-21 00:00:00+05:30,17.71,17.97,17.44,17.67,70734
2002-02-22 00:00:00+05:30,17.57,17.91,17.57,17.71,82590
2002-02-25 00:00:00+05:30,17.71,17.84,17.64,17.71,39282
2002-02-26 00:00:00+05:30,17.51,17.87,17.51,17.87,56814
2002-02-27 00:00:00+05:30,17.87,18.11,17.54,17.64,93767
2002-02-28 00:00:00+05:30,17.54,17.97,17.21,17.21,65846
2002-03-01 00:00:00+05:30,17.17,17.37,16.4,16.74,54817
2002-03-04 00:00:00+05:30,17.37,17.51,16.9,17.37,85367
2002-03-05 00:00:00+05:30,17.37,18.31,17.37,17.71,146485
2002-03-06 00:00:00+05:30,17.71,17.87,17.41,17.44,114040
2002-03-07 00:00:00+05:30,17.77,17.77,17.24,17.44,128521
2002-03-08 00:00:00+05:30,17.67,18.37,17.04,17.54,206538
2002-03-11 00:00:00+05:30,17.1,17.47,17.1,17.34,45457
2002-03-12 00:00:00+05:30,17.37,17.37,17.07,17.17,10234
2002-03-13 00:00:00+05:30,17.21,17.34,16.84,16.94,21659
2002-03-14 00:00:00+05:30,17.04,17.1,16.54,16.6,12404
2002-03-15 00:00:00+05:30,17.0,17.0,16.57,16.67,35225
2002-03-18 00:00:00+05:30,18.37,18.41,15.7,15.84,154385
2002-03-19 00:00:00+05:30,16.3,16.5,16.07,16.24,44198
2002-03-20 00:00:00+05:30,16.27,16.27,14.77,14.93,222765
2002-03-21 00:00:00+05:30,15.37,15.9,14.4,14.57,324750
2002-03-22 00:00:00+05:30,14.9,15.57,14.7,15.33,44932
2002-03-26 00:00:00+05:30,15.77,15.77,15.1,15.57,21801
2002-03-27 00:00:00+05:30,15.63,15.7,14.57,15.1,128364
2002-03-28 00:00:00+05:30,14.9,15.67,14.9,15.6,16045
2002-04-01 00:00:00+05:30,15.63,15.94,15.33,15.63,22786
2002-04-02 00:00:00+05:30,15.9,16.2,15.7,15.94,40322
2002-04-03 00:00:00+05:30,15.8,16.04,15.7,15.84,27872
2002-04-04 00:00:00+05:30,16.34,16.34,15.37,15.97,16799
2002-04-05 00:00:00+05:30,16.04,16.2,15.77,16.04,22741
2002-04-08 00:00:00+05:30,15.97,16.27,15.84,15.94,21831
2002-04-09 00:00:00+05:30,15.6,16.1,15.6,16.0,26061
2002-04-10 00:00:00+05:30,16.0,16.14,15.7,15.97,46337
2002-04-11 00:00:00+05:30,15.7,16.37,15.7,16.3,87844
2002-04-12 00:00:00+05:30,16.64,16.97,16.47,16.74,89646
2002-04-15 00:00:00+05:30,16.8,17.04,16.4,16.57,29495
2002-04-16 00:00:00+05:30,16.67,16.7,16.27,16.4,7604
2002-04-17 00:00:00+05:30,16.67,16.77,16.24,16.7,33438
2002-04-18 00:00:00+05:30,16.7,17.04,16.7,16.77,110084
2002-04-19 00:00:00+05:30,16.84,16.84,16.57,16.6,142090
2002-04-22 00:00:00+05:30,16.57,16.8,16.54,16.7,10870
2002-04-23 00:00:00+05:30,16.57,17.1,16.54,16.97,49446
2002-04-24 00:00:00+05:30,15.9,17.31,15.9,17.07,28334
2002-04-25 00:00:00+05:30,16.7,17.57,16.7,17.47,51851
2002-04-26 00:00:00+05:30,17.24,17.61,17.04,17.54,50302
2002-04-29 00:00:00+05:30,17.71,18.04,17.54,17.54,81552
2002-04-30 00:00:00+05:30,17.37,17.84,17.37,17.74,31984
2002-05-02 00:00:00+05:30,18.01,18.17,17.51,17.74,66288
2002-05-03 00:00:00+05:30,17.54,17.87,17.54,17.81,27218
