Date,Open,High,Low,Close,Volume
2008-12-26 00:00:00+05:30,26.0,26.4,24.8,25.94,210549
2008-12-29 00:00:00+05:30,26.39,26.8,25.01,25.89,255804
2008-12-30 00:00:00+05:30,26.0,26.0,23.8,25.8,166464
2008-12-31 00:00:00+05:30,25.71,26.0,25.23,25.59,284454
2009-01-01 00:00:00+05:30,26.0,26.4,25.26,25.88,183329
2009-01-02 00:00:00+05:30,26.2,28.0,26.0,27.68,198264
2009-01-05 00:00:00+05:30,27.8,28.0,27.04,27.96,164689
2009-01-06 00:00:00+05:30,26.81,27.93,26.4,27.75,60619
2009-01-07 00:00:00+05:30,28.0,28.0,25.6,26.41,111099
2009-01-09 00:00:00+05:30,26.0,27.2,24.02,26.16,112079
2009-01-12 00:00:00+05:30,25.22,26.35,24.1,24.61,5564
2009-01-13 00:00:00+05:30,23.22,27.58,23.2,26.73,137364
2009-01-14 00:00:00+05:30,26.0,27.8,25.43,26.38,149724
2009-01-15 00:00:00+05:30,24.8,27.4,24.63,25.06,62194
2009-01-16 00:00:00+05:30,25.14,26.98,24.54,26.52,4159
2009-01-19 00:00:00+05:30,26.4,26.8,26.0,26.79,105809
2009-01-20 00:00:00+05:30,26.94,27.4,25.62,25.96,49569
2009-01-21 00:00:00+05:30,25.5,27.0,25.06,26.24,87814
2009-01-22 00:00:00+05:30,25.32,26.64,25.3,25.75,28514
2009-01-23 00:00:00+05:30,25.5,25.95,24.07,25.46,205964
2009-01-27 00:00:00+05:30,25.4,25.67,24.55,25.4,109544
2009-01-28 00:00:00+05:30,26.39,26.39,24.99,25.76,117884
2009-01-29 00:00:00+05:30,24.81,25.15,24.8,24.8,3354
2009-01-30 00:00:00+05:30,25.53,26.49,24.11,25.31,45384
2009-02-02 00:00:00+05:30,26.04,26.04,24.01,24.3,172159
2009-02-03 00:00:00+05:30,24.0,25.8,24.0,25.49,244609
2009-02-04 00:00:00+05:30,24.4,25.95,24.4,25.01,8289
2009-02-05 00:00:00+05:30,25.17,25.75,24.24,24.88,17329
2009-02-06 00:00:00+05:30,25.49,25.49,24.3,24.99,16914
2009-02-09 00:00:00+05:30,25.88,25.88,24.26,24.62,166779
2009-02-10 00:00:00+05:30,24.32,25.0,24.2,24.55,15684
2009-02-11 00:00:00+05:30,24.8,24.98,24.2,24.39,9829
2009-02-12 00:00:00+05:30,24.98,24.98,23.51,23.63,4544
2009-02-13 00:00:00+05:30,24.97,24.98,23.6,24.29,105614
2009-02-16 00:00:00+05:30,25.2,28.6,24.51,25.15,153644
2009-02-17 00:00:00+05:30,24.6,25.37,24.5,24.54,2399
2009-02-18 00:00:00+05:30,24.0,25.0,24.0,24.61,2449
2009-02-19 00:00:00+05:30,24.21,24.8,23.8,24.68,81949
2009-02-20 00:00:00+05:30,24.6,26.2,23.8,25.03,139424
2009-02-24 00:00:00+05:30,25.0,25.75,24.4,25.44,74364
2009-02-25 00:00:00+05:30,28.4,28.98,26.4,27.07,179319
