Date,Open,High,Low,Close,Volume
2001-12-26 00:00:00+05:30,8.73,8.73,8.73,8.73,1372
2001-12-27 00:00:00+05:30,8.59,8.59,8.22,8.22,2114
2001-12-28 00:00:00+05:30,8.16,8.59,8.16,8.36,4633
2001-12-31 00:00:00+05:30,8.54,8.74,8.46,8.71,24534
2002-01-01 00:00:00+05:30,9.02,9.02,8.49,8.62,28001
2002-01-02 00:00:00+05:30,8.75,8.75,8.59,8.62,6954
2002-01-03 00:00:00+05:30,8.72,8.72,8.52,8.61,35189
2002-01-04 00:00:00+05:30,8.73,8.75,8.61,8.64,31372
2002-01-07 00:00:00+05:30,8.59,8.84,8.55,8.67,18521
2002-01-08 00:00:00+05:30,8.62,8.7,8.54,8.65,19255
2002-01-09 00:00:00+05:30,8.61,8.7,8.61,8.62,10626
2002-01-10 00:00:00+05:30,8.53,8.66,8.53,8.6,13283
2002-01-11 00:00:00+05:30,8.46,8.65,8.46,8.59,10132
2002-01-14 00:00:00+05:30,9.32,9.32,8.61,8.7,22461
2002-01-15 00:00:00+05:30,8.74,8.85,8.68,8.73,15088
2002-01-16 00:00:00+05:30,8.71,8.81,8.71,8.79,27555
2002-01-17 00:00:00+05:30,8.74,8.89,8.68,8.86,40420
2002-01-18 00:00:00+05:30,8.77,8.95,8.77,8.91,26463
2002-01-21 00:00:00+05:30,9.16,9.25,8.96,9.18,29614
2002-01-22 00:00:00+05:30,9.19,9.26,9.08,9.16,37179
2002-01-23 00:00:00+05:30,9.18,9.32,9.11,9.14,24610
2002-01-24 00:00:00+05:30,9.06,9.22,9.05,9.16,30507
2002-01-25 00:00:00+05:30,9.31,9.32,9.06,9.16,62641
2002-01-28 00:00:00+05:30,9.1,9.23,9.1,9.16,20869
2002-01-29 00:00:00+05:30,9.1,9.16,8.97,9.01,19413
2002-01-30 00:00:00+05:30,9.03,9.18,9.03,9.17,16956
2002-01-31 00:00:00+05:30,9.32,9.36,9.18,9.31,27672
2002-02-01 00:00:00+05:30,9.7,10.05,9.61,9.77,257307
2002-02-04 00:00:00+05:30,9.91,11.57,9.91,11.19,685247
2002-02-05 00:00:00+05:30,11.22,11.65,10.34,10.66,263149
2002-02-06 00:00:00+05:30,10.93,11.58,10.52,11.06,339555
2002-02-07 00:00:00+05:30,11.64,11.65,10.95,11.13,209720
2002-02-08 00:00:00+05:30,11.36,12.53,11.1,12.22,479467
2002-02-11 00:00:00+05:30,13.11,14.06,12.53,13.28,725139
2002-02-12 00:00:00+05:30,13.55,13.84,12.69,12.77,375259
2002-02-13 00:00:00+05:30,13.07,13.07,12.12,12.73,266067
2002-02-14 00:00:00+05:30,12.85,12.96,12.7,12.85,153037
2002-02-15 00:00:00+05:30,13.03,13.54,12.75,13.12,331900
2002-02-18 00:00:00+05:30,13.77,15.3,13.77,14.82,1049303
2002-02-19 00:00:00+05:30,15.15,15.15,13.11,13.88,527212
2002-02-20 00:00:00+05:30,13.84,14.26,12.98,13.26,336287
2002-02-21 00:00:00+05:30,14.2,14.79,13.49,14.25,635367
2002-02-22 00:00:00+05:30,14.35,15.44,14.35,15.11,1158653
2002-02-25 00:00:00+05:30,15.44,16.46,15.3,15.85,1241429
2002-02-26 00:00:00+05:30,16.16,16.32,15.3,15.49,508677
2002-02-27 00:00:00+05:30,15.73,15.94,14.55,14.83,457946
2002-02-28 00:00:00+05:30,14.99,15.7,13.44,13.55,1101778
2002-03-01 00:00:00+05:30,13.91,14.68,13.69,14.36,434708
2002-03-04 00:00:00+05:30,14.49,14.93,14.08,14.18,267206
2002-03-05 00:00:00+05:30,14.42,14.55,13.98,14.04,288288
2002-03-06 00:00:00+05:30,14.29,15.79,14.28,14.98,2165745
2002-03-07 00:00:00+05:30,15.5,15.69,14.79,14.89,694618
2002-03-08 00:00:00+05:30,15.59,15.59,14.6,14.74,477936
2002-03-11 00:00:00+05:30,14.87,15.22,14.28,14.33,750902
2002-03-12 00:00:00+05:30,14.84,14.84,13.85,13.93,172719
2002-03-13 00:00:00+05:30,13.98,15.15,13.91,14.79,722564
