Date,Open,High,Low,Close,Volume
2016-07-18 00:00:00+05:30,2.3,2.3,2.3,2.3,2557
2016-07-19 00:00:00+05:30,2.21,2.21,2.21,2.21,997
2016-07-20 00:00:00+05:30,2.12,2.12,2.12,2.12,1499
2016-07-21 00:00:00+05:30,2.03,2.03,2.03,2.03,572
2016-07-22 00:00:00+05:30,2.03,2.03,1.95,1.95,17041
2016-07-25 00:00:00+05:30,1.86,1.86,1.86,1.86,2186
2016-07-26 00:00:00+05:30,1.77,1.77,1.77,1.77,6251
2016-07-27 00:00:00+05:30,1.68,1.68,1.68,1.68,1990
2016-07-28 00:00:00+05:30,1.64,1.64,1.64,1.64,11020
2016-07-29 00:00:00+05:30,1.59,1.59,1.59,1.59,2273
2016-08-01 00:00:00+05:30,1.46,1.46,1.46,1.46,9539
2016-08-02 00:00:00+05:30,1.33,1.41,1.33,1.33,92437
2016-08-03 00:00:00+05:30,1.19,1.46,1.19,1.37,282588
2016-08-04 00:00:00+05:30,1.33,1.41,1.28,1.28,316097
2016-08-05 00:00:00+05:30,1.28,1.37,1.24,1.33,101841
2016-08-08 00:00:00+05:30,1.37,1.46,1.33,1.46,403866
2016-08-09 00:00:00+05:30,1.46,1.59,1.46,1.55,266054
2016-08-10 00:00:00+05:30,1.55,1.59,1.5,1.59,83682
2016-08-11 00:00:00+05:30,1.55,1.55,1.55,1.55,17527
2016-08-12 00:00:00+05:30,1.5,1.59,1.5,1.55,113420
2016-08-16 00:00:00+05:30,1.5,1.5,1.5,1.5,16012
2016-08-17 00:00:00+05:30,1.46,1.46,1.46,1.46,21542
2016-08-18 00:00:00+05:30,1.41,1.5,1.41,1.46,52887
2016-08-19 00:00:00+05:30,1.46,1.46,1.41,1.41,107186
2016-08-22 00:00:00+05:30,1.41,1.46,1.41,1.46,46395
2016-08-23 00:00:00+05:30,1.5,1.5,1.5,1.5,23058
2016-08-24 00:00:00+05:30,1.55,1.55,1.5,1.55,59216
2016-08-25 00:00:00+05:30,1.59,1.59,1.59,1.59,18915
2016-08-26 00:00:00+05:30,1.64,1.64,1.59,1.59,50853
2016-08-29 00:00:00+05:30,1.64,1.64,1.59,1.64,53111
2016-08-30 00:00:00+05:30,1.64,1.68,1.59,1.64,23462
2016-08-31 00:00:00+05:30,1.68,1.68,1.59,1.59,43548
2016-09-01 00:00:00+05:30,1.64,1.64,1.55,1.55,30556
2016-09-02 00:00:00+05:30,1.55,1.68,1.46,1.55,73388
2016-09-06 00:00:00+05:30,1.5,1.64,1.46,1.46,55354
2016-09-07 00:00:00+05:30,1.46,1.55,1.41,1.41,72451
2016-09-08 00:00:00+05:30,1.37,1.5,1.37,1.46,38709
2016-09-09 00:00:00+05:30,1.41,1.55,1.41,1.41,66451
2016-09-12 00:00:00+05:30,1.5,1.5,1.37,1.41,27544
2016-09-14 00:00:00+05:30,1.41,1.5,1.37,1.41,17109
2016-09-15 00:00:00+05:30,1.37,1.5,1.37,1.46,52139
2016-09-16 00:00:00+05:30,1.5,1.59,1.41,1.46,434885
2016-09-19 00:00:00+05:30,1.46,1.5,1.46,1.46,57036
2016-09-20 00:00:00+05:30,1.5,1.5,1.41,1.46,38984
2016-09-21 00:00:00+05:30,1.5,1.5,1.41,1.5,27430
2016-09-22 00:00:00+05:30,1.5,1.5,1.41,1.41,62013
2016-09-23 00:00:00+05:30,1.41,1.5,1.41,1.46,139640
