Date,Open,High,Low,Close,Volume
2008-12-29 00:00:00+05:30,1.47,1.53,1.47,1.47,1520
2008-12-30 00:00:00+05:30,1.48,1.48,1.4,1.42,8304
2008-12-31 00:00:00+05:30,1.48,1.48,1.39,1.4,3392
2009-01-01 00:00:00+05:30,1.44,1.44,1.44,1.44,1056
2009-01-02 00:00:00+05:30,1.39,1.49,1.39,1.49,13200
2009-01-05 00:00:00+05:30,1.47,1.53,1.44,1.44,27200
2009-01-06 00:00:00+05:30,1.41,1.47,1.4,1.47,28544
2009-01-07 00:00:00+05:30,1.38,1.5,1.34,1.35,258768
2009-01-09 00:00:00+05:30,1.35,1.43,1.23,1.43,182480
2009-01-12 00:00:00+05:30,1.38,1.38,1.38,1.38,44544
2009-01-13 00:00:00+05:30,1.24,1.31,1.24,1.26,8368
2009-01-14 00:00:00+05:30,1.26,1.37,1.15,1.23,5792
2009-01-15 00:00:00+05:30,1.28,1.28,1.17,1.17,20000
2009-01-16 00:00:00+05:30,1.19,1.28,1.19,1.28,8816
2009-01-19 00:00:00+05:30,1.25,1.25,1.19,1.2,6768
2009-01-20 00:00:00+05:30,1.32,1.32,1.25,1.32,18576
2009-01-21 00:00:00+05:30,1.29,1.38,1.29,1.38,4992
2009-01-22 00:00:00+05:30,1.24,1.38,1.24,1.35,33680
2009-01-23 00:00:00+05:30,1.31,1.37,1.22,1.31,24352
2009-01-27 00:00:00+05:30,1.28,1.37,1.28,1.36,104000
2009-01-28 00:00:00+05:30,1.33,1.38,1.33,1.38,4912
2009-01-29 00:00:00+05:30,1.38,1.38,1.37,1.37,8800
2009-01-30 00:00:00+05:30,1.31,1.38,1.28,1.35,14400
2009-02-02 00:00:00+05:30,1.32,1.38,1.32,1.38,3520
2009-02-03 00:00:00+05:30,1.31,1.31,1.31,1.31,400
2009-02-04 00:00:00+05:30,1.31,1.38,1.28,1.38,6720
2009-02-06 00:00:00+05:30,1.37,1.43,1.37,1.39,4320
2009-02-09 00:00:00+05:30,1.34,1.47,1.34,1.47,6640
2009-02-10 00:00:00+05:30,1.44,1.54,1.44,1.51,24464
2009-02-11 00:00:00+05:30,1.49,1.54,1.48,1.53,27808
2009-02-12 00:00:00+05:30,1.47,1.47,1.47,1.47,1200
2009-02-13 00:00:00+05:30,1.61,1.61,1.5,1.52,2560
2009-02-16 00:00:00+05:30,1.44,1.56,1.41,1.44,293392
2009-02-17 00:00:00+05:30,1.38,1.38,1.38,1.38,1600
2009-02-18 00:00:00+05:30,1.31,1.44,1.31,1.34,44832
2009-02-19 00:00:00+05:30,1.32,1.32,1.32,1.32,1200
2009-02-20 00:00:00+05:30,1.32,1.32,1.21,1.21,8640
2009-02-24 00:00:00+05:30,1.25,1.33,1.25,1.28,12032
2009-02-25 00:00:00+05:30,1.28,1.4,1.25,1.4,5984
2009-02-26 00:00:00+05:30,1.31,1.31,1.31,1.31,1600
2009-02-27 00:00:00+05:30,1.25,1.37,1.25,1.31,5712
2009-03-02 00:00:00+05:30,1.27,1.37,1.25,1.28,25760
2009-03-03 00:00:00+05:30,1.24,1.34,1.24,1.3,17616
2009-03-04 00:00:00+05:30,1.28,1.41,1.25,1.37,31104
2009-03-05 00:00:00+05:30,1.23,1.47,1.23,1.37,14480
2009-03-06 00:00:00+05:30,1.25,1.31,1.25,1.28,15696
2009-03-09 00:00:00+05:30,1.25,1.37,1.25,1.27,12400
2009-03-12 00:00:00+05:30,1.19,1.49,1.19,1.32,105904
2009-03-13 00:00:00+05:30,1.32,1.44,1.32,1.43,6400
2009-03-16 00:00:00+05:30,1.43,1.44,1.32,1.43,185424
2009-03-17 00:00:00+05:30,1.38,1.38,1.38,1.38,1264
2009-03-18 00:00:00+05:30,1.64,1.64,1.33,1.46,68976
2009-03-19 00:00:00+05:30,1.43,1.5,1.31,1.38,33408
2009-03-20 00:00:00+05:30,1.32,1.43,1.31,1.31,218704
2009-03-23 00:00:00+05:30,1.31,1.51,1.25,1.44,161872
2009-03-24 00:00:00+05:30,1.36,1.38,1.36,1.36,816
2009-03-25 00:00:00+05:30,1.32,1.32,1.32,1.32,240
2009-03-26 00:00:00+05:30,1.38,1.38,1.34,1.34,9376
2009-03-27 00:00:00+05:30,1.38,1.44,1.38,1.4,20496
2009-03-30 00:00:00+05:30,1.31,1.44,1.31,1.41,18624
2009-04-01 00:00:00+05:30,1.33,1.48,1.33,1.48,4928
2009-04-02 00:00:00+05:30,1.44,1.44,1.36,1.43,37600
2009-04-06 00:00:00+05:30,1.39,1.39,1.39,1.39,16
2009-04-08 00:00:00+05:30,1.38,1.68,1.38,1.67,131248
2009-04-09 00:00:00+05:30,1.63,1.88,1.54,1.85,61888
2009-04-13 00:00:00+05:30,1.67,1.91,1.63,1.77,205392
2009-04-15 00:00:00+05:30,1.7,2.12,1.7,2.05,257280
2009-04-16 00:00:00+05:30,1.95,2.13,1.88,2.04,63776
2009-04-17 00:00:00+05:30,2.09,2.09,1.88,1.9,55520
2009-04-20 00:00:00+05:30,1.88,1.91,1.74,1.74,48016
2009-04-21 00:00:00+05:30,1.72,1.92,1.72,1.92,152576
2009-04-22 00:00:00+05:30,1.86,2.11,1.86,2.1,412112
2009-04-23 00:00:00+05:30,2.14,2.19,1.94,2.01,1636624
2009-04-24 00:00:00+05:30,2.09,2.09,1.95,1.95,5024
2009-04-27 00:00:00+05:30,1.88,1.88,1.85,1.85,2608
2009-04-28 00:00:00+05:30,1.79,1.93,1.79,1.79,2256
2009-04-29 00:00:00+05:30,1.7,1.87,1.69,1.73,35584
2009-05-04 00:00:00+05:30,1.63,1.86,1.63,1.69,20736
2009-05-05 00:00:00+05:30,1.63,1.81,1.63,1.77,19040
2009-05-06 00:00:00+05:30,1.83,1.93,1.74,1.75,52000
2009-05-07 00:00:00+05:30,1.71,1.75,1.71,1.75,2336
2009-05-08 00:00:00+05:30,1.89,2.09,1.71,1.86,37168
2009-05-11 00:00:00+05:30,1.88,1.88,1.83,1.84,12880
2009-05-12 00:00:00+05:30,1.72,1.87,1.68,1.81,64208
2009-05-13 00:00:00+05:30,1.84,1.88,1.84,1.88,432
2009-05-14 00:00:00+05:30,1.94,1.94,1.81,1.81,13280
2009-05-15 00:00:00+05:30,2.02,2.02,1.86,1.94,12336
2009-05-19 00:00:00+05:30,1.82,2.11,1.82,1.86,34576
2009-05-20 00:00:00+05:30,1.92,1.94,1.92,1.93,11520
2009-05-21 00:00:00+05:30,1.99,2.18,1.99,2.13,43392
2009-05-22 00:00:00+05:30,2.0,2.13,2.0,2.12,43584
2009-05-25 00:00:00+05:30,2.23,2.23,2.1,2.13,57072
2009-05-26 00:00:00+05:30,2.13,2.21,1.98,2.09,56720
2009-05-27 00:00:00+05:30,2.13,2.13,2.03,2.1,109968
2009-05-28 00:00:00+05:30,2.0,2.13,2.0,2.11,14512
2009-05-29 00:00:00+05:30,1.91,2.18,1.91,2.11,50816
2009-06-01 00:00:00+05:30,2.0,2.22,2.0,2.16,62080
2009-06-02 00:00:00+05:30,2.19,2.49,2.1,2.35,343840
2009-06-03 00:00:00+05:30,2.38,2.5,2.23,2.33,178512
2009-06-04 00:00:00+05:30,2.43,2.44,2.27,2.32,86336
2009-06-05 00:00:00+05:30,2.37,2.45,2.25,2.37,139376
2009-06-08 00:00:00+05:30,2.31,2.59,2.31,2.37,199424
2009-06-09 00:00:00+05:30,2.38,2.44,2.31,2.4,28320
2009-06-10 00:00:00+05:30,2.31,2.43,2.31,2.31,30016
2009-06-11 00:00:00+05:30,2.2,2.4,2.2,2.3,52112
2009-06-12 00:00:00+05:30,2.28,2.33,2.25,2.25,41792
2009-06-15 00:00:00+05:30,2.12,2.25,2.12,2.2,49360
2009-06-16 00:00:00+05:30,2.09,2.14,2.06,2.09,38720
2009-06-17 00:00:00+05:30,2.03,2.11,2.01,2.03,38128
2009-06-18 00:00:00+05:30,1.88,2.13,1.86,1.94,25232
2009-06-19 00:00:00+05:30,1.88,2.07,1.84,2.06,53264
2009-06-22 00:00:00+05:30,2.01,2.3,2.01,2.24,137648
2009-06-23 00:00:00+05:30,2.08,2.24,2.08,2.21,33936
2009-06-24 00:00:00+05:30,2.13,2.3,2.13,2.24,17392
2009-06-25 00:00:00+05:30,2.28,2.38,2.16,2.25,25424
2009-06-26 00:00:00+05:30,2.19,2.31,2.19,2.24,54272
2009-06-29 00:00:00+05:30,2.34,2.39,2.19,2.37,105216
2009-06-30 00:00:00+05:30,2.44,2.44,2.25,2.26,29168
2009-07-01 00:00:00+05:30,2.25,2.37,2.09,2.16,18592
2009-07-02 00:00:00+05:30,2.39,2.39,2.2,2.2,19088
2009-07-03 00:00:00+05:30,2.15,2.22,2.14,2.19,25072
2009-07-06 00:00:00+05:30,2.09,2.28,2.09,2.24,14064
2009-07-07 00:00:00+05:30,2.09,2.28,2.09,2.25,33648
2009-07-08 00:00:00+05:30,2.15,2.3,2.15,2.24,97632
2009-07-09 00:00:00+05:30,2.36,2.55,2.25,2.49,198464
2009-07-10 00:00:00+05:30,2.38,2.5,2.33,2.47,59440
2009-07-13 00:00:00+05:30,2.22,2.96,2.22,2.48,50864
2009-07-14 00:00:00+05:30,2.29,2.49,2.29,2.32,105520
2009-07-15 00:00:00+05:30,2.36,2.42,2.29,2.36,28320
2009-07-16 00:00:00+05:30,2.38,2.45,2.38,2.42,17200
2009-07-17 00:00:00+05:30,2.33,2.56,2.33,2.36,15456
2009-07-20 00:00:00+05:30,2.47,2.5,2.36,2.44,15808
2009-07-21 00:00:00+05:30,2.3,2.5,2.3,2.36,2960
2009-07-22 00:00:00+05:30,2.48,2.48,2.29,2.29,11696
2009-07-23 00:00:00+05:30,2.29,2.43,2.29,2.3,8016
2009-07-24 00:00:00+05:30,2.3,2.48,2.3,2.42,15360
2009-07-27 00:00:00+05:30,2.49,2.56,2.34,2.54,74144
2009-07-28 00:00:00+05:30,2.8,2.8,2.44,2.52,12784
2009-07-29 00:00:00+05:30,2.45,2.56,2.38,2.5,42752
2009-07-30 00:00:00+05:30,2.56,2.68,2.52,2.57,267872
2009-07-31 00:00:00+05:30,2.7,2.7,2.61,2.63,133648
2009-08-03 00:00:00+05:30,2.76,2.76,2.64,2.7,120480
2009-08-04 00:00:00+05:30,2.72,2.81,2.63,2.7,137408
2009-08-05 00:00:00+05:30,2.74,2.74,2.69,2.69,127696
2009-08-06 00:00:00+05:30,2.69,2.69,2.69,2.69,57696
2009-08-07 00:00:00+05:30,2.66,2.69,2.66,2.67,33824
2009-08-10 00:00:00+05:30,2.67,2.67,2.67,2.67,1168
2009-08-11 00:00:00+05:30,2.63,2.74,2.63,2.67,32656
2009-08-12 00:00:00+05:30,2.68,2.69,2.65,2.66,86512
2009-08-13 00:00:00+05:30,2.74,2.74,2.66,2.72,40208
2009-08-14 00:00:00+05:30,2.74,2.78,2.63,2.71,99728
2009-08-17 00:00:00+05:30,2.78,2.78,2.66,2.66,17024
2009-08-18 00:00:00+05:30,2.73,2.74,2.65,2.74,5984
2009-08-19 00:00:00+05:30,2.63,2.75,2.63,2.65,20784
2009-08-20 00:00:00+05:30,2.63,2.69,2.63,2.64,10944
2009-08-21 00:00:00+05:30,2.63,2.72,2.63,2.64,13792
2009-08-24 00:00:00+05:30,2.67,2.78,2.65,2.68,71632
2009-08-25 00:00:00+05:30,2.66,2.73,2.57,2.67,8384
2009-08-26 00:00:00+05:30,2.66,2.73,2.63,2.73,15600
2009-08-27 00:00:00+05:30,2.63,2.68,2.63,2.68,59664
2009-08-28 00:00:00+05:30,2.63,2.66,2.63,2.64,49616
2009-08-31 00:00:00+05:30,2.72,2.73,2.66,2.68,43600
2009-09-01 00:00:00+05:30,2.73,2.73,2.62,2.65,18560
2009-09-02 00:00:00+05:30,2.63,2.71,2.63,2.7,15920
2009-09-03 00:00:00+05:30,2.63,2.71,2.6,2.68,14240
2009-09-04 00:00:00+05:30,2.64,2.71,2.64,2.65,1200
2009-09-07 00:00:00+05:30,2.65,2.68,2.65,2.66,34336
2009-09-08 00:00:00+05:30,2.66,2.73,2.63,2.67,43440
2009-09-09 00:00:00+05:30,2.73,2.73,2.64,2.65,21232
2009-09-10 00:00:00+05:30,2.65,2.68,2.63,2.64,60288
2009-09-11 00:00:00+05:30,2.63,2.7,2.63,2.67,21584
2009-09-14 00:00:00+05:30,2.66,2.66,2.64,2.64,81776
2009-09-15 00:00:00+05:30,2.64,2.71,2.64,2.64,2544
2009-09-16 00:00:00+05:30,2.58,2.69,2.58,2.69,50288
2009-09-17 00:00:00+05:30,2.66,2.72,2.66,2.67,9328
2009-09-18 00:00:00+05:30,2.68,2.7,2.68,2.68,2576
2009-09-22 00:00:00+05:30,2.69,2.69,2.59,2.63,30768
2009-09-23 00:00:00+05:30,2.62,2.63,2.56,2.63,22256
2009-09-24 00:00:00+05:30,2.6,2.68,2.6,2.61,97728
2009-09-25 00:00:00+05:30,2.63,3.12,2.63,2.77,406288
2009-09-29 00:00:00+05:30,2.76,2.8,2.73,2.73,45216
2009-09-30 00:00:00+05:30,2.7,2.86,2.7,2.81,105408
2009-10-01 00:00:00+05:30,2.84,2.84,2.74,2.74,190320
2009-10-05 00:00:00+05:30,2.75,2.8,2.73,2.78,9072
2009-10-06 00:00:00+05:30,2.73,2.76,2.73,2.76,52320
2009-10-07 00:00:00+05:30,2.73,2.83,2.73,2.76,17728
2009-10-08 00:00:00+05:30,2.73,2.79,2.73,2.76,49936
2009-10-09 00:00:00+05:30,2.75,2.76,2.73,2.75,26080
2009-10-12 00:00:00+05:30,2.73,2.77,2.73,2.76,15744
2009-10-14 00:00:00+05:30,2.73,2.76,2.73,2.76,9232
2009-10-15 00:00:00+05:30,2.74,2.78,2.74,2.76,44432
2009-10-16 00:00:00+05:30,2.75,2.78,2.75,2.75,170752
2009-10-17 00:00:00+05:30,2.75,2.81,2.69,2.79,8912
2009-10-20 00:00:00+05:30,2.75,2.81,2.75,2.76,26816
2009-10-21 00:00:00+05:30,2.82,2.82,2.78,2.78,19088
2009-10-22 00:00:00+05:30,2.75,2.8,2.75,2.77,13184
2009-10-23 00:00:00+05:30,2.81,2.91,2.75,2.78,60176
2009-10-26 00:00:00+05:30,2.75,2.81,2.75,2.78,45632
2009-10-27 00:00:00+05:30,2.75,2.79,2.75,2.75,62432
2009-10-28 00:00:00+05:30,2.76,2.8,2.75,2.78,46992
2009-10-29 00:00:00+05:30,2.75,2.8,2.75,2.76,15968
2009-10-30 00:00:00+05:30,2.77,2.81,2.75,2.76,45616
2009-11-03 00:00:00+05:30,2.73,2.74,2.72,2.74,75024
2009-11-04 00:00:00+05:30,2.51,2.75,2.51,2.75,58240
2009-11-05 00:00:00+05:30,2.58,2.73,2.58,2.7,2464
2009-11-06 00:00:00+05:30,2.75,2.81,2.56,2.59,10512
2009-11-09 00:00:00+05:30,2.5,2.63,2.5,2.5,23552
2009-11-10 00:00:00+05:30,2.68,2.81,2.55,2.67,32016
2009-11-11 00:00:00+05:30,2.58,2.84,2.58,2.75,17776
2009-11-12 00:00:00+05:30,2.64,2.8,2.64,2.7,4544
2009-11-13 00:00:00+05:30,2.61,2.79,2.61,2.69,29136
2009-11-16 00:00:00+05:30,2.61,2.8,2.61,2.66,17056
2009-11-17 00:00:00+05:30,2.69,2.78,2.64,2.67,5728
2009-11-18 00:00:00+05:30,2.63,2.73,2.63,2.66,25744
2009-11-19 00:00:00+05:30,2.63,2.78,2.63,2.71,3584
2009-11-20 00:00:00+05:30,2.65,2.77,2.65,2.65,7600
2009-11-23 00:00:00+05:30,3.06,3.06,2.62,2.64,34688
2009-11-24 00:00:00+05:30,2.63,2.63,2.63,2.63,1312
2009-11-25 00:00:00+05:30,2.63,2.85,2.63,2.69,78272
2009-11-26 00:00:00+05:30,2.63,2.72,2.63,2.72,4144
2009-11-27 00:00:00+05:30,2.44,2.81,2.42,2.71,6000
2009-11-30 00:00:00+05:30,2.63,2.69,2.52,2.69,4416
2009-12-01 00:00:00+05:30,2.72,2.81,2.54,2.72,153552
2009-12-02 00:00:00+05:30,2.72,2.82,2.63,2.75,56080
2009-12-03 00:00:00+05:30,2.69,3.31,2.69,2.85,1613296
2009-12-04 00:00:00+05:30,2.84,2.92,2.77,2.81,663792
2009-12-07 00:00:00+05:30,2.85,2.88,2.82,2.82,84400
2009-12-08 00:00:00+05:30,2.81,2.88,2.81,2.82,2154480
2009-12-09 00:00:00+05:30,2.82,2.88,2.82,2.82,40080
2009-12-10 00:00:00+05:30,2.82,2.86,2.68,2.78,32048
2009-12-11 00:00:00+05:30,2.88,2.88,2.75,2.76,8304
2009-12-14 00:00:00+05:30,2.96,3.08,2.78,2.78,48416
2009-12-15 00:00:00+05:30,2.81,2.81,2.66,2.7,40304
2009-12-16 00:00:00+05:30,2.75,2.75,2.67,2.72,22832
2009-12-17 00:00:00+05:30,2.75,2.75,2.69,2.69,9488
2009-12-18 00:00:00+05:30,2.93,2.93,2.68,2.68,6528
2009-12-21 00:00:00+05:30,2.79,3.19,2.64,2.87,153712
2009-12-22 00:00:00+05:30,2.81,2.83,2.74,2.77,55600
2009-12-23 00:00:00+05:30,2.81,2.9,2.72,2.77,20816
2009-12-24 00:00:00+05:30,2.8,2.91,2.8,2.82,85520
2009-12-29 00:00:00+05:30,2.76,2.84,2.76,2.79,17360
2009-12-30 00:00:00+05:30,2.68,2.87,2.68,2.76,23552
2009-12-31 00:00:00+05:30,2.87,3.12,2.77,2.82,82240
2010-01-04 00:00:00+05:30,3.03,3.03,2.71,2.8,76384
2010-01-05 00:00:00+05:30,2.81,3.13,2.81,2.93,242512
2010-01-06 00:00:00+05:30,3.05,3.06,2.88,2.93,46896
2010-01-07 00:00:00+05:30,3.06,3.06,2.9,2.92,18688
2010-01-08 00:00:00+05:30,2.98,3.01,2.89,2.94,74928
2010-01-11 00:00:00+05:30,3.06,3.27,2.9,2.92,50000
2010-01-12 00:00:00+05:30,2.88,3.05,2.88,2.92,20048
2010-01-13 00:00:00+05:30,2.88,2.92,2.88,2.89,5760
2010-01-14 00:00:00+05:30,2.84,2.96,2.84,2.91,17552
2010-01-15 00:00:00+05:30,2.82,2.96,2.76,2.95,72928
2010-01-18 00:00:00+05:30,2.92,3.01,2.88,2.99,69408
2010-01-19 00:00:00+05:30,3.13,3.13,2.81,2.83,180832
2010-01-20 00:00:00+05:30,2.84,2.95,2.83,2.86,51968
2010-01-21 00:00:00+05:30,2.84,3.0,2.82,2.96,127520
2010-01-22 00:00:00+05:30,2.79,3.0,2.79,2.99,39616
2010-01-25 00:00:00+05:30,2.81,2.96,2.81,2.87,102800
2010-01-27 00:00:00+05:30,2.98,2.98,2.77,2.79,54096
2010-01-28 00:00:00+05:30,2.75,2.88,2.75,2.87,6464
2010-01-29 00:00:00+05:30,2.76,2.9,2.76,2.88,9632
2010-02-01 00:00:00+05:30,2.81,2.81,2.75,2.77,54336
2010-02-02 00:00:00+05:30,2.79,2.79,2.73,2.74,22192
2010-02-03 00:00:00+05:30,2.73,2.8,2.73,2.76,20496
2010-02-04 00:00:00+05:30,2.73,2.84,2.73,2.75,11088
