Date,Open,High,Low,Close,Volume
2010-03-11 00:00:00+05:30,63.6,75.0,63.6,69.97,102308048
2010-03-12 00:00:00+05:30,70.0,70.4,65.11,66.26,29322944
2010-03-15 00:00:00+05:30,65.2,70.3,64.55,69.3,24498539
2010-03-16 00:00:00+05:30,70.0,70.22,67.85,69.16,9239139
2010-03-17 00:00:00+05:30,69.46,75.76,68.72,74.27,20282204
2010-03-18 00:00:00+05:30,73.96,75.96,71.61,72.33,16989539
2010-03-19 00:00:00+05:30,72.1,75.35,72.0,73.77,9208974
2010-03-22 00:00:00+05:30,72.05,81.8,71.82,79.42,37606159
2010-03-23 00:00:00+05:30,70.0,80.88,70.0,76.86,19950324
2010-03-25 00:00:00+05:30,77.0,79.17,76.44,77.35,8750574
2010-03-26 00:00:00+05:30,77.8,78.99,75.45,76.83,5791639
2010-03-29 00:00:00+05:30,77.0,77.56,72.9,73.58,3627419
2010-03-30 00:00:00+05:30,73.6,75.38,71.81,72.46,3123084
2010-03-31 00:00:00+05:30,70.2,73.56,69.0,71.75,2371809
2010-04-01 00:00:00+05:30,73.01,76.74,71.84,76.09,6758354
2010-04-05 00:00:00+05:30,76.8,77.34,74.04,74.41,4815429
2010-04-06 00:00:00+05:30,74.9,79.88,74.02,77.65,11106369
2010-04-07 00:00:00+05:30,77.6,78.8,75.66,76.89,3704584
2010-04-08 00:00:00+05:30,76.78,77.7,73.2,74.27,3190859
2010-04-09 00:00:00+05:30,74.99,75.9,73.1,75.19,2581589
2010-04-12 00:00:00+05:30,75.79,76.18,74.0,75.06,2518009
2010-04-13 00:00:00+05:30,75.4,76.84,74.22,74.82,2171844
2010-04-15 00:00:00+05:30,75.21,76.46,72.88,73.55,2262129
2010-04-16 00:00:00+05:30,73.2,73.98,72.02,72.56,1076584
2010-04-19 00:00:00+05:30,71.76,72.09,69.63,70.05,1061584
2010-04-20 00:00:00+05:30,70.52,73.6,70.1,70.54,3081959
2010-04-21 00:00:00+05:30,71.0,71.94,70.07,70.79,1371419
2010-04-22 00:00:00+05:30,70.98,72.4,70.3,70.63,1332739
2010-04-23 00:00:00+05:30,71.15,71.4,69.0,70.18,957229
2010-04-26 00:00:00+05:30,70.78,71.08,69.91,70.48,638259
2010-04-27 00:00:00+05:30,70.4,70.69,68.53,68.91,604534
2010-04-28 00:00:00+05:30,68.0,70.96,67.2,68.75,2572184
2010-04-29 00:00:00+05:30,69.5,70.5,67.89,68.89,948194
2010-04-30 00:00:00+05:30,69.2,70.24,68.41,68.66,603669
2010-05-03 00:00:00+05:30,68.34,68.88,66.8,67.47,1081504
2010-05-04 00:00:00+05:30,67.8,70.68,67.24,68.23,1878524
2010-05-05 00:00:00+05:30,67.6,68.13,65.28,65.76,1107239
2010-05-06 00:00:00+05:30,65.79,66.98,65.22,66.17,679559
2010-05-07 00:00:00+05:30,65.0,65.26,63.41,63.93,538549
2010-05-10 00:00:00+05:30,65.3,66.4,64.43,65.04,541649
2010-05-11 00:00:00+05:30,65.75,66.0,63.6,63.92,366154
