Date,Open,High,Low,Close,Volume
2024-09-19 00:00:00+05:30,6.75,6.8,6.51,6.79,12428833
2024-09-20 00:00:00+05:30,6.78,6.78,6.45,6.49,7990860
2024-09-23 00:00:00+05:30,6.49,6.81,6.16,6.8,32749351
2024-09-24 00:00:00+05:30,6.8,7.13,6.67,7.1,26858887
2024-09-25 00:00:00+05:30,7.3,7.3,6.9,7.21,27871636
2024-09-26 00:00:00+05:30,7.35,7.35,6.9,6.99,26813335
2024-09-27 00:00:00+05:30,7.08,7.08,6.64,6.92,25838982
2024-09-30 00:00:00+05:30,6.8,6.81,6.57,6.66,17812325
2024-10-01 00:00:00+05:30,6.65,6.74,6.4,6.69,5873073
2024-10-03 00:00:00+05:30,6.5,6.67,6.35,6.36,3364725
2024-10-04 00:00:00+05:30,6.12,6.3,6.04,6.13,3160749
2024-10-07 00:00:00+05:30,6.17,6.17,5.82,5.82,2283539
2024-10-08 00:00:00+05:30,5.52,6.11,5.52,6.1,4585995
2024-10-09 00:00:00+05:30,6.2,6.37,6.12,6.2,9307850
2024-10-10 00:00:00+05:30,6.37,6.37,5.91,6.03,1641211
2024-10-11 00:00:00+05:30,6.0,6.18,5.95,6.02,1284579
2024-10-14 00:00:00+05:30,6.1,6.28,5.87,5.92,1717001
2024-10-15 00:00:00+05:30,6.05,6.07,5.71,5.81,1339058
2024-10-16 00:00:00+05:30,5.89,6.02,5.7,5.92,7728165
2024-10-17 00:00:00+05:30,6.02,6.02,5.7,5.82,2226409
2024-10-18 00:00:00+05:30,5.82,5.9,5.58,5.69,1809619
2024-10-21 00:00:00+05:30,5.71,5.75,5.4,5.4,2122333
2024-10-22 00:00:00+05:30,5.49,5.49,5.13,5.13,2535420
2024-10-23 00:00:00+05:30,5.07,5.07,4.87,4.87,6548701
2024-10-24 00:00:00+05:30,4.8,4.95,4.66,4.92,1500632
2024-10-25 00:00:00+05:30,4.98,4.98,4.67,4.8,1601647
2024-10-28 00:00:00+05:30,4.92,5.04,4.68,5.03,1753317
2024-10-29 00:00:00+05:30,5.23,5.28,5.17,5.27,4633468
2024-10-30 00:00:00+05:30,5.26,5.53,5.18,5.53,3988785
2024-10-31 00:00:00+05:30,5.74,5.8,5.5,5.79,3671778
2024-11-01 00:00:00+05:30,6.06,6.07,5.95,6.06,2840687
2024-11-04 00:00:00+05:30,6.35,6.36,5.95,6.33,5991166
2024-11-05 00:00:00+05:30,6.2,6.2,6.2,6.2,928654
2024-11-06 00:00:00+05:30,6.07,6.07,6.07,6.07,534283
2024-11-07 00:00:00+05:30,5.94,5.94,5.94,5.94,418653
2024-11-08 00:00:00+05:30,5.82,5.82,5.82,5.82,412805
2024-11-11 00:00:00+05:30,5.7,5.7,5.7,5.7,403207
2024-11-12 00:00:00+05:30,5.58,5.58,5.58,5.58,988275
2024-11-13 00:00:00+05:30,5.46,5.46,5.46,5.46,151610
2024-11-14 00:00:00+05:30,5.35,5.35,5.35,5.35,382166
2024-11-18 00:00:00+05:30,5.24,5.24,5.24,5.24,343954
2024-11-19 00:00:00+05:30,5.19,5.19,5.13,5.13,1164284
2024-11-21 00:00:00+05:30,5.02,5.02,5.02,5.02,349732
2024-11-22 00:00:00+05:30,4.91,4.91,4.91,4.91,765639
2024-11-25 00:00:00+05:30,4.91,4.91,4.91,4.91,1150434
2024-11-26 00:00:00+05:30,4.91,4.91,4.81,4.81,886703
2024-11-27 00:00:00+05:30,4.81,4.81,4.76,4.76,718304
2024-11-28 00:00:00+05:30,4.76,4.85,4.76,4.85,745210
2024-11-29 00:00:00+05:30,4.94,4.94,4.94,4.94,223572
2024-12-02 00:00:00+05:30,5.03,5.03,5.03,5.03,300880
2024-12-03 00:00:00+05:30,5.13,5.13,5.13,5.13,619806
2024-12-04 00:00:00+05:30,5.23,5.23,5.23,5.23,1027400
2024-12-05 00:00:00+05:30,5.33,5.33,5.12,5.12,2514866
2024-12-06 00:00:00+05:30,5.12,5.12,5.1,5.1,917727
2024-12-09 00:00:00+05:30,5.35,5.35,5.3,5.34,4569756
2024-12-10 00:00:00+05:30,5.39,5.6,5.3,5.56,4963339
2024-12-11 00:00:00+05:30,5.65,5.83,5.65,5.79,4564871
2024-12-12 00:00:00+05:30,6.0,6.06,5.5,5.5,2894826
2024-12-13 00:00:00+05:30,5.22,5.7,5.22,5.5,5040990
2024-12-16 00:00:00+05:30,5.4,5.65,5.22,5.22,4851149
2024-12-17 00:00:00+05:30,5.14,5.45,5.0,5.08,4545669
2024-12-18 00:00:00+05:30,5.1,5.2,4.9,5.01,2903544
2024-12-19 00:00:00+05:30,4.98,5.26,4.9,5.25,4587931
2024-12-20 00:00:00+05:30,5.29,5.46,4.98,5.01,3906544
2024-12-23 00:00:00+05:30,5.09,5.18,4.87,5.0,1789762
2024-12-24 00:00:00+05:30,5.07,5.09,4.95,5.05,7865152
2024-12-26 00:00:00+05:30,5.07,5.14,4.95,4.99,2152417
2024-12-27 00:00:00+05:30,5.04,5.12,4.86,4.92,1902108
2024-12-30 00:00:00+05:30,4.97,5.0,4.85,4.87,1928253
2024-12-31 00:00:00+05:30,4.84,4.94,4.7,4.84,8842854
2025-01-01 00:00:00+05:30,4.89,5.08,4.88,4.99,3382883
2025-01-02 00:00:00+05:30,5.05,5.18,4.94,4.97,2935395
2025-01-03 00:00:00+05:30,5.0,5.07,4.89,4.93,3150098
2025-01-06 00:00:00+05:30,4.95,4.99,4.73,4.74,2998907
2025-01-07 00:00:00+05:30,4.78,4.89,4.73,4.81,1917534
2025-01-08 00:00:00+05:30,4.86,4.86,4.67,4.73,2249295
2025-01-09 00:00:00+05:30,4.75,4.9,4.73,4.75,2153752
2025-01-10 00:00:00+05:30,4.79,4.87,4.51,4.52,4224142
2025-01-13 00:00:00+05:30,4.6,4.6,4.29,4.29,3148848
2025-01-14 00:00:00+05:30,4.31,4.5,4.28,4.5,1692680
2025-01-15 00:00:00+05:30,4.67,4.72,4.62,4.72,1039669
2025-01-16 00:00:00+05:30,4.85,4.95,4.8,4.86,2885351
2025-01-17 00:00:00+05:30,4.8,4.88,4.67,4.69,2995947
2025-01-20 00:00:00+05:30,4.74,4.79,4.68,4.78,1785270
2025-01-21 00:00:00+05:30,4.79,4.82,4.69,4.72,1915976
2025-01-22 00:00:00+05:30,4.75,4.75,4.48,4.55,2273310
2025-01-23 00:00:00+05:30,4.56,4.67,4.48,4.52,6977583
2025-01-24 00:00:00+05:30,4.54,4.58,4.42,4.44,1487394
2025-01-27 00:00:00+05:30,4.5,4.5,4.21,4.21,2394916
2025-01-28 00:00:00+05:30,4.3,4.35,3.99,3.99,4830490
2025-01-29 00:00:00+05:30,4.01,4.18,3.81,4.18,3801529
2025-01-30 00:00:00+05:30,4.24,4.37,4.12,4.26,2990128
2025-01-31 00:00:00+05:30,4.34,4.46,4.2,4.23,2981375
2025-02-01 00:00:00+05:30,4.31,4.43,4.17,4.22,2764640
2025-02-03 00:00:00+05:30,4.19,4.29,4.11,4.14,1508358
2025-02-04 00:00:00+05:30,4.22,4.29,4.0,4.06,4502784
2025-02-05 00:00:00+05:30,4.09,4.26,4.07,4.26,4342238
2025-02-06 00:00:00+05:30,4.65,5.08,4.5,4.76,13893845
2025-02-07 00:00:00+05:30,4.88,4.98,4.67,4.73,4300846
2025-02-10 00:00:00+05:30,4.8,4.85,4.44,4.53,3221903
2025-02-11 00:00:00+05:30,4.55,4.65,4.23,4.27,2762914
2025-02-12 00:00:00+05:30,4.32,4.32,4.05,4.19,4702508
2025-02-13 00:00:00+05:30,4.25,4.33,4.07,4.11,3414966
2025-02-14 00:00:00+05:30,4.11,4.15,3.96,4.0,3273544
2025-02-17 00:00:00+05:30,4.06,4.16,3.85,4.0,3714477
2025-02-18 00:00:00+05:30,4.0,4.1,3.85,3.92,2990688
2025-02-19 00:00:00+05:30,3.92,4.09,3.46,3.73,7238542
2025-02-20 00:00:00+05:30,3.79,3.95,3.59,3.68,6280913
2025-02-21 00:00:00+05:30,3.68,3.86,3.6,3.71,7454675
2025-02-24 00:00:00+05:30,3.71,3.78,3.61,3.66,2709085
