Date,Open,High,Low,Close,Volume
2016-03-02 00:00:00+05:30,49.85,50.36,44.43,44.57,1140
2016-03-03 00:00:00+05:30,53.46,53.46,44.57,45.27,902
2016-03-04 00:00:00+05:30,51.79,51.79,46.29,47.21,700
2016-03-08 00:00:00+05:30,49.06,49.06,45.36,45.36,13528
2016-03-09 00:00:00+05:30,45.36,47.21,45.36,46.01,16875
2016-03-10 00:00:00+05:30,50.77,50.77,44.62,44.62,4378
2016-03-11 00:00:00+05:30,49.99,49.99,46.29,46.7,16395
2016-03-14 00:00:00+05:30,46.29,47.67,46.29,46.42,1730
2016-03-15 00:00:00+05:30,49.99,49.99,44.62,44.76,22421
2016-03-16 00:00:00+05:30,47.21,49.9,44.9,45.73,11504
2016-03-17 00:00:00+05:30,47.67,47.67,45.64,47.21,247
2016-03-18 00:00:00+05:30,47.21,47.21,47.21,47.21,2
2016-03-21 00:00:00+05:30,45.36,56.28,45.36,45.36,7089
2016-03-22 00:00:00+05:30,46.7,46.7,45.36,45.36,15664
2016-03-23 00:00:00+05:30,53.37,53.69,44.53,45.36,22726
2016-03-28 00:00:00+05:30,49.99,49.99,40.73,44.53,6443
2016-03-29 00:00:00+05:30,44.43,46.93,41.66,44.76,30504
2016-03-30 00:00:00+05:30,44.9,44.9,40.68,43.46,4096
2016-03-31 00:00:00+05:30,40.73,40.73,40.73,40.73,855
2016-04-01 00:00:00+05:30,41.66,46.24,41.66,45.36,4547
2016-04-04 00:00:00+05:30,42.63,47.44,40.31,43.28,2886
2016-04-05 00:00:00+05:30,40.82,40.87,34.62,35.27,86318
2016-04-06 00:00:00+05:30,35.55,36.1,34.53,35.08,8356
2016-04-07 00:00:00+05:30,35.08,35.41,32.63,34.62,3747
2016-04-08 00:00:00+05:30,34.53,36.33,33.79,35.27,4573
2016-04-11 00:00:00+05:30,34.39,35.64,34.25,34.85,5018
2016-04-12 00:00:00+05:30,34.44,35.64,34.44,35.13,3440
2016-04-13 00:00:00+05:30,35.64,35.64,32.4,34.34,8386
2016-04-18 00:00:00+05:30,33.33,35.59,29.62,34.76,3377
2016-04-20 00:00:00+05:30,35.18,36.57,33.83,34.9,3641
2016-04-21 00:00:00+05:30,34.25,35.82,34.25,35.27,1004
2016-04-22 00:00:00+05:30,33.97,35.64,30.55,35.08,16982
2016-04-25 00:00:00+05:30,35.18,35.64,33.79,33.83,607
2016-04-26 00:00:00+05:30,32.58,35.59,32.58,34.85,4639
2016-04-27 00:00:00+05:30,35.18,35.78,34.44,34.53,4263
2016-04-28 00:00:00+05:30,34.53,35.69,34.25,34.9,5165
2016-04-29 00:00:00+05:30,34.11,35.5,33.46,33.88,2793
2016-05-02 00:00:00+05:30,35.18,35.18,33.46,34.57,7955
2016-05-03 00:00:00+05:30,33.56,34.99,33.33,34.85,5401
