Date,Open,High,Low,Close,Volume
2015-12-28 00:00:00+05:30,67.7,67.7,66.8,67.7,800
2015-12-29 00:00:00+05:30,65.4,69.0,65.05,68.75,1112
2015-12-30 00:00:00+05:30,66.1,68.5,64.6,65.1,9672
2015-12-31 00:00:00+05:30,66.4,66.4,64.25,65.0,6220
2016-01-01 00:00:00+05:30,65.0,65.0,62.55,64.95,2273
2016-01-04 00:00:00+05:30,64.0,66.0,64.0,64.9,3639
2016-01-05 00:00:00+05:30,66.8,67.8,65.55,67.25,1150
2016-01-06 00:00:00+05:30,65.7,69.5,65.7,68.95,4785
2016-01-07 00:00:00+05:30,65.0,72.0,64.1,68.95,6976
2016-01-08 00:00:00+05:30,69.75,69.8,68.0,68.0,2201
2016-01-11 00:00:00+05:30,65.05,70.0,65.05,69.7,4857
2016-01-12 00:00:00+05:30,69.6,69.6,68.0,68.0,1648
2016-01-13 00:00:00+05:30,70.0,70.0,64.0,65.0,3352
2016-01-14 00:00:00+05:30,62.25,64.25,62.1,63.85,2705
2016-01-15 00:00:00+05:30,63.0,66.9,62.15,63.25,3858
2016-01-18 00:00:00+05:30,60.1,60.5,59.5,60.1,1254
2016-01-19 00:00:00+05:30,60.0,60.5,58.0,58.55,1607
2016-01-20 00:00:00+05:30,55.0,57.95,52.65,57.55,2607
2016-01-21 00:00:00+05:30,58.2,59.5,56.55,59.5,451
2016-01-22 00:00:00+05:30,57.1,59.5,55.3,56.5,2538
2016-01-25 00:00:00+05:30,57.0,57.0,53.0,54.35,6856
2016-01-27 00:00:00+05:30,54.25,54.95,52.2,54.95,1001
2016-01-28 00:00:00+05:30,52.0,53.9,51.6,52.25,3015
2016-01-29 00:00:00+05:30,52.0,54.05,52.0,54.0,15388
2016-02-01 00:00:00+05:30,53.05,56.8,53.0,53.1,1480
2016-02-02 00:00:00+05:30,52.1,53.0,52.1,52.85,212
2016-02-03 00:00:00+05:30,51.55,53.45,50.1,52.95,4326
2016-02-04 00:00:00+05:30,51.0,52.85,50.75,51.2,2641
2016-02-05 00:00:00+05:30,51.0,53.0,50.2,50.95,296
2016-02-08 00:00:00+05:30,51.0,58.85,51.0,56.6,5108
2016-02-09 00:00:00+05:30,53.1,59.5,53.1,58.1,19324
2016-02-10 00:00:00+05:30,58.0,58.0,53.5,53.95,1994
2016-02-11 00:00:00+05:30,55.0,58.0,51.0,51.1,1477
2016-02-12 00:00:00+05:30,50.05,50.6,50.0,50.05,14245
