Date,Open,High,Low,Close,Volume
2001-12-26 00:00:00+05:30,3.1,3.17,3.1,3.16,3499
2001-12-27 00:00:00+05:30,3.15,3.15,3.15,3.15,999
2001-12-28 00:00:00+05:30,3.3,3.3,3.11,3.11,1499
2001-12-31 00:00:00+05:30,3.5,3.5,3.28,3.3,4999
2002-01-01 00:00:00+05:30,3.25,3.35,3.25,3.35,1999
2002-01-02 00:00:00+05:30,3.3,3.31,3.3,3.31,2999
2002-01-03 00:00:00+05:30,3.25,3.25,3.24,3.24,4999
2002-01-04 00:00:00+05:30,3.25,3.25,3.25,3.25,2999
2002-01-07 00:00:00+05:30,3.34,3.34,3.23,3.34,2149
2002-01-08 00:00:00+05:30,3.49,3.54,3.22,3.48,23959
2002-01-09 00:00:00+05:30,3.4,3.5,3.4,3.5,4599
2002-01-10 00:00:00+05:30,3.65,3.65,3.45,3.48,43789
2002-01-11 00:00:00+05:30,3.6,3.8,3.6,3.62,20999
2002-01-14 00:00:00+05:30,3.59,3.8,3.59,3.79,19729
2002-01-15 00:00:00+05:30,3.65,3.65,3.65,3.65,999
2002-01-16 00:00:00+05:30,3.95,3.95,3.8,3.8,3989
2002-01-17 00:00:00+05:30,3.8,3.8,3.76,3.76,2999
2002-01-18 00:00:00+05:30,3.83,3.99,3.83,3.99,9999
2002-01-21 00:00:00+05:30,3.9,4.26,3.9,4.05,12249
2002-01-22 00:00:00+05:30,4.03,4.1,4.01,4.09,9999
2002-01-23 00:00:00+05:30,4.01,4.09,3.9,4.0,9999
2002-01-24 00:00:00+05:30,4.1,4.1,3.96,4.0,12749
2002-01-25 00:00:00+05:30,3.97,4.1,3.96,3.99,18749
2002-01-28 00:00:00+05:30,3.99,3.99,3.89,3.95,5999
2002-01-29 00:00:00+05:30,4.1,4.1,4.01,4.09,15499
2002-01-30 00:00:00+05:30,3.9,4.1,3.9,4.09,10459
2002-01-31 00:00:00+05:30,4.01,4.14,4.01,4.12,4249
2002-02-01 00:00:00+05:30,4.06,4.06,4.01,4.02,5059
2002-02-04 00:00:00+05:30,4.05,4.05,3.93,4.01,7499
2002-02-05 00:00:00+05:30,4.01,4.01,4.01,4.01,999
2002-02-06 00:00:00+05:30,4.18,4.2,4.1,4.18,19499
2002-02-07 00:00:00+05:30,4.03,4.2,4.03,4.2,5799
2002-02-08 00:00:00+05:30,3.91,4.3,3.91,4.27,5499
2002-02-11 00:00:00+05:30,4.3,4.44,4.21,4.21,20999
2002-02-12 00:00:00+05:30,4.24,4.41,4.24,4.26,9499
2002-02-13 00:00:00+05:30,4.27,4.39,4.27,4.37,2999
2002-02-14 00:00:00+05:30,4.4,4.48,4.32,4.35,5269
2002-02-15 00:00:00+05:30,4.41,4.7,4.4,4.7,29699
2002-02-18 00:00:00+05:30,4.9,4.9,4.76,4.78,57499
2002-02-19 00:00:00+05:30,4.71,4.8,4.57,4.59,17989
2002-02-20 00:00:00+05:30,4.56,4.56,4.54,4.54,6999
2002-02-21 00:00:00+05:30,4.5,4.54,4.44,4.47,4999
2002-02-22 00:00:00+05:30,4.37,4.57,4.37,4.5,3299
2002-02-25 00:00:00+05:30,4.41,4.46,4.4,4.4,5729
2002-02-26 00:00:00+05:30,4.41,4.6,4.41,4.55,11299
2002-02-27 00:00:00+05:30,4.5,4.59,4.5,4.59,3429
2002-02-28 00:00:00+05:30,4.5,4.55,4.36,4.45,11399
2002-03-01 00:00:00+05:30,4.34,4.34,4.34,4.34,999
2002-03-04 00:00:00+05:30,4.5,4.6,4.5,4.5,6999
2002-03-05 00:00:00+05:30,4.69,4.7,4.57,4.57,3499
2002-03-06 00:00:00+05:30,4.6,4.8,4.6,4.79,40559
2002-03-07 00:00:00+05:30,5.06,5.11,4.8,4.85,36299
2002-03-08 00:00:00+05:30,4.73,4.85,4.7,4.75,9499
2002-03-11 00:00:00+05:30,4.41,4.41,4.41,4.41,499
2002-03-12 00:00:00+05:30,4.17,4.31,4.17,4.31,509
2002-03-13 00:00:00+05:30,4.41,4.41,4.4,4.4,999
2002-03-14 00:00:00+05:30,4.21,4.6,4.21,4.55,14999
2002-03-15 00:00:00+05:30,4.6,4.65,4.51,4.65,2009
2002-03-18 00:00:00+05:30,4.55,4.55,4.55,4.55,999
2002-03-19 00:00:00+05:30,4.9,4.92,4.71,4.92,24859
2002-03-20 00:00:00+05:30,4.9,5.09,4.9,5.09,33059
2002-03-22 00:00:00+05:30,5.05,5.1,4.73,4.73,7229
2002-03-27 00:00:00+05:30,4.79,4.9,4.63,4.63,7819
2002-04-01 00:00:00+05:30,5.0,5.0,4.5,4.52,22959
2002-04-02 00:00:00+05:30,4.43,4.53,4.43,4.48,19189
2002-04-03 00:00:00+05:30,4.8,4.83,4.54,4.83,13959
2002-04-04 00:00:00+05:30,4.75,4.75,4.75,4.75,1999
