Date,Open,High,Low,Close,Volume
2011-10-17 00:00:00+05:30,105.05,166.93,105.05,139.38,35661395
2011-10-18 00:00:00+05:30,138.57,167.27,138.57,167.27,4457777
2011-10-19 00:00:00+05:30,176.67,191.95,169.99,188.99,4571439
2011-10-20 00:00:00+05:30,186.22,193.58,172.14,192.0,3654600
2011-10-21 00:00:00+05:30,186.46,194.29,182.45,189.85,1020731
2011-10-24 00:00:00+05:30,188.99,195.49,174.76,189.52,1578926
2011-10-25 00:00:00+05:30,189.18,204.89,165.84,184.22,3488904
2011-10-26 00:00:00+05:30,190.0,191.0,184.65,187.85,373198
2011-10-28 00:00:00+05:30,188.52,216.78,186.32,213.49,3208819
2011-10-31 00:00:00+05:30,203.99,222.9,196.16,217.74,2592139
2011-11-01 00:00:00+05:30,215.73,223.18,200.69,221.37,2173763
2011-11-02 00:00:00+05:30,220.7,221.27,188.23,194.01,1049871
2011-11-03 00:00:00+05:30,195.49,196.2,179.83,182.02,1193428
2011-11-04 00:00:00+05:30,185.94,218.46,185.27,218.46,2945606
2011-11-08 00:00:00+05:30,214.87,225.38,208.24,210.72,1821179
2011-11-09 00:00:00+05:30,213.25,213.25,204.13,205.94,757648
2011-11-11 00:00:00+05:30,207.33,211.2,191.24,205.13,1688528
2011-11-14 00:00:00+05:30,206.95,246.2,206.95,246.2,2667519
2011-11-15 00:00:00+05:30,255.65,295.48,247.44,287.55,4115593
2011-11-16 00:00:00+05:30,288.41,288.41,245.43,260.38,3334753
2011-11-17 00:00:00+05:30,253.17,270.84,248.82,264.68,1671669
2011-11-18 00:00:00+05:30,265.2,267.11,250.59,253.41,707855
2011-11-21 00:00:00+05:30,255.37,268.83,249.25,263.96,1297928
2011-11-22 00:00:00+05:30,264.92,273.8,245.15,259.66,1290581
2011-11-23 00:00:00+05:30,260.14,264.92,251.59,260.05,587657
2011-11-24 00:00:00+05:30,262.05,264.34,251.26,256.03,640233
2011-11-25 00:00:00+05:30,258.8,261.38,253.84,256.46,213410
2011-11-28 00:00:00+05:30,259.38,271.12,240.75,243.95,935304
2011-11-29 00:00:00+05:30,247.06,254.03,233.97,236.55,587016
2011-11-30 00:00:00+05:30,238.84,242.47,234.17,238.41,234837
2011-12-01 00:00:00+05:30,242.66,249.68,240.04,247.3,343843
2011-12-02 00:00:00+05:30,250.4,255.08,244.57,251.64,328323
2011-12-05 00:00:00+05:30,267.45,267.45,240.09,244.72,146709
2011-12-07 00:00:00+05:30,245.82,246.39,219.94,233.78,254365
2011-12-08 00:00:00+05:30,224.42,224.42,191.0,201.93,869030
2011-12-09 00:00:00+05:30,193.39,198.45,182.5,192.53,509054
2011-12-12 00:00:00+05:30,194.06,209.14,194.06,206.09,644084
2011-12-13 00:00:00+05:30,208.19,214.87,204.89,208.71,514012
2011-12-14 00:00:00+05:30,208.38,226.33,208.38,223.52,756590
2011-12-15 00:00:00+05:30,222.23,226.43,216.02,221.42,348949
2011-12-16 00:00:00+05:30,222.71,227.24,221.85,224.28,256024
2011-12-19 00:00:00+05:30,222.71,226.05,216.4,219.65,208833
2011-12-20 00:00:00+05:30,220.7,221.56,206.33,207.95,318008
2011-12-21 00:00:00+05:30,211.15,241.09,192.96,221.89,1514234
2011-12-22 00:00:00+05:30,219.51,225.19,210.1,216.5,405850
2011-12-23 00:00:00+05:30,217.17,223.37,175.05,219.98,392927
2011-12-26 00:00:00+05:30,221.08,236.27,218.69,234.45,542723
2011-12-27 00:00:00+05:30,235.22,240.56,221.94,225.0,529965
2011-12-28 00:00:00+05:30,224.09,234.93,221.8,232.45,459766
2011-12-29 00:00:00+05:30,187.66,217.74,187.18,213.87,1488269
2011-12-30 00:00:00+05:30,210.19,223.95,208.24,221.94,879414
2012-01-02 00:00:00+05:30,221.8,227.24,216.78,223.95,370510
2012-01-03 00:00:00+05:30,223.61,233.02,220.6,230.35,206763
2012-01-04 00:00:00+05:30,229.68,233.97,220.89,227.96,135409
2012-01-05 00:00:00+05:30,227.29,232.78,224.04,228.86,168021
2012-01-06 00:00:00+05:30,227.53,230.49,224.57,228.39,147002
2012-01-07 00:00:00+05:30,228.24,238.27,228.24,236.79,45397
2012-01-09 00:00:00+05:30,230.15,238.75,222.51,227.43,58194
2012-01-10 00:00:00+05:30,227.48,230.58,214.92,216.93,138774
2012-01-11 00:00:00+05:30,218.41,224.23,216.78,219.94,38839
2012-01-12 00:00:00+05:30,215.11,227.29,215.11,220.89,154351
2012-01-13 00:00:00+05:30,223.47,242.14,221.37,239.23,294366
2012-01-16 00:00:00+05:30,238.65,250.59,236.55,247.87,265001
