Date,Open,High,Low,Close,Volume
2022-11-21 00:00:00+05:30,144.3,145.4,142.0,143.5,38291
2023-01-09 00:00:00+05:30,156.85,159.85,153.0,155.85,4548
2023-01-10 00:00:00+05:30,153.25,157.1,153.25,154.85,7026
2023-01-11 00:00:00+05:30,155.85,155.85,150.25,154.5,14903
2023-01-12 00:00:00+05:30,155.35,159.75,150.0,156.9,7037
2023-01-13 00:00:00+05:30,156.55,162.95,152.65,160.7,12045
2023-01-16 00:00:00+05:30,161.95,161.95,155.6,157.2,6279
2023-01-17 00:00:00+05:30,157.0,157.0,154.0,155.15,4076
2023-01-18 00:00:00+05:30,155.2,155.45,153.2,154.2,3259
2023-01-19 00:00:00+05:30,154.2,155.5,150.0,153.9,5235
2023-01-20 00:00:00+05:30,151.05,157.9,151.0,154.55,6849
2023-01-23 00:00:00+05:30,155.0,157.8,150.0,151.5,14213
2023-01-24 00:00:00+05:30,152.2,152.2,145.25,150.65,14070
2023-01-25 00:00:00+05:30,152.45,155.0,146.3,152.2,10157
2023-01-27 00:00:00+05:30,156.0,157.0,150.0,152.95,14993
2023-01-30 00:00:00+05:30,152.0,156.0,146.0,148.7,10898
2023-01-31 00:00:00+05:30,146.5,154.9,146.5,154.1,13311
2023-04-21 00:00:00+05:30,166.0,167.65,159.05,162.5,7526
2023-04-24 00:00:00+05:30,161.25,165.95,159.05,160.95,21653
2023-04-25 00:00:00+05:30,161.5,162.65,155.9,156.8,17028
2023-04-26 00:00:00+05:30,161.5,161.5,156.0,156.25,13398
2023-04-27 00:00:00+05:30,154.15,159.95,151.1,159.15,16579
2023-04-28 00:00:00+05:30,156.5,160.9,156.0,157.3,7349
2023-05-02 00:00:00+05:30,163.0,163.0,157.5,159.45,11321
2023-05-03 00:00:00+05:30,160.0,161.6,158.0,158.4,8557
2023-05-04 00:00:00+05:30,162.0,162.0,155.0,156.4,13581
2023-05-05 00:00:00+05:30,159.7,159.7,152.55,153.35,11961
2023-05-08 00:00:00+05:30,153.35,157.95,153.35,154.1,12067
2023-05-09 00:00:00+05:30,156.0,156.85,152.15,153.1,10768
2023-05-10 00:00:00+05:30,152.05,158.0,152.05,154.5,7913
2023-05-11 00:00:00+05:30,156.9,158.0,150.55,153.45,16628
2023-05-12 00:00:00+05:30,156.8,156.8,152.15,154.8,11967
2023-05-15 00:00:00+05:30,153.0,156.55,152.2,152.85,12133
2023-05-16 00:00:00+05:30,153.9,161.7,153.4,157.85,19095
2023-05-17 00:00:00+05:30,155.2,163.5,155.2,160.85,23264
2023-05-18 00:00:00+05:30,164.5,168.75,161.35,162.65,35133
2023-05-19 00:00:00+05:30,165.95,165.95,157.0,159.05,10565
2023-05-22 00:00:00+05:30,155.05,160.95,150.05,155.85,22587
2023-05-23 00:00:00+05:30,163.0,164.0,156.55,161.35,19279
2023-05-24 00:00:00+05:30,165.8,169.2,163.45,167.15,33604
2023-05-25 00:00:00+05:30,168.0,183.85,168.0,175.35,191648
2023-05-26 00:00:00+05:30,178.35,183.4,174.1,175.45,73157
2023-05-29 00:00:00+05:30,180.0,180.0,158.5,165.05,42129
2023-05-30 00:00:00+05:30,167.05,179.9,167.05,173.25,37188
2023-05-31 00:00:00+05:30,175.95,177.2,172.3,174.65,20340
2023-06-01 00:00:00+05:30,177.0,177.0,170.0,170.5,26087
2023-06-02 00:00:00+05:30,170.0,187.45,170.0,184.35,95435
2023-06-05 00:00:00+05:30,191.9,196.0,173.35,184.25,128336
2023-06-06 00:00:00+05:30,180.2,185.25,171.05,174.85,103817
2023-06-07 00:00:00+05:30,178.7,178.7,169.1,172.05,65952
