Date,Open,High,Low,Close,Volume
2015-12-28 00:00:00+05:30,191.51,198.78,191.51,196.4,14976
2015-12-29 00:00:00+05:30,197.97,206.05,196.03,203.18,20151
2015-12-30 00:00:00+05:30,207.63,210.09,204.88,206.05,11486
2015-12-31 00:00:00+05:30,206.82,207.67,203.63,204.19,5024
2016-01-01 00:00:00+05:30,205.61,206.78,196.27,204.31,1473
2016-01-04 00:00:00+05:30,202.01,207.67,194.74,201.28,7390
2016-01-05 00:00:00+05:30,202.01,203.63,198.86,201.97,7943
2016-01-06 00:00:00+05:30,200.44,203.22,197.97,202.9,7337
2016-01-07 00:00:00+05:30,201.16,204.84,194.78,201.37,10939
2016-01-08 00:00:00+05:30,197.32,209.12,195.63,202.74,4257
2016-01-11 00:00:00+05:30,202.05,202.05,198.86,200.48,3955
2016-01-12 00:00:00+05:30,203.55,208.48,203.3,205.69,9748
2016-01-13 00:00:00+05:30,206.05,207.67,197.12,201.2,9238
2016-01-14 00:00:00+05:30,196.36,200.72,194.74,196.76,6417
2016-01-15 00:00:00+05:30,196.36,198.01,192.32,194.21,9254
2016-01-18 00:00:00+05:30,186.66,193.12,177.85,185.08,6373
2016-01-19 00:00:00+05:30,183.43,185.85,178.58,179.79,5180
2016-01-20 00:00:00+05:30,178.17,180.92,173.73,177.77,25888
2016-01-21 00:00:00+05:30,177.12,177.73,174.5,176.84,3824
2016-01-22 00:00:00+05:30,173.81,178.34,173.81,177.69,7917
2016-01-25 00:00:00+05:30,173.73,188.27,173.73,181.53,16171
2016-01-27 00:00:00+05:30,177.81,179.55,147.47,176.76,42673
2016-01-28 00:00:00+05:30,179.18,181.73,175.43,179.27,1009
2016-01-29 00:00:00+05:30,180.19,181.81,178.58,181.81,1944
2016-02-01 00:00:00+05:30,182.62,191.51,180.19,182.86,14578
2016-02-02 00:00:00+05:30,179.43,189.04,179.43,181.24,877
2016-02-03 00:00:00+05:30,178.62,193.85,177.77,189.41,6373
2016-02-04 00:00:00+05:30,194.74,200.36,180.32,185.77,3481
2016-02-05 00:00:00+05:30,181.85,183.43,177.77,179.14,3254
2016-02-08 00:00:00+05:30,179.02,184.27,177.12,177.81,4353
2016-02-09 00:00:00+05:30,177.97,179.39,172.11,177.53,5241
2016-02-10 00:00:00+05:30,177.77,182.58,176.96,178.94,3742
2016-02-11 00:00:00+05:30,175.35,181.77,156.76,160.88,16142
2016-02-12 00:00:00+05:30,165.73,169.69,137.45,162.66,55491
2016-02-15 00:00:00+05:30,161.61,171.27,158.38,168.07,7816
2016-02-16 00:00:00+05:30,164.03,171.27,158.01,164.68,3065
2016-02-17 00:00:00+05:30,161.61,166.46,155.95,161.85,2387
2016-02-18 00:00:00+05:30,168.8,168.8,161.12,162.74,5216
2016-02-19 00:00:00+05:30,161.61,163.23,161.21,161.65,2517
2016-02-22 00:00:00+05:30,162.01,168.64,161.61,162.3,1355
2016-02-23 00:00:00+05:30,168.8,172.92,161.61,169.65,6070
2016-02-24 00:00:00+05:30,169.69,184.88,168.88,169.89,64420
2016-02-25 00:00:00+05:30,170.5,177.29,169.69,169.69,7633
2016-02-26 00:00:00+05:30,169.93,170.5,165.65,169.97,1785
2016-02-29 00:00:00+05:30,167.67,170.5,167.67,169.69,1491
2016-03-01 00:00:00+05:30,173.73,191.51,171.31,177.85,1111
2016-03-02 00:00:00+05:30,177.77,181.73,170.5,172.96,141
2016-03-03 00:00:00+05:30,172.96,175.35,170.9,174.54,761
2016-03-04 00:00:00+05:30,171.35,177.61,169.69,171.67,2191
2016-03-08 00:00:00+05:30,170.5,197.97,169.69,189.89,30808
2016-03-09 00:00:00+05:30,197.16,227.87,189.97,225.85,95704
2016-03-10 00:00:00+05:30,227.87,229.49,205.77,216.44,20368
2016-03-11 00:00:00+05:30,213.08,225.44,205.65,218.46,17536
2016-03-14 00:00:00+05:30,219.95,234.33,215.75,230.98,18600
2016-03-15 00:00:00+05:30,234.33,237.57,227.3,234.5,12029
2016-03-16 00:00:00+05:30,234.33,234.33,218.17,222.01,7561
2016-03-17 00:00:00+05:30,229.49,229.49,211.79,219.06,7860
2016-03-18 00:00:00+05:30,226.9,226.9,214.17,217.08,2283
2016-03-21 00:00:00+05:30,214.94,222.05,209.36,215.3,3170
2016-03-22 00:00:00+05:30,210.09,213.2,206.09,209.49,1654
2016-03-23 00:00:00+05:30,209.85,211.26,206.86,208.6,2113
2016-03-28 00:00:00+05:30,213.32,218.17,204.44,208.31,1332
2016-03-29 00:00:00+05:30,208.44,210.86,203.47,206.33,21422
2016-03-30 00:00:00+05:30,204.44,210.09,204.44,208.11,2660
2016-03-31 00:00:00+05:30,212.52,216.6,208.48,209.28,3716
2016-04-01 00:00:00+05:30,211.71,212.19,206.05,210.05,4560
2016-04-04 00:00:00+05:30,213.2,237.97,211.59,222.05,32010
2016-04-05 00:00:00+05:30,229.32,241.61,218.98,229.65,12582
2016-04-06 00:00:00+05:30,233.44,241.61,222.41,239.87,26137
2016-04-07 00:00:00+05:30,234.37,246.49,231.59,234.05,12730
2016-04-08 00:00:00+05:30,234.29,239.99,231.91,235.38,5844
2016-04-11 00:00:00+05:30,236.68,237.57,231.3,232.76,5069
2016-04-12 00:00:00+05:30,235.06,252.11,232.84,246.66,21450
2016-04-13 00:00:00+05:30,247.26,252.11,237.61,238.49,21175
2016-04-18 00:00:00+05:30,238.54,246.45,230.45,245.08,3583
2016-04-20 00:00:00+05:30,244.84,251.18,242.41,248.23,4451
2016-04-21 00:00:00+05:30,244.23,258.57,244.23,255.5,8492
2016-04-22 00:00:00+05:30,256.96,265.85,246.45,257.16,17757
2016-04-25 00:00:00+05:30,251.71,252.11,236.76,242.66,17291
2016-04-26 00:00:00+05:30,238.58,250.49,238.58,244.07,8365
2016-04-27 00:00:00+05:30,242.41,246.49,236.76,238.54,20776
2016-04-28 00:00:00+05:30,239.18,248.88,237.57,243.5,8401
2016-04-29 00:00:00+05:30,246.45,248.84,239.99,241.53,5712
2016-05-02 00:00:00+05:30,250.58,258.57,239.99,241.28,14918
2016-05-03 00:00:00+05:30,248.88,248.88,216.07,222.62,24904
2016-05-04 00:00:00+05:30,224.64,230.21,222.21,223.75,7054
2016-05-05 00:00:00+05:30,226.25,226.74,222.21,225.2,1431
2016-05-06 00:00:00+05:30,225.44,228.68,221.45,223.22,3236
2016-05-09 00:00:00+05:30,227.06,229.89,223.02,225.16,2411
2016-05-10 00:00:00+05:30,223.02,229.44,223.02,227.3,1212
2016-05-11 00:00:00+05:30,223.47,227.87,220.72,221.73,5409
2016-05-12 00:00:00+05:30,230.29,230.78,219.79,225.89,4686
2016-05-13 00:00:00+05:30,226.25,230.13,220.6,225.24,1678
