Date,Open,High,Low,Close,Volume
2006-05-09 00:00:00+05:30,95.77,96.48,87.37,87.99,113709
2006-05-10 00:00:00+05:30,91.8,91.8,85.05,87.18,51714
2006-05-11 00:00:00+05:30,85.6,86.4,82.9,83.32,11684
2006-05-12 00:00:00+05:30,82.5,84.78,80.0,80.35,17979
2006-05-15 00:00:00+05:30,79.98,83.0,76.4,79.16,19944
2006-05-16 00:00:00+05:30,78.2,80.79,77.0,80.79,5809
2006-05-17 00:00:00+05:30,81.8,84.83,81.8,84.83,2634
2006-05-18 00:00:00+05:30,84.0,89.0,82.06,83.87,30944
2006-05-19 00:00:00+05:30,82.4,82.4,80.05,80.06,8174
2006-05-22 00:00:00+05:30,76.4,80.0,76.06,76.06,2749
2006-05-23 00:00:00+05:30,73.0,79.8,73.0,74.59,1604
2006-05-24 00:00:00+05:30,74.0,76.6,71.5,73.82,899
2006-05-25 00:00:00+05:30,73.4,77.51,70.23,77.45,2714
2006-05-26 00:00:00+05:30,81.33,81.33,74.4,76.65,869
2006-05-29 00:00:00+05:30,75.78,79.58,75.2,75.39,27254
2006-05-30 00:00:00+05:30,75.98,77.99,75.62,77.99,249
2006-05-31 00:00:00+05:30,74.1,74.1,74.09,74.09,649
2006-06-01 00:00:00+05:30,70.62,73.55,70.39,70.39,1324
2006-06-02 00:00:00+05:30,67.0,67.0,67.0,67.0,9
2006-06-05 00:00:00+05:30,66.4,66.4,66.4,66.4,1749
2006-06-09 00:00:00+05:30,63.08,63.08,63.08,63.08,9
2006-06-14 00:00:00+05:30,59.93,59.93,59.93,59.93,124
2006-06-15 00:00:00+05:30,57.0,62.39,57.0,58.12,1364
2006-06-16 00:00:00+05:30,60.0,61.03,60.0,61.03,1414
2006-06-19 00:00:00+05:30,63.8,64.09,63.2,64.09,6989
2006-06-20 00:00:00+05:30,66.0,67.3,66.0,67.3,1424
2006-06-21 00:00:00+05:30,68.0,70.67,68.0,70.67,1509
2006-06-22 00:00:00+05:30,74.2,74.2,71.06,71.25,4319
2006-06-23 00:00:00+05:30,71.06,72.0,67.8,69.59,5954
2006-06-25 00:00:00+05:30,71.8,72.8,69.4,70.73,494
2006-06-26 00:00:00+05:30,67.24,67.24,67.2,67.2,209
2006-06-27 00:00:00+05:30,64.0,65.8,64.0,64.6,3619
2006-06-28 00:00:00+05:30,64.6,66.0,64.6,66.0,1289
2006-06-29 00:00:00+05:30,65.62,65.62,64.01,64.4,304
2006-06-30 00:00:00+05:30,66.6,67.62,65.4,67.49,1859
2006-07-03 00:00:00+05:30,67.9,67.9,67.9,67.9,99
2006-07-04 00:00:00+05:30,67.0,67.98,67.0,67.98,549
2006-07-05 00:00:00+05:30,66.0,66.2,66.0,66.2,274
2006-07-06 00:00:00+05:30,66.2,67.2,66.2,66.25,544
2006-07-07 00:00:00+05:30,66.18,66.18,66.18,66.18,39
2006-07-10 00:00:00+05:30,65.8,65.8,63.2,63.43,1334
2006-07-11 00:00:00+05:30,63.0,66.0,63.0,66.0,224
2006-07-12 00:00:00+05:30,67.8,68.0,64.8,67.43,749
2006-07-13 00:00:00+05:30,67.01,68.0,67.0,68.0,8289
2006-07-14 00:00:00+05:30,65.0,67.99,65.0,66.2,149
2006-07-17 00:00:00+05:30,67.6,68.0,67.6,68.0,749
2006-07-18 00:00:00+05:30,71.4,71.4,64.6,64.64,904
2006-07-19 00:00:00+05:30,61.5,61.5,61.5,61.5,4
2006-07-20 00:00:00+05:30,60.0,60.0,58.63,58.85,329
2006-07-21 00:00:00+05:30,56.0,56.0,56.0,56.0,999
2006-07-24 00:00:00+05:30,56.4,57.0,53.2,57.0,729
2006-07-25 00:00:00+05:30,57.0,57.0,55.0,56.0,2124
2006-07-26 00:00:00+05:30,57.0,58.8,57.0,58.02,54144
2006-07-27 00:00:00+05:30,60.0,60.9,60.0,60.9,1299
2006-07-28 00:00:00+05:30,58.0,62.3,58.0,61.0,1689
2006-07-31 00:00:00+05:30,58.23,64.04,58.23,64.04,8884
2006-08-01 00:00:00+05:30,62.01,65.39,62.0,65.39,299
2006-08-02 00:00:00+05:30,64.0,66.8,62.13,63.0,994
2006-08-03 00:00:00+05:30,65.0,65.0,60.0,62.06,1079
2006-08-04 00:00:00+05:30,64.2,64.2,60.4,63.37,624
2006-08-07 00:00:00+05:30,60.5,62.8,60.5,61.12,654
2006-08-08 00:00:00+05:30,63.94,64.0,62.0,62.66,1334
2006-08-09 00:00:00+05:30,64.0,65.8,62.1,65.8,1514
2006-08-10 00:00:00+05:30,65.47,68.96,65.47,68.34,1334
2006-08-11 00:00:00+05:30,71.6,71.6,66.0,66.51,919
2006-08-14 00:00:00+05:30,69.0,69.0,68.4,68.64,489
2006-08-16 00:00:00+05:30,69.98,71.6,68.0,69.87,1234
2006-08-17 00:00:00+05:30,71.86,71.96,68.2,68.2,1299
2006-08-18 00:00:00+05:30,70.0,70.0,68.2,68.2,1089
2006-08-21 00:00:00+05:30,68.02,71.2,68.0,71.2,349
2006-08-22 00:00:00+05:30,72.0,74.76,72.0,74.75,3924
2006-08-23 00:00:00+05:30,74.8,74.8,71.03,71.03,1389
2006-08-24 00:00:00+05:30,68.2,68.2,68.2,68.2,124
2006-08-25 00:00:00+05:30,69.0,70.0,67.1,70.0,2779
2006-08-28 00:00:00+05:30,70.9,70.9,70.79,70.79,299
2006-08-29 00:00:00+05:30,68.02,70.0,67.3,67.42,1474
2006-08-31 00:00:00+05:30,69.58,69.77,66.26,66.26,974
2006-09-01 00:00:00+05:30,68.76,69.57,67.24,68.2,1399
2006-09-04 00:00:00+05:30,69.2,71.4,69.0,69.6,3624
2006-09-05 00:00:00+05:30,70.0,71.8,69.8,69.87,2229
2006-09-06 00:00:00+05:30,70.0,71.0,68.4,68.8,749
2006-09-07 00:00:00+05:30,68.8,69.0,68.31,68.8,1069
2006-09-08 00:00:00+05:30,68.6,71.0,66.84,70.98,2514
2006-09-11 00:00:00+05:30,70.8,71.16,69.61,69.95,4529
2006-09-12 00:00:00+05:30,69.0,70.9,68.4,70.8,749
2006-09-13 00:00:00+05:30,70.3,70.4,69.24,69.31,674
2006-09-14 00:00:00+05:30,70.4,71.0,68.0,70.74,5024
2006-09-15 00:00:00+05:30,67.72,69.78,67.72,68.4,1474
2006-09-18 00:00:00+05:30,70.01,71.82,70.01,71.76,7249
2006-09-19 00:00:00+05:30,75.0,75.35,75.0,75.35,3679
2006-09-20 00:00:00+05:30,75.4,77.4,75.4,75.91,6819
2006-09-21 00:00:00+05:30,74.45,76.97,73.7,74.4,1019
2006-09-22 00:00:00+05:30,75.2,76.75,72.0,74.2,5549
2006-09-25 00:00:00+05:30,75.0,77.8,75.0,76.36,3359
2006-09-26 00:00:00+05:30,76.04,79.22,75.7,76.11,4809
2006-09-27 00:00:00+05:30,79.0,79.92,78.01,78.64,7229
2006-09-28 00:00:00+05:30,80.0,82.58,80.0,82.53,3814
2006-09-29 00:00:00+05:30,84.01,84.6,80.2,82.69,6094
2006-10-03 00:00:00+05:30,78.6,83.0,78.6,81.38,2989
2006-10-04 00:00:00+05:30,83.6,84.0,79.4,79.83,41209
2006-10-05 00:00:00+05:30,80.0,81.0,79.82,80.4,4544
2006-10-06 00:00:00+05:30,77.23,80.99,77.1,80.43,5114
