Date,Open,High,Low,Close,Volume
2023-04-25 00:00:00+05:30,93.45,93.45,84.55,93.45,2257281
2023-04-26 00:00:00+05:30,98.0,98.1,90.0,98.1,73756
2023-04-27 00:00:00+05:30,101.0,103.0,93.2,93.6,36030
2023-04-28 00:00:00+05:30,91.0,98.0,88.95,95.25,29467
2023-05-02 00:00:00+05:30,95.0,95.0,90.5,91.8,23341
2023-05-03 00:00:00+05:30,87.55,92.65,87.55,92.2,4700
2023-05-04 00:00:00+05:30,91.0,94.9,91.0,93.7,6752
2023-05-05 00:00:00+05:30,93.65,95.55,92.0,94.05,7283
2023-05-08 00:00:00+05:30,93.25,98.75,92.1,98.5,25730
2023-05-09 00:00:00+05:30,100.0,103.4,99.0,103.4,87549
2023-05-11 00:00:00+05:30,103.3,104.3,97.8,99.35,37392
2023-05-12 00:00:00+05:30,96.7,98.95,96.0,96.8,11319
2023-05-15 00:00:00+05:30,97.1,103.4,96.85,102.45,29906
2023-05-16 00:00:00+05:30,105.0,105.0,100.0,100.15,10954
2023-05-17 00:00:00+05:30,102.5,102.5,96.1,96.8,19913
2023-05-18 00:00:00+05:30,97.05,101.7,97.05,100.25,14252
2023-05-19 00:00:00+05:30,98.35,100.45,98.35,99.2,3140
2023-05-22 00:00:00+05:30,99.0,102.2,98.4,99.2,13970
2023-05-23 00:00:00+05:30,99.9,107.5,99.9,104.5,82484
2023-05-24 00:00:00+05:30,101.0,102.05,95.25,98.35,45540
2023-05-25 00:00:00+05:30,102.75,103.05,97.5,98.25,37506
2023-05-26 00:00:00+05:30,98.8,99.65,96.15,97.6,5945
2023-05-29 00:00:00+05:30,97.95,98.5,96.15,96.95,10070
2023-05-30 00:00:00+05:30,96.2,101.95,93.25,94.45,19726
2023-05-31 00:00:00+05:30,94.5,95.95,90.0,92.45,19185
2023-06-01 00:00:00+05:30,93.9,95.0,91.65,92.25,22152
2023-06-02 00:00:00+05:30,90.75,95.2,90.65,91.1,11565
2023-06-05 00:00:00+05:30,94.0,97.0,91.75,95.35,16236
2023-06-06 00:00:00+05:30,96.3,102.0,94.05,97.8,18184
2023-06-07 00:00:00+05:30,96.0,99.55,95.55,97.9,20030
2023-06-08 00:00:00+05:30,97.3,98.7,93.25,97.15,10239
2023-06-09 00:00:00+05:30,100.05,100.9,95.25,96.65,4791
2023-06-12 00:00:00+05:30,98.05,100.05,96.7,99.35,18628
2023-06-13 00:00:00+05:30,98.9,103.4,97.15,98.25,61797
2023-06-14 00:00:00+05:30,99.2,100.0,97.1,97.35,10922
2023-06-15 00:00:00+05:30,97.75,99.0,96.8,97.05,3346
2023-06-16 00:00:00+05:30,97.05,97.5,94.1,94.1,10873
2023-06-19 00:00:00+05:30,96.55,99.6,96.05,97.25,11013
2023-06-20 00:00:00+05:30,97.8,99.4,95.4,97.15,8798
2023-06-21 00:00:00+05:30,97.1,97.1,94.05,94.2,15504
2023-06-22 00:00:00+05:30,95.0,97.9,94.5,96.9,21027
2023-06-23 00:00:00+05:30,96.9,100.8,93.0,99.9,73242
2023-06-26 00:00:00+05:30,100.45,100.7,98.05,100.0,19491
2023-06-27 00:00:00+05:30,100.6,102.75,98.9,101.0,35855
2023-06-28 00:00:00+05:30,99.05,102.0,99.05,99.75,28308
2023-06-30 00:00:00+05:30,99.25,101.7,97.1,97.6,17243
2023-07-03 00:00:00+05:30,98.55,101.95,97.8,98.65,17775
2023-07-04 00:00:00+05:30,101.25,101.4,97.35,97.35,7266
2023-07-05 00:00:00+05:30,101.85,101.85,95.4,96.05,8894
2023-07-06 00:00:00+05:30,97.1,99.0,96.1,99.0,11087
2023-07-07 00:00:00+05:30,97.5,99.5,96.65,99.0,9391
2023-07-10 00:00:00+05:30,99.5,100.0,94.95,99.0,56623
2023-07-11 00:00:00+05:30,98.75,99.9,97.85,99.0,25691
2023-07-12 00:00:00+05:30,98.75,99.2,98.0,98.0,9336
2023-07-13 00:00:00+05:30,98.25,99.25,96.55,99.0,10000
2023-07-14 00:00:00+05:30,98.1,99.0,95.25,96.5,22791
2023-07-17 00:00:00+05:30,96.5,99.25,96.35,98.05,68123
2023-07-18 00:00:00+05:30,95.7,101.0,95.7,98.05,73220
2023-07-19 00:00:00+05:30,99.5,99.7,96.55,98.0,34119
2023-07-20 00:00:00+05:30,96.4,100.05,96.35,98.4,22491
2023-07-21 00:00:00+05:30,99.5,99.5,97.3,97.6,7293
2023-07-24 00:00:00+05:30,98.45,99.0,97.5,98.9,13903
2023-07-25 00:00:00+05:30,98.9,99.05,96.75,96.95,13284
2023-07-26 00:00:00+05:30,100.0,100.0,97.05,98.5,17423
2023-07-27 00:00:00+05:30,97.6,98.7,96.5,97.0,9725
2023-07-28 00:00:00+05:30,97.25,99.0,96.8,98.75,7546
2023-07-31 00:00:00+05:30,97.5,98.75,97.3,98.2,8883
2023-08-01 00:00:00+05:30,98.0,98.85,95.7,98.75,17914
2023-08-02 00:00:00+05:30,99.9,99.9,95.95,97.85,14599
2023-08-03 00:00:00+05:30,99.85,99.85,94.5,98.15,13438
2023-08-04 00:00:00+05:30,100.0,118.05,97.1,117.9,401274
2023-08-07 00:00:00+05:30,119.9,122.9,111.45,114.8,87097
2023-08-08 00:00:00+05:30,112.55,114.55,105.0,111.0,36950
2023-08-09 00:00:00+05:30,113.0,116.3,99.8,101.55,64156
2023-08-10 00:00:00+05:30,105.0,109.0,101.8,108.0,61825
2023-08-11 00:00:00+05:30,108.0,108.0,99.9,102.5,36729
2023-08-14 00:00:00+05:30,102.0,104.9,98.2,102.0,33680
2023-08-16 00:00:00+05:30,98.0,103.85,98.0,98.3,20445
2023-08-17 00:00:00+05:30,101.15,114.7,99.15,107.5,123087
2023-08-18 00:00:00+05:30,109.95,110.05,102.0,105.05,31565
2023-08-21 00:00:00+05:30,104.1,112.0,104.1,109.5,29906
2023-08-22 00:00:00+05:30,110.0,112.8,107.35,108.0,29042
2023-08-23 00:00:00+05:30,110.0,115.0,110.0,111.05,23061
2023-08-24 00:00:00+05:30,109.05,114.55,106.35,111.0,38433
2023-08-25 00:00:00+05:30,108.75,115.55,103.3,106.85,70091
2023-08-28 00:00:00+05:30,107.0,114.7,105.0,113.0,51984
2023-08-29 00:00:00+05:30,110.0,113.75,109.45,112.5,15729
2023-08-30 00:00:00+05:30,109.6,114.0,109.25,112.5,15402
2023-08-31 00:00:00+05:30,113.0,117.95,111.3,117.0,68072
2023-09-01 00:00:00+05:30,114.1,118.95,113.55,116.9,39676
2023-09-04 00:00:00+05:30,118.2,118.2,113.15,117.0,26187
2023-09-05 00:00:00+05:30,116.3,118.0,114.95,116.2,27033
2023-09-06 00:00:00+05:30,115.1,117.45,115.1,116.95,10143
2023-09-07 00:00:00+05:30,115.7,118.0,115.7,116.0,14927
2023-09-08 00:00:00+05:30,117.0,118.0,114.2,115.0,10180
2023-09-11 00:00:00+05:30,115.15,117.15,114.35,116.0,13496
2023-09-12 00:00:00+05:30,117.0,117.0,107.05,107.8,20298
2023-09-13 00:00:00+05:30,110.0,110.0,105.05,106.3,29271
2023-09-14 00:00:00+05:30,108.0,109.0,106.85,108.0,6968
2023-09-15 00:00:00+05:30,106.75,109.85,106.75,109.8,5896
2023-09-18 00:00:00+05:30,108.25,109.1,105.1,105.85,14402
2023-09-20 00:00:00+05:30,102.8,107.75,102.8,106.95,4251
2023-09-21 00:00:00+05:30,107.2,107.9,103.6,104.85,11435
2023-09-22 00:00:00+05:30,103.75,107.7,103.75,105.6,4780
2023-09-25 00:00:00+05:30,107.9,107.95,105.9,106.15,5473
2023-09-26 00:00:00+05:30,107.55,111.0,104.65,104.7,36200
2023-09-27 00:00:00+05:30,103.75,106.9,103.75,104.7,22391
2023-09-28 00:00:00+05:30,103.95,105.85,103.5,105.0,18170
2023-09-29 00:00:00+05:30,105.5,106.9,104.45,106.0,6088
2023-10-03 00:00:00+05:30,106.25,107.7,104.9,107.4,4712
2023-10-04 00:00:00+05:30,105.75,106.5,104.8,105.1,3798
2023-10-05 00:00:00+05:30,104.7,107.9,104.7,105.55,8361
2023-10-06 00:00:00+05:30,106.2,107.65,106.0,106.4,6744
2023-10-09 00:00:00+05:30,107.9,107.9,104.85,106.95,5703
2023-10-10 00:00:00+05:30,106.85,109.4,106.15,109.4,7856
2023-10-11 00:00:00+05:30,108.5,112.05,106.1,109.6,19481
2023-10-12 00:00:00+05:30,110.65,110.95,104.5,106.7,27816
2023-10-13 00:00:00+05:30,107.85,109.7,105.2,106.6,15699
2023-10-16 00:00:00+05:30,107.3,113.75,104.9,112.9,21052
2023-10-17 00:00:00+05:30,114.0,114.75,108.55,109.95,31412
2023-10-18 00:00:00+05:30,108.35,112.45,108.0,110.0,19882
2023-10-19 00:00:00+05:30,109.4,111.55,108.5,110.8,10314
2023-10-20 00:00:00+05:30,110.0,112.0,108.55,109.5,9520
2023-10-23 00:00:00+05:30,110.0,110.0,106.15,106.35,11273
2023-10-25 00:00:00+05:30,107.45,107.45,105.0,105.0,5552
2023-10-26 00:00:00+05:30,106.3,106.6,101.0,102.1,13771
2023-10-27 00:00:00+05:30,103.75,106.55,102.95,106.25,3726
2023-10-30 00:00:00+05:30,105.0,109.4,104.05,109.0,4761
2023-10-31 00:00:00+05:30,108.0,109.4,105.95,108.0,5332
2023-11-01 00:00:00+05:30,108.6,112.25,106.0,111.6,18590
2023-11-02 00:00:00+05:30,111.6,113.15,107.2,108.75,3793
2023-11-03 00:00:00+05:30,108.0,109.9,106.1,108.95,6790
2023-11-06 00:00:00+05:30,106.35,110.0,106.25,106.35,8691
2023-11-07 00:00:00+05:30,104.45,109.25,104.45,106.55,2054
2023-11-08 00:00:00+05:30,108.0,109.7,106.05,108.0,4481
2023-11-09 00:00:00+05:30,106.95,107.0,96.35,96.35,140390
2023-11-10 00:00:00+05:30,98.35,99.25,97.05,99.0,51884
2023-11-12 00:00:00+05:30,99.6,101.0,98.05,99.85,6581
