Date,Open,High,Low,Close,Volume
2007-01-24 00:00:00+05:30,87.0,89.8,83.6,87.59,83868
2007-01-25 00:00:00+05:30,88.0,93.0,74.55,85.85,81648
2007-01-29 00:00:00+05:30,92.0,92.0,86.0,88.16,37198
2007-01-31 00:00:00+05:30,90.0,90.5,87.5,89.14,39688
2007-02-01 00:00:00+05:30,84.0,84.0,78.5,80.11,76898
2007-02-02 00:00:00+05:30,80.0,83.49,76.0,78.8,34028
2007-02-05 00:00:00+05:30,79.4,79.5,74.0,75.31,33338
2007-02-06 00:00:00+05:30,80.0,80.0,75.7,75.8,30388
2007-02-07 00:00:00+05:30,76.8,77.89,75.8,76.14,26928
2007-02-08 00:00:00+05:30,75.0,77.29,74.75,75.34,6968
2007-02-09 00:00:00+05:30,75.5,76.95,74.3,74.57,14838
2007-02-12 00:00:00+05:30,71.5,74.6,65.55,70.96,7448
2007-02-13 00:00:00+05:30,69.0,70.3,68.0,69.27,13688
2007-02-14 00:00:00+05:30,74.55,74.55,66.01,70.89,7358
2007-02-15 00:00:00+05:30,79.9,79.9,70.51,72.55,3338
2007-02-19 00:00:00+05:30,75.4,75.4,72.0,72.81,3058
2007-02-20 00:00:00+05:30,74.9,74.9,72.0,72.0,3588
2007-02-21 00:00:00+05:30,73.0,74.0,72.4,73.11,24158
2007-02-22 00:00:00+05:30,73.0,74.0,70.0,70.44,26198
2007-02-23 00:00:00+05:30,74.5,74.5,65.6,71.32,8978
2007-02-26 00:00:00+05:30,70.61,73.7,70.0,71.98,7788
2007-02-27 00:00:00+05:30,73.0,75.98,73.0,73.78,31828
2007-02-28 00:00:00+05:30,59.5,75.0,59.5,73.27,8638
2007-03-01 00:00:00+05:30,74.9,74.9,71.03,72.5,14798
2007-03-02 00:00:00+05:30,77.7,77.7,70.0,70.9,20318
2007-03-05 00:00:00+05:30,69.0,76.49,68.01,69.01,9158
2007-03-06 00:00:00+05:30,68.02,69.49,65.0,68.84,5218
2007-03-07 00:00:00+05:30,69.0,69.7,65.1,66.09,4908
2007-03-08 00:00:00+05:30,68.0,68.0,66.3,68.0,918
2007-03-09 00:00:00+05:30,67.99,68.0,66.01,66.5,1568
2007-03-12 00:00:00+05:30,62.0,69.5,61.6,66.16,5258
2007-03-13 00:00:00+05:30,68.0,68.0,68.0,68.0,298
2007-03-14 00:00:00+05:30,68.0,68.0,64.5,65.45,7648
2007-03-15 00:00:00+05:30,68.0,68.0,65.2,65.57,1308
2007-03-16 00:00:00+05:30,60.1,68.0,60.1,66.01,46818
2007-03-19 00:00:00+05:30,62.1,67.5,62.1,64.8,77788
2007-03-20 00:00:00+05:30,65.01,65.01,63.5,63.88,2628
2007-03-21 00:00:00+05:30,63.0,65.0,62.7,65.0,10698
2007-03-22 00:00:00+05:30,65.5,66.0,65.0,65.5,2408
2007-03-23 00:00:00+05:30,67.8,67.8,63.65,64.69,14528
2007-03-26 00:00:00+05:30,65.0,65.11,63.21,64.03,2778
2007-03-28 00:00:00+05:30,63.3,65.0,60.5,63.98,38628
2007-03-29 00:00:00+05:30,62.5,65.71,62.5,64.52,44238
2007-03-30 00:00:00+05:30,64.5,66.0,64.5,65.42,27218
2007-04-02 00:00:00+05:30,62.9,65.5,62.9,63.1,1858
2007-04-03 00:00:00+05:30,63.5,63.5,62.5,63.49,1478
2007-04-04 00:00:00+05:30,64.95,64.95,63.02,63.02,618
2007-04-05 00:00:00+05:30,65.0,65.5,64.16,64.16,2348
2007-04-09 00:00:00+05:30,65.0,67.0,65.0,65.88,39188
2007-04-10 00:00:00+05:30,65.98,66.0,63.2,64.27,26088
2007-04-11 00:00:00+05:30,65.0,70.6,64.4,69.83,58588
2007-04-12 00:00:00+05:30,70.0,72.5,68.5,70.42,33288
2007-04-13 00:00:00+05:30,71.5,72.0,68.5,69.56,3598
2007-04-16 00:00:00+05:30,64.54,73.86,64.15,71.22,6958
2007-04-17 00:00:00+05:30,71.5,72.0,68.02,71.37,2828
2007-04-18 00:00:00+05:30,69.23,72.5,69.23,70.3,24508
2007-04-19 00:00:00+05:30,70.4,72.3,70.0,71.59,23308
2007-04-20 00:00:00+05:30,71.7,72.5,70.01,71.45,7888
2007-04-23 00:00:00+05:30,72.99,73.0,71.5,71.5,18738
2007-04-24 00:00:00+05:30,72.5,72.5,68.5,68.62,27748
2007-04-25 00:00:00+05:30,68.55,70.97,68.55,70.32,3268
2007-04-26 00:00:00+05:30,70.5,71.0,69.4,70.4,51738
2007-04-27 00:00:00+05:30,70.5,71.0,69.5,70.99,14308
2007-04-30 00:00:00+05:30,68.5,70.89,68.5,69.5,1278
2007-05-03 00:00:00+05:30,69.9,70.0,68.9,69.25,8628
2007-05-04 00:00:00+05:30,69.31,70.6,69.31,70.32,7758
2007-05-07 00:00:00+05:30,69.21,70.6,69.2,70.56,7178
2007-05-08 00:00:00+05:30,70.5,75.0,69.6,74.46,7098
2007-05-09 00:00:00+05:30,71.0,76.0,68.74,70.32,140868
2007-05-10 00:00:00+05:30,70.56,70.7,69.2,69.99,18338
2007-05-11 00:00:00+05:30,74.49,74.49,65.36,70.37,7208
2007-05-14 00:00:00+05:30,69.0,72.36,68.03,72.13,2768
2007-05-15 00:00:00+05:30,71.5,71.5,69.41,70.58,4608
2007-05-16 00:00:00+05:30,71.2,74.0,70.5,73.39,27048
2007-05-17 00:00:00+05:30,70.6,74.8,70.6,73.96,30888
2007-05-18 00:00:00+05:30,74.7,74.8,73.0,74.42,12868
2007-05-21 00:00:00+05:30,81.5,81.86,76.3,81.37,202488
2007-05-22 00:00:00+05:30,84.78,84.78,79.1,79.88,110928
2007-05-23 00:00:00+05:30,80.0,81.0,77.0,79.78,39198
2007-05-24 00:00:00+05:30,79.01,80.59,76.03,76.64,28048
2007-05-25 00:00:00+05:30,78.49,81.4,75.2,80.42,41928
2007-05-28 00:00:00+05:30,77.33,84.05,77.33,82.99,62448
2007-05-29 00:00:00+05:30,82.0,82.0,77.5,81.16,128818
2007-05-30 00:00:00+05:30,83.0,85.0,81.5,81.92,245878
2007-05-31 00:00:00+05:30,84.9,84.9,79.12,79.99,257758
2007-06-01 00:00:00+05:30,80.0,85.5,80.0,83.62,134368
2007-06-04 00:00:00+05:30,86.49,86.49,82.1,83.06,31158
2007-06-05 00:00:00+05:30,81.11,83.5,75.16,81.44,19798
2007-06-06 00:00:00+05:30,80.41,82.69,79.98,80.09,13968
2007-06-07 00:00:00+05:30,80.16,81.0,79.0,79.75,4768
2007-06-08 00:00:00+05:30,80.3,80.3,78.0,78.71,12738
2007-06-11 00:00:00+05:30,79.0,80.0,77.3,77.62,16028
2007-06-12 00:00:00+05:30,77.28,78.5,75.6,77.55,16978
2007-06-13 00:00:00+05:30,78.0,78.3,76.6,78.2,3848
2007-06-14 00:00:00+05:30,77.0,78.6,76.5,77.84,8798
2007-06-15 00:00:00+05:30,78.5,80.8,77.5,78.0,13678
2008-12-26 00:00:00+05:30,36.0,37.33,34.23,35.13,7456
2008-12-29 00:00:00+05:30,36.5,36.5,34.18,35.25,3510
2008-12-30 00:00:00+05:30,34.55,36.0,34.55,35.03,1758
2008-12-31 00:00:00+05:30,35.05,40.5,34.13,34.68,110306
2009-01-01 00:00:00+05:30,35.48,36.48,34.65,35.9,17802
2009-01-02 00:00:00+05:30,36.1,39.5,36.1,37.65,38868
2009-01-05 00:00:00+05:30,39.65,41.5,38.98,40.18,28900
2009-01-06 00:00:00+05:30,40.48,40.5,38.25,38.83,15842
2009-01-07 00:00:00+05:30,39.68,39.68,34.58,35.33,21170
2009-01-09 00:00:00+05:30,35.0,36.9,34.0,35.58,13992
2009-01-12 00:00:00+05:30,36.25,37.25,35.78,36.05,6396
2009-01-13 00:00:00+05:30,35.03,35.98,34.6,34.6,4768
2009-01-14 00:00:00+05:30,34.68,36.55,34.68,36.03,1242
2009-01-15 00:00:00+05:30,34.55,35.43,33.05,33.88,10598
2009-01-16 00:00:00+05:30,33.9,34.93,31.03,33.15,36518
2009-01-19 00:00:00+05:30,32.8,34.5,32.8,33.78,6592
2009-01-20 00:00:00+05:30,33.08,34.95,33.08,34.18,7856
2009-01-21 00:00:00+05:30,34.05,35.2,33.5,33.88,7372
2009-01-22 00:00:00+05:30,33.83,34.15,30.05,31.6,34406
2009-01-23 00:00:00+05:30,31.75,34.5,31.75,33.55,7100
2009-01-27 00:00:00+05:30,34.5,36.75,33.05,33.78,12856
2009-01-28 00:00:00+05:30,34.1,36.0,34.08,35.58,2896
2009-01-29 00:00:00+05:30,35.58,37.0,34.0,36.08,2480
2009-01-30 00:00:00+05:30,36.0,36.73,34.5,36.6,2690
2009-02-02 00:00:00+05:30,36.5,37.35,35.08,35.15,4192
2009-02-03 00:00:00+05:30,35.2,35.2,31.58,33.05,38366
2009-02-04 00:00:00+05:30,34.38,35.95,32.5,33.6,11174
2009-02-05 00:00:00+05:30,33.5,36.33,31.7,32.25,203766
2009-02-06 00:00:00+05:30,32.53,33.35,31.55,32.03,22888
2009-02-09 00:00:00+05:30,33.5,37.3,33.08,35.75,147972
2009-02-10 00:00:00+05:30,36.0,39.5,35.5,35.65,113344
2009-02-11 00:00:00+05:30,36.5,36.85,34.58,36.43,19020
2009-02-12 00:00:00+05:30,36.65,36.65,35.1,35.75,12010
2009-02-13 00:00:00+05:30,36.5,36.5,35.5,35.7,10244
2009-02-16 00:00:00+05:30,36.0,36.5,35.5,35.55,20018
2009-02-17 00:00:00+05:30,35.5,35.7,34.3,35.2,7948
2009-02-18 00:00:00+05:30,35.13,35.95,34.63,35.0,6988
2009-02-19 00:00:00+05:30,34.95,36.63,33.75,34.28,7384
2009-02-20 00:00:00+05:30,34.0,34.45,33.5,33.6,3848
2009-02-24 00:00:00+05:30,34.0,34.48,32.55,32.65,6826
2009-02-25 00:00:00+05:30,33.8,34.2,32.8,33.2,4314
2009-02-26 00:00:00+05:30,32.65,33.25,31.78,32.75,6796
2009-02-27 00:00:00+05:30,32.75,32.88,32.0,32.45,3748
2009-03-02 00:00:00+05:30,32.13,33.5,31.5,31.9,5818
2009-03-03 00:00:00+05:30,31.03,32.13,30.35,30.63,10560
2009-03-04 00:00:00+05:30,30.55,31.0,29.8,30.33,4198
2009-03-05 00:00:00+05:30,30.75,32.5,30.75,31.7,10416
2009-03-06 00:00:00+05:30,30.0,32.0,30.0,31.2,3042
2009-03-09 00:00:00+05:30,31.5,32.03,30.75,31.8,6302
2009-03-12 00:00:00+05:30,32.0,32.0,30.05,30.83,4570
2009-03-13 00:00:00+05:30,30.6,32.25,30.6,31.25,7148
2009-03-16 00:00:00+05:30,31.0,34.0,31.0,32.0,4566
2009-03-17 00:00:00+05:30,31.3,34.25,31.3,33.3,10104
2009-03-18 00:00:00+05:30,35.98,35.98,33.15,34.63,9862
2009-03-19 00:00:00+05:30,35.25,36.18,33.0,34.35,4396
2009-03-20 00:00:00+05:30,33.75,34.9,33.7,34.28,2072
2009-03-23 00:00:00+05:30,34.75,34.93,33.55,34.7,6680
2009-03-24 00:00:00+05:30,34.85,38.85,34.13,35.1,47092
2009-03-25 00:00:00+05:30,36.45,36.45,33.75,34.6,2422
2009-03-26 00:00:00+05:30,35.5,36.25,35.08,35.65,4686
2009-03-27 00:00:00+05:30,36.25,36.5,34.75,35.28,11404
2009-03-30 00:00:00+05:30,36.25,36.88,34.3,34.63,13262
2009-03-31 00:00:00+05:30,34.73,35.75,34.73,35.23,2656
2009-04-01 00:00:00+05:30,34.85,37.98,34.85,37.38,9748
2009-04-02 00:00:00+05:30,37.98,39.93,36.5,38.98,16326
2009-04-06 00:00:00+05:30,39.78,40.5,39.08,40.4,12110
2009-04-08 00:00:00+05:30,40.2,42.35,36.38,41.95,16706
2009-04-09 00:00:00+05:30,43.55,48.33,40.0,45.73,180448
2009-04-13 00:00:00+05:30,47.5,48.05,44.0,45.0,53156
2009-04-15 00:00:00+05:30,44.5,52.0,44.5,49.68,237036
2009-04-16 00:00:00+05:30,52.0,53.0,46.0,46.7,69186
2009-04-17 00:00:00+05:30,48.45,48.45,43.5,44.23,62734
2009-04-20 00:00:00+05:30,45.0,48.0,44.25,45.15,38700
2009-04-21 00:00:00+05:30,45.5,45.5,43.25,44.13,16326
2009-04-22 00:00:00+05:30,46.95,46.95,44.03,45.23,23554
2009-04-23 00:00:00+05:30,45.48,47.2,44.58,45.25,144140
2009-04-24 00:00:00+05:30,45.5,46.4,44.25,44.78,35852
2009-04-27 00:00:00+05:30,44.0,46.48,44.0,44.55,29690
2009-04-28 00:00:00+05:30,44.0,45.2,43.15,44.13,26576
2009-04-29 00:00:00+05:30,44.15,46.5,43.3,45.55,15984
2009-05-04 00:00:00+05:30,46.25,47.0,45.13,46.8,18954
2009-05-05 00:00:00+05:30,48.45,48.5,46.1,46.85,22456
2009-05-06 00:00:00+05:30,48.0,51.5,46.03,48.23,114618
2009-05-07 00:00:00+05:30,48.23,52.45,48.23,51.23,69608
2009-05-08 00:00:00+05:30,51.0,51.45,49.15,49.5,12514
2009-05-11 00:00:00+05:30,52.13,52.4,49.8,50.13,106602
2009-05-12 00:00:00+05:30,50.5,51.15,49.0,49.4,13760
2009-05-13 00:00:00+05:30,51.0,51.45,48.6,50.98,30000
2009-05-14 00:00:00+05:30,50.0,51.23,48.53,50.78,13252
2009-05-15 00:00:00+05:30,50.13,51.23,50.03,50.2,17266
2009-05-18 00:00:00+05:30,55.13,55.13,55.13,55.13,10
2009-05-19 00:00:00+05:30,56.0,64.2,50.5,59.63,90194
2009-05-20 00:00:00+05:30,62.0,71.55,60.0,70.0,110668
2009-05-21 00:00:00+05:30,67.5,80.0,67.5,71.03,110570
2009-05-22 00:00:00+05:30,71.03,75.0,71.0,72.68,80278
2009-05-25 00:00:00+05:30,78.85,79.95,76.05,77.18,94308
2009-05-26 00:00:00+05:30,80.0,84.8,75.5,76.45,128618
2009-05-27 00:00:00+05:30,80.0,81.0,78.03,80.48,65168
