Date,Open,High,Low,Close,Volume
2015-12-28 00:00:00+05:30,342.35,345.98,336.6,340.99,8965
2015-12-29 00:00:00+05:30,338.0,343.72,330.16,336.23,23551
2015-12-30 00:00:00+05:30,331.93,342.35,331.93,339.36,5923
2015-12-31 00:00:00+05:30,342.31,349.16,326.48,332.83,28261
2016-01-01 00:00:00+05:30,339.0,359.59,330.11,357.41,46418
2016-01-04 00:00:00+05:30,358.23,385.43,340.09,374.64,73040
2016-01-05 00:00:00+05:30,385.39,395.86,347.57,359.54,129095
2016-01-06 00:00:00+05:30,364.39,364.39,340.22,343.58,36596
2016-01-07 00:00:00+05:30,340.09,343.72,331.02,333.47,29686
2016-01-08 00:00:00+05:30,346.8,362.76,335.64,355.19,21660
2016-01-11 00:00:00+05:30,341.45,353.69,333.15,349.79,19229
2016-01-12 00:00:00+05:30,359.13,359.13,343.26,348.79,13518
2016-01-13 00:00:00+05:30,350.52,352.65,318.46,338.09,52316
2016-01-14 00:00:00+05:30,328.3,346.44,319.23,337.73,23227
2016-01-15 00:00:00+05:30,342.81,342.81,327.39,331.65,10846
2016-01-18 00:00:00+05:30,286.58,330.11,286.58,308.94,14843
2016-01-19 00:00:00+05:30,338.27,338.27,309.39,319.68,21201
2016-01-20 00:00:00+05:30,310.16,319.68,295.74,304.04,22966
2016-01-21 00:00:00+05:30,312.61,323.76,306.53,318.73,17069
2016-01-22 00:00:00+05:30,319.68,334.56,319.23,325.94,47632
2016-01-25 00:00:00+05:30,326.48,334.1,324.22,326.12,11062
2016-01-27 00:00:00+05:30,325.62,329.93,318.41,322.45,13362
2016-01-28 00:00:00+05:30,331.02,343.58,323.76,338.5,28101
2016-01-29 00:00:00+05:30,338.32,360.45,331.93,353.74,41774
2016-02-01 00:00:00+05:30,354.6,359.13,346.44,354.64,33418
2016-02-02 00:00:00+05:30,366.34,374.5,349.16,352.87,13497
2016-02-03 00:00:00+05:30,353.19,353.6,338.32,341.13,11960
2016-02-04 00:00:00+05:30,346.44,358.23,333.74,336.69,11841
2016-02-05 00:00:00+05:30,340.04,349.02,331.02,343.99,7575
2016-02-08 00:00:00+05:30,344.67,361.85,341.09,351.83,21521
2016-02-09 00:00:00+05:30,344.8,357.14,342.81,345.17,13209
2016-02-10 00:00:00+05:30,341.04,353.69,337.37,342.26,18550
2016-02-11 00:00:00+05:30,347.98,347.98,303.95,314.24,47345
2016-02-12 00:00:00+05:30,314.78,328.3,251.44,298.73,50151
2016-02-15 00:00:00+05:30,311.97,321.95,301.36,313.11,9782
2016-02-16 00:00:00+05:30,314.69,319.23,291.39,295.65,23419
2016-02-17 00:00:00+05:30,298.19,298.19,272.07,294.15,13883
2016-02-18 00:00:00+05:30,290.25,310.16,290.25,302.54,9458
2016-02-19 00:00:00+05:30,302.9,305.44,295.65,299.64,9539
2016-02-22 00:00:00+05:30,308.35,308.35,295.83,301.41,3129
2016-02-23 00:00:00+05:30,301.36,304.26,281.41,287.53,5462
2016-02-24 00:00:00+05:30,284.68,285.67,277.24,280.64,6148
2016-02-25 00:00:00+05:30,281.59,285.67,266.63,268.53,18337
2016-02-26 00:00:00+05:30,272.07,272.98,222.19,242.82,36399
2016-02-29 00:00:00+05:30,253.48,264.77,232.48,253.43,33275
2016-03-01 00:00:00+05:30,252.12,294.74,252.12,282.91,22171
2016-03-02 00:00:00+05:30,295.38,297.28,272.52,283.72,17302
2016-03-03 00:00:00+05:30,290.21,293.65,281.14,290.12,22171
2016-03-04 00:00:00+05:30,284.59,299.1,284.59,293.47,9074
2016-03-08 00:00:00+05:30,292.97,298.01,281.23,285.63,8660
2016-03-09 00:00:00+05:30,282.95,284.72,265.0,281.68,6683
2016-03-10 00:00:00+05:30,281.28,285.67,276.74,279.69,6817
2016-03-11 00:00:00+05:30,277.1,281.14,276.7,279.1,4835
2016-03-14 00:00:00+05:30,290.21,299.1,273.88,277.38,8351
2016-03-15 00:00:00+05:30,275.74,278.37,274.02,275.15,2871
2016-03-16 00:00:00+05:30,279.33,279.33,268.44,274.75,9063
2016-03-17 00:00:00+05:30,274.88,286.58,272.98,275.43,5974
2016-03-18 00:00:00+05:30,276.88,276.92,273.07,274.52,9463
2016-03-21 00:00:00+05:30,272.07,278.15,267.67,268.81,13475
2016-03-22 00:00:00+05:30,269.35,279.33,268.81,270.89,11644
2016-03-23 00:00:00+05:30,270.26,273.66,264.27,271.48,17385
2016-03-28 00:00:00+05:30,273.88,275.7,261.41,265.09,6149
2016-03-29 00:00:00+05:30,266.63,266.95,257.02,263.05,19121
2016-03-30 00:00:00+05:30,263.91,294.74,263.27,281.37,9803
2016-03-31 00:00:00+05:30,289.26,302.0,282.95,296.69,14644
2016-04-01 00:00:00+05:30,306.21,306.21,290.66,295.42,2483
2016-04-04 00:00:00+05:30,295.69,302.81,283.86,285.85,6007
2016-04-05 00:00:00+05:30,286.58,293.84,285.67,286.31,3656
2016-04-06 00:00:00+05:30,277.65,288.21,273.93,278.42,9173
2016-04-07 00:00:00+05:30,272.98,285.22,272.07,276.51,26248
2016-04-08 00:00:00+05:30,272.12,282.95,272.12,276.74,8792
2016-04-11 00:00:00+05:30,281.14,289.3,274.84,279.78,10693
2016-04-12 00:00:00+05:30,278.42,289.3,278.42,282.0,23507
2016-04-13 00:00:00+05:30,290.21,299.14,282.05,295.79,19646
2016-04-18 00:00:00+05:30,290.3,307.89,290.3,301.82,21415
2016-04-20 00:00:00+05:30,301.82,308.21,292.25,307.71,12381
2016-04-21 00:00:00+05:30,307.44,315.6,286.58,292.48,28405
2016-04-22 00:00:00+05:30,299.28,299.28,281.14,283.5,6344
2016-04-25 00:00:00+05:30,279.33,291.21,269.44,284.0,22681
2016-04-26 00:00:00+05:30,283.86,307.35,283.86,292.2,6310
2016-04-27 00:00:00+05:30,292.16,297.46,288.85,291.07,4373
2016-04-28 00:00:00+05:30,288.62,291.93,281.14,286.85,3638
2016-04-29 00:00:00+05:30,281.14,296.56,279.1,289.57,8600
2016-05-02 00:00:00+05:30,292.25,294.7,283.86,285.54,5893
2016-05-03 00:00:00+05:30,288.39,294.7,279.33,280.78,12671
