Date,Open,High,Low,Close,Volume
2014-04-01 00:00:00+05:30,45.78,47.34,45.78,47.34,257700
2014-04-02 00:00:00+05:30,40.91,48.51,40.91,44.8,1113
2014-04-03 00:00:00+05:30,48.31,48.31,47.53,47.53,102718
2014-04-04 00:00:00+05:30,48.12,48.12,48.12,48.12,102667
2014-04-07 00:00:00+05:30,48.51,48.51,45.38,47.34,208799
2014-04-09 00:00:00+05:30,45.97,47.14,40.18,47.14,129894
2014-04-10 00:00:00+05:30,56.1,56.1,44.8,47.11,105131
2014-04-11 00:00:00+05:30,47.73,47.73,45.58,46.17,183317
2014-04-15 00:00:00+05:30,46.17,48.7,45.29,46.67,196125
2014-04-16 00:00:00+05:30,45.4,46.56,45.39,46.37,185253
2014-04-17 00:00:00+05:30,46.56,46.75,45.49,46.62,154047
2014-04-21 00:00:00+05:30,45.78,51.23,45.1,46.41,213753
2014-04-22 00:00:00+05:30,45.39,46.75,45.1,46.59,221848
2014-04-23 00:00:00+05:30,46.55,46.55,44.42,46.17,213383
2014-04-25 00:00:00+05:30,45.0,46.56,44.03,46.55,221510
2014-04-28 00:00:00+05:30,45.0,45.97,40.91,45.77,229071
2014-04-29 00:00:00+05:30,44.22,48.65,43.24,45.07,232587
2014-04-30 00:00:00+05:30,43.71,45.21,41.98,42.07,159457
2014-05-02 00:00:00+05:30,43.83,45.78,39.93,42.86,53238
2014-05-05 00:00:00+05:30,43.83,43.83,40.46,41.69,154119
2014-05-06 00:00:00+05:30,40.52,42.08,40.52,41.88,102739
2014-05-07 00:00:00+05:30,40.91,42.27,40.17,41.69,246735
2014-05-08 00:00:00+05:30,41.67,41.69,41.65,41.69,164421
2014-05-09 00:00:00+05:30,40.71,42.08,40.64,41.94,154088
2014-05-12 00:00:00+05:30,42.86,42.86,41.49,41.69,102713
2014-05-13 00:00:00+05:30,41.69,42.08,39.35,41.81,190319
2014-05-14 00:00:00+05:30,40.52,41.49,33.46,40.58,76117
2014-05-15 00:00:00+05:30,38.77,40.71,38.77,39.93,56338
2014-05-16 00:00:00+05:30,40.13,43.05,35.31,42.18,79931
2014-05-19 00:00:00+05:30,41.88,42.47,40.91,41.34,109653
2014-05-20 00:00:00+05:30,41.34,43.05,39.94,41.86,1093
2014-05-21 00:00:00+05:30,40.91,40.91,40.32,40.62,10
2014-05-22 00:00:00+05:30,48.7,48.7,41.32,42.86,3346
2014-05-23 00:00:00+05:30,42.95,48.31,42.95,45.87,1493
2014-05-26 00:00:00+05:30,48.7,53.57,46.75,50.01,7730
2014-05-27 00:00:00+05:30,48.7,50.0,42.86,44.52,6729
2014-05-28 00:00:00+05:30,52.52,52.52,43.83,44.21,1067
2014-05-29 00:00:00+05:30,46.75,46.75,40.25,41.71,12268
2014-05-30 00:00:00+05:30,42.86,43.64,41.3,42.27,2412
2014-06-02 00:00:00+05:30,41.3,42.64,40.91,41.35,2258
2014-06-03 00:00:00+05:30,41.3,42.27,41.1,41.87,1391
2014-06-04 00:00:00+05:30,41.69,43.64,41.36,41.36,728
2014-06-05 00:00:00+05:30,41.88,41.88,41.3,41.4,1057
2014-06-06 00:00:00+05:30,43.64,44.61,40.13,41.42,1103
2014-06-09 00:00:00+05:30,44.58,44.61,41.49,42.86,775
2014-06-10 00:00:00+05:30,45.97,46.75,44.51,44.59,4871
2014-06-11 00:00:00+05:30,44.8,47.53,43.44,43.44,2695
2014-06-12 00:00:00+05:30,42.91,46.7,42.91,46.2,6837
2014-06-13 00:00:00+05:30,45.82,45.99,44.03,45.97,133
2014-06-16 00:00:00+05:30,44.04,45.97,44.04,45.97,1273
2015-12-28 00:00:00+05:30,39.35,39.45,38.19,38.51,55101
2015-12-29 00:00:00+05:30,38.57,39.31,38.0,38.3,69526
2015-12-30 00:00:00+05:30,38.77,39.45,37.21,38.14,58469
2015-12-31 00:00:00+05:30,38.96,38.96,37.6,38.06,55158
2016-01-01 00:00:00+05:30,37.99,38.86,37.28,38.22,57940
2016-01-04 00:00:00+05:30,38.38,39.14,37.21,37.48,56923
2016-01-05 00:00:00+05:30,37.69,38.47,37.26,38.43,56728
2016-01-06 00:00:00+05:30,38.08,39.49,37.62,37.99,30831
2016-01-07 00:00:00+05:30,37.99,38.32,37.4,37.54,33259
2016-01-08 00:00:00+05:30,37.6,38.53,36.45,37.62,29840
2016-01-11 00:00:00+05:30,37.4,38.8,37.11,38.18,28880
2016-01-12 00:00:00+05:30,37.03,38.77,37.03,37.66,29439
2016-01-13 00:00:00+05:30,37.69,38.47,36.04,36.63,33089
2016-01-14 00:00:00+05:30,36.23,37.5,36.23,37.4,28664
2016-01-15 00:00:00+05:30,37.4,38.84,33.51,35.84,22602
2016-01-18 00:00:00+05:30,34.1,37.73,34.09,37.25,5046
2016-01-19 00:00:00+05:30,36.05,39.35,36.05,38.13,1165
2016-01-20 00:00:00+05:30,37.98,38.16,36.29,36.29,487
2016-01-21 00:00:00+05:30,35.51,38.53,35.08,38.37,14517
2016-01-22 00:00:00+05:30,36.83,38.18,36.83,38.04,1134
2016-01-25 00:00:00+05:30,38.57,38.57,38.37,38.37,15
2016-01-27 00:00:00+05:30,37.01,38.2,37.01,37.6,11319
2016-01-28 00:00:00+05:30,38.77,38.77,38.77,38.77,51
2016-01-29 00:00:00+05:30,38.77,39.25,37.01,38.09,107369
2016-02-01 00:00:00+05:30,37.99,38.71,37.11,37.76,107087
2016-02-02 00:00:00+05:30,37.69,38.77,35.81,37.01,109987
2016-02-03 00:00:00+05:30,37.01,37.99,35.75,36.41,107082
2016-02-04 00:00:00+05:30,36.43,37.99,36.04,37.85,111055
2016-02-05 00:00:00+05:30,38.18,39.16,37.03,37.03,114140
2016-02-08 00:00:00+05:30,37.11,38.05,37.03,37.2,113262
2016-02-09 00:00:00+05:30,37.21,37.6,35.54,37.33,114320
2016-02-10 00:00:00+05:30,37.4,37.97,35.84,36.7,103935
2016-02-11 00:00:00+05:30,37.4,38.67,35.1,36.23,106204
2016-02-12 00:00:00+05:30,36.04,37.01,35.67,36.93,107087
2016-02-15 00:00:00+05:30,36.72,37.37,35.06,36.7,124684
2016-02-16 00:00:00+05:30,37.5,40.69,36.28,37.21,111619
2016-02-17 00:00:00+05:30,37.11,37.39,36.41,37.36,110603
2016-02-18 00:00:00+05:30,38.18,38.18,36.23,36.33,107467
2016-02-19 00:00:00+05:30,36.23,37.18,35.65,36.52,106337
2016-02-22 00:00:00+05:30,36.43,36.52,35.26,35.6,108026
2016-02-23 00:00:00+05:30,35.65,36.82,34.22,35.59,110783
2016-02-24 00:00:00+05:30,35.06,36.59,33.92,35.94,117282
2016-02-25 00:00:00+05:30,34.68,36.2,34.51,35.84,109833
2016-02-26 00:00:00+05:30,35.84,37.73,35.16,36.41,111322
2016-02-29 00:00:00+05:30,36.82,37.93,35.46,36.59,117502
