Date,Open,High,Low,Close,Volume
2001-12-26 00:00:00+05:30,2.78,2.78,2.75,2.78,23423
2001-12-27 00:00:00+05:30,2.73,2.75,2.73,2.75,21621
2001-12-28 00:00:00+05:30,2.78,2.78,2.78,2.78,1999
2001-12-31 00:00:00+05:30,2.73,2.8,2.73,2.8,18018
2002-01-01 00:00:00+05:30,2.84,2.84,2.84,2.84,15225
2002-01-02 00:00:00+05:30,2.87,2.87,2.8,2.86,12396
2002-01-03 00:00:00+05:30,2.83,2.83,2.78,2.83,36972
2002-01-04 00:00:00+05:30,2.84,2.88,2.78,2.88,36954
2002-01-07 00:00:00+05:30,2.89,2.89,2.72,2.72,28828
2002-01-08 00:00:00+05:30,2.77,2.78,2.77,2.78,3603
2002-01-09 00:00:00+05:30,2.78,2.78,2.72,2.78,27117
2002-01-10 00:00:00+05:30,2.91,2.91,2.73,2.75,25675
2002-01-11 00:00:00+05:30,2.75,2.75,2.75,2.75,6306
2002-01-14 00:00:00+05:30,2.76,2.76,2.73,2.73,27027
2002-01-15 00:00:00+05:30,2.75,2.75,2.69,2.72,87387
2002-01-16 00:00:00+05:30,2.74,2.8,2.73,2.75,27963
2002-01-17 00:00:00+05:30,2.8,2.83,2.75,2.76,23837
2002-01-18 00:00:00+05:30,2.88,2.88,2.73,2.74,52270
2002-01-21 00:00:00+05:30,2.74,2.75,2.71,2.71,54054
2002-01-22 00:00:00+05:30,2.83,2.83,2.72,2.72,218216
2002-01-23 00:00:00+05:30,2.8,2.83,2.66,2.73,7225
2002-01-24 00:00:00+05:30,2.78,2.78,2.72,2.72,160288
2002-01-25 00:00:00+05:30,2.72,2.83,2.72,2.78,75261
2002-01-28 00:00:00+05:30,2.75,2.75,2.72,2.72,140540
2002-01-29 00:00:00+05:30,2.72,2.8,2.72,2.72,117567
2002-01-30 00:00:00+05:30,2.72,2.74,2.7,2.71,545963
2002-01-31 00:00:00+05:30,2.83,2.83,2.72,2.74,101009
2002-02-01 00:00:00+05:30,2.73,2.78,2.69,2.73,111837
2002-02-04 00:00:00+05:30,2.76,2.79,2.72,2.73,257927
2002-02-05 00:00:00+05:30,2.73,2.78,2.72,2.72,187387
2002-02-06 00:00:00+05:30,2.64,2.73,2.64,2.72,70360
2002-02-07 00:00:00+05:30,2.78,2.78,2.72,2.74,18036
2002-02-08 00:00:00+05:30,2.79,2.79,2.72,2.72,107477
2002-02-11 00:00:00+05:30,2.8,2.8,2.72,2.76,260162
2002-02-12 00:00:00+05:30,2.89,2.89,2.74,2.79,15855
2002-02-13 00:00:00+05:30,2.94,2.94,2.8,2.82,24180
2002-02-14 00:00:00+05:30,2.97,2.97,2.82,2.86,43261
2002-02-15 00:00:00+05:30,2.93,2.93,2.85,2.86,34450
2002-02-18 00:00:00+05:30,3.0,3.0,2.79,2.92,34072
2002-02-19 00:00:00+05:30,2.72,2.97,2.72,2.91,83063
2002-02-20 00:00:00+05:30,3.05,3.05,2.89,2.89,9027
2002-02-21 00:00:00+05:30,3.05,3.05,2.78,2.96,24846
2002-02-22 00:00:00+05:30,3.04,3.06,2.9,2.95,29189
2002-02-25 00:00:00+05:30,3.05,3.05,2.91,2.92,16432
2002-02-26 00:00:00+05:30,2.99,3.02,2.87,3.0,54972
2002-02-27 00:00:00+05:30,3.19,3.19,2.96,2.97,48054
2002-02-28 00:00:00+05:30,2.97,2.97,2.78,2.78,59009
2002-03-01 00:00:00+05:30,2.89,2.89,2.78,2.87,13063
2002-03-04 00:00:00+05:30,2.87,2.94,2.87,2.89,7927
2002-03-05 00:00:00+05:30,2.98,2.98,2.89,2.95,53333
2002-03-06 00:00:00+05:30,2.97,2.98,2.94,2.97,8108
2002-03-07 00:00:00+05:30,2.97,3.0,2.92,2.98,11711
2002-03-08 00:00:00+05:30,2.99,2.99,2.89,2.89,12648
2002-03-11 00:00:00+05:30,2.86,2.93,2.83,2.83,17117
2002-03-12 00:00:00+05:30,2.83,2.83,2.81,2.83,4504
2002-03-13 00:00:00+05:30,2.89,2.91,2.78,2.83,18198
2002-03-14 00:00:00+05:30,2.78,2.78,2.72,2.72,57477
2002-03-15 00:00:00+05:30,2.74,2.84,2.72,2.78,20540
2002-03-18 00:00:00+05:30,2.73,2.8,2.72,2.76,23603
2002-03-19 00:00:00+05:30,2.73,2.91,2.55,2.64,454522
2002-03-20 00:00:00+05:30,2.72,2.72,2.61,2.67,258990
2002-03-21 00:00:00+05:30,2.7,2.71,2.64,2.66,68378
2002-03-22 00:00:00+05:30,2.58,2.66,2.57,2.61,345945
2002-03-26 00:00:00+05:30,2.66,2.72,2.64,2.66,74828
2002-03-27 00:00:00+05:30,2.72,2.72,2.66,2.66,41729
2002-03-28 00:00:00+05:30,2.72,2.72,2.61,2.66,24774
2002-04-01 00:00:00+05:30,2.68,2.71,2.58,2.69,12612
2002-04-02 00:00:00+05:30,2.66,2.66,2.61,2.61,65315
2002-04-03 00:00:00+05:30,2.64,2.66,2.61,2.62,11585
2002-04-04 00:00:00+05:30,2.69,2.72,2.64,2.66,69279
2002-04-05 00:00:00+05:30,2.72,2.72,2.72,2.72,1801
2002-04-08 00:00:00+05:30,2.72,2.77,2.68,2.72,48990
2002-04-09 00:00:00+05:30,2.78,2.83,2.67,2.75,113279
2002-04-10 00:00:00+05:30,2.82,2.91,2.77,2.88,111063
2002-04-11 00:00:00+05:30,2.97,3.33,2.83,2.93,122864
2002-04-12 00:00:00+05:30,3.07,3.25,2.98,3.21,189765
2002-04-15 00:00:00+05:30,3.25,3.27,3.05,3.09,104198
2002-04-16 00:00:00+05:30,3.05,3.21,3.05,3.16,36522
2002-04-17 00:00:00+05:30,3.22,3.27,3.14,3.22,83369
2002-04-18 00:00:00+05:30,3.27,3.32,3.19,3.27,162018
2002-04-19 00:00:00+05:30,3.27,3.66,3.27,3.59,301477
2002-04-22 00:00:00+05:30,3.61,3.66,3.4,3.49,95495
