Date,Open,High,Low,Close,Volume
2022-11-21 00:00:00+05:30,56.46,57.41,56.12,56.55,1508
2023-01-09 00:00:00+05:30,66.22,66.22,64.62,66.05,9024
2023-01-10 00:00:00+05:30,69.11,69.11,63.15,64.36,11022
2023-01-11 00:00:00+05:30,67.56,67.56,67.56,67.56,3713
2023-01-12 00:00:00+05:30,70.93,70.93,70.93,70.93,4499
2023-01-13 00:00:00+05:30,74.46,74.46,74.46,74.46,4405
2023-01-16 00:00:00+05:30,78.18,78.18,78.18,78.18,5136
2023-01-17 00:00:00+05:30,82.06,82.06,82.06,82.06,31347
2023-01-18 00:00:00+05:30,86.16,86.16,86.16,86.16,30080
2023-01-19 00:00:00+05:30,90.44,90.44,90.44,90.44,14892
2023-04-26 00:00:00+05:30,61.26,61.26,57.5,57.5,0
2023-06-22 00:00:00+05:30,45.41,45.41,42.39,43.51,8828
2023-06-23 00:00:00+05:30,43.08,43.17,40.92,42.18,6130
2023-06-26 00:00:00+05:30,40.88,43.17,40.88,41.05,4337
2023-06-27 00:00:00+05:30,41.1,43.17,41.1,43.08,339862
2023-06-28 00:00:00+05:30,43.86,45.11,42.0,44.64,14151
2023-06-30 00:00:00+05:30,46.19,46.19,42.3,43.17,11034
2023-07-03 00:00:00+05:30,44.89,44.94,41.87,43.17,10900
2023-07-04 00:00:00+05:30,43.17,44.03,41.01,43.17,10603
2023-07-05 00:00:00+05:30,44.03,44.03,41.01,42.3,17448
2023-07-06 00:00:00+05:30,43.25,43.25,41.01,41.44,6294
2023-07-07 00:00:00+05:30,42.35,42.74,39.07,40.58,12046
2023-07-10 00:00:00+05:30,40.02,41.44,39.07,39.76,9022
2023-07-11 00:00:00+05:30,39.71,41.4,39.71,40.15,4436
2023-07-12 00:00:00+05:30,41.4,42.74,40.58,42.48,6538
2023-07-13 00:00:00+05:30,41.44,42.3,40.41,40.41,12847
2023-07-14 00:00:00+05:30,38.46,40.49,38.42,38.42,17004
2023-07-17 00:00:00+05:30,38.42,40.32,38.42,40.32,8406
2023-07-18 00:00:00+05:30,41.83,41.83,39.37,40.53,4389
2023-07-19 00:00:00+05:30,41.87,41.87,40.06,40.06,3779
2023-07-20 00:00:00+05:30,41.87,41.87,38.51,39.63,5376
2023-07-21 00:00:00+05:30,38.42,40.02,38.42,39.67,3095
2023-07-24 00:00:00+05:30,38.59,40.32,37.47,39.11,2545
2023-07-25 00:00:00+05:30,39.11,40.19,37.99,38.42,3142
2023-07-26 00:00:00+05:30,38.42,39.71,37.99,38.94,1799
2023-07-27 00:00:00+05:30,38.94,40.41,37.99,39.71,5155
2023-07-28 00:00:00+05:30,39.2,41.01,38.07,40.02,4884
2023-07-31 00:00:00+05:30,40.15,40.58,37.99,38.85,4831
2023-08-01 00:00:00+05:30,38.85,39.71,38.42,39.71,1420
2023-08-02 00:00:00+05:30,38.55,39.71,38.16,38.85,4915
2023-08-03 00:00:00+05:30,38.85,39.63,38.2,38.85,3672
2023-08-04 00:00:00+05:30,38.03,39.54,38.03,39.5,6842
2023-08-07 00:00:00+05:30,38.85,39.5,37.38,39.2,27182
2023-08-08 00:00:00+05:30,40.58,40.58,38.29,39.63,5731
2023-08-09 00:00:00+05:30,41.27,41.27,38.85,39.02,3522
2023-08-10 00:00:00+05:30,41.14,41.14,39.33,40.41,2225
2023-08-11 00:00:00+05:30,40.36,40.58,38.85,39.28,4002
