Date,Open,High,Low,Close,Volume
2001-12-26 00:00:00+05:30,3.6,3.6,3.6,3.6,833
2001-12-27 00:00:00+05:30,3.37,3.37,3.37,3.37,1666
2001-12-28 00:00:00+05:30,3.43,3.57,3.43,3.48,16666
2001-12-31 00:00:00+05:30,3.41,3.41,3.4,3.4,666
2002-01-02 00:00:00+05:30,3.45,3.45,3.45,3.45,2499
2002-01-03 00:00:00+05:30,3.48,3.48,3.48,3.48,4166
2002-01-04 00:00:00+05:30,3.38,3.42,3.38,3.42,2083
2002-01-07 00:00:00+05:30,3.37,3.39,3.37,3.39,9166
2002-01-08 00:00:00+05:30,3.36,3.36,3.36,3.36,833
2002-01-09 00:00:00+05:30,3.18,3.31,3.18,3.31,3333
2002-01-10 00:00:00+05:30,3.3,3.3,3.3,3.3,666
2002-01-14 00:00:00+05:30,3.48,3.48,3.48,3.48,833
2002-01-15 00:00:00+05:30,3.32,3.46,3.32,3.36,6666
2002-01-16 00:00:00+05:30,3.14,3.34,3.14,3.32,1666
2002-01-18 00:00:00+05:30,3.24,3.36,3.23,3.36,1666
2002-01-21 00:00:00+05:30,3.18,3.58,3.18,3.43,10883
2002-01-23 00:00:00+05:30,3.31,3.49,3.31,3.49,833
2002-01-24 00:00:00+05:30,3.37,3.39,3.37,3.37,3749
2002-01-25 00:00:00+05:30,3.6,3.63,3.55,3.63,9166
2002-01-28 00:00:00+05:30,3.75,3.92,3.75,3.8,23008
2002-01-29 00:00:00+05:30,3.78,3.78,3.53,3.66,5416
2002-01-30 00:00:00+05:30,3.66,3.66,3.61,3.61,5833
2002-01-31 00:00:00+05:30,3.51,3.66,3.51,3.66,10516
2002-02-01 00:00:00+05:30,3.6,3.83,3.59,3.64,15808
2002-02-04 00:00:00+05:30,3.58,3.81,3.57,3.77,3749
2002-02-05 00:00:00+05:30,3.75,3.77,3.72,3.73,5416
2002-02-06 00:00:00+05:30,3.72,3.75,3.61,3.66,10416
2002-02-07 00:00:00+05:30,3.72,3.84,3.69,3.84,6249
2002-02-08 00:00:00+05:30,3.9,3.93,3.81,3.87,4999
2002-02-11 00:00:00+05:30,3.73,3.94,3.73,3.9,2099
2002-02-12 00:00:00+05:30,3.84,3.91,3.75,3.87,12741
2002-02-13 00:00:00+05:30,4.07,4.07,3.79,3.82,5291
2002-02-14 00:00:00+05:30,3.87,3.87,3.72,3.72,999
