Date,Open,High,Low,Close,Volume
2017-07-20 00:00:00+05:30,9.45,10.07,9.24,9.65,1509909
2017-07-21 00:00:00+05:30,10.0,10.02,9.5,9.68,4840449
2017-07-24 00:00:00+05:30,9.7,9.7,8.56,9.14,4800149
2017-07-25 00:00:00+05:30,9.41,9.41,9.1,9.15,3796689
2017-07-26 00:00:00+05:30,8.97,9.35,8.97,9.27,4799299
2017-07-27 00:00:00+05:30,9.1,9.4,9.1,9.19,5090769
2017-07-28 00:00:00+05:30,9.05,9.13,8.83,8.92,7752319
2017-07-31 00:00:00+05:30,8.86,9.46,8.85,9.37,8808669
2017-08-01 00:00:00+05:30,9.65,9.7,9.1,9.22,5392769
2017-08-02 00:00:00+05:30,9.35,9.35,9.0,9.03,5311889
2017-08-03 00:00:00+05:30,8.95,9.2,8.71,8.75,3425439
2017-08-04 00:00:00+05:30,9.1,9.54,8.71,8.81,5571759
2017-08-07 00:00:00+05:30,8.62,9.0,8.12,8.56,6187039
2017-08-08 00:00:00+05:30,8.8,9.0,8.3,8.5,4447509
2017-08-09 00:00:00+05:30,8.5,8.65,8.25,8.38,4164239
2017-08-10 00:00:00+05:30,8.38,8.56,7.71,8.45,4400709
2017-08-11 00:00:00+05:30,8.11,8.56,8.06,8.18,6315429
2017-08-14 00:00:00+05:30,8.1,8.4,8.1,8.3,3603659
2017-08-16 00:00:00+05:30,8.3,8.41,8.21,8.31,2622909
2017-08-17 00:00:00+05:30,8.3,8.63,8.2,8.43,1943799
2017-08-18 00:00:00+05:30,8.4,8.49,8.25,8.43,4387609
2017-08-21 00:00:00+05:30,8.48,9.2,7.9,8.04,2604749
2017-08-22 00:00:00+05:30,8.11,8.41,7.89,8.4,2199379
2017-08-23 00:00:00+05:30,8.45,8.45,8.32,8.35,4057639
2017-08-24 00:00:00+05:30,8.2,8.49,8.19,8.45,2261459
2017-08-28 00:00:00+05:30,8.43,8.6,8.22,8.33,1947559
2017-08-29 00:00:00+05:30,8.3,8.38,8.03,8.2,2520719
2017-08-30 00:00:00+05:30,8.47,8.51,7.9,8.18,1998869
2017-08-31 00:00:00+05:30,8.02,8.35,8.02,8.2,2806769
2017-09-01 00:00:00+05:30,8.28,8.28,8.06,8.2,2768219
2017-09-04 00:00:00+05:30,8.33,8.33,7.62,8.04,2019609
2017-09-05 00:00:00+05:30,8.26,8.26,7.86,8.08,2052369
2017-09-06 00:00:00+05:30,8.36,8.36,7.93,8.13,1726799
2017-09-07 00:00:00+05:30,8.33,8.33,8.05,8.28,1694519
2017-09-08 00:00:00+05:30,8.49,8.49,8.22,8.41,1672279
2017-09-11 00:00:00+05:30,8.45,8.95,8.3,8.47,2262729
2017-09-12 00:00:00+05:30,8.5,8.55,8.36,8.4,1932839
2017-09-13 00:00:00+05:30,8.3,8.49,8.19,8.36,3732569
2017-09-14 00:00:00+05:30,8.36,8.6,8.0,8.3,1558769
2017-09-15 00:00:00+05:30,8.43,8.8,8.2,8.5,1688619
2017-09-18 00:00:00+05:30,8.6,9.48,8.37,8.44,758009
2017-09-19 00:00:00+05:30,8.78,8.9,8.28,8.45,1840479
2017-09-20 00:00:00+05:30,8.45,8.51,8.3,8.32,1626669
2017-09-21 00:00:00+05:30,8.65,8.9,8.06,8.21,2069979
2017-09-22 00:00:00+05:30,8.3,8.8,7.95,8.07,1627019
2017-09-25 00:00:00+05:30,8.0,8.1,7.69,7.81,3058709
2017-09-26 00:00:00+05:30,7.85,8.4,7.3,8.11,3437359
2017-09-27 00:00:00+05:30,8.0,8.29,7.7,8.02,1663589
2017-09-28 00:00:00+05:30,8.1,8.24,7.93,8.0,1958139
2017-09-29 00:00:00+05:30,8.05,8.11,7.95,8.02,1811579
2017-10-03 00:00:00+05:30,7.88,8.18,7.88,8.04,2459129
2017-10-04 00:00:00+05:30,8.05,8.2,7.91,8.11,1788679
2017-10-05 00:00:00+05:30,8.15,8.33,7.98,8.21,1866949
2017-10-06 00:00:00+05:30,8.33,9.07,7.2,8.8,2819479
2017-10-09 00:00:00+05:30,8.72,8.95,7.04,8.71,9441959
2017-10-10 00:00:00+05:30,8.71,9.0,8.67,8.8,4733959
2017-10-11 00:00:00+05:30,8.8,8.98,8.48,8.55,3341499
2017-10-12 00:00:00+05:30,8.5,8.75,8.4,8.61,11480039
2017-10-13 00:00:00+05:30,8.78,8.78,8.4,8.52,1877839
2017-10-16 00:00:00+05:30,8.44,8.7,8.41,8.51,1992069
2017-10-17 00:00:00+05:30,8.61,8.67,8.41,8.52,1422019
2017-10-18 00:00:00+05:30,8.49,8.67,8.02,8.54,4524219
2017-10-19 00:00:00+05:30,8.7,9.85,8.7,9.3,4227649
2017-10-23 00:00:00+05:30,9.3,9.8,9.28,9.73,5558239
2017-10-24 00:00:00+05:30,9.81,9.98,9.8,9.84,3437989
2017-10-25 00:00:00+05:30,9.85,10.3,9.85,10.01,2706199
