Date,Open,High,Low,Close,Volume
2020-12-04 00:00:00+05:30,27.35,27.35,22.45,25.45,291513
2020-12-07 00:00:00+05:30,26.0,26.0,24.2,24.2,84822
2020-12-08 00:00:00+05:30,23.35,25.4,23.25,24.45,62027
2020-12-09 00:00:00+05:30,25.0,25.65,24.0,25.45,42845
2020-12-10 00:00:00+05:30,25.5,25.5,24.5,24.8,9883
2020-12-11 00:00:00+05:30,25.0,25.8,24.2,24.85,1866
2020-12-14 00:00:00+05:30,23.65,25.4,23.65,24.05,43436
2020-12-15 00:00:00+05:30,24.0,25.0,23.1,23.95,7806
2020-12-16 00:00:00+05:30,24.0,24.8,24.0,24.7,5008
2020-12-17 00:00:00+05:30,24.05,25.8,23.6,25.05,24262
2020-12-18 00:00:00+05:30,25.0,25.0,24.15,24.55,2047
2020-12-21 00:00:00+05:30,25.4,25.4,23.35,23.35,18276
2020-12-22 00:00:00+05:30,24.4,24.4,22.25,22.75,5981
2020-12-23 00:00:00+05:30,22.15,23.75,22.1,23.35,8761
2020-12-24 00:00:00+05:30,24.25,24.35,22.7,22.95,4374
2020-12-28 00:00:00+05:30,24.0,24.0,23.0,23.75,4817
2020-12-29 00:00:00+05:30,24.7,24.9,23.3,24.05,15122
2020-12-30 00:00:00+05:30,23.5,24.95,23.2,24.35,9582
2020-12-31 00:00:00+05:30,23.35,25.15,23.35,24.45,18336
2021-01-01 00:00:00+05:30,25.45,25.45,23.55,25.0,27504
2021-01-04 00:00:00+05:30,25.0,26.0,25.0,25.9,40390
2021-01-05 00:00:00+05:30,24.9,27.15,24.9,27.15,30641
2021-01-06 00:00:00+05:30,28.5,28.5,28.1,28.5,33783
2021-01-07 00:00:00+05:30,29.9,29.9,29.9,29.9,15416
2021-01-08 00:00:00+05:30,31.35,31.35,31.35,31.35,19482
2021-01-11 00:00:00+05:30,32.9,32.9,32.9,32.9,6463
2021-01-12 00:00:00+05:30,34.5,34.5,31.65,32.75,70829
2021-01-13 00:00:00+05:30,34.35,34.35,31.2,32.9,128950
2021-01-14 00:00:00+05:30,34.2,34.2,31.3,31.3,357487
2021-01-15 00:00:00+05:30,31.0,32.75,29.75,31.85,15152
2021-01-18 00:00:00+05:30,31.85,31.85,30.3,30.3,2406
2021-01-19 00:00:00+05:30,30.3,30.3,28.8,29.05,17056
2021-01-20 00:00:00+05:30,29.5,29.5,27.6,28.3,25928
2021-01-21 00:00:00+05:30,27.15,29.7,26.9,26.9,39929
2021-01-22 00:00:00+05:30,27.5,27.5,25.6,25.95,31559
2021-01-25 00:00:00+05:30,26.5,26.5,24.7,24.75,19940
2021-01-27 00:00:00+05:30,24.75,25.9,24.25,24.7,20595
2021-01-28 00:00:00+05:30,24.4,25.9,23.6,25.4,5027
2021-01-29 00:00:00+05:30,26.6,26.6,24.25,24.9,8314
2021-02-01 00:00:00+05:30,24.9,26.1,23.95,26.0,8915
2021-02-02 00:00:00+05:30,26.0,27.25,25.35,25.35,9712
2021-02-03 00:00:00+05:30,24.5,26.6,24.45,26.0,13076
2021-02-04 00:00:00+05:30,26.05,27.3,24.7,25.2,10295
2021-02-05 00:00:00+05:30,25.7,26.45,24.35,26.2,5005
2021-02-08 00:00:00+05:30,27.45,27.5,25.3,27.45,11051
2021-02-09 00:00:00+05:30,26.55,28.8,26.1,26.1,38049
2021-02-10 00:00:00+05:30,25.05,26.95,24.8,26.0,13429
2021-02-11 00:00:00+05:30,26.95,27.0,24.7,24.9,35754
2021-02-12 00:00:00+05:30,24.8,26.1,24.0,24.6,80739
2021-02-15 00:00:00+05:30,25.4,25.4,23.4,24.4,124037
2021-02-16 00:00:00+05:30,24.9,25.6,24.5,25.3,40511
2021-02-17 00:00:00+05:30,25.55,26.55,25.35,25.9,68587
2021-02-18 00:00:00+05:30,25.9,27.15,25.65,27.0,95883
2021-02-19 00:00:00+05:30,27.95,28.35,25.65,25.85,124308
2021-02-22 00:00:00+05:30,26.25,26.25,24.6,24.85,38886
