Date,Open,High,Low,Close,Volume
2006-05-09 00:00:00+05:30,80.54,80.54,70.03,74.43,440657
2006-05-10 00:00:00+05:30,75.02,81.88,73.5,81.88,241763
2006-05-11 00:00:00+05:30,88.17,88.17,75.83,76.65,319601
2006-05-12 00:00:00+05:30,75.17,78.83,74.67,75.81,53249
2006-05-15 00:00:00+05:30,76.66,77.5,73.35,73.77,54023
2006-05-16 00:00:00+05:30,71.67,72.83,66.69,69.77,33929
2006-05-17 00:00:00+05:30,70.83,74.5,69.77,72.09,54287
2006-05-18 00:00:00+05:30,70.0,72.17,64.89,65.4,33359
2006-05-19 00:00:00+05:30,68.33,68.33,60.0,60.78,12227
2006-05-22 00:00:00+05:30,60.83,61.5,54.75,55.5,24611
2006-05-23 00:00:00+05:30,52.85,58.28,52.84,58.28,13181
2006-05-24 00:00:00+05:30,58.33,61.19,58.33,59.99,9833
2006-05-25 00:00:00+05:30,58.33,60.21,57.5,58.62,2183
2006-05-26 00:00:00+05:30,61.5,61.55,58.33,58.67,5273
2006-05-29 00:00:00+05:30,60.67,61.6,60.0,61.46,8453
2006-05-30 00:00:00+05:30,62.33,64.53,62.33,64.43,10445
2006-05-31 00:00:00+05:30,61.33,64.14,61.22,61.22,7043
2006-06-01 00:00:00+05:30,61.17,61.53,58.16,58.16,20303
2006-06-02 00:00:00+05:30,55.33,57.25,55.25,56.17,6917
2006-06-05 00:00:00+05:30,53.5,57.99,53.42,55.98,15653
2006-06-06 00:00:00+05:30,56.32,56.33,53.2,53.98,26363
2006-06-07 00:00:00+05:30,52.0,53.67,51.28,51.28,2897
2006-06-08 00:00:00+05:30,50.0,50.0,48.73,48.73,1097
2006-06-09 00:00:00+05:30,46.29,48.83,46.29,46.68,9023
2006-06-12 00:00:00+05:30,45.83,49.15,45.83,47.58,5879
2006-06-13 00:00:00+05:30,45.6,45.6,43.0,43.03,8459
2006-06-14 00:00:00+05:30,43.33,45.0,40.88,40.93,11573
2006-06-15 00:00:00+05:30,40.67,42.98,40.67,42.98,4517
2006-06-16 00:00:00+05:30,45.13,45.13,45.13,45.13,5159
2006-06-19 00:00:00+05:30,44.67,47.33,44.67,46.38,12215
2006-06-20 00:00:00+05:30,46.83,48.7,46.67,48.35,10343
2006-06-21 00:00:00+05:30,48.5,50.78,48.5,50.78,4439
2006-06-22 00:00:00+05:30,52.5,53.32,52.35,53.32,3641
2006-06-23 00:00:00+05:30,51.67,54.83,50.68,52.47,17507
2006-06-25 00:00:00+05:30,54.13,54.13,50.01,50.72,3617
2006-06-26 00:00:00+05:30,50.33,52.33,48.87,51.18,33383
2006-06-27 00:00:00+05:30,50.15,53.0,48.63,48.63,13145
2006-06-28 00:00:00+05:30,48.0,51.06,48.0,50.9,3785
2006-06-29 00:00:00+05:30,51.65,53.17,51.65,52.83,6917
2006-06-30 00:00:00+05:30,54.15,54.17,52.5,53.33,5405
2006-07-03 00:00:00+05:30,53.67,54.29,53.33,54.25,3641
2006-07-04 00:00:00+05:30,54.17,54.41,53.3,53.33,3809
2006-07-05 00:00:00+05:30,51.67,53.82,51.67,52.26,629
2006-07-06 00:00:00+05:30,50.83,50.83,50.83,50.83,59
2006-07-07 00:00:00+05:30,51.67,53.33,51.67,52.15,2741
2006-07-10 00:00:00+05:30,51.67,54.29,51.67,54.18,4361
2006-07-11 00:00:00+05:30,52.58,54.17,52.58,53.83,3029
2006-07-12 00:00:00+05:30,52.6,54.58,52.57,54.4,10385
2006-07-13 00:00:00+05:30,53.09,55.0,53.09,54.73,143
2006-07-14 00:00:00+05:30,54.17,54.83,52.83,52.83,929
2006-07-17 00:00:00+05:30,51.83,53.29,51.83,52.61,1223
2006-07-18 00:00:00+05:30,51.84,52.31,51.67,51.67,3947
2006-07-19 00:00:00+05:30,51.98,51.98,49.08,49.08,2009
2006-07-20 00:00:00+05:30,50.0,50.63,50.0,50.03,1829
2006-07-21 00:00:00+05:30,50.0,50.42,49.67,49.77,3179
2006-07-24 00:00:00+05:30,50.24,50.25,48.34,50.0,4919
2006-07-25 00:00:00+05:30,50.0,51.81,50.0,51.06,4457
2006-07-26 00:00:00+05:30,50.0,50.0,50.0,50.0,59
2006-07-27 00:00:00+05:30,50.0,50.03,50.0,50.0,449
2006-07-28 00:00:00+05:30,50.0,50.0,50.0,50.0,119
2006-07-31 00:00:00+05:30,50.01,50.18,50.01,50.18,557
2006-08-01 00:00:00+05:30,50.17,51.0,50.0,50.0,551
2006-08-02 00:00:00+05:30,48.68,50.76,48.68,50.48,1721
2006-08-03 00:00:00+05:30,50.73,50.73,50.33,50.41,3221
2006-08-04 00:00:00+05:30,50.02,50.17,49.33,49.78,749
2006-08-07 00:00:00+05:30,50.0,51.67,49.27,50.19,1031
2006-08-08 00:00:00+05:30,50.5,50.58,50.0,50.39,959
2006-08-09 00:00:00+05:30,49.39,51.0,49.39,50.83,1265
2006-08-10 00:00:00+05:30,51.5,53.08,51.5,52.43,2249
2006-08-11 00:00:00+05:30,53.33,55.48,53.33,54.0,3521
2006-08-14 00:00:00+05:30,52.85,55.32,52.85,54.33,1661
2006-08-16 00:00:00+05:30,52.72,59.17,52.72,56.75,6197
2006-08-17 00:00:00+05:30,57.52,57.52,53.67,54.93,2033
2006-08-18 00:00:00+05:30,54.96,55.0,53.79,53.84,101
2006-08-21 00:00:00+05:30,55.33,55.33,54.17,54.17,3407
2006-08-22 00:00:00+05:30,54.17,55.5,54.17,54.98,785
2006-08-23 00:00:00+05:30,54.81,57.48,53.34,53.34,2159
2006-08-24 00:00:00+05:30,54.85,54.85,52.5,52.98,803
2006-08-25 00:00:00+05:30,53.33,53.67,52.51,53.04,1379
2006-08-28 00:00:00+05:30,53.66,54.15,50.8,51.39,2057
2006-08-29 00:00:00+05:30,52.5,54.0,52.5,53.87,7085
2006-08-30 00:00:00+05:30,55.0,55.0,52.67,54.0,3953
2006-08-31 00:00:00+05:30,57.48,57.48,53.23,53.33,1601
2006-09-01 00:00:00+05:30,53.0,53.04,53.0,53.04,449
2006-09-04 00:00:00+05:30,53.33,54.34,53.33,54.23,2135
2006-09-05 00:00:00+05:30,52.54,54.67,52.5,54.33,2189
2006-09-06 00:00:00+05:30,53.33,54.83,52.0,53.02,8171
2006-09-07 00:00:00+05:30,51.5,52.67,50.17,50.56,5435
2006-09-08 00:00:00+05:30,52.49,52.5,51.03,51.65,4817
2006-09-11 00:00:00+05:30,52.5,52.94,51.84,52.39,13853
2006-09-12 00:00:00+05:30,52.94,52.94,51.83,51.83,3119
2006-09-13 00:00:00+05:30,52.82,52.82,51.33,51.99,25607
2006-09-14 00:00:00+05:30,52.74,52.82,51.52,51.83,2879
2006-09-15 00:00:00+05:30,51.83,52.33,51.83,51.83,1601
2006-09-18 00:00:00+05:30,54.48,57.02,54.48,55.99,19133
2006-09-19 00:00:00+05:30,56.67,58.33,53.72,54.66,5555
2006-09-20 00:00:00+05:30,52.67,55.83,52.67,53.44,16799
2006-09-21 00:00:00+05:30,54.17,54.5,53.47,54.5,2633
2006-09-22 00:00:00+05:30,54.62,54.62,52.68,53.39,749
