Date,Open,High,Low,Close,Volume
2006-09-29 00:00:00+05:30,12.86,12.86,11.83,12.19,10875
2006-10-03 00:00:00+05:30,12.4,12.8,12.4,12.7,26255
2006-10-04 00:00:00+05:30,12.83,13.52,12.83,13.04,33240
2006-10-05 00:00:00+05:30,13.04,13.1,12.83,12.94,36790
2006-10-06 00:00:00+05:30,12.48,13.18,12.48,13.12,28215
2006-10-09 00:00:00+05:30,12.84,13.28,12.84,13.08,14700
2006-10-10 00:00:00+05:30,13.2,13.31,13.09,13.13,22665
2006-10-11 00:00:00+05:30,13.2,13.2,12.9,12.98,12870
2006-10-12 00:00:00+05:30,13.19,13.49,12.86,13.24,29940
2006-10-13 00:00:00+05:30,13.22,13.24,13.11,13.15,11655
2006-10-16 00:00:00+05:30,13.12,13.47,13.1,13.11,17545
2006-10-17 00:00:00+05:30,13.12,13.12,13.0,13.01,25030
2006-10-18 00:00:00+05:30,12.81,13.2,12.81,12.94,13155
2006-10-19 00:00:00+05:30,12.93,13.0,12.82,12.91,4890
2006-10-20 00:00:00+05:30,12.8,13.08,12.8,12.94,8730
2006-10-21 00:00:00+05:30,14.0,14.0,12.94,13.09,4040
2006-10-23 00:00:00+05:30,13.18,13.18,12.8,12.96,2245
2006-10-26 00:00:00+05:30,14.26,14.26,13.52,14.26,75865
2006-10-27 00:00:00+05:30,15.2,15.69,15.0,15.41,511200
2006-10-30 00:00:00+05:30,15.4,15.56,14.2,14.25,73400
2006-10-31 00:00:00+05:30,14.39,15.58,13.91,14.45,61200
2006-11-01 00:00:00+05:30,14.56,14.76,13.7,13.88,44735
2006-11-02 00:00:00+05:30,13.6,14.16,13.6,14.0,37970
2006-11-03 00:00:00+05:30,13.6,14.4,13.44,13.72,29150
2006-11-06 00:00:00+05:30,14.0,14.0,13.64,13.85,23135
2006-11-07 00:00:00+05:30,13.86,14.11,13.6,13.64,11475
2006-11-08 00:00:00+05:30,13.75,13.75,13.25,13.31,13735
2006-11-09 00:00:00+05:30,13.4,13.6,13.26,13.42,21305
2006-11-10 00:00:00+05:30,13.4,13.57,13.15,13.21,7660
2006-11-13 00:00:00+05:30,13.21,13.5,13.21,13.36,10900
2006-11-14 00:00:00+05:30,13.42,13.58,13.05,13.27,19855
2006-11-15 00:00:00+05:30,13.24,13.6,13.2,13.26,14250
2006-11-16 00:00:00+05:30,13.1,13.2,13.1,13.16,13025
2006-11-17 00:00:00+05:30,13.1,13.15,12.82,12.85,18710
2006-11-20 00:00:00+05:30,12.6,12.89,12.47,12.61,9910
2006-11-21 00:00:00+05:30,12.4,14.74,12.4,13.37,106540
2006-11-22 00:00:00+05:30,14.02,14.32,13.11,13.35,91100
2006-11-23 00:00:00+05:30,13.98,14.38,13.11,13.12,12060
2006-11-24 00:00:00+05:30,13.35,13.6,13.1,13.27,13855
2006-11-27 00:00:00+05:30,13.34,13.44,13.2,13.22,9935
2006-11-28 00:00:00+05:30,11.25,13.62,11.25,13.15,19165
2006-11-29 00:00:00+05:30,13.04,13.6,13.0,13.24,32495
2006-11-30 00:00:00+05:30,13.0,13.48,13.0,13.28,18010
2006-12-01 00:00:00+05:30,13.34,13.8,11.2,13.23,57695
2006-12-04 00:00:00+05:30,13.2,13.8,13.2,13.38,76615
2006-12-05 00:00:00+05:30,13.42,13.8,13.33,13.42,74650
2006-12-06 00:00:00+05:30,13.55,13.6,13.0,13.19,130310
2006-12-07 00:00:00+05:30,13.48,13.48,13.02,13.12,27420
2006-12-08 00:00:00+05:30,13.04,13.4,12.9,13.02,33095
2006-12-11 00:00:00+05:30,13.15,13.15,12.42,12.59,15605
2006-12-12 00:00:00+05:30,12.4,12.9,12.03,12.15,34020
2006-12-13 00:00:00+05:30,12.0,12.0,11.57,11.95,47710
2006-12-14 00:00:00+05:30,12.0,12.24,11.93,12.08,35555
