Date,Open,High,Low,Close,Volume
2010-02-19 00:00:00+05:30,36.67,39.72,33.91,34.42,24596890
2010-02-22 00:00:00+05:30,35.36,35.36,33.31,33.47,3244413
2010-02-23 00:00:00+05:30,32.75,32.84,30.57,31.47,1548160
2010-02-24 00:00:00+05:30,29.69,32.19,29.69,31.49,1339501
2010-02-25 00:00:00+05:30,31.54,34.52,31.54,32.63,3329804
2010-02-26 00:00:00+05:30,32.7,32.7,31.49,31.68,508931
2010-03-02 00:00:00+05:30,32.0,32.94,32.0,32.87,517826
2010-03-03 00:00:00+05:30,31.49,33.91,31.49,33.5,445048
2010-03-04 00:00:00+05:30,33.5,34.71,33.47,34.52,570914
2010-03-05 00:00:00+05:30,34.73,35.85,34.62,34.93,526042
2010-03-08 00:00:00+05:30,35.36,36.38,34.88,36.23,676503
2010-03-09 00:00:00+05:30,36.57,36.77,35.65,36.09,561916
2010-03-10 00:00:00+05:30,36.33,36.33,35.22,35.6,380034
2010-03-11 00:00:00+05:30,35.36,36.28,35.36,35.9,258647
2010-03-12 00:00:00+05:30,36.04,37.2,35.73,37.01,956008
2010-03-15 00:00:00+05:30,37.18,37.54,36.09,36.57,422156
2010-03-16 00:00:00+05:30,37.28,37.3,36.26,36.75,533017
2010-03-17 00:00:00+05:30,36.82,37.74,36.53,37.2,506183
2010-03-18 00:00:00+05:30,37.83,39.96,37.35,38.64,1266962
2010-03-19 00:00:00+05:30,37.86,38.39,37.33,37.54,281949
2010-03-22 00:00:00+05:30,37.01,37.67,36.86,37.28,151702
2010-03-23 00:00:00+05:30,37.3,37.83,36.6,37.09,304601
2010-03-25 00:00:00+05:30,37.4,37.59,36.46,37.01,268107
2010-03-26 00:00:00+05:30,36.89,37.3,33.91,36.31,342702
2010-03-29 00:00:00+05:30,36.82,36.99,36.19,36.46,243783
2010-03-30 00:00:00+05:30,36.86,38.25,36.57,38.06,514374
2010-03-31 00:00:00+05:30,38.27,39.92,38.1,39.51,570844
2010-04-01 00:00:00+05:30,40.01,40.4,39.0,39.27,255688
2010-04-05 00:00:00+05:30,39.58,41.47,38.75,41.08,386322
2010-04-06 00:00:00+05:30,39.36,40.93,39.36,40.77,242638
2010-04-07 00:00:00+05:30,40.93,41.85,40.77,41.27,315851
2010-04-08 00:00:00+05:30,41.95,42.87,40.98,42.58,258859
2010-04-09 00:00:00+05:30,42.87,47.41,41.25,45.52,1143348
2010-04-12 00:00:00+05:30,45.54,50.6,45.08,48.01,1241189
2010-04-13 00:00:00+05:30,48.39,49.85,46.41,48.44,717622
2010-04-15 00:00:00+05:30,48.93,49.9,47.72,48.18,317685
2010-04-16 00:00:00+05:30,48.49,49.41,46.21,48.88,325828
2010-04-19 00:00:00+05:30,49.41,51.18,47.47,50.14,430478
2010-04-20 00:00:00+05:30,50.33,51.83,50.14,51.01,324222
2010-04-21 00:00:00+05:30,51.88,51.88,48.73,49.94,249850
2010-04-22 00:00:00+05:30,49.41,53.67,49.41,52.88,937332
2010-04-23 00:00:00+05:30,54.25,54.64,49.65,50.31,817594
2010-04-26 00:00:00+05:30,50.62,51.74,48.44,49.25,382288
2010-04-27 00:00:00+05:30,49.36,49.8,47.52,47.81,322011
2010-04-28 00:00:00+05:30,47.81,48.34,45.81,46.26,290861
2010-04-29 00:00:00+05:30,46.63,47.47,45.54,46.17,186845
2010-04-30 00:00:00+05:30,46.63,47.72,46.12,46.55,302262
2010-05-03 00:00:00+05:30,46.7,46.89,46.05,46.41,181463
2010-05-04 00:00:00+05:30,46.58,47.13,46.26,46.5,259957
2010-05-05 00:00:00+05:30,46.99,46.99,44.6,45.78,67954
2010-05-06 00:00:00+05:30,45.54,47.18,45.54,46.7,76106
2010-05-07 00:00:00+05:30,46.0,46.63,45.37,45.63,103846
2010-05-10 00:00:00+05:30,46.97,48.08,46.15,46.99,144900
2010-05-11 00:00:00+05:30,46.99,47.09,43.21,45.54,94039
2010-05-12 00:00:00+05:30,45.95,46.5,43.6,44.64,118941
2010-05-13 00:00:00+05:30,45.03,46.24,44.32,45.61,145110
2010-05-14 00:00:00+05:30,45.9,46.17,44.76,45.05,172440
2010-05-17 00:00:00+05:30,44.84,45.29,44.5,44.57,63782
2010-05-18 00:00:00+05:30,44.08,46.7,44.08,45.42,74906
2010-05-19 00:00:00+05:30,44.32,45.78,44.32,44.64,111135
2010-05-20 00:00:00+05:30,44.81,45.52,43.63,44.64,63926
2010-05-21 00:00:00+05:30,43.89,45.92,43.89,45.68,115429
2010-05-24 00:00:00+05:30,46.02,50.33,45.78,49.02,316367
2010-05-25 00:00:00+05:30,48.44,49.85,44.86,45.52,110465
2010-05-26 00:00:00+05:30,46.02,50.23,43.77,49.44,293949
2010-05-27 00:00:00+05:30,48.05,49.41,47.47,47.99,104542
