Date,Open,High,Low,Close,Volume
2001-12-26 00:00:00+05:30,70.0,70.0,60.25,62.1,121158
2001-12-27 00:00:00+05:30,59.1,65.0,59.1,60.4,113835
2001-12-28 00:00:00+05:30,57.65,71.9,57.65,68.5,188565
2001-12-31 00:00:00+05:30,71.9,82.2,71.9,80.15,225721
2002-01-01 00:00:00+05:30,82.95,84.9,74.0,75.75,209269
2002-01-02 00:00:00+05:30,76.0,80.5,75.15,77.8,170612
2002-01-03 00:00:00+05:30,87.45,87.45,80.0,81.0,154298
2002-01-04 00:00:00+05:30,85.95,87.7,81.0,82.55,276784
2002-01-07 00:00:00+05:30,84.0,85.5,81.0,82.0,122186
2002-01-08 00:00:00+05:30,78.15,82.85,77.55,78.4,112090
2002-01-09 00:00:00+05:30,79.7,84.0,73.55,75.0,211688
2002-01-10 00:00:00+05:30,74.0,76.75,72.05,73.25,116945
2002-01-11 00:00:00+05:30,71.1,75.5,60.0,65.5,123719
2002-01-14 00:00:00+05:30,72.0,74.05,69.2,71.7,100797
2002-01-15 00:00:00+05:30,70.1,70.9,67.6,69.4,55533
2002-01-16 00:00:00+05:30,67.2,71.9,67.2,68.4,56090
2002-01-17 00:00:00+05:30,67.0,71.9,65.3,71.15,107419
2002-01-18 00:00:00+05:30,73.9,74.5,68.1,68.9,87113
2002-01-21 00:00:00+05:30,74.0,74.0,66.0,66.65,76482
2002-01-22 00:00:00+05:30,66.0,68.3,65.6,66.6,42676
2002-01-23 00:00:00+05:30,65.0,67.75,65.0,66.85,37094
2002-01-24 00:00:00+05:30,78.45,78.45,67.1,67.8,105552
2002-01-25 00:00:00+05:30,68.55,81.4,67.55,81.0,725058
2002-01-28 00:00:00+05:30,89.7,92.75,82.5,88.0,1037297
2002-01-29 00:00:00+05:30,83.8,88.0,78.65,80.25,310771
2002-01-30 00:00:00+05:30,79.0,86.4,77.0,81.05,664331
2002-01-31 00:00:00+05:30,78.9,84.9,75.25,82.65,268223
2002-02-01 00:00:00+05:30,88.0,89.1,83.05,86.45,381520
2002-02-04 00:00:00+05:30,86.0,87.25,81.3,82.4,122701
2002-02-05 00:00:00+05:30,80.0,82.85,79.0,79.9,88104
2002-02-06 00:00:00+05:30,80.0,84.0,80.0,82.65,120861
2002-02-07 00:00:00+05:30,85.0,87.0,78.65,79.55,132344
2002-02-08 00:00:00+05:30,79.0,83.9,77.1,79.6,136701
2002-02-11 00:00:00+05:30,83.9,83.9,80.05,80.75,76379
2002-02-12 00:00:00+05:30,81.0,81.9,78.0,78.4,65587
2002-02-13 00:00:00+05:30,79.9,80.6,77.05,77.85,40555
2002-02-14 00:00:00+05:30,79.0,80.2,77.0,77.5,31442
2002-02-15 00:00:00+05:30,78.85,79.0,74.5,75.1,34611
2002-02-18 00:00:00+05:30,75.6,76.3,73.15,73.85,30980
2002-02-19 00:00:00+05:30,74.55,81.5,73.05,75.8,159697
2002-02-20 00:00:00+05:30,75.15,77.5,72.8,73.3,61829
2002-02-21 00:00:00+05:30,75.9,79.5,75.0,75.35,97108
2002-02-22 00:00:00+05:30,74.0,75.85,72.1,72.8,53971
2002-02-25 00:00:00+05:30,73.1,80.95,72.3,78.0,197094
2002-02-26 00:00:00+05:30,81.4,83.95,75.0,75.65,240148
2002-02-27 00:00:00+05:30,77.95,78.9,73.0,73.55,110100
2002-02-28 00:00:00+05:30,74.5,75.45,64.2,67.05,99318
2002-03-01 00:00:00+05:30,67.0,70.0,60.5,69.4,85380
2002-03-04 00:00:00+05:30,73.6,73.6,69.0,69.9,50405
2002-03-05 00:00:00+05:30,71.95,74.5,71.05,71.45,87921
2002-03-06 00:00:00+05:30,71.8,73.0,70.7,71.75,45485
