Date,Open,High,Low,Close,Volume
2001-12-26 00:00:00+05:30,25.5,27.6,24.75,25.55,20546
2001-12-27 00:00:00+05:30,25.5,26.35,25.1,25.2,9397
2001-12-28 00:00:00+05:30,23.4,28.3,23.4,27.0,24204
2001-12-31 00:00:00+05:30,30.9,31.0,28.0,30.1,18596
2002-01-01 00:00:00+05:30,30.6,31.9,29.2,29.6,23378
2002-01-02 00:00:00+05:30,29.45,29.7,28.75,29.05,6176
2002-01-03 00:00:00+05:30,28.6,30.0,28.6,29.7,7096
2002-01-04 00:00:00+05:30,30.5,31.5,29.5,30.0,16117
2002-01-07 00:00:00+05:30,31.25,31.5,29.6,29.9,11364
2002-01-08 00:00:00+05:30,30.0,30.0,29.0,29.8,4305
2002-01-09 00:00:00+05:30,29.2,30.25,26.3,28.3,10085
2002-01-10 00:00:00+05:30,28.4,29.6,27.2,27.85,10987
2002-01-11 00:00:00+05:30,29.5,29.5,26.45,26.6,6871
2002-01-14 00:00:00+05:30,28.2,29.15,27.9,28.4,8989
2002-01-15 00:00:00+05:30,27.0,28.75,27.0,28.2,7045
2002-01-16 00:00:00+05:30,28.0,28.0,27.5,27.75,2615
2002-01-17 00:00:00+05:30,29.0,29.0,27.6,28.45,5716
2002-01-18 00:00:00+05:30,29.4,29.45,28.05,28.25,6735
2002-01-21 00:00:00+05:30,28.0,28.9,28.0,28.65,3964
2002-01-22 00:00:00+05:30,28.05,28.9,28.05,28.25,3525
2002-01-23 00:00:00+05:30,27.25,28.8,27.25,27.9,3915
2002-01-24 00:00:00+05:30,28.0,28.3,27.25,27.7,2438
2002-01-25 00:00:00+05:30,28.0,28.5,27.55,27.7,3230
2002-01-28 00:00:00+05:30,27.6,28.0,27.5,27.6,975
2002-01-29 00:00:00+05:30,27.05,27.95,27.05,27.4,2345
2002-01-30 00:00:00+05:30,27.1,27.55,27.0,27.2,2451
2002-01-31 00:00:00+05:30,28.2,28.2,27.25,27.7,4566
2002-02-01 00:00:00+05:30,27.55,28.0,27.1,27.25,9660
2002-02-04 00:00:00+05:30,27.5,27.5,26.85,27.2,5672
2002-02-05 00:00:00+05:30,26.25,28.0,26.25,26.85,4938
2002-02-06 00:00:00+05:30,27.0,27.5,26.6,27.1,9724
2002-02-07 00:00:00+05:30,27.5,28.0,26.5,26.85,9133
2002-02-08 00:00:00+05:30,26.6,27.9,25.0,25.85,17305
2002-02-11 00:00:00+05:30,24.05,27.15,24.05,26.5,10997
2002-02-12 00:00:00+05:30,27.7,27.7,26.7,27.05,10482
2002-02-13 00:00:00+05:30,26.2,27.9,26.2,27.1,3659
2002-02-14 00:00:00+05:30,28.25,29.0,27.6,28.3,15734
2002-02-15 00:00:00+05:30,29.05,29.9,28.5,29.35,18100
2002-02-18 00:00:00+05:30,29.2,29.95,28.5,28.9,14793
2002-02-19 00:00:00+05:30,27.75,29.5,27.7,28.65,9910
2002-02-20 00:00:00+05:30,28.45,28.5,27.9,28.25,2793
