Date,Open,High,Low,Close,Volume
2015-12-28 00:00:00+05:30,431.95,435.5,425.05,427.9,23897
2015-12-29 00:00:00+05:30,431.25,434.9,417.05,418.85,19623
2015-12-30 00:00:00+05:30,426.0,428.0,405.1,421.35,16889
2015-12-31 00:00:00+05:30,410.25,428.0,410.25,417.45,5308
2016-01-01 00:00:00+05:30,418.6,425.0,411.0,417.5,7617
2016-01-04 00:00:00+05:30,415.0,419.95,398.0,402.35,23118
2016-01-05 00:00:00+05:30,403.05,430.0,395.15,405.6,41120
2016-01-06 00:00:00+05:30,403.0,414.0,392.25,396.05,21475
2016-01-07 00:00:00+05:30,380.0,397.6,380.0,386.05,15332
2016-01-08 00:00:00+05:30,387.25,401.2,387.25,393.4,11062
2016-01-11 00:00:00+05:30,397.05,397.65,376.6,394.5,10525
2016-01-12 00:00:00+05:30,395.0,400.0,385.05,387.8,8574
2016-01-13 00:00:00+05:30,390.25,397.6,350.0,374.75,21186
2016-01-14 00:00:00+05:30,365.0,383.0,351.85,371.75,4220
2016-01-15 00:00:00+05:30,374.95,388.3,340.0,347.15,11124
2016-01-18 00:00:00+05:30,335.0,357.0,315.05,322.55,19602
2016-01-19 00:00:00+05:30,315.95,331.0,313.4,323.2,13449
2016-01-20 00:00:00+05:30,315.05,325.0,295.0,305.4,10953
2016-01-21 00:00:00+05:30,312.0,333.0,301.5,308.05,8118
2016-01-22 00:00:00+05:30,312.45,320.95,305.95,316.1,5164
2016-01-25 00:00:00+05:30,320.05,341.95,315.5,319.7,3650
2016-01-27 00:00:00+05:30,320.0,320.0,304.0,306.55,18769
2016-01-28 00:00:00+05:30,309.95,317.5,300.05,301.45,27712
2016-01-29 00:00:00+05:30,309.95,309.95,290.0,299.65,29233
2016-02-01 00:00:00+05:30,304.95,306.95,296.0,298.55,5978
2016-02-02 00:00:00+05:30,303.0,307.0,295.0,297.3,18163
2016-02-03 00:00:00+05:30,292.2,298.0,292.0,293.65,5923
2016-02-04 00:00:00+05:30,294.0,298.0,261.0,274.6,12193
2016-02-05 00:00:00+05:30,275.0,282.9,270.95,279.8,1263
2016-02-08 00:00:00+05:30,285.0,293.0,275.05,281.25,3033
2016-02-09 00:00:00+05:30,278.0,292.7,272.1,282.5,2346
2016-02-10 00:00:00+05:30,270.0,288.0,266.05,268.55,9361
2016-02-11 00:00:00+05:30,268.0,268.0,225.35,240.6,18965
2016-02-12 00:00:00+05:30,249.0,249.0,221.0,231.9,7177
2016-02-15 00:00:00+05:30,234.0,248.0,227.0,243.6,6213
2016-02-16 00:00:00+05:30,245.0,245.0,196.0,198.8,50222
2016-02-17 00:00:00+05:30,193.5,204.95,179.05,193.5,112653
2016-02-18 00:00:00+05:30,190.05,207.0,190.0,193.4,9457
