Date,Open,High,Low,Close,Volume
2004-04-27 00:00:00+05:30,19.2,19.2,19.2,19.2,16
2004-04-28 00:00:00+05:30,21.13,21.13,21.13,21.13,337
2004-04-29 00:00:00+05:30,23.13,23.27,22.23,23.27,12403
2004-04-30 00:00:00+05:30,25.33,25.6,24.7,25.6,49153
2004-05-03 00:00:00+05:30,27.87,28.17,23.67,24.57,37130
2004-05-04 00:00:00+05:30,24.97,26.0,24.77,25.0,8095
2004-05-05 00:00:00+05:30,23.33,25.97,23.03,23.2,12746
2004-05-06 00:00:00+05:30,23.47,24.5,23.47,23.83,9029
2004-05-07 00:00:00+05:30,22.17,24.33,22.17,24.2,8147
2004-05-10 00:00:00+05:30,24.27,24.57,23.67,24.0,4819
2004-05-11 00:00:00+05:30,24.17,24.47,23.37,23.47,6889
2004-05-12 00:00:00+05:30,24.27,24.27,23.33,23.67,9548
2004-05-13 00:00:00+05:30,21.5,24.0,21.5,23.43,4297
2004-05-14 00:00:00+05:30,24.17,24.17,22.0,22.07,7337
2004-05-17 00:00:00+05:30,18.67,22.6,18.67,22.17,2626
2004-05-18 00:00:00+05:30,21.4,23.27,21.4,23.0,4307
2004-05-19 00:00:00+05:30,22.23,24.0,22.23,23.67,4073
2004-05-20 00:00:00+05:30,24.23,24.27,23.27,23.3,2174
2004-05-21 00:00:00+05:30,22.87,24.2,22.87,23.43,3592
2004-05-24 00:00:00+05:30,24.27,24.27,23.4,23.53,3802
2004-05-25 00:00:00+05:30,23.8,24.0,23.27,23.67,7366
2004-05-26 00:00:00+05:30,23.1,23.97,23.1,23.37,5776
2004-05-27 00:00:00+05:30,23.97,24.0,23.0,23.03,4856
2004-05-28 00:00:00+05:30,24.0,24.0,21.97,22.5,2912
2004-05-31 00:00:00+05:30,22.07,23.0,21.73,22.23,571
2004-06-01 00:00:00+05:30,22.67,22.67,21.83,21.93,2518
2004-06-02 00:00:00+05:30,20.57,22.67,20.57,22.03,1849
2004-06-03 00:00:00+05:30,22.07,22.13,22.0,22.0,32567
2004-06-04 00:00:00+05:30,22.03,22.67,21.67,22.37,4790
2004-06-07 00:00:00+05:30,22.83,22.83,21.6,22.6,2534
2004-06-08 00:00:00+05:30,22.3,22.87,22.27,22.7,6560
2004-06-09 00:00:00+05:30,23.1,23.1,22.17,22.37,4754
2004-06-10 00:00:00+05:30,22.83,24.43,22.4,23.93,17410
2004-06-11 00:00:00+05:30,24.0,24.1,23.27,23.73,8171
2004-06-14 00:00:00+05:30,22.67,23.37,22.67,22.87,1825
2004-06-15 00:00:00+05:30,23.33,23.33,22.67,23.07,2225
2004-06-16 00:00:00+05:30,22.83,23.1,22.83,22.93,6503
2004-06-17 00:00:00+05:30,22.87,23.2,22.07,22.87,10736
2004-06-18 00:00:00+05:30,24.6,24.6,22.73,22.73,12928
2004-06-21 00:00:00+05:30,22.93,22.93,22.4,22.6,8231
2004-06-22 00:00:00+05:30,23.57,23.57,22.53,22.67,9187
2004-06-23 00:00:00+05:30,22.07,22.6,22.0,22.47,11012
2004-06-24 00:00:00+05:30,21.37,22.53,21.37,22.53,6106
2004-06-25 00:00:00+05:30,22.33,23.07,22.17,22.97,16153
2004-06-28 00:00:00+05:30,22.0,22.17,20.7,21.4,43778
2004-06-29 00:00:00+05:30,20.3,20.67,20.1,20.43,4784
2004-06-30 00:00:00+05:30,20.0,20.4,19.77,20.13,1846
2004-07-01 00:00:00+05:30,20.07,20.1,19.83,19.93,2687
2004-07-02 00:00:00+05:30,21.03,21.03,18.8,19.0,16469
2004-07-05 00:00:00+05:30,19.8,19.93,19.0,19.27,7642
2004-07-06 00:00:00+05:30,16.9,19.33,16.9,18.83,4846
2004-07-07 00:00:00+05:30,18.5,19.0,18.5,18.77,1436
2004-07-08 00:00:00+05:30,18.0,19.33,18.0,18.47,472
2004-07-09 00:00:00+05:30,18.1,19.0,18.0,18.07,1072
2004-07-12 00:00:00+05:30,14.67,19.47,14.67,18.13,2591
2004-07-13 00:00:00+05:30,18.07,19.33,18.07,18.5,1445
2004-07-14 00:00:00+05:30,18.6,18.93,18.27,18.5,4909
2004-07-15 00:00:00+05:30,19.27,19.47,18.83,19.0,4960
2004-07-16 00:00:00+05:30,19.33,20.23,19.2,19.67,7534
2004-07-19 00:00:00+05:30,19.67,20.17,19.4,20.03,5953
2004-07-20 00:00:00+05:30,19.93,19.93,19.67,19.87,6278
2004-07-21 00:00:00+05:30,19.67,19.97,19.53,19.77,6848
2004-07-22 00:00:00+05:30,21.27,21.33,19.53,19.83,43735
2004-07-23 00:00:00+05:30,18.73,20.1,18.73,19.6,2933
2004-07-26 00:00:00+05:30,19.9,19.9,19.1,19.2,10907
2004-07-27 00:00:00+05:30,19.3,19.67,19.07,19.23,5525
2004-07-28 00:00:00+05:30,19.2,19.47,19.07,19.17,6587
2004-07-29 00:00:00+05:30,19.0,19.27,18.53,18.57,7966
2004-07-30 00:00:00+05:30,19.87,19.87,18.7,18.83,8308
2004-08-02 00:00:00+05:30,19.53,19.53,18.77,18.87,1474
2004-08-03 00:00:00+05:30,19.77,19.77,18.67,18.7,2977
2004-08-04 00:00:00+05:30,18.63,18.9,18.27,18.57,1192
2004-08-05 00:00:00+05:30,19.93,19.93,18.37,18.77,4748
2004-08-06 00:00:00+05:30,20.0,20.0,18.77,18.97,8497
2004-08-09 00:00:00+05:30,19.0,19.27,18.97,19.1,976
2004-08-10 00:00:00+05:30,20.0,20.0,19.1,19.13,1124
