Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
3PLAND,2001,20-March,2001-03-20,2001-12-28,2001-12-28,2002-02-05,15.0,2.156,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
3PLAND,2001,20-September,2001-09-20,2001-12-28,2001-12-28,2002-02-05,15.0,2.156,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
3PLAND,2002,20-March,2002-03-20,2002-04-22,2002-04-22,2002-07-02,15.0,2.89,SUCCESS,3.59,2.4,2002-07-03,2002-07-20,9.0,4.18,2002-07-08,3.1,2002-07-12,44.64,7.27,37.37,4.01,38.75,3.1,7.27
3PLAND,2002,20-September,2002-09-20,2002-12-09,2002-12-09,2003-02-14,15.0,1.5733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
3PLAND,2003,20-March,2003-03-20,2003-06-09,2003-06-09,2003-07-07,15.0,2.1313,SUCCESS,2.6,1.8,2003-07-08,2003-07-20,7.0,2.4,2003-07-11,1.9,2003-07-17,12.61,-10.85,23.46,2.4,12.61,2.11,-1.0
3PLAND,2003,20-September,2003-09-20,2003-12-16,2003-12-16,2004-01-09,15.0,3.0807,SUCCESS,3.64,2.2,2004-01-10,2004-01-20,4.0,3.38,2004-01-13,2.62,2004-01-16,9.72,-14.95,24.67,3.17,2.9,2.62,-14.95
3PLAND,2004,20-March,2004-03-20,2004-03-24,2004-03-24,2004-04-27,15.0,2.1693,SUCCESS,2.54,1.95,2004-04-28,2004-07-20,41.0,3.24,2004-05-14,2.04,2004-05-20,49.35,-5.96,55.32,3.11,43.36,2.31,6.48
3PLAND,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,4.7173,SUCCESS,5.44,3.9,2004-10-09,2005-01-20,67.0,7.4,2004-11-16,4.22,2004-10-28,56.87,-10.54,67.41,6.96,47.54,4.32,-8.42
3PLAND,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-19,15.0,4.7093,SUCCESS,5.26,3.9,2005-04-20,2005-07-20,58.0,8.56,2005-06-16,5.02,2005-04-20,81.77,6.6,75.17,7.8,65.63,5.06,7.45
3PLAND,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,8.0013,SUCCESS,9.8,7.04,2005-10-11,2006-01-20,62.0,7.55,2006-01-05,5.27,2005-10-21,-5.64,-34.14,28.5,7.25,-9.39,5.33,-33.39
3PLAND,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-17,15.0,6.904,SUCCESS,7.4,6.2,2006-04-18,2006-07-20,46.0,9.82,2006-05-04,5.2,2006-06-19,42.24,-24.68,66.92,9.45,36.88,5.4,-21.78
3PLAND,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-20,15.0,6.2693,SUCCESS,6.61,5.89,2006-10-21,2007-01-20,34.0,7.22,2006-12-28,5.32,2006-11-20,15.16,-15.14,30.31,7.2,14.84,5.32,-15.14
3PLAND,2007,20-March,2007-03-20,2007-04-03,2007-04-03,2007-04-26,15.0,7.73,SUCCESS,9.01,6.46,2007-04-27,2007-07-20,12.0,8.26,2007-05-07,6.67,2007-06-15,6.86,-13.71,20.57,8.25,6.73,6.67,-13.71
3PLAND,2007,20-September,2007-09-20,2008-12-29,2008-12-29,2009-03-31,15.0,9.1167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
3PLAND,2008,20-March,2008-03-20,2008-12-29,2008-12-29,2009-03-31,15.0,9.1167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
