Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ABBOTINDIA,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,897.39,SUCCESS,934.0,867.0,2010-04-14,2010-07-20,69.0,1268.7,2010-07-07,864.0,2010-04-15,41.38,-3.72,45.1,1243.7,38.59,890.0,-0.82
ABBOTINDIA,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,1126.2467,SUCCESS,1160.0,1099.0,2010-10-09,2011-01-20,72.0,1699.0,2010-11-24,935.0,2010-10-11,50.86,-16.98,67.84,1474.15,30.89,1127.9,0.15
ABBOTINDIA,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,1307.5767,SUCCESS,1439.0,1225.0,2011-04-09,2011-07-20,70.0,1683.1,2011-04-25,1382.0,2011-06-20,28.72,5.69,23.03,1635.3,25.06,1416.2,8.31
ABBOTINDIA,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,1451.2533,SUCCESS,1568.8,1390.0,2011-10-12,2012-01-20,70.0,1575.0,2011-11-11,1381.0,2011-12-20,8.53,-4.84,13.37,1531.1,5.5,1401.65,-3.42
ABBOTINDIA,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,1530.1133,SUCCESS,1619.95,1485.0,2012-04-12,2012-07-20,72.0,1789.0,2012-04-16,1345.45,2012-05-31,16.92,-12.07,28.99,1758.25,14.91,1386.25,-9.4
ABBOTINDIA,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,1580.1933,SUCCESS,1618.7,1520.0,2012-10-12,2013-01-20,67.0,1534.0,2012-10-12,1407.0,2012-11-05,-2.92,-10.96,8.04,1518.85,-3.88,1429.3,-9.55
ABBOTINDIA,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,1353.4233,SUCCESS,1407.9,1305.05,2013-04-12,2013-07-20,69.0,1544.95,2013-06-03,1351.1,2013-04-22,14.15,-0.17,14.32,1485.2,9.74,1360.8,0.55
ABBOTINDIA,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,1364.33,SUCCESS,1409.9,1348.25,2013-10-12,2014-01-20,68.0,1724.35,2013-12-27,1322.0,2013-10-29,26.39,-3.1,29.49,1706.35,25.07,1326.25,-2.79
ABBOTINDIA,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,1752.48,SUCCESS,1875.0,1656.0,2014-04-10,2014-07-20,44.0,1890.0,2014-05-22,1705.0,2014-05-13,7.85,-2.71,10.56,1822.65,4.0,1721.95,-1.74
ABBOTINDIA,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,5698.41,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ABBOTINDIA,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,5698.41,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ABBOTINDIA,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,5698.41,SUCCESS,6042.0,5335.05,2016-01-16,2016-01-20,3.0,5334.45,2016-01-18,4985.0,2016-01-20,-6.39,-12.52,6.13,5268.05,-7.55,5109.2,-10.34
ABBOTINDIA,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,4663.4033,SUCCESS,4879.9,4509.5,2016-04-13,2016-07-20,67.0,4850.0,2016-04-13,4353.7,2016-06-13,4.0,-6.64,10.64,4836.45,3.71,4392.85,-5.8
ABBOTINDIA,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,4737.38,SUCCESS,4874.0,4511.1,2016-10-11,2017-01-20,71.0,5049.0,2016-10-30,4401.0,2017-01-19,6.58,-7.1,13.68,4999.65,5.54,4409.75,-6.92
ABBOTINDIA,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,4661.4,SUCCESS,4840.0,4450.0,2017-04-11,2017-07-20,70.0,4840.0,2017-04-13,3988.0,2017-05-29,3.83,-14.45,18.28,4786.65,2.69,4022.5,-13.71
ABBOTINDIA,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,4182.43,SUCCESS,4305.0,4100.0,2017-10-12,2018-01-20,70.0,5698.95,2017-12-11,4141.5,2017-10-23,36.26,-0.98,37.24,5643.2,34.93,4149.75,-0.78
ABBOTINDIA,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,5554.93,SUCCESS,5884.0,5252.15,2018-04-12,2018-07-20,71.0,7850.0,2018-06-26,5773.0,2018-04-12,41.32,3.93,37.39,7643.25,37.59,6071.45,9.3
ABBOTINDIA,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,7622.19,SUCCESS,8400.0,7101.2,2018-10-13,2019-01-20,66.0,8200.0,2019-01-10,6900.0,2018-10-24,7.58,-9.47,17.06,8138.4,6.77,6917.9,-9.24
ABBOTINDIA,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,7318.4267,SUCCESS,7420.0,7209.95,2019-04-11,2019-07-20,67.0,9000.65,2019-07-01,7160.0,2019-05-16,22.99,-2.16,25.15,8921.15,21.9,7191.05,-1.74
ABBOTINDIA,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,10794.3267,SUCCESS,11298.0,9822.0,2019-10-15,2020-01-20,67.0,13470.0,2019-12-17,10350.0,2019-10-22,24.79,-4.12,28.9,13381.8,23.97,10699.8,-0.88
ABBOTINDIA,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,15540.7467,SUCCESS,18500.0,13001.0,2020-04-16,2020-07-20,66.0,18679.8,2020-05-12,15175.0,2020-07-15,20.2,-2.35,22.55,18301.7,17.77,15212.2,-2.11
ABBOTINDIA,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,16120.72,SUCCESS,16800.0,15540.0,2020-10-13,2021-01-20,69.0,16699.9,2020-12-14,14325.0,2021-01-20,3.59,-11.14,14.73,16504.9,2.38,14397.2,-10.69
ABBOTINDIA,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,15008.2133,SUCCESS,15400.0,14500.0,2021-04-14,2021-07-20,66.0,17649.0,2021-07-16,14586.0,2021-04-19,17.6,-2.81,20.41,17484.4,16.5,14724.8,-1.89
ABBOTINDIA,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,21456.6933,SUCCESS,23934.4,19201.0,2021-10-09,2022-01-20,71.0,22279.9,2021-10-12,16581.3,2022-01-20,3.84,-22.72,26.56,22024.6,2.65,16819.8,-21.61
ABBOTINDIA,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,17181.8667,SUCCESS,18398.2,15870.0,2022-04-09,2022-07-20,70.0,20087.0,2022-07-20,16200.0,2022-05-12,16.91,-5.71,22.62,20014.2,16.48,16500.2,-3.97
ABBOTINDIA,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,18486.7933,SUCCESS,19466.4,17405.0,2022-10-12,2023-01-20,71.0,22499.0,2023-01-09,18000.0,2022-10-17,21.7,-2.63,24.34,22328.1,20.78,18081.9,-2.19
ABBOTINDIA,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,21986.98,SUCCESS,23140.0,20715.0,2023-04-13,2023-07-20,68.0,23869.95,2023-07-06,20605.05,2023-05-19,8.56,-6.29,14.85,23800.0,8.25,20898.45,-4.95
ABBOTINDIA,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,22798.5967,SUCCESS,23365.05,22000.0,2023-10-12,2024-01-20,70.0,26381.65,2024-01-15,22000.0,2023-12-21,15.72,-3.5,19.22,26210.45,14.97,22135.15,-2.91
ABBOTINDIA,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,26934.09,SUCCESS,28278.75,26262.0,2024-04-13,2024-07-20,66.0,28924.0,2024-07-18,25200.0,2024-04-25,7.39,-6.44,13.83,28795.65,6.91,25452.55,-5.5
ABBOTINDIA,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,28585.4533,SUCCESS,29499.95,27760.0,2024-10-12,2025-01-20,68.0,30668.0,2025-01-07,26912.1,2024-11-21,7.29,-5.85,13.14,30020.05,5.02,27114.7,-5.15
ABBOTINDIA,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,30032.4133,SUCCESS,31370.0,27500.05,2025-04-12,2025-07-20,67.0,37000.0,2025-06-27,29430.0,2025-04-25,23.2,-2.01,25.21,35670.0,18.77,29705.0,-1.09
ABBOTINDIA,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,29929.6667,SUCCESS,30670.0,29060.0,2025-10-14,2026-01-20,67.0,30655.0,2025-11-25,27140.0,2026-01-20,2.42,-9.32,11.74,30255.0,1.09,27210.0,-9.09
ABBOTINDIA,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,26060.0,SUCCESS,27100.0,25310.0,2026-04-16,2026-07-20,65.0,28345.0,2026-07-20,25150.0,2026-04-24,8.77,-3.49,12.26,28275.0,8.5,25180.0,-3.38
ABBOTINDIA,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
