Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
AGSTRA,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,104.0167,SUCCESS,115.0,96.75,2022-04-09,2022-07-20,70.0,128.5,2022-04-29,65.85,2022-06-20,23.54,-36.69,60.23,125.8,20.94,68.9,-33.76
AGSTRA,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,81.18,SUCCESS,86.4,78.4,2022-10-12,2023-01-20,71.0,88.7,2022-10-25,62.0,2023-01-18,9.26,-23.63,32.89,85.85,5.75,62.6,-22.89
AGSTRA,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,49.15,SUCCESS,54.85,44.45,2023-04-13,2023-07-20,68.0,63.25,2023-06-05,49.1,2023-04-25,28.69,-0.1,28.79,61.5,25.13,50.25,2.24
AGSTRA,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,61.4733,SUCCESS,63.75,59.0,2023-10-12,2024-01-20,70.0,124.5,2024-01-12,57.9,2023-10-26,102.53,-5.81,108.34,118.6,92.93,59.65,-2.97
AGSTRA,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,74.73,SUCCESS,85.3,63.45,2024-04-16,2024-07-20,65.0,92.92,2024-06-21,65.1,2024-06-05,24.34,-12.89,37.23,89.57,19.86,66.65,-10.81
AGSTRA,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,98.2707,SUCCESS,108.7,88.1,2024-10-12,2025-01-20,68.0,99.69,2024-11-04,57.2,2025-01-13,1.44,-41.79,43.24,97.8,-0.48,57.83,-41.15
AGSTRA,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,8.2707,SUCCESS,12.46,6.45,2025-04-12,2025-07-20,67.0,7.19,2025-04-15,3.78,2025-05-12,-13.07,-54.3,41.23,7.1,-14.15,3.98,-51.88
AGSTRA,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,4.2253,SUCCESS,4.99,3.84,2025-10-14,2026-01-20,67.0,5.44,2025-11-24,3.8,2026-01-20,28.75,-10.07,38.81,5.33,26.14,3.82,-9.59
AGSTRA,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-27,15.0,2.7487,SUCCESS,3.16,2.33,2026-04-28,2026-07-20,16.0,2.97,2026-06-08,2.13,2026-06-01,8.05,-22.51,30.56,2.97,8.05,2.21,-19.6
AGSTRA,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
