Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
AJANTPHARM,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.302,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AJANTPHARM,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,8.302,SUCCESS,10.13,6.73,2002-01-16,2002-01-20,3.0,8.66,2002-01-17,8.0,2002-01-17,4.31,-3.64,7.95,8.47,2.02,8.0,-3.64
AJANTPHARM,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,6.518,SUCCESS,7.6,5.8,2002-04-12,2002-07-20,70.0,8.7,2002-05-15,6.01,2002-05-21,33.48,-7.79,41.27,8.32,27.65,6.25,-4.11
AJANTPHARM,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,5.0227,SUCCESS,5.45,4.13,2002-10-12,2003-01-20,67.0,5.28,2002-12-09,4.31,2002-11-18,5.12,-14.19,19.31,5.11,1.74,4.33,-13.79
AJANTPHARM,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,3.1733,SUCCESS,3.67,2.73,2003-04-09,2003-07-20,70.0,6.8,2003-07-07,3.33,2003-04-11,114.29,4.94,109.35,6.25,96.95,3.53,11.24
AJANTPHARM,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,7.6213,SUCCESS,8.19,7.22,2003-10-14,2004-01-20,71.0,9.8,2003-12-19,6.13,2003-10-29,28.59,-19.57,48.15,9.51,24.78,6.54,-14.19
AJANTPHARM,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,5.5207,SUCCESS,6.61,4.35,2004-04-13,2004-07-20,70.0,7.07,2004-04-23,4.31,2004-05-17,28.06,-21.93,49.99,6.9,24.98,4.71,-14.68
AJANTPHARM,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,7.162,SUCCESS,8.33,6.29,2004-10-09,2005-01-20,71.0,10.36,2004-12-24,6.53,2004-10-26,44.65,-8.82,53.48,9.96,39.07,6.66,-7.01
AJANTPHARM,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,8.0153,SUCCESS,9.11,7.11,2005-04-12,2005-07-20,72.0,13.37,2005-06-16,7.35,2005-04-18,66.81,-8.3,75.11,12.98,61.94,7.52,-6.18
AJANTPHARM,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,11.446,SUCCESS,12.8,10.75,2005-10-11,2006-01-20,70.0,12.38,2006-01-16,8.4,2005-10-31,8.16,-26.61,34.77,12.07,5.45,8.66,-24.34
