Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
AKSHAR,2022,20-March,2022-03-20,2022-05-23,2022-05-23,2022-06-10,15.0,4.0687,SUCCESS,4.38,3.81,2022-06-11,2022-07-20,28.0,5.51,2022-07-18,3.76,2022-06-13,35.43,-7.59,43.01,5.44,33.7,4.04,-0.7
AKSHAR,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,4.9593,SUCCESS,6.68,3.04,2022-10-12,2023-01-20,71.0,4.36,2022-12-14,1.64,2022-11-02,-12.08,-66.93,54.85,4.36,-12.08,1.72,-65.32
AKSHAR,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,3.3353,SUCCESS,3.48,3.18,2023-04-13,2023-07-20,68.0,4.07,2023-07-14,3.1,2023-06-21,22.03,-7.06,29.08,4.01,20.23,3.23,-3.16
AKSHAR,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,3.6267,SUCCESS,4.19,3.36,2023-10-12,2024-01-20,70.0,4.36,2023-12-04,2.13,2024-01-03,20.22,-41.27,61.49,4.17,14.98,2.21,-39.06
AKSHAR,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,1.6853,SUCCESS,1.82,1.42,2024-04-13,2024-07-20,66.0,1.85,2024-06-03,1.45,2024-07-19,9.77,-13.96,23.73,1.79,6.21,1.46,-13.37
AKSHAR,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1.6,SUCCESS,1.73,1.45,2024-10-12,2025-01-20,68.0,1.47,2024-10-14,0.67,2024-12-04,-8.13,-58.13,50.0,1.44,-10.0,0.67,-58.13
AKSHAR,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,0.5513,SUCCESS,0.6,0.5,2025-04-12,2025-07-20,67.0,0.65,2025-05-20,0.53,2025-05-07,17.9,-3.87,21.77,0.63,14.27,0.54,-2.06
AKSHAR,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,0.6107,SUCCESS,0.76,0.56,2025-10-14,2026-01-20,67.0,0.7,2025-10-14,0.47,2026-01-01,14.63,-23.03,37.66,0.64,4.8,0.48,-21.4
AKSHAR,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,0.4353,SUCCESS,0.54,0.38,2026-04-16,2026-07-20,65.0,0.53,2026-04-16,0.42,2026-05-27,21.75,-3.52,25.27,0.51,17.15,0.42,-3.52
AKSHAR,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
