Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ALANKIT,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,15.9433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ALANKIT,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,15.9433,SUCCESS,19.25,13.53,2016-01-16,2016-01-20,3.0,18.6,2016-01-19,17.5,2016-01-20,16.66,9.76,6.9,18.51,16.1,17.63,10.58
ALANKIT,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,25.5607,SUCCESS,26.83,24.76,2016-04-13,2016-07-20,67.0,40.98,2016-06-23,22.94,2016-05-05,60.32,-10.25,70.58,36.85,44.17,24.61,-3.72
ALANKIT,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,34.8393,SUCCESS,39.94,33.44,2016-10-11,2017-01-20,71.0,42.5,2016-10-20,23.38,2016-11-18,21.99,-32.89,54.88,38.63,10.88,25.03,-28.16
ALANKIT,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,22.0533,SUCCESS,24.8,17.4,2017-04-11,2017-07-20,70.0,38.4,2017-06-16,20.5,2017-05-11,74.12,-7.04,81.17,37.35,69.36,20.8,-5.68
ALANKIT,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,32.6633,SUCCESS,34.3,30.35,2017-10-12,2018-01-20,70.0,88.75,2018-01-05,33.0,2017-10-12,171.71,1.03,170.68,84.55,158.85,33.8,3.48
ALANKIT,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,45.0133,SUCCESS,49.0,41.4,2018-04-12,2018-07-20,71.0,46.7,2018-04-12,22.0,2018-06-29,3.75,-51.13,54.87,45.2,0.41,23.6,-47.57
ALANKIT,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,19.0967,SUCCESS,21.15,16.9,2018-10-13,2019-01-20,66.0,28.2,2019-01-14,17.3,2018-12-10,47.67,-9.41,57.08,27.25,42.7,18.0,-5.74
ALANKIT,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,31.4667,SUCCESS,33.0,30.0,2019-04-11,2019-07-20,67.0,40.7,2019-04-18,26.4,2019-07-18,29.34,-16.1,45.44,39.75,26.32,26.8,-14.83
ALANKIT,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,21.39,SUCCESS,28.0,18.9,2019-10-15,2020-01-20,67.0,20.4,2019-10-15,9.85,2019-10-29,-4.63,-53.95,49.32,19.5,-8.84,10.85,-49.28
