Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ALLCARGO,2006,20-March,2006-03-20,2006-06-23,2006-06-23,2006-07-12,15.0,12.1867,SUCCESS,13.16,10.51,2006-07-13,2006-07-20,6.0,12.56,2006-07-13,11.3,2006-07-20,3.06,-7.28,10.34,12.31,1.01,11.41,-6.37
ALLCARGO,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,13.262,SUCCESS,15.68,11.79,2006-10-12,2007-01-20,69.0,25.49,2007-01-12,14.64,2006-10-31,92.2,10.39,81.81,24.48,84.59,14.79,11.52
ALLCARGO,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,19.574,SUCCESS,21.35,18.22,2007-04-12,2007-07-20,45.0,21.59,2007-04-27,17.45,2007-06-14,10.3,-10.85,21.15,19.9,1.67,17.75,-9.32
ALLCARGO,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,12.016,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ALLCARGO,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,12.016,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ALLCARGO,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,12.016,SUCCESS,12.66,11.02,2009-01-17,2009-01-20,2.0,12.7,2009-01-19,12.06,2009-01-19,5.69,0.37,5.33,12.68,5.53,12.56,4.53
ALLCARGO,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,14.1913,SUCCESS,15.31,12.25,2009-04-16,2009-07-20,65.0,17.49,2009-07-16,13.76,2009-06-10,23.24,-3.04,26.28,16.33,15.07,14.22,0.2
ALLCARGO,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,15.8813,SUCCESS,18.43,15.03,2009-10-16,2010-01-20,65.0,20.5,2009-12-03,14.87,2009-10-27,29.08,-6.37,35.45,19.25,21.21,15.42,-2.9
ALLCARGO,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,17.4093,SUCCESS,18.24,17.02,2010-04-14,2010-07-20,69.0,18.95,2010-04-15,14.21,2010-05-27,8.85,-18.38,27.23,17.86,2.59,14.31,-17.8
ALLCARGO,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,15.204,SUCCESS,16.08,14.45,2010-10-09,2011-01-20,72.0,17.0,2010-11-16,12.88,2011-01-17,11.81,-15.29,27.1,15.92,4.71,13.04,-14.23
ALLCARGO,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,15.39,SUCCESS,16.83,14.29,2011-04-09,2011-07-20,70.0,18.06,2011-04-27,14.44,2011-06-23,17.35,-6.17,23.52,16.98,10.33,14.66,-4.74
ALLCARGO,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,13.4173,SUCCESS,14.57,12.58,2011-10-12,2012-01-20,70.0,14.72,2011-10-28,10.91,2011-11-24,9.71,-18.69,28.4,14.38,7.17,11.2,-16.53
ALLCARGO,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,12.5773,SUCCESS,13.17,11.5,2012-04-12,2012-07-20,72.0,13.54,2012-07-18,10.16,2012-05-29,7.65,-19.22,26.87,13.4,6.54,10.32,-17.95
ALLCARGO,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,12.5313,SUCCESS,13.07,11.85,2012-10-12,2013-01-20,67.0,13.46,2013-01-03,11.57,2012-12-14,7.41,-7.67,15.08,13.06,4.22,11.66,-6.95
ALLCARGO,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,11.014,SUCCESS,11.66,10.39,2013-04-12,2013-07-20,68.0,11.38,2013-05-22,6.63,2013-07-19,3.32,-39.8,43.13,11.11,0.87,6.99,-36.54
ALLCARGO,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,8.922,SUCCESS,10.02,7.9,2013-10-12,2014-01-20,68.0,14.28,2014-01-10,8.18,2013-10-21,60.05,-8.32,68.37,12.72,42.57,8.57,-3.95
