Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ALPHAGEO,2007,20-March,2007-03-20,2007-05-11,2007-05-11,2007-05-31,15.0,284.6167,SUCCESS,328.1,258.0,2007-06-01,2007-07-20,11.0,377.0,2007-06-12,330.3,2007-06-07,32.46,16.05,16.41,369.85,29.95,335.4,17.84
ALPHAGEO,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,115.3033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ALPHAGEO,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,115.3033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ALPHAGEO,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,115.3033,SUCCESS,159.0,96.0,2009-01-17,2009-01-20,2.0,98.0,2009-01-19,86.95,2009-01-19,-15.01,-24.59,9.58,93.0,-19.34,91.8,-20.38
ALPHAGEO,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,96.3433,SUCCESS,135.1,73.5,2009-04-16,2009-07-20,65.0,235.0,2009-06-02,99.3,2009-04-28,143.92,3.07,140.85,219.85,128.19,102.1,5.98
ALPHAGEO,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,215.2967,SUCCESS,234.0,195.0,2009-10-16,2010-01-20,65.0,281.0,2009-10-26,215.95,2009-12-29,30.52,0.3,30.21,268.05,24.5,217.9,1.21
ALPHAGEO,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,214.26,SUCCESS,234.0,166.15,2010-04-14,2010-07-20,69.0,241.0,2010-05-04,175.05,2010-06-09,12.48,-18.3,30.78,230.8,7.72,176.45,-17.65
ALPHAGEO,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,210.9033,SUCCESS,226.35,195.0,2010-10-09,2011-01-20,72.0,215.0,2010-11-10,140.6,2010-12-10,1.94,-33.33,35.28,206.7,-1.99,150.85,-28.47
ALPHAGEO,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,117.37,SUCCESS,129.85,107.75,2011-04-09,2011-07-20,70.0,158.0,2011-07-18,95.5,2011-05-27,34.62,-18.63,53.25,153.95,31.17,97.1,-17.27
ALPHAGEO,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,92.9467,SUCCESS,108.7,83.15,2011-10-12,2012-01-20,69.0,96.35,2011-11-01,52.25,2011-12-19,3.66,-43.78,47.45,90.85,-2.26,54.35,-41.53
ALPHAGEO,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,60.28,SUCCESS,66.25,53.0,2012-04-12,2012-07-20,72.0,63.2,2012-06-18,39.0,2012-06-04,4.84,-35.3,40.15,60.25,-0.05,39.6,-34.31
ALPHAGEO,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,53.4667,SUCCESS,61.95,42.05,2012-10-12,2013-01-20,66.0,59.3,2013-01-18,43.4,2012-12-27,10.91,-18.83,29.74,56.4,5.49,44.3,-17.14
ALPHAGEO,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,36.2733,SUCCESS,40.0,31.0,2013-04-12,2013-07-20,69.0,45.0,2013-04-22,21.8,2013-06-11,24.06,-39.9,63.96,38.0,4.76,23.35,-35.63
ALPHAGEO,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,35.3167,SUCCESS,40.75,32.0,2013-10-12,2014-01-20,68.0,77.4,2014-01-07,39.65,2013-11-25,119.16,12.27,106.89,76.3,116.05,40.95,15.95
ALPHAGEO,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,166.13,SUCCESS,187.2,142.5,2014-04-10,2014-07-20,44.0,309.0,2014-06-09,155.0,2014-04-15,86.0,-6.7,92.7,296.95,78.75,159.35,-4.08
ALPHAGEO,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,534.57,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ALPHAGEO,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,534.57,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ALPHAGEO,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,534.57,SUCCESS,619.0,430.05,2016-01-16,2016-01-20,3.0,448.9,2016-01-18,380.0,2016-01-20,-16.03,-28.91,12.89,406.35,-23.99,397.35,-25.67
ALPHAGEO,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,535.1167,SUCCESS,580.0,503.0,2016-04-13,2016-07-20,67.0,862.0,2016-06-09,472.6,2016-05-26,61.09,-11.68,72.77,826.15,54.39,482.1,-9.91
ALPHAGEO,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,1027.3267,SUCCESS,1147.0,901.0,2016-10-11,2017-01-20,71.0,1120.0,2016-10-17,821.6,2016-11-22,9.02,-20.03,29.05,1092.2,6.31,831.8,-19.03
ALPHAGEO,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,902.0967,SUCCESS,942.35,869.0,2017-04-11,2017-07-20,70.0,1090.0,2017-04-26,808.55,2017-06-30,20.83,-10.37,31.2,1067.4,18.32,811.0,-10.1
ALPHAGEO,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,778.0067,SUCCESS,826.0,756.4,2017-10-12,2018-01-20,70.0,1075.0,2017-11-24,750.0,2017-11-02,38.17,-3.6,41.77,1046.45,34.5,752.35,-3.3
ALPHAGEO,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,764.0867,SUCCESS,836.9,706.25,2018-04-12,2018-07-20,71.0,848.0,2018-04-19,547.7,2018-07-04,10.98,-28.32,39.3,821.55,7.52,562.4,-26.4
ALPHAGEO,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,529.9,SUCCESS,647.0,438.55,2018-10-13,2019-01-20,66.0,529.0,2018-10-17,427.0,2018-12-11,-0.17,-19.42,19.25,520.65,-1.75,441.9,-16.61
ALPHAGEO,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,490.8267,SUCCESS,540.0,467.0,2019-04-11,2019-07-20,67.0,499.75,2019-05-28,349.1,2019-07-19,1.82,-28.88,30.69,486.65,-0.85,353.15,-28.05
ALPHAGEO,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,210.5233,SUCCESS,242.4,180.0,2019-10-15,2020-01-20,67.0,241.8,2020-01-20,150.8,2019-12-24,14.86,-28.37,43.23,230.25,9.37,157.0,-25.42
ALPHAGEO,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,132.5733,SUCCESS,169.6,104.95,2020-04-16,2020-07-20,66.0,228.7,2020-06-15,132.0,2020-05-27,72.51,-0.43,72.94,222.1,67.53,135.65,2.32
ALPHAGEO,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,158.5367,SUCCESS,177.55,146.05,2020-10-13,2021-01-20,69.0,247.5,2020-11-25,142.85,2020-11-02,56.12,-9.89,66.01,242.0,52.65,144.45,-8.89
ALPHAGEO,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,187.2,SUCCESS,219.7,174.8,2021-04-14,2021-07-20,66.0,336.95,2021-07-06,175.95,2021-04-19,79.99,-6.01,86.0,324.7,73.45,179.0,-4.38
ALPHAGEO,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,433.0033,SUCCESS,511.25,385.1,2021-10-09,2022-01-20,71.0,469.0,2021-10-11,308.65,2021-11-29,8.31,-28.72,37.03,455.35,5.16,310.85,-28.21
ALPHAGEO,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,330.6233,SUCCESS,354.7,308.0,2022-04-09,2022-07-20,70.0,369.7,2022-04-19,243.5,2022-06-20,11.82,-26.35,38.17,352.3,6.56,255.8,-22.63
ALPHAGEO,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,298.54,SUCCESS,330.0,284.05,2022-10-12,2023-01-20,71.0,308.0,2023-01-03,253.05,2022-12-23,3.17,-15.24,18.41,297.55,-0.33,255.4,-14.45
ALPHAGEO,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,215.26,SUCCESS,228.0,198.25,2023-04-13,2023-07-20,68.0,308.0,2023-06-28,211.2,2023-04-18,43.08,-1.89,44.97,290.0,34.72,215.6,0.16
ALPHAGEO,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,292.52,SUCCESS,321.75,279.95,2023-10-12,2024-01-20,70.0,319.85,2023-10-17,267.7,2023-12-13,9.34,-8.48,17.83,311.0,6.32,270.25,-7.61
ALPHAGEO,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,353.8667,SUCCESS,394.75,322.35,2024-04-13,2024-07-20,66.0,521.8,2024-07-19,300.05,2024-06-04,47.46,-15.21,62.66,511.5,44.55,311.2,-12.06
ALPHAGEO,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,421.6567,SUCCESS,458.6,400.0,2024-10-12,2025-01-20,68.0,522.8,2024-12-26,330.25,2024-11-13,23.99,-21.68,45.67,461.15,9.37,350.2,-16.95
ALPHAGEO,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,237.0613,SUCCESS,254.0,217.0,2025-04-12,2025-07-20,67.0,298.0,2025-07-16,220.05,2025-05-09,25.71,-7.18,32.88,292.95,23.58,227.37,-4.09
ALPHAGEO,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,251.086,SUCCESS,268.0,245.35,2025-10-14,2026-01-20,67.0,287.0,2025-10-23,209.0,2026-01-20,14.3,-16.76,31.07,265.49,5.74,209.93,-16.39
ALPHAGEO,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,201.3207,SUCCESS,249.95,164.8,2026-04-16,2026-07-20,65.0,247.0,2026-05-12,190.0,2026-06-30,22.69,-5.62,28.31,234.08,16.27,192.82,-4.22
ALPHAGEO,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
