Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
AMBER,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,1098.3333,SUCCESS,1163.75,1059.95,2018-04-12,2018-07-20,71.0,1202.0,2018-05-08,880.1,2018-06-29,9.44,-19.87,29.31,1190.45,8.39,889.0,-19.06
AMBER,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,911.3467,SUCCESS,985.0,846.05,2018-10-13,2019-01-20,66.0,950.95,2018-12-03,826.3,2018-10-25,4.35,-9.33,13.68,928.15,1.84,837.1,-8.15
AMBER,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,815.8267,SUCCESS,866.0,771.0,2019-04-11,2019-07-20,67.0,873.7,2019-05-27,701.0,2019-05-16,7.09,-14.07,21.17,851.7,4.4,708.8,-13.12
AMBER,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,894.3133,SUCCESS,1010.0,816.1,2019-10-15,2020-01-20,67.0,1349.9,2020-01-15,901.0,2019-10-16,50.94,0.75,50.19,1323.8,48.02,907.05,1.42
AMBER,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,1149.6667,SUCCESS,1348.0,920.9,2020-04-16,2020-07-20,66.0,1618.05,2020-06-23,1010.0,2020-05-04,40.74,-12.15,52.89,1595.35,38.77,1070.95,-6.85
AMBER,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,1996.5633,SUCCESS,2119.7,1790.0,2020-10-13,2021-01-20,69.0,2773.95,2021-01-07,1953.05,2020-10-14,38.94,-2.18,41.12,2710.65,35.77,1980.85,-0.79
AMBER,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,3209.6033,SUCCESS,3394.0,2990.0,2021-04-14,2021-07-20,66.0,3299.4,2021-04-26,2683.6,2021-05-26,2.8,-16.39,19.19,3226.35,0.52,2713.8,-15.45
AMBER,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,3243.0567,SUCCESS,3548.0,3040.9,2021-10-09,2022-01-20,71.0,3788.65,2021-10-12,2975.0,2021-11-30,16.82,-8.27,25.09,3678.2,13.42,3029.45,-6.59
AMBER,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,3604.27,SUCCESS,3759.95,3482.1,2022-04-09,2022-07-20,70.0,4025.95,2022-05-02,2040.0,2022-06-17,11.7,-43.4,55.1,3915.5,8.64,2058.8,-42.88
AMBER,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,2291.91,SUCCESS,2400.0,2142.0,2022-10-12,2023-01-20,71.0,2388.0,2022-10-12,1843.0,2023-01-19,4.19,-19.59,23.78,2349.55,2.51,1858.3,-18.92
AMBER,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,1854.0767,SUCCESS,1953.0,1762.5,2023-04-13,2023-07-20,68.0,2457.85,2023-06-22,1805.55,2023-04-28,32.56,-2.62,35.18,2345.0,26.48,1809.75,-2.39
AMBER,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,2941.3733,SUCCESS,3095.95,2803.5,2023-10-12,2024-01-20,70.0,3969.0,2024-01-18,2721.05,2023-10-23,34.94,-7.49,42.43,3852.5,30.98,2793.9,-5.01
AMBER,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,3653.9033,SUCCESS,3909.9,2992.5,2024-04-13,2024-07-20,66.0,4888.0,2024-07-09,3310.0,2024-06-04,33.77,-9.41,43.19,4697.25,28.55,3510.25,-3.93
AMBER,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,4880.9267,SUCCESS,5361.15,4320.05,2024-10-12,2025-01-20,68.0,8177.0,2025-01-07,5035.0,2024-10-14,67.53,3.16,64.37,8060.4,65.14,5145.4,5.42
AMBER,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,6794.97,SUCCESS,7347.4,5675.25,2025-04-12,2025-07-20,67.0,7911.5,2025-07-15,5773.0,2025-05-09,16.43,-15.04,31.47,7840.0,15.38,5795.0,-14.72
AMBER,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,8272.5,SUCCESS,8497.0,7963.0,2025-10-14,2026-01-20,67.0,8626.0,2025-10-29,6016.0,2026-01-20,4.27,-27.28,31.55,8526.5,3.07,6033.0,-27.07
AMBER,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,6717.0,SUCCESS,7525.0,6120.0,2026-04-16,2026-07-20,65.0,8974.0,2026-05-07,6938.0,2026-05-20,33.6,3.29,30.31,8842.5,31.64,7049.5,4.95
AMBER,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
