Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
AMBICAAGAR,2021,20-March,2021-03-20,2021-04-22,2021-04-22,2021-05-12,15.0,21.36,SUCCESS,38.0,11.95,2021-05-13,2021-07-20,47.0,39.0,2021-05-14,19.0,2021-07-20,82.58,-11.05,93.63,36.1,69.01,19.7,-7.77
AMBICAAGAR,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,17.6133,SUCCESS,24.9,15.4,2021-10-09,2022-01-20,71.0,30.0,2022-01-11,15.9,2021-12-08,70.33,-9.73,80.05,29.8,69.19,16.2,-8.02
AMBICAAGAR,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,28.4667,SUCCESS,32.1,24.85,2022-04-09,2022-07-20,70.0,30.75,2022-04-11,20.2,2022-05-12,8.02,-29.04,37.06,29.6,3.98,21.05,-26.05
AMBICAAGAR,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,29.9867,SUCCESS,32.4,27.5,2022-10-12,2023-01-20,71.0,33.9,2022-11-03,23.1,2022-12-26,13.05,-22.97,36.02,32.85,9.55,23.95,-20.13
AMBICAAGAR,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,21.0167,SUCCESS,23.35,19.15,2023-04-13,2023-07-20,68.0,41.9,2023-06-19,19.6,2023-04-20,99.37,-6.74,106.11,40.65,93.42,20.0,-4.84
AMBICAAGAR,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,33.55,SUCCESS,36.4,31.1,2023-10-12,2024-01-20,70.0,39.65,2023-10-13,27.8,2023-12-28,18.18,-17.14,35.32,38.4,14.46,29.3,-12.67
AMBICAAGAR,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,27.6633,SUCCESS,29.7,25.85,2024-04-13,2024-07-20,61.0,31.75,2024-04-23,23.2,2024-06-07,14.77,-16.13,30.91,30.2,9.17,24.05,-13.06
AMBICAAGAR,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,28.5413,SUCCESS,30.79,27.06,2024-10-12,2025-01-20,68.0,34.29,2025-01-01,25.51,2024-10-23,20.14,-10.62,30.76,33.13,16.08,25.93,-9.15
AMBICAAGAR,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,27.166,SUCCESS,29.97,25.5,2025-04-12,2025-07-20,67.0,33.0,2025-04-24,25.91,2025-05-07,21.48,-4.62,26.1,30.92,13.82,26.14,-3.78
AMBICAAGAR,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,25.4547,SUCCESS,27.69,24.17,2025-10-14,2026-01-20,67.0,29.68,2025-11-17,23.77,2026-01-20,16.6,-6.62,23.22,27.24,7.01,24.77,-2.69
AMBICAAGAR,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,22.8493,SUCCESS,24.99,20.0,2026-04-16,2026-07-20,65.0,27.0,2026-06-15,22.6,2026-04-28,18.17,-1.09,19.26,25.44,11.34,23.21,1.58
AMBICAAGAR,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
